trial,time,x,y
1,0.001,-4,-284
1,0.437,-5,-284
1,0.470,-5,-283
1,0.503,-6,-283
1,0.553,-6,-282
1,0.569,-6,-281
1,0.601,-6,-280
1,0.618,-6,-279
1,0.635,-6,-278
1,0.687,-5,-276
1,0.703,-5,-275
1,0.753,-5,-274
1,0.803,-5,-273
1,0.836,-4,-273
1,0.853,-4,-272
1,0.888,-4,-271
1,0.903,-3,-271
1,0.925,-3,-269
1,0.952,-3,-267
1,0.970,-3,-265
1,0.990,-3,-263
1,1.000,-3,-262
1,1.018,-3,-261
1,1.033,-2,-259
1,1.066,-2,-257
1,1.082,-2,-256
1,1.099,-1,-255
1,1.132,-1,-253
1,1.149,-1,-252
1,1.166,-1,-251
1,1.200,0,-249
1,1.233,0,-247
1,1.250,1,-247
1,1.267,1,-246
1,1.284,1,-245
1,1.302,1,-244
1,1.317,1,-243
1,1.351,1,-242
1,1.369,2,-241
1,1.401,2,-240
1,1.419,3,-239
1,1.434,3,-238
1,1.461,3,-237
1,1.481,3,-236
1,1.500,3,-235
1,1.533,4,-234
1,1.550,4,-233
1,1.567,4,-232
1,1.584,4,-231
1,1.600,5,-231
1,1.618,5,-229
1,1.649,5,-225
1,1.668,5,-224
1,1.684,5,-223
1,1.702,5,-221
1,1.717,5,-219
1,1.735,6,-219
1,1.751,6,-217
1,1.769,6,-215
1,1.784,6,-214
1,1.802,6,-212
1,1.817,6,-211
1,1.836,6,-208
1,1.853,5,-205
1,1.867,5,-203
1,1.886,5,-202
1,1.901,5,-199
1,1.917,5,-197
1,1.934,5,-195
1,1.952,5,-193
1,1.967,5,-191
1,1.984,5,-187
1,2.001,5,-185
1,2.019,5,-183
1,2.049,7,-176
1,2.067,7,-175
1,2.084,7,-171
1,2.101,7,-167
1,2.117,8,-163
1,2.135,9,-157
1,2.150,10,-155
1,2.168,11,-150
1,2.183,11,-145
1,2.199,12,-141
1,2.216,13,-136
1,2.233,14,-131
1,2.249,15,-124
1,2.266,15,-117
1,2.283,15,-114
1,2.299,17,-107
1,2.316,17,-101
1,2.333,18,-94
1,2.351,18,-91
1,2.367,19,-83
1,2.384,20,-77
1,2.400,21,-69
1,2.418,22,-66
1,2.434,23,-59
1,2.454,24,-53
1,2.470,25,-47
1,2.484,25,-44
1,2.505,27,-35
1,2.517,27,-32
1,2.533,29,-26
1,2.549,29,-23
1,2.565,30,-17
1,2.582,31,-11
1,2.598,31,-7
1,2.615,33,-1
1,2.632,33,5
1,2.648,35,12
1,2.665,35,15
1,2.681,36,20
1,2.698,37,25
1,2.715,37,30
1,2.731,38,32
1,2.748,39,37
1,2.765,39,41
1,2.781,41,46
1,2.798,42,51
1,2.815,43,54
1,2.832,44,59
1,2.848,45,65
1,2.867,47,70
1,2.884,49,75
1,2.901,50,77
1,2.917,51,82
1,2.934,52,87
1,2.951,53,91
1,2.968,53,93
1,2.984,54,97
1,3.000,55,101
1,3.017,56,105
1,3.034,57,108
1,3.051,59,112
1,3.070,60,116
1,3.087,61,120
1,3.100,62,122
1,3.117,64,127
1,3.135,66,131
1,3.151,67,135
1,3.166,68,137
1,3.184,69,141
1,3.200,71,145
1,3.217,71,150
1,3.233,72,152
1,3.251,73,156
1,3.267,74,161
1,3.284,75,166
1,3.300,75,168
1,3.317,77,172
1,3.333,78,175
1,3.350,79,179
1,3.367,80,181
1,3.385,82,185
1,3.405,84,189
1,3.417,85,192
1,3.440,87,195
1,3.466,87,199
1,3.484,89,202
1,3.499,89,203
1,3.516,89,207
1,3.532,90,209
1,3.549,91,212
1,3.566,91,213
1,3.583,91,215
1,3.599,91,217
1,3.616,92,219
1,3.632,92,220
1,3.649,93,221
1,3.666,93,223
2,0.000,-1,-281
2,0.205,-1,-280
2,0.221,-1,-279
2,0.270,-2,-279
2,0.320,-2,-277
2,0.338,-3,-273
2,0.355,-2,-266
2,0.385,-1,-251
2,0.404,-1,-240
2,0.425,0,-231
2,0.435,1,-221
2,0.454,1,-214
2,0.469,2,-211
2,0.490,3,-205
2,0.517,3,-195
2,0.539,3,-191
2,0.558,4,-186
2,0.578,5,-179
2,0.600,5,-175
2,0.621,5,-171
2,0.642,6,-167
2,0.667,7,-160
2,0.689,8,-155
2,0.711,9,-149
2,0.736,9,-145
2,0.752,10,-140
2,0.769,11,-135
2,0.785,11,-134
2,0.802,11,-131
2,0.818,12,-128
2,0.837,12,-125
2,0.866,12,-120
2,0.888,13,-117
2,0.901,13,-115
2,0.922,12,-112
2,0.935,12,-111
2,0.962,11,-105
2,0.983,11,-102
2,1.000,11,-99
2,1.017,11,-95
2,1.033,10,-92
2,1.050,9,-90
2,1.068,8,-86
2,1.088,7,-82
2,1.104,5,-78
2,1.118,4,-76
2,1.135,3,-73
2,1.151,1,-69
2,1.169,-1,-65
2,1.185,-2,-61
2,1.203,-3,-58
2,1.218,-5,-53
2,1.236,-8,-48
2,1.254,-11,-43
2,1.268,-14,-39
2,1.286,-19,-32
2,1.301,-25,-24
2,1.319,-33,-13
2,1.334,-37,-9
2,1.352,-47,1
2,1.368,-55,10
2,1.385,-61,17
2,1.401,-65,21
2,1.418,-71,27
2,1.434,-77,33
2,1.454,-84,39
2,1.483,-95,49
2,1.501,-102,55
2,1.521,-111,62
2,1.549,-122,71
2,1.569,-130,78
2,1.584,-137,84
2,1.602,-141,87
2,1.619,-149,93
2,1.642,-161,104
2,1.666,-169,110
2,1.685,-177,116
2,1.702,-184,122
2,1.720,-190,127
2,1.734,-192,129
2,1.752,-197,135
2,1.768,-203,139
2,1.785,-207,143
2,1.801,-209,145
2,1.818,-212,148
2,1.834,-216,152
2,1.853,-221,157
2,1.867,-223,159
2,1.887,-227,162
2,1.904,-231,166
2,1.918,-236,169
2,1.935,-239,171
2,1.951,-244,175
2,1.970,-247,178
2,1.984,-250,181
2,2.006,-253,183
2,2.017,-254,184
2,2.036,-257,186
2,2.051,-259,188
2,2.071,-263,190
2,2.088,-265,192
2,2.101,-266,193
2,2.118,-267,195
2,2.135,-269,196
2,2.167,-271,199
2,2.185,-273,201
2,2.201,-273,202
2,2.218,-275,204
2,2.234,-276,205
2,2.252,-277,207
2,2.267,-278,207
2,2.286,-280,209
2,2.301,-281,211
2,2.319,-283,212
2,2.335,-284,213
2,2.351,-285,214
2,2.368,-286,215
2,2.385,-287,217
2,2.417,-287,218
2,2.435,-288,219
2,2.451,-289,219
2,2.468,-289,221
3,0.001,1,-281
3,0.168,1,-280
3,0.201,1,-279
3,0.217,1,-277
3,0.234,2,-275
3,0.251,2,-271
3,0.272,3,-265
3,0.302,3,-255
3,0.319,3,-248
3,0.338,3,-238
3,0.351,2,-233
3,0.370,1,-222
3,0.385,-1,-213
3,0.403,-2,-205
3,0.418,-2,-201
3,0.438,-3,-195
3,0.451,-3,-189
3,0.469,-4,-184
3,0.485,-4,-181
3,0.502,-5,-176
3,0.519,-5,-172
3,0.536,-5,-169
3,0.566,-6,-163
3,0.585,-7,-159
3,0.601,-7,-156
3,0.629,-7,-153
3,0.655,-7,-149
3,0.667,-8,-147
3,0.683,-9,-144
3,0.699,-9,-141
3,0.716,-9,-138
3,0.732,-9,-137
3,0.749,-9,-134
3,0.766,-9,-131
3,0.784,-9,-128
3,0.800,-9,-124
3,0.817,-9,-122
3,0.834,-9,-118
3,0.850,-8,-114
3,0.867,-7,-109
3,0.884,-7,-106
