trial,time,x,y
1,0.001,-11,-284
1,0.172,-10,-283
1,0.188,-9,-283
1,0.237,-9,-282
1,0.254,-9,-281
1,0.271,-8,-279
1,0.289,-7,-277
1,0.304,-7,-276
1,0.320,-5,-274
1,0.338,-5,-272
1,0.356,-3,-271
1,0.371,-3,-270
1,0.388,-2,-268
1,0.418,0,-262
1,0.436,0,-261
1,0.454,1,-256
1,0.469,1,-252
1,0.485,1,-250
1,0.501,1,-245
1,0.518,2,-240
1,0.534,2,-235
1,0.551,3,-229
1,0.568,3,-227
1,0.585,3,-223
1,0.601,3,-219
1,0.620,3,-215
1,0.639,4,-213
1,0.650,4,-212
1,0.666,4,-210
1,0.683,4,-209
1,0.700,4,-207
1,0.717,3,-205
1,0.733,3,-204
1,0.750,3,-202
1,0.766,3,-201
1,0.783,3,-199
1,0.800,3,-196
1,0.817,3,-194
1,0.833,3,-193
1,0.852,3,-190
1,0.869,3,-187
1,0.886,2,-184
1,0.901,2,-182
1,0.918,1,-179
1,0.935,1,-176
1,0.952,1,-173
1,0.967,1,-172
1,0.986,1,-169
1,1.001,0,-167
1,1.018,0,-165
1,1.035,-1,-163
1,1.054,-1,-161
1,1.082,-1,-157
1,1.101,-1,-155
1,1.118,-2,-154
1,1.135,-2,-153
1,1.151,-2,-151
1,1.168,-3,-149
1,1.184,-3,-148
1,1.202,-3,-147
1,1.218,-3,-145
1,1.236,-3,-143
1,1.250,-3,-142
1,1.268,-3,-140
1,1.284,-3,-138
1,1.302,-3,-137
1,1.318,-3,-136
1,1.334,-3,-134
1,1.351,-3,-133
1,1.367,-3,-131
1,1.385,-3,-130
1,1.401,-3,-129
1,1.418,-3,-127
1,1.434,-3,-125
1,1.468,-3,-123
1,1.485,-3,-122
1,1.502,-3,-121
1,1.518,-3,-119
1,1.549,-3,-116
1,1.569,-3,-113
1,1.584,-3,-112
1,1.601,-3,-107
1,1.619,0,-99
1,1.640,7,-83
1,1.663,19,-59
1,1.682,25,-46
1,1.699,27,-39
1,1.716,33,-29
1,1.732,39,-18
1,1.749,45,-8
1,1.766,48,-3
1,1.782,56,7
1,1.799,64,17
1,1.816,71,27
1,1.832,75,32
1,1.848,80,41
1,1.865,85,49
1,1.882,88,55
1,1.899,89,59
1,1.916,92,65
1,1.933,95,71
1,1.950,97,76
1,1.967,99,83
1,1.983,101,87
1,2.000,103,95
1,2.017,107,103
1,2.033,110,111
1,2.050,112,116
1,2.067,117,125
1,2.083,121,135
1,2.100,127,144
1,2.116,129,149
1,2.134,134,159
1,2.150,139,171
1,2.167,145,183
1,2.184,147,189
1,2.200,151,201
1,2.217,155,213
1,2.233,157,220
1,2.250,158,222
1,2.270,159,227
1,2.298,161,236
1,2.316,163,238
1,2.333,165,239
1,2.351,165,240
1,2.367,166,241
1,2.383,167,241
1,2.433,168,241
1,2.449,169,241
1,2.467,170,239
1,2.483,172,235
4,0.000,-8,-280
4,0.337,-9,-279
4,0.353,-9,-277
4,0.371,-9,-275
4,0.403,-9,-274
4,0.437,-9,-273
4,0.786,-10,-273
4,0.803,-10,-272
4,0.819,-11,-269
4,0.851,-13,-264
4,0.868,-13,-259
4,0.886,-15,-253
4,0.901,-15,-247
4,0.919,-16,-243
4,0.934,-18,-237
4,0.951,-20,-229
4,0.968,-22,-221
4,0.984,-23,-217
4,1.001,-26,-210
4,1.018,-28,-203
4,1.034,-31,-195
4,1.051,-31,-191
4,1.068,-35,-184
4,1.085,-37,-177
4,1.101,-39,-171
4,1.118,-41,-169
4,1.135,-43,-163
4,1.151,-45,-157
4,1.168,-47,-153
4,1.184,-48,-151
4,1.203,-51,-145
4,1.218,-53,-140
4,1.235,-54,-136
4,1.251,-55,-134
4,1.268,-57,-129
4,1.284,-58,-125
4,1.303,-59,-121
4,1.332,-61,-114
4,1.351,-63,-109
4,1.367,-63,-105
4,1.385,-64,-103
4,1.401,-65,-98
4,1.418,-65,-94
4,1.434,-66,-90
4,1.451,-66,-87
4,1.467,-66,-83
4,1.484,-66,-79
4,1.501,-65,-74
4,1.522,-64,-69
4,1.544,-62,-63
4,1.565,-59,-59
4,1.584,-56,-54
4,1.601,-52,-50
4,1.618,-48,-46
4,1.637,-43,-43
4,1.650,-40,-41
4,1.668,-33,-39
4,1.685,-26,-35
4,1.704,-18,-31
4,1.731,-7,-25
4,1.750,0,-23
4,1.767,3,-21
4,1.783,10,-19
4,1.800,16,-15
4,1.817,22,-12
4,1.833,25,-10
4,1.850,30,-7
4,1.868,35,-5
