trial,time,x,y
1,0.000,2,-283
1,0.202,0,-281
1,0.218,-1,-275
1,0.235,-2,-268
1,0.253,-2,-264
1,0.285,-2,-257
1,0.301,-2,-253
1,0.319,-2,-249
1,0.333,-2,-245
1,0.350,-2,-239
1,0.366,-2,-237
1,0.382,-2,-233
1,0.400,-2,-229
1,0.416,-2,-225
1,0.433,-2,-223
1,0.449,-2,-219
1,0.466,-2,-217
1,0.482,-2,-213
1,0.500,-2,-209
1,0.516,-2,-205
1,0.533,-2,-201
1,0.550,-2,-197
1,0.566,-2,-195
1,0.583,-2,-190
1,0.602,-2,-187
1,0.616,-2,-184
1,0.634,-2,-181
1,0.650,-2,-179
1,0.667,-2,-178
1,0.684,-2,-175
1,0.699,-2,-173
1,0.719,-2,-169
1,0.732,-2,-167
1,0.767,-2,-165
1,0.783,-2,-163
1,1.150,-2,-159
1,1.166,-2,-151
1,1.183,-2,-147
1,1.199,-2,-141
1,1.216,-2,-128
1,1.233,0,-121
1,1.253,0,-117
1,1.266,0,-113
1,1.284,0,-111
1,1.299,0,-107
1,1.316,0,-101
1,1.332,0,-97
1,1.349,0,-92
1,1.366,0,-88
1,1.383,0,-85
1,1.402,0,-80
1,1.416,0,-77
1,1.434,0,-74
1,1.449,0,-69
1,1.465,0,-68
1,1.849,0,-61
1,1.866,0,-52
1,1.883,0,-41
1,1.900,2,-26
1,1.915,3,-15
1,1.933,4,-3
1,1.949,5,0
1,1.964,5,4
1,1.981,5,5
1,1.998,5,8
1,2.014,5,11
1,2.032,5,17
1,2.051,5,21
1,2.066,5,25
1,2.083,5,33
1,2.100,5,39
1,2.116,4,45
1,2.133,2,58
1,2.151,0,67
1,2.165,-2,77
1,2.183,-4,89
1,2.199,-6,95
1,2.216,-7,99
1,2.233,-8,100
1,2.549,-8,102
1,2.566,-8,110
1,2.583,-8,115
1,2.599,-8,119
1,2.617,-8,121
1,2.632,-8,122
1,2.649,-8,124
1,2.666,-8,128
1,2.683,-8,132
1,2.700,-7,137
1,2.717,-6,144
1,2.736,-6,147
1,2.749,-6,150
1,2.768,-6,155
1,2.783,-6,157
1,2.804,-6,162
1,2.825,-6,166
1,2.847,-6,169
1,2.866,-6,171
1,3.283,-5,172
1,3.302,-5,174
1,3.321,-5,177
1,3.349,-5,179
1,3.366,-5,180
1,3.397,-4,185
1,3.432,-4,186
1,3.449,-4,189
1,3.465,-4,191
1,3.499,-4,192
1,3.532,-4,196
1,3.549,-4,197
1,3.572,-3,202
1,3.582,-3,203
1,3.598,-3,205
1,3.631,-3,209
1,3.647,-3,210
1,3.664,-3,213
1,3.681,-3,216
1,3.697,-3,217
1,3.714,-3,220
1,3.730,-3,222
1,3.771,-2,226
1,3.784,-2,227
1,3.797,-2,228
1,3.814,-2,229
1,3.831,-2,230
1,3.847,-1,232
1,3.865,0,235
1,3.881,0,237
1,3.898,0,239
1,3.913,0,240
1,3.930,0,241
1,3.963,1,242
1,3.980,1,243
