trial,time,x,y
2,0.001,-6,-283
2,0.734,-6,-280
2,0.751,-7,-278
2,0.767,-8,-275
2,0.783,-9,-271
2,0.799,-10,-269
2,0.832,-11,-263
2,0.849,-12,-261
2,0.869,-12,-258
2,0.883,-13,-257
2,0.915,-14,-255
2,0.932,-14,-253
2,0.949,-14,-251
2,0.966,-15,-249
2,0.982,-15,-247
2,0.999,-16,-246
2,1.016,-16,-244
2,1.032,-16,-241
2,1.049,-17,-238
2,1.066,-17,-235
2,1.082,-17,-232
2,1.099,-18,-229
2,1.115,-18,-225
2,1.133,-18,-222
2,1.149,-19,-219
2,1.166,-19,-215
2,1.183,-19,-210
2,1.199,-20,-206
2,1.215,-20,-203
2,1.233,-20,-200
2,1.249,-20,-198
2,1.265,-20,-195
2,1.283,-20,-192
2,1.300,-20,-189
2,1.317,-20,-187
2,1.332,-20,-183
2,1.348,-20,-175
2,1.365,-20,-168
2,1.382,-20,-161
2,1.399,-20,-157
2,1.416,-20,-149
2,1.432,-20,-144
2,1.449,-20,-137
2,1.466,-28,-104
2,1.482,-32,-87
2,1.499,-41,-29
2,1.515,-43,17
2,1.532,-44,60
2,1.549,-44,98
2,1.566,-44,105
2,1.833,-52,109
2,1.849,-73,124
2,1.866,-101,145
2,1.883,-155,184
2,1.900,-179,200
2,1.916,-215,224
2,1.932,-225,232
2,1.949,-237,240
2,1.965,-243,245
2,1.986,-246,248
2,2.000,-248,250
2,2.016,-249,251
2,2.049,-250,251
2,2.099,-251,251
3,0.001,0,-286
3,0.085,0,-285
3,0.101,0,-274
3,0.117,0,-256
3,0.150,0,-188
3,0.167,-1,-147
3,0.183,-1,-125
3,0.203,-4,-94
3,0.217,-4,-88
3,0.234,-6,-79
3,0.683,-9,-75
3,0.700,-21,-53
3,0.716,-40,-17
3,0.733,-59,19
3,0.750,-80,61
3,0.767,-90,84
3,0.784,-99,108
3,0.800,-105,134
3,0.817,-107,148
3,0.833,-108,164
3,0.849,-108,171
3,0.867,-109,173
3,1.100,-112,177
3,1.117,-118,183
3,1.133,-122,187
3,1.149,-126,192
3,1.166,-131,196
3,1.183,-133,200
3,1.200,-134,202
3,1.216,-135,205
3,1.233,-136,207
3,1.250,-136,209
3,1.266,-137,211
3,1.283,-137,212
3,1.299,-138,213
3,1.316,-138,214
3,1.350,-138,215
3,1.366,-139,216
3,1.384,-139,218
3,1.400,-139,220
3,1.432,-139,221
3,1.503,-140,221
3,1.599,-141,222
3,1.617,-142,223
3,1.634,-143,225
3,1.651,-145,228
3,1.668,-148,232
3,1.684,-149,233
3,1.700,-151,235
4,0.001,0,-288
4,0.135,0,-285
4,0.151,-1,-280
4,0.168,-3,-273
4,0.184,-5,-264
4,0.217,-18,-225
4,0.233,-23,-212
4,0.249,-27,-197
4,0.270,-31,-186
4,0.283,-31,-183
4,0.300,-33,-178
4,0.316,-34,-176
4,0.605,-34,-169
4,0.616,-35,-160
4,0.634,-36,-149
4,0.650,-40,-116
4,0.667,-45,-72
4,0.683,-49,-41
4,0.700,-54,-5
4,0.716,-57,14
4,0.733,-61,41
4,0.750,-62,53
4,0.767,-62,58
4,1.016,-62,62
4,1.032,-64,67
4,1.050,-65,71
4,1.067,-66,75
4,1.084,-68,82
4,1.101,-69,89
4,1.117,-70,97
4,1.133,-71,105
4,1.149,-73,117
4,1.166,-74,124
4,1.183,-76,132
4,1.199,-78,137
4,1.216,-79,144
4,1.233,-81,149
4,1.251,-82,154
4,1.267,-83,159
4,1.284,-83,164
4,1.299,-83,172
4,1.316,-83,178
4,1.332,-84,182
4,1.349,-84,188
4,1.367,-84,194
4,1.384,-84,198
4,1.400,-84,202
4,1.417,-83,206
4,1.434,-83,210
4,1.450,-82,214
4,1.466,-82,216
4,1.482,-82,217
4,1.500,-82,219
4,1.517,-82,220
4,1.533,-82,221
4,1.567,-82,222
5,0.001,5,-284
5,0.185,5,-283
5,0.201,4,-277
5,0.218,3,-269
5,0.251,-4,-228
5,0.267,-7,-203
5,0.287,-11,-178
5,0.301,-13,-168
5,0.317,-15,-142
5,0.333,-16,-129
5,0.350,-16,-122
5,0.366,-16,-115
5,0.384,-17,-113
5,0.701,-17,-112
5,0.717,-18,-109
5,0.735,-22,-99
5,0.750,-29,-82
5,0.767,-41,-41
5,0.783,-47,-8
5,0.800,-53,24
5,0.817,-56,45
5,0.834,-59,68
5,0.851,-61,83
5,0.868,-62,91
5,0.884,-63,97
5,0.900,-63,99
5,1.168,-64,106
5,1.183,-65,116
5,1.200,-67,129
5,1.216,-67,141
5,1.233,-68,153
5,1.251,-69,162
5,1.267,-69,169
5,1.284,-69,176
5,1.301,-69,181
5,1.317,-69,185
5,1.333,-69,190
5,1.350,-69,192
5,1.367,-69,194
5,1.383,-69,195
5,1.400,-69,196
5,1.417,-69,197
5,1.434,-69,198
5,1.451,-69,200
5,1.467,-70,202
5,1.484,-70,206
5,1.500,-70,208
5,1.516,-70,210
5,1.533,-70,211
5,1.550,-70,212
5,1.584,-70,214
5,1.601,-70,215
5,1.617,-70,217
5,1.633,-70,219
5,1.650,-70,220
5,1.683,-70,221
5,1.900,-70,222
6,0.001,-5,-289
6,0.118,-5,-282
6,0.134,-5,-267
6,0.166,-8,-230
6,0.183,-9,-214
6,0.199,-10,-198
6,0.219,-10,-183
6,0.234,-10,-178
6,0.250,-10,-167
6,0.267,-11,-157
6,0.534,-11,-155
6,0.550,-11,-147
6,0.566,-11,-138
6,0.582,-11,-120
6,0.599,-11,-96
6,0.616,-11,-71
6,0.633,-11,-42
