trial,time,x,y
1,0.003,-2,-276
1,0.023,-2,-273
1,0.041,-2,-271
1,0.058,-1,-267
1,0.088,0,-261
1,0.107,0,-257
1,0.127,0,-253
1,0.137,1,-251
1,0.154,1,-249
1,0.171,1,-247
1,0.189,1,-245
1,0.205,1,-244
1,0.221,1,-243
1,0.237,1,-241
1,0.254,1,-240
1,0.270,1,-239
1,0.288,1,-237
1,0.324,1,-236
1,0.353,1,-235
1,0.411,1,-234
1,0.438,1,-233
1,0.537,1,-232
1,0.588,1,-231
1,0.711,1,-230
1,0.769,1,-229
1,0.870,1,-228
1,0.887,1,-227
1,0.953,2,-226
1,0.971,2,-225
1,1.004,2,-223
1,1.037,2,-221
1,1.054,2,-220
1,1.071,2,-219
1,1.089,2,-217
1,1.120,2,-215
1,1.137,2,-213
1,1.154,2,-212
1,1.170,2,-211
1,1.187,2,-210
1,1.204,2,-208
1,1.220,2,-207
1,1.238,2,-204
1,1.253,2,-203
1,1.270,2,-201
1,1.287,2,-199
1,1.304,2,-197
1,1.320,1,-195
1,1.338,1,-193
1,1.353,1,-190
1,1.370,0,-187
1,1.386,0,-184
1,1.403,0,-183
1,1.420,0,-180
1,1.437,0,-177
1,1.454,0,-174
1,1.470,0,-170
1,1.486,0,-168
1,1.503,0,-164
1,1.520,1,-160
1,1.537,1,-157
1,1.554,2,-152
1,1.568,2,-150
1,1.585,2,-145
1,1.602,2,-141
1,1.619,2,-135
1,1.636,2,-133
1,1.652,2,-128
1,1.669,2,-123
1,1.685,2,-117
1,1.702,2,-114
1,1.719,2,-107
1,1.736,2,-101
1,1.751,2,-95
1,1.768,2,-90
1,1.784,2,-87
1,1.803,2,-80
1,1.820,2,-73
1,1.839,2,-65
1,1.856,1,-57
1,1.870,1,-53
1,1.887,2,-45
1,1.903,2,-37
1,1.920,3,-27
1,1.938,4,-17
1,1.955,4,-9
1,1.969,4,-5
1,1.987,5,3
1,2.003,5,10
1,2.020,6,18
1,2.036,6,22
1,2.053,6,29
1,2.070,7,36
1,2.088,7,41
1,2.107,7,47
1,2.120,7,49
1,2.138,6,55
1,2.153,6,63
1,2.170,6,70
1,2.187,6,78
1,2.204,6,81
1,2.220,6,89
1,2.237,6,96
1,2.254,6,103
1,2.273,6,106
1,2.290,6,113
1,2.303,6,121
1,2.320,6,128
1,2.336,5,131
1,2.353,4,137
1,2.370,4,142
1,2.388,3,148
1,2.404,2,151
1,2.420,2,157
1,2.436,2,162
1,2.454,2,167
1,2.470,1,171
1,2.488,1,176
1,2.507,0,181
1,2.519,0,183
1,2.537,0,188
1,2.554,0,193
1,2.572,0,196
1,2.586,0,197
1,2.603,0,201
1,2.619,-1,205
1,2.637,-1,209
1,2.653,-2,213
1,2.671,-2,215
1,2.688,-2,218
1,2.703,-2,221
1,2.736,-2,224
1,2.754,-2,227
1,2.770,-2,229
1,2.791,-2,231
1,2.803,-2,233
1,2.818,-2,234
1,2.835,-2,237
1,2.851,-3,239
1,2.868,-3,241
1,2.885,-3,243
1,2.901,-4,243
1,2.918,-4,245
1,2.952,-4,246
1,2.968,-3,247
