trial,time,x,y
2,0.001,-2,-272
2,0.018,-3,-268
2,0.050,-3,-262
2,0.067,-3,-259
2,0.084,-3,-255
2,0.100,-3,-254
2,0.117,-3,-249
2,0.133,-3,-244
2,0.150,-3,-240
2,0.167,-3,-237
2,0.185,-2,-232
2,0.202,-2,-226
2,0.223,-2,-222
2,0.250,-2,-216
2,0.266,-1,-212
2,0.284,0,-209
2,0.300,0,-205
2,0.317,0,-204
2,0.333,1,-200
2,0.350,2,-198
2,0.370,3,-194
2,0.388,4,-191
2,0.416,5,-185
2,0.434,6,-182
2,0.449,6,-180
2,0.466,8,-177
2,0.482,8,-173
2,0.499,9,-168
2,0.516,10,-166
2,0.532,10,-162
2,0.549,12,-156
2,0.569,12,-150
2,0.589,13,-144
2,0.602,13,-142
2,0.624,14,-132
2,0.646,15,-126
2,0.668,16,-116
2,0.702,16,-107
2,0.722,16,-100
2,0.734,16,-94
2,0.750,16,-91
2,0.767,16,-84
2,0.784,16,-79
2,0.801,16,-73
2,0.817,17,-70
2,0.834,16,-66
2,0.850,16,-61
2,0.867,16,-57
2,0.884,16,-53
2,0.900,16,-52
2,0.917,16,-48
2,0.934,16,-46
2,0.951,16,-44
2,0.968,16,-42
2,0.989,16,-40
2,1.022,16,-38
2,1.035,16,-37
2,1.056,16,-36
2,1.078,16,-35
2,1.102,16,-34
2,1.119,16,-33
2,1.133,16,-32
2,1.166,16,-31
2,1.183,16,-30
2,1.217,16,-28
2,1.235,16,-27
2,1.253,16,-25
2,1.273,16,-23
2,1.293,16,-20
2,1.318,15,-14
2,1.339,15,-10
2,1.358,15,-6
2,1.369,14,-3
2,1.388,14,2
2,1.401,14,8
2,1.420,13,12
2,1.435,13,18
2,1.454,12,25
2,1.469,12,32
2,1.491,11,40
2,1.510,10,48
2,1.533,10,60
2,1.550,9,64
2,1.566,8,72
2,1.585,6,79
2,1.601,5,86
2,1.618,3,92
2,1.639,2,98
2,1.651,1,101
2,1.669,0,106
2,1.685,-1,112
2,1.704,-2,117
2,1.725,-3,122
2,1.751,-4,128
2,1.768,-5,132
2,1.785,-6,134
2,1.802,-6,139
2,1.826,-7,146
2,1.835,-8,148
2,1.849,-8,150
2,1.866,-8,154
2,1.883,-8,158
2,1.900,-8,162
2,1.916,-8,164
2,1.933,-8,169
2,1.949,-8,174
2,1.966,-6,179
2,1.983,-6,183
2,1.999,-5,185
2,2.018,-4,189
2,2.039,-3,193
2,2.052,-2,196
2,2.074,0,200
2,2.085,1,201
2,2.105,3,204
2,2.118,6,207
2,2.137,9,210
2,2.149,10,212
2,2.166,12,215
2,2.183,14,218
2,2.199,16,220
2,2.218,18,222
2,2.240,19,224
2,2.249,20,226
2,2.266,20,227
2,2.283,21,228
2,2.299,22,230
2,2.316,22,231
2,2.333,23,232
2,2.349,23,233
3,0.001,-2,-292
3,0.361,-2,-290
3,0.410,-2,-289
3,0.427,-2,-288
3,0.444,-2,-286
3,0.462,-2,-284
3,0.480,-2,-282
3,0.497,-1,-280
3,0.514,-1,-277
3,0.530,0,-274
3,0.548,0,-271
3,0.565,0,-268
3,0.599,2,-261
3,0.622,4,-254
3,0.641,6,-250
3,0.661,8,-245
3,0.679,10,-240
3,0.704,12,-234
3,0.724,14,-226
3,0.746,16,-222
3,0.774,19,-213
3,0.793,21,-207
3,0.808,23,-202
3,0.825,24,-199
3,0.843,26,-194
3,0.859,28,-190
3,0.876,30,-186
3,0.893,32,-182
3,0.909,33,-181
3,0.926,34,-177
3,0.945,36,-173
3,0.962,38,-170
3,0.982,40,-166
3,1.002,42,-162
3,1.029,45,-158
3,1.048,46,-156
3,1.075,48,-152
3,1.092,50,-150
3,1.108,51,-148
3,1.128,52,-145
3,1.145,53,-144
3,1.175,56,-139
3,1.200,57,-137
3,1.221,58,-134
3,1.246,60,-131
3,1.266,62,-128
3,1.290,65,-124
3,1.314,66,-122
3,1.328,68,-119
3,1.346,70,-115
3,1.359,71,-113
3,1.376,72,-109
3,1.393,74,-105
3,1.409,75,-100
3,1.426,75,-98
3,1.442,76,-94
3,1.459,76,-90
3,1.476,76,-86
3,1.497,75,-81
3,1.517,74,-76
3,1.535,72,-71
3,1.561,68,-63
3,1.581,64,-58
3,1.602,59,-54
3,1.622,56,-49
3,1.643,52,-45
3,1.659,47,-41
3,1.676,42,-36
3,1.693,38,-32
3,1.709,36,-29
3,1.726,31,-24
3,1.742,25,-18
3,1.759,20,-12
3,1.776,16,-6
3,1.797,12,0
3,1.818,7,6
3,1.842,1,16
3,1.859,-1,20
3,1.876,-4,28
3,1.892,-8,36
3,1.909,-12,45
3,1.926,-15,52
3,1.943,-16,56
3,1.959,-19,63
3,1.975,-21,70
3,1.993,-23,76
3,2.009,-24,80
3,2.026,-26,86
3,2.043,-28,93
3,2.059,-30,100
3,2.075,-32,106
3,2.092,-34,109
3,2.109,-36,116
3,2.126,-38,122
3,2.145,-39,129
3,2.161,-40,133
3,2.178,-41,140
3,2.192,-42,146
3,2.209,-44,152
3,2.225,-44,158
3,2.242,-45,162
3,2.259,-46,167
3,2.275,-48,172
3,2.293,-48,178
3,2.309,-49,180
3,2.325,-50,186
3,2.342,-52,191
3,2.362,-52,196
3,2.378,-54,202
3,2.398,-54,207
3,2.411,-55,210
3,2.430,-56,214
3,2.445,-57,220
3,2.462,-57,222
3,2.500,-58,232
3,2.522,-59,236
3,2.544,-59,240
3,2.566,-59,242
3,2.586,-60,243
4,0.001,-2,-284
4,0.084,-2,-282
4,0.099,-2,-279
4,0.116,-2,-277
4,0.133,-2,-274
4,0.148,-2,-271
4,0.163,-2,-270
4,0.180,-2,-266
4,0.217,-1,-250
4,0.229,-1,-244
4,0.245,0,-233
4,0.262,2,-222
4,0.278,4,-210
4,0.298,7,-198
4,0.317,10,-186
4,0.330,11,-180
4,0.355,14,-162
4,0.374,15,-154
4,0.397,16,-146
4,0.417,18,-140
4,0.440,20,-129
4,0.463,21,-121
4,0.483,23,-114
4,0.506,25,-104
4,0.526,26,-99
4,0.547,27,-94
4,0.570,29,-86
4,0.591,30,-80
4,0.613,30,-75
4,0.633,30,-70
4,0.656,30,-62
4,0.680,30,-56
4,0.702,30,-46
4,0.722,29,-40
4,0.744,28,-33
4,0.763,26,-26
4,0.784,24,-19
4,0.802,23,-10
4,0.814,21,-2
4,0.834,19,6
4,0.847,18,10
4,0.867,16,19
4,0.881,14,28
4,0.901,12,38
4,0.914,12,44
4,0.933,10,55
4,0.948,8,66
4,0.971,6,76
4,0.993,5,92
4,1.014,5,102
4,1.036,5,112
4,1.056,5,122
4,1.080,5,136
4,1.106,4,148
4,1.126,4,157
4,1.144,5,166
4,1.163,5,176
4,1.181,6,185
4,1.197,7,190
4,1.215,7,197
4,1.230,7,203
4,1.251,6,209
4,1.272,5,215
4,1.297,4,222
4,1.347,3,234
5,0.002,-2,-266
5,0.034,-2,-237
5,0.055,-2,-220
5,0.066,-1,-212
5,0.083,0,-196
5,0.100,1,-182
5,0.116,2,-170
5,0.133,2,-164
5,0.149,4,-153
5,0.169,5,-142
5,0.186,6,-132
5,0.205,8,-121
5,0.218,8,-116
5,0.238,11,-100
5,0.251,12,-95
5,0.272,13,-87
5,0.299,14,-79
5,0.315,14,-75
5,0.332,15,-72
5,0.348,15,-71
5,0.365,16,-68
5,0.382,16,-66
5,0.400,16,-63
5,0.417,16,-62
5,0.434,17,-60
5,0.450,17,-58
5,0.467,18,-54
5,0.484,18,-51
5,0.500,19,-47
5,0.517,19,-45
5,0.533,20,-41
5,0.551,20,-36
5,0.567,20,-31
5,0.583,20,-28
5,0.601,20,-23
5,0.617,20,-17
5,0.634,20,-10
5,0.650,20,-4
5,0.667,20,-1
5,0.684,20,4
5,0.700,19,9
5,0.717,18,13
5,0.733,18,16
5,0.750,16,20
5,0.767,15,24
5,0.784,12,28
5,0.800,11,30
5,0.817,7,35
5,0.834,2,40
5,0.850,-2,44
5,0.867,-8,49
5,0.883,-12,52
5,0.901,-18,56
5,0.917,-25,60
5,0.933,-33,64
5,0.950,-38,67
5,0.967,-46,71
5,0.984,-55,75
5,1.000,-65,80
5,1.017,-75,84
5,1.033,-80,86
5,1.050,-90,91
5,1.068,-101,94
5,1.083,-111,98
5,1.100,-116,101
5,1.117,-126,105
5,1.133,-136,108
5,1.150,-146,112
5,1.167,-155,116
5,1.183,-160,118
5,1.200,-168,122
5,1.217,-176,126
5,1.233,-184,131
5,1.250,-188,133
5,1.267,-194,138
5,1.285,-202,143
5,1.301,-207,147
5,1.317,-212,152
5,1.333,-214,154
5,1.351,-220,159
5,1.367,-224,164
5,1.386,-228,170
5,1.416,-232,178
5,1.434,-234,184
5,1.451,-236,190
5,1.467,-236,193
5,1.483,-238,199
5,1.500,-240,205
5,1.517,-240,212
5,1.533,-240,214
5,1.550,-241,220
5,1.567,-241,225
5,1.591,-240,233
5,1.617,-239,238
5,1.633,-238,244
5,1.651,-236,248
5,1.667,-235,252
5,1.684,-235,254
5,1.700,-234,255
6,0.003,-9,-265
6,0.034,-13,-248
6,0.058,-14,-239
6,0.085,-17,-226
6,0.111,-19,-211
6,0.128,-20,-202
6,0.144,-20,-192
6,0.162,-21,-187
6,0.179,-22,-176
6,0.198,-22,-166
6,0.213,-22,-156
6,0.231,-23,-148
6,0.245,-23,-144
6,0.264,-24,-138
6,0.284,-24,-133
6,0.296,-24,-129
6,0.316,-24,-125
6,0.329,-24,-123
6,0.349,-24,-118
6,0.362,-25,-114
6,0.384,-25,-109
6,0.396,-25,-107
6,0.416,-24,-102
6,0.429,-24,-98
6,0.449,-24,-92
6,0.462,-24,-89
6,0.480,-22,-83
6,0.496,-22,-76
6,0.519,-20,-70
6,0.538,-16,-63
6,0.562,-8,-51
6,0.582,-2,-42
6,0.600,6,-34
6,0.610,10,-30
6,0.627,18,-22
6,0.644,26,-14
6,0.660,32,-10
6,0.677,42,-3
6,0.694,52,4
6,0.710,62,10
6,0.727,74,16
6,0.743,80,20
6,0.760,93,27
6,0.779,105,33
6,0.796,118,39
6,0.820,130,45
6,0.830,136,48
6,0.847,148,54
6,0.863,159,60
6,0.884,170,65
6,0.909,187,72
6,0.926,200,78
6,0.943,212,84
6,0.959,218,87
6,0.977,230,93
6,0.993,241,99
6,1.009,251,105
6,1.026,256,108
6,1.042,265,112
6,1.063,274,118
6,1.079,282,124
6,1.100,290,130
6,1.131,304,142
6,1.165,313,150
6,1.176,316,152
6,1.193,320,158
6,1.210,324,164
6,1.227,328,169
6,1.243,332,174
6,1.263,336,179
6,1.281,338,182
6,1.294,341,187
