trial,time,x,y
1,0.003,0,-269
1,0.033,0,-262
1,0.048,0,-260
1,0.064,0,-256
1,0.081,0,-252
1,0.097,0,-247
1,0.114,0,-245
1,0.131,0,-242
1,0.147,1,-239
1,0.164,1,-237
1,0.181,1,-236
1,0.197,1,-235
1,0.214,1,-234
1,0.231,1,-232
1,0.248,1,-230
1,0.264,1,-229
1,0.281,1,-227
1,0.302,1,-226
1,0.324,1,-225
1,0.349,1,-224
1,0.397,1,-223
1,0.419,1,-222
1,0.452,1,-220
1,0.471,2,-219
1,0.483,2,-217
1,0.503,2,-214
1,0.516,2,-213
1,0.538,2,-209
1,0.549,2,-208
1,0.569,2,-204
1,0.583,2,-203
1,0.604,2,-198
1,0.616,1,-196
1,0.636,1,-192
1,0.649,1,-187
1,0.669,2,-184
1,0.688,2,-180
1,0.698,2,-178
1,0.717,2,-172
1,0.733,2,-170
1,0.756,2,-164
1,0.767,2,-161
1,0.786,2,-156
1,0.799,3,-150
1,0.819,3,-145
1,0.833,4,-143
1,0.847,4,-137
1,0.864,4,-131
1,0.880,5,-128
1,0.897,5,-123
1,0.913,6,-118
1,0.931,6,-112
1,0.947,6,-110
1,0.964,6,-107
1,0.980,6,-104
1,0.997,7,-100
1,1.014,7,-96
1,1.030,7,-94
1,1.047,7,-91
1,1.064,7,-88
1,1.081,7,-87
1,1.097,7,-86
1,1.114,7,-84
1,1.130,7,-82
1,1.147,7,-80
1,1.164,7,-78
1,1.181,7,-77
1,1.197,7,-76
1,1.213,7,-74
1,1.231,7,-72
1,1.247,7,-70
1,1.280,7,-68
1,1.297,7,-67
1,1.314,7,-65
1,1.330,7,-64
1,1.349,6,-62
1,1.368,6,-61
1,1.382,6,-59
1,1.403,6,-58
1,1.415,6,-57
1,1.430,6,-56
1,1.447,6,-55
1,1.463,6,-54
1,1.497,6,-52
1,1.530,6,-51
1,1.547,6,-50
1,1.601,6,-49
1,1.622,6,-48
1,1.649,6,-47
1,1.673,6,-46
1,1.713,6,-45
1,1.730,6,-44
1,1.747,6,-43
1,1.763,6,-42
1,1.780,6,-40
1,1.799,6,-38
1,1.825,6,-37
1,1.850,6,-34
1,1.869,6,-33
1,1.883,6,-32
1,1.905,6,-31
1,1.927,6,-30
1,1.948,6,-28
1,1.970,6,-26
1,1.990,6,-24
1,2.016,6,-21
1,2.037,6,-18
1,2.058,6,-16
1,2.083,6,-12
1,2.112,6,-9
1,2.136,6,-7
1,2.160,5,-2
1,2.184,5,2
1,2.207,5,4
1,2.232,5,7
1,2.247,5,8
1,2.263,5,10
1,2.280,5,12
1,2.296,5,14
1,2.313,5,18
1,2.332,5,21
1,2.348,5,23
1,2.371,5,28
1,2.392,6,34
1,2.415,6,40
1,2.435,6,46
1,2.458,7,56
1,2.481,7,63
1,2.504,7,68
1,2.526,7,72
1,2.548,7,78
1,2.565,7,80
1,2.585,7,83
1,2.606,7,85
1,2.631,7,86
1,2.646,6,89
1,2.663,6,91
1,2.680,6,93
1,2.696,6,94
1,2.713,6,96
1,2.730,6,99
1,2.748,6,101
1,2.770,5,102
1,2.789,5,104
1,2.815,4,108
1,2.830,4,112
1,2.846,4,116
1,2.863,3,117
1,2.879,3,120
1,2.896,3,122
1,2.913,2,126
1,2.930,2,128
1,2.946,2,131
1,2.963,2,134
1,2.980,2,138
1,2.996,2,140
1,3.013,2,142
1,3.030,2,144
1,3.046,2,148
1,3.063,2,150
1,3.080,2,154
1,3.096,2,155
1,3.113,2,158
1,3.130,2,160
1,3.147,2,162
1,3.180,2,164
1,3.196,2,166
1,3.213,2,169
1,3.230,3,171
1,3.246,3,172
1,3.263,3,174
1,3.280,3,176
1,3.296,3,178
1,3.313,3,180
1,3.329,3,181
1,3.346,3,183
1,3.363,3,186
1,3.382,2,188
1,3.399,2,191
1,3.418,2,194
1,3.431,2,195
1,3.452,2,197
1,3.475,2,200
1,3.498,2,204
1,3.522,1,206
1,3.543,1,209
1,3.565,0,212
1,3.585,0,214
1,3.605,0,216
1,3.627,0,218
1,3.647,0,220
1,3.670,0,224
1,3.708,0,228
1,3.729,0,230
1,3.749,0,232
1,3.764,0,234
1,3.780,0,236
1,3.796,0,238
1,3.813,0,239
1,3.830,0,242
1,3.847,0,244
1,3.864,0,246
1,3.880,0,247
1,3.896,0,250
1,3.913,0,251
1,3.930,0,253
1,3.947,0,254
1,3.963,0,255
1,3.980,1,256
4,0.001,-2,-284
4,0.179,-3,-283
4,0.196,-3,-281
4,0.212,-2,-279
4,0.229,-2,-276
4,0.246,-2,-270
4,0.262,-3,-267
4,0.300,-4,-254
4,0.312,-4,-246
4,0.328,-5,-242
4,0.345,-6,-233
4,0.361,-6,-223
4,0.378,-6,-214
4,0.395,-6,-209
4,0.415,-6,-196
4,0.435,-6,-188
4,0.445,-5,-184
4,0.461,-4,-176
4,0.478,-4,-172
4,0.495,-3,-166
4,0.511,-2,-159
4,0.528,-2,-152
4,0.544,-1,-146
4,0.561,0,-144
4,0.578,0,-138
4,0.595,0,-131
4,0.612,1,-126
4,0.631,1,-120
4,0.651,0,-114
4,0.672,0,-109
4,0.696,0,-100
4,0.723,0,-93
4,0.742,-1,-84
4,0.765,-1,-78
4,0.781,-2,-72
4,0.806,-2,-68
4,0.825,-2,-62
4,0.844,-3,-54
4,0.861,-3,-52
4,0.878,-4,-48
4,0.894,-4,-44
4,0.913,-4,-39
4,0.937,-6,-34
4,0.963,-6,-29
4,0.983,-7,-25
4,0.995,-8,-21
4,1.011,-8,-19
4,1.028,-8,-15
4,1.044,-8,-12
4,1.062,-9,-10
4,1.078,-9,-8
4,1.094,-10,-5
4,1.112,-10,-2
4,1.128,-10,1
4,1.144,-10,4
4,1.161,-10,5
4,1.178,-11,8
4,1.194,-12,10
4,1.213,-13,13
4,1.233,-14,16
4,1.246,-14,18
4,1.266,-15,21
4,1.280,-16,22
4,1.305,-16,24
4,1.373,-16,25
4,1.393,-17,25
4,1.411,-17,26
4,1.428,-18,26
4,1.461,-18,27
4,1.478,-19,28
4,1.494,-20,30
4,1.511,-20,32
4,1.528,-21,36
4,1.547,-22,40
4,1.571,-23,44
4,1.594,-24,48
4,1.611,-24,49
4,1.627,-25,52
4,1.644,-26,56
4,1.661,-26,58
4,1.678,-27,61
4,1.694,-28,62
4,1.711,-28,64
4,1.728,-29,66
4,1.744,-30,68
4,1.761,-30,70
4,1.778,-30,72
4,1.796,-31,76
4,1.816,-31,78
4,1.829,-32,80
4,1.852,-32,84
4,1.863,-32,86
4,1.886,-33,91
4,1.908,-34,96
4,1.930,-34,102
4,1.952,-35,106
4,1.975,-35,111
4,1.996,-35,118
4,2.020,-35,122
4,2.049,-36,130
4,2.068,-35,134
4,2.080,-35,136
4,2.102,-35,143
4,2.113,-35,145
4,2.136,-35,150
4,2.153,-35,154
4,2.163,-35,156
4,2.179,-34,160
4,2.201,-34,163
4,2.221,-35,169
4,2.249,-35,174
4,2.263,-35,176
4,2.283,-35,179
4,2.296,-36,182
4,2.319,-36,185
4,2.337,-36,189
4,2.363,-36,194
4,2.384,-36,198
4,2.403,-37,201
4,2.414,-37,202
4,2.433,-38,206
4,2.447,-38,210
4,2.473,-39,214
4,2.495,-40,218
4,2.516,-40,221
4,2.557,-40,227
4,2.582,-41,231
4,2.594,-41,232
4,2.610,-41,234
4,2.627,-42,236
4,2.643,-42,237
4,2.660,-42,239
4,2.677,-42,240
4,2.696,-42,242
4,2.714,-42,244
4,2.727,-42,246
4,2.744,-42,248
4,2.777,-42,250
4,2.794,-42,251
4,2.811,-42,252
5,0.000,-6,-280
5,0.162,-5,-280
5,0.217,-4,-280
5,0.429,-4,-279
5,0.500,-4,-278
5,0.532,-5,-276
5,0.549,-6,-275
5,0.566,-6,-270
