trial,time,x,y
2,0.002,-3,-276
2,0.019,-3,-270
2,0.036,-2,-263
2,0.067,-1,-252
2,0.085,1,-244
2,0.115,2,-233
2,0.133,3,-225
2,0.151,5,-217
2,0.178,7,-204
2,0.196,8,-196
2,0.215,10,-188
2,0.231,11,-179
2,0.248,12,-170
2,0.265,13,-166
2,0.281,13,-156
2,0.299,14,-147
2,0.316,15,-138
2,0.332,16,-130
2,0.349,16,-126
2,0.366,17,-118
2,0.382,17,-110
2,0.399,18,-101
2,0.416,19,-97
2,0.433,19,-88
2,0.449,19,-79
2,0.466,19,-70
2,0.482,19,-64
2,0.499,19,-54
2,0.516,19,-42
2,0.533,19,-29
2,0.549,18,-23
2,0.566,18,-10
2,0.582,17,2
2,0.600,17,14
2,0.616,16,26
2,0.632,15,32
2,0.650,15,42
2,0.666,15,52
2,0.682,14,62
2,0.699,13,66
2,0.716,13,74
2,0.732,13,82
2,0.749,13,91
2,0.766,13,95
2,0.782,13,104
2,0.799,13,114
2,0.816,12,124
2,0.832,12,129
2,0.849,11,140
2,0.866,11,151
2,0.882,10,162
2,0.899,9,174
2,0.916,8,180
2,0.933,7,192
2,0.949,5,204
2,0.966,5,210
2,0.982,3,220
2,0.999,2,229
2,1.017,1,236
2,1.032,1,244
2,1.049,1,246
2,1.066,0,251
2,1.082,0,256
2,1.099,1,258
2,1.116,1,260
2,1.133,1,262
2,1.149,1,265
2,1.165,1,268
2,1.199,2,271
2,1.215,2,273
2,1.232,2,275
2,1.249,2,276
2,1.266,2,278
2,1.282,2,280
2,1.299,2,281
3,0.000,-3,-286
3,0.085,-3,-285
3,0.103,-2,-284
3,0.120,-1,-281
3,0.137,-1,-276
3,0.153,0,-270
3,0.170,1,-268
3,0.201,3,-254
3,0.218,3,-250
3,0.236,5,-242
3,0.251,7,-234
3,0.269,8,-226
3,0.284,9,-222
3,0.302,11,-214
3,0.318,11,-206
3,0.337,13,-198
3,0.351,14,-191
3,0.371,15,-187
3,0.385,15,-179
3,0.402,17,-172
3,0.420,17,-165
3,0.435,18,-161
3,0.452,19,-154
3,0.468,19,-147
3,0.485,20,-140
3,0.501,21,-136
3,0.519,21,-128
3,0.534,21,-119
3,0.551,21,-110
3,0.567,21,-104
3,0.585,21,-93
3,0.601,21,-80
3,0.619,21,-66
3,0.649,20,-41
3,0.668,20,-22
3,0.684,20,-2
3,0.701,20,7
3,0.718,21,26
3,0.735,21,43
3,0.751,22,58
3,0.768,23,66
3,0.784,26,78
3,0.811,32,93
3,0.829,36,100
3,0.851,41,108
3,0.872,49,114
3,0.888,59,121
3,0.901,65,124
3,0.917,77,130
3,0.934,91,136
3,0.952,103,140
3,0.967,117,146
3,0.986,123,149
3,1.001,136,155
3,1.018,151,161
3,1.034,165,168
3,1.051,172,172
3,1.068,186,179
3,1.084,200,186
3,1.101,213,194
3,1.118,219,197
3,1.135,231,204
3,1.151,241,211
3,1.168,251,217
3,1.184,255,220
3,1.202,263,226
3,1.226,274,233
3,1.250,281,238
3,1.267,287,243
3,1.284,293,247
3,1.300,297,250
3,1.317,299,252
3,1.334,302,255
3,1.351,303,257
3,1.367,305,258
3,1.385,306,259
3,1.400,306,260
3,1.417,307,260
3,1.467,307,259
4,0.003,3,-266
4,0.034,7,-250
4,0.053,9,-245
4,0.082,15,-227
4,0.101,16,-222
4,0.117,19,-212
4,0.137,22,-202
4,0.150,25,-192
4,0.168,28,-182
4,0.184,29,-178
4,0.201,31,-171
4,0.217,33,-164
4,0.236,34,-158
4,0.251,35,-156
4,0.267,35,-151
4,0.284,36,-147
4,0.300,36,-143
4,0.317,37,-142
4,0.334,37,-138
4,0.351,37,-134
4,0.367,37,-132
4,0.384,38,-130
4,0.401,38,-126
4,0.419,39,-122
4,0.433,39,-116
4,0.451,39,-114
4,0.467,39,-106
4,0.486,39,-94
4,0.504,39,-78
4,0.517,38,-68
4,0.535,37,-47
4,0.550,33,-24
4,0.571,26,-2
4,0.584,23,8
4,0.601,17,30
4,0.617,9,50
4,0.639,0,69
4,0.658,-11,87
4,0.681,-28,110
4,0.700,-41,124
4,0.717,-53,136
4,0.733,-59,142
4,0.751,-70,152
4,0.767,-81,160
4,0.784,-93,168
4,0.800,-98,172
4,0.817,-109,178
4,0.833,-119,184
4,0.850,-131,191
4,0.867,-135,194
4,0.884,-146,200
4,0.901,-157,206
4,0.917,-167,212
4,0.934,-172,214
4,0.950,-182,220
