trial,time,x,y
1,0.000,-1,-276
1,0.267,-2,-275
1,0.284,-2,-274
1,0.300,-2,-273
1,0.317,-2,-271
1,0.334,-3,-269
1,0.368,-3,-261
1,0.382,-4,-259
1,0.399,-4,-256
1,0.416,-4,-253
1,0.433,-4,-248
1,0.450,-4,-243
1,0.466,-4,-241
1,0.483,-5,-237
1,0.500,-5,-233
1,0.516,-5,-229
1,0.533,-5,-227
1,0.549,-5,-223
1,0.566,-6,-219
1,0.583,-6,-216
1,0.599,-6,-213
1,0.616,-6,-211
1,0.633,-6,-209
1,0.649,-6,-205
1,0.666,-6,-203
1,0.683,-6,-201
1,0.699,-6,-199
1,0.716,-6,-197
1,0.733,-6,-194
1,0.749,-6,-192
1,0.766,-6,-191
1,0.782,-6,-188
1,0.799,-6,-185
1,0.816,-7,-183
1,0.832,-7,-182
1,0.849,-7,-180
1,0.866,-8,-178
1,0.883,-8,-177
1,0.901,-8,-175
1,0.917,-8,-173
1,0.936,-8,-171
1,0.951,-8,-168
1,0.972,-9,-165
1,0.991,-9,-162
1,1.000,-10,-161
1,1.020,-10,-158
1,1.034,-10,-155
1,1.054,-10,-153
1,1.067,-10,-151
1,1.086,-11,-147
1,1.100,-12,-147
1,1.120,-12,-145
1,1.134,-12,-143
1,1.153,-12,-141
1,1.188,-12,-139
1,1.205,-12,-138
1,1.217,-12,-136
1,1.238,-11,-134
1,1.251,-11,-133
1,1.272,-11,-131
1,1.284,-11,-128
1,1.305,-11,-125
1,1.317,-11,-124
1,1.340,-10,-120
1,1.349,-10,-119
1,1.366,-10,-115
1,1.382,-10,-113
1,1.399,-11,-109
1,1.416,-12,-104
1,1.433,-12,-98
1,1.449,-13,-95
1,1.466,-14,-89
1,1.482,-15,-85
1,1.499,-16,-79
1,1.516,-18,-74
1,1.532,-18,-71
1,1.549,-20,-66
1,1.566,-21,-61
1,1.582,-23,-56
1,1.599,-24,-53
1,1.615,-28,-49
1,1.632,-30,-44
1,1.649,-34,-40
1,1.665,-37,-36
1,1.682,-38,-34
1,1.699,-40,-30
1,1.716,-42,-27
1,1.732,-44,-23
1,1.749,-47,-21
1,1.766,-48,-19
1,1.782,-51,-15
1,1.799,-54,-13
1,1.815,-55,-10
1,1.832,-56,-9
1,1.849,-58,-7
1,1.865,-59,-4
1,1.882,-61,-1
1,1.899,-64,3
1,1.915,-65,5
1,1.933,-68,9
1,1.949,-70,12
1,1.966,-72,15
1,1.982,-74,17
1,1.999,-76,21
1,2.015,-78,25
1,2.032,-80,29
1,2.049,-81,33
1,2.065,-82,35
1,2.082,-84,41
1,2.099,-87,47
1,2.115,-89,51
1,2.132,-91,56
1,2.149,-92,59
1,2.165,-94,63
1,2.182,-96,68
1,2.199,-98,73
1,2.215,-98,75
1,2.232,-101,80
1,2.249,-104,83
1,2.265,-106,86
1,2.282,-108,88
1,2.299,-109,89
1,2.315,-111,91
1,2.332,-113,93
1,2.349,-114,95
1,2.366,-116,96
1,2.382,-116,97
1,2.398,-118,99
1,2.414,-118,102
1,2.431,-120,105
1,2.448,-120,107
1,2.464,-122,112
1,2.481,-123,117
1,2.498,-124,123
1,2.516,-125,130
1,2.533,-126,134
1,2.549,-127,143
1,2.567,-128,154
1,2.582,-128,166
1,2.599,-127,173
1,2.615,-126,187
1,2.632,-123,203
1,2.649,-120,217
1,2.666,-115,232
2,0.002,-6,-291
2,0.082,-6,-290
2,0.099,-6,-289
2,0.149,-6,-288
2,0.165,-6,-286
2,0.184,-5,-283
2,0.202,-5,-279
2,0.218,-5,-275
2,0.232,-5,-273
2,0.249,-4,-265
2,0.283,-4,-245
2,0.298,-4,-239
2,0.314,-4,-227
2,0.331,-4,-216
2,0.347,-4,-206
2,0.364,-4,-196
2,0.380,-4,-191
2,0.397,-3,-182
2,0.414,-3,-174
2,0.431,-3,-166
2,0.447,-3,-162
2,0.464,-2,-153
2,0.480,-2,-145
2,0.497,-2,-137
2,0.514,-2,-129
2,0.530,-2,-125
2,0.547,-2,-117
2,0.564,-2,-108
2,0.581,-2,-101
2,0.597,-1,-97
2,0.614,0,-89
2,0.630,0,-83
2,0.647,0,-77
2,0.664,0,-71
2,0.680,1,-68
2,0.697,1,-62
2,0.714,2,-56
2,0.730,2,-51
2,0.748,3,-45
2,0.764,3,-42
2,0.779,4,-35
2,0.797,6,-29
2,0.814,7,-22
2,0.830,8,-19
2,0.847,9,-12
2,0.864,10,-5
2,0.880,12,0
2,0.897,13,5
2,0.914,13,7
2,0.930,14,11
2,0.947,15,15
2,0.964,16,19
2,0.980,18,23
2,0.997,18,26
2,1.013,20,30
2,1.030,22,35
2,1.047,24,41
2,1.064,26,43
2,1.080,28,47
2,1.097,30,51
2,1.114,31,55
2,1.130,32,59
2,1.147,33,60
2,1.164,34,63
2,1.180,34,65
2,1.197,35,67
2,1.214,36,69
2,1.230,36,70
2,1.247,37,73
2,1.264,38,76
2,1.280,40,81
2,1.297,42,83
2,1.314,46,89
2,1.330,50,96
2,1.347,53,103
2,1.364,58,111
2,1.380,60,115
2,1.397,65,125
2,1.414,70,135
2,1.430,74,146
2,1.447,80,159
2,1.463,82,165
2,1.480,88,177
2,1.497,94,188
2,1.514,101,199
2,1.530,104,203
2,1.547,111,213
2,1.563,118,221
2,1.584,126,230
2,1.599,143,249
2,1.614,159,265
