trial,time,x,y
2,0.000,-1,-275
2,0.101,-1,-276
2,0.185,-1,-277
2,0.251,-1,-278
2,0.351,-1,-279
2,0.734,0,-279
2,0.751,0,-280
2,1.101,1,-280
2,1.318,1,-281
2,1.601,1,-277
2,1.617,1,-276
2,1.634,1,-275
2,1.651,1,-274
2,1.667,0,-272
2,1.701,0,-271
2,1.717,0,-270
2,1.750,0,-269
2,1.783,0,-266
2,1.799,0,-264
2,1.816,-1,-262
2,1.833,-1,-259
2,1.850,-1,-256
2,1.867,-1,-254
2,1.884,-2,-252
2,1.901,-2,-249
2,1.917,-3,-245
2,1.933,-3,-240
2,1.950,-3,-238
2,1.966,-4,-234
2,1.983,-5,-230
2,2.000,-5,-225
2,2.016,-5,-222
2,2.033,-5,-217
2,2.050,-5,-213
2,2.066,-5,-208
2,2.083,-5,-203
2,2.100,-5,-200
2,2.116,-5,-195
2,2.133,-5,-188
2,2.149,-5,-182
2,2.166,-5,-178
2,2.183,-5,-171
2,2.200,-5,-163
2,2.217,-5,-156
2,2.233,-5,-152
2,2.250,-5,-144
2,2.266,-5,-138
2,2.283,-5,-130
2,2.300,-5,-127
2,2.316,-5,-121
2,2.333,-5,-114
2,2.350,-5,-108
2,2.366,-5,-105
2,2.383,-5,-100
2,2.400,-5,-94
2,2.416,-5,-89
2,2.433,-5,-86
2,2.450,-5,-82
2,2.466,-5,-76
2,2.484,-5,-70
2,2.500,-5,-68
2,2.517,-6,-62
2,2.533,-6,-56
2,2.550,-6,-48
2,2.566,-6,-44
2,2.583,-6,-36
2,2.600,-7,-28
2,2.616,-7,-19
2,2.633,-7,-14
2,2.650,-7,-6
2,2.666,-7,2
2,2.683,-7,9
2,2.700,-6,12
2,2.716,-6,18
2,2.733,-6,24
2,2.749,-5,30
2,2.766,-5,33
2,2.783,-5,39
2,2.800,-5,44
2,2.817,-5,50
2,2.833,-5,54
2,2.850,-5,56
2,2.866,-5,61
2,2.883,-5,66
2,2.899,-5,70
2,2.916,-5,72
2,2.933,-5,76
2,2.950,-5,81
2,2.966,-5,84
2,2.982,-5,86
2,3.000,-5,89
2,3.016,-4,93
2,3.033,-4,96
2,3.049,-4,98
2,3.066,-4,101
2,3.083,-4,104
2,3.099,-4,106
2,3.116,-3,108
2,3.133,-3,110
2,3.150,-3,113
2,3.166,-3,116
2,3.183,-3,117
2,3.200,-3,120
2,3.216,-2,122
2,3.233,-2,125
2,3.249,-1,126
2,3.266,-1,128
2,3.282,0,131
