trial,time,x,y
1,0.000,-4,-281
1,0.171,-4,-279
1,0.188,-4,-277
1,0.205,-4,-276
1,0.221,-4,-274
1,0.238,-4,-273
1,0.254,-4,-272
1,0.271,-4,-271
1,0.305,-4,-269
1,0.354,-4,-267
1,0.385,-4,-266
1,0.402,-4,-265
1,0.436,-5,-264
1,0.452,-5,-263
1,0.485,-5,-262
1,0.502,-5,-261
1,0.519,-5,-260
1,0.535,-5,-259
1,0.570,-5,-257
1,0.600,-4,-254
1,0.620,-4,-252
1,0.635,-4,-251
1,0.652,-4,-249
1,0.668,-4,-247
1,0.702,-4,-245
1,0.719,-4,-243
1,0.735,-4,-241
1,0.766,-4,-239
1,0.785,-3,-236
1,0.802,-3,-234
1,0.818,-3,-233
1,0.836,-3,-231
1,0.852,-2,-229
1,0.869,-2,-228
1,0.885,-2,-227
1,0.906,-2,-225
1,0.935,-2,-223
1,0.968,-2,-221
1,0.985,-3,-219
1,1.001,-3,-216
1,1.018,-3,-214
1,1.035,-3,-211
1,1.052,-4,-209
1,1.068,-4,-205
1,1.086,-4,-201
1,1.101,-4,-199
1,1.118,-4,-195
1,1.134,-4,-191
1,1.151,-4,-188
1,1.168,-4,-187
1,1.185,-4,-183
1,1.202,-4,-179
1,1.218,-4,-175
1,1.235,-3,-172
1,1.252,-3,-165
1,1.269,-3,-157
1,1.285,-2,-150
1,1.301,-3,-146
1,1.318,-3,-139
1,1.335,-4,-131
1,1.352,-4,-121
1,1.368,-5,-116
1,1.385,-6,-106
1,1.404,-8,-95
1,1.433,-11,-76
1,1.451,-12,-61
1,1.469,-12,-45
1,1.485,-12,-31
1,1.501,-12,-17
1,1.518,-12,-9
1,1.535,-11,7
1,1.551,-10,23
1,1.568,-9,39
1,1.585,-8,47
1,1.601,-6,61
1,1.619,-4,77
1,1.635,-2,89
1,1.651,-1,95
1,1.668,0,105
1,1.685,2,117
1,1.701,3,129
1,1.718,6,141
1,1.735,6,147
1,1.751,7,156
1,1.768,8,165
1,1.785,9,173
1,1.816,11,187
1,1.834,12,195
1,1.851,12,203
1,1.868,12,207
1,1.885,13,213
1,1.902,14,220
1,1.918,14,226
1,1.937,15,232
1,1.951,16,234
1,1.968,16,239
1,1.984,16,243
1,2.001,16,245
1,2.018,16,248
1,2.034,17,251
1,2.051,18,255
2,0.000,-13,-282
2,0.036,-12,-281
2,0.053,-11,-281
2,0.071,-10,-281
2,0.103,-10,-279
2,0.137,-9,-276
2,0.154,-8,-273
2,0.171,-8,-269
2,0.203,-7,-263
2,0.225,-6,-258
2,0.248,-5,-250
2,0.266,-5,-246
2,0.283,-4,-241
2,0.299,-4,-239
2,0.317,-3,-234
2,0.334,-2,-230
2,0.350,-2,-226
2,0.367,-1,-224
2,0.383,0,-220
2,0.400,0,-216
2,0.417,2,-212
2,0.433,2,-209
2,0.450,3,-207
2,0.467,5,-203
2,0.483,6,-198
2,0.501,7,-194
2,0.516,8,-192
2,0.533,8,-189
2,0.549,9,-185
2,0.566,10,-181
2,0.582,10,-180
2,0.599,10,-175
2,0.616,10,-171
2,0.632,10,-167
2,0.649,10,-165
2,0.666,8,-158
2,0.682,7,-151
2,0.699,5,-143
2,0.717,3,-134
2,0.733,2,-130
2,0.750,0,-121
2,0.766,-2,-113
2,0.783,-4,-105
2,0.800,-6,-101
2,0.817,-9,-94
2,0.834,-13,-87
2,0.851,-17,-79
2,0.867,-20,-75
2,0.884,-24,-69
2,0.901,-29,-61
2,0.917,-35,-53
2,0.934,-41,-45
2,0.951,-44,-41
2,0.968,-52,-33
2,0.984,-60,-23
2,1.001,-70,-15
2,1.017,-74,-11
2,1.034,-84,-2
2,1.051,-94,7
2,1.067,-104,15
2,1.084,-110,19
2,1.101,-118,26
2,1.117,-128,33
2,1.134,-137,40
2,1.150,-142,43
2,1.170,-152,51
2,1.184,-161,58
2,1.201,-170,65
2,1.217,-175,68
2,1.234,-184,74
2,1.251,-192,80
2,1.267,-201,87
2,1.284,-206,90
2,1.301,-214,97
2,1.318,-223,105
2,1.334,-230,113
2,1.353,-237,120
2,1.367,-240,123
2,1.385,-247,131
2,1.401,-254,138
2,1.418,-260,145
2,1.434,-263,148
2,1.451,-269,153
2,1.467,-275,158
2,1.488,-281,163
2,1.515,-290,171
2,1.534,-295,176
2,1.550,-298,178
2,1.567,-303,183
2,1.584,-308,189
2,1.600,-312,194
2,1.617,-314,197
2,1.634,-318,205
2,1.650,-322,214
2,1.667,-325,223
2,1.687,-326,233
2,1.715,-327,244
2,1.734,-327,249
2,1.750,-328,253
2,1.767,-328,255
2,1.784,-328,259
2,1.800,-328,263
2,1.817,-328,266
2,1.834,-328,268
2,1.851,-328,270
2,1.867,-328,271
3,0.000,-7,-279
3,0.051,-6,-277
3,0.068,-6,-274
3,0.086,-5,-271
3,0.103,-4,-269
3,0.135,-3,-257
3,0.152,-2,-249
3,0.168,-2,-245
3,0.185,-1,-237
3,0.201,0,-229
3,0.218,1,-221
3,0.235,1,-218
3,0.252,2,-212
3,0.275,3,-203
3,0.296,4,-197
3,0.316,4,-191
3,0.334,5,-186
3,0.351,6,-181
3,0.367,6,-179
3,0.384,6,-174
3,0.401,6,-169
3,0.418,7,-165
3,0.434,8,-163
3,0.451,8,-159
3,0.468,8,-155
3,0.484,8,-152
3,0.501,8,-151
3,0.520,8,-147
3,0.535,8,-144
3,0.551,8,-141
3,0.567,8,-139
3,0.585,8,-135
3,0.601,7,-133
3,0.618,7,-130
3,0.635,7,-127
3,0.651,7,-126
3,0.668,7,-123
3,0.684,6,-120
3,0.701,6,-117
3,0.717,6,-116
3,0.734,5,-113
3,0.751,5,-110
3,0.767,4,-107
3,0.784,4,-106
3,0.801,4,-103
3,0.818,3,-100
3,0.834,3,-97
3,0.849,3,-96
3,0.867,2,-93
3,0.884,2,-91
3,0.901,2,-88
3,0.918,2,-87
3,0.934,1,-84
3,0.951,1,-81
3,0.967,0,-79
3,0.984,0,-76
3,1.002,0,-75
3,1.018,0,-73
3,1.034,-1,-70
3,1.051,-1,-67
3,1.068,-2,-66
3,1.084,-2,-63
3,1.101,-2,-61
3,1.117,-2,-59
3,1.134,-3,-57
3,1.151,-4,-55
3,1.167,-4,-53
3,1.184,-5,-51
3,1.201,-5,-49
3,1.217,-6,-47
3,1.234,-6,-44
3,1.251,-8,-41
3,1.267,-8,-40
3,1.284,-10,-37
3,1.301,-11,-35
3,1.317,-12,-33
3,1.334,-13,-32
3,1.351,-15,-29
3,1.367,-18,-27
3,1.384,-19,-24
3,1.401,-21,-21
3,1.417,-22,-19
3,1.434,-24,-16
3,1.451,-28,-12
3,1.467,-31,-9
3,1.484,-36,-5
3,1.501,-40,1
3,1.517,-45,5
3,1.534,-50,9
3,1.551,-53,11
3,1.568,-58,16
3,1.584,-64,21
3,1.601,-70,25
3,1.617,-74,27
3,1.635,-81,33
3,1.651,-89,39
3,1.667,-96,43
3,1.684,-101,47
3,1.701,-110,53
3,1.717,-120,59
3,1.734,-129,65
3,1.751,-134,69
3,1.767,-144,75
3,1.784,-154,81
3,1.801,-165,87
3,1.817,-170,89
3,1.834,-180,95
3,1.852,-191,101
3,1.868,-202,106
3,1.884,-212,113
3,1.914,-227,122
3,1.932,-236,129
3,1.949,-240,133
3,1.966,-248,140
3,1.984,-254,147
3,2.001,-260,153
3,2.017,-266,159
3,2.034,-268,161
3,2.051,-273,167
3,2.067,-278,172
3,2.084,-283,177
3,2.100,-286,180
3,2.117,-290,185
3,2.134,-294,191
3,2.150,-298,197
3,2.167,-300,201
3,2.184,-304,210
3,2.200,-306,220
3,2.217,-308,231
3,2.237,-310,241
3,2.265,-311,256
3,2.284,-312,264
3,2.300,-312,267
3,2.317,-311,274
4,0.001,-3,-277
4,0.035,-3,-275
4,0.053,-2,-274
4,0.070,-2,-271
4,0.086,-2,-270
4,0.103,-1,-267
4,0.134,-1,-256
4,0.152,0,-253
4,0.167,0,-247
4,0.184,0,-241
4,0.200,0,-239
4,0.217,0,-233
4,0.235,0,-225
4,0.251,0,-217
4,0.268,0,-210
4,0.284,0,-207
4,0.301,0,-200
4,0.318,0,-193
4,0.336,1,-188
4,0.351,1,-185
4,0.368,1,-179
4,0.384,2,-173
4,0.401,2,-168
4,0.418,2,-165
4,0.434,3,-159
4,0.451,3,-154
4,0.468,4,-149
4,0.484,4,-147
4,0.501,4,-141
4,0.518,4,-137
4,0.534,4,-133
4,0.551,4,-131
4,0.568,3,-126
4,0.584,3,-122
4,0.601,3,-118
4,0.617,2,-116
4,0.634,2,-113
4,0.651,2,-110
4,0.667,2,-107
4,0.684,1,-105
4,0.701,1,-101
4,0.718,0,-97
4,0.734,0,-95
4,0.751,0,-91
4,0.767,0,-90
4,0.784,0,-87
4,0.801,-1,-84
4,0.817,-1,-83
4,0.834,-2,-80
4,0.851,-2,-77
4,0.867,-2,-75
4,0.885,-2,-73
4,0.901,-2,-71
4,0.918,-2,-69
4,0.934,-2,-65
4,0.951,-2,-63
4,0.967,-2,-61
4,0.984,-2,-59
4,1.001,-2,-56
4,1.018,-2,-53
4,1.034,-2,-52
4,1.051,-2,-49
4,1.067,-2,-45
4,1.084,-1,-42
4,1.101,-1,-41
4,1.117,0,-38
4,1.134,0,-35
4,1.151,1,-32
4,1.167,2,-30
4,1.184,3,-27
4,1.201,4,-23
4,1.217,6,-19
4,1.234,6,-18
4,1.250,8,-14
4,1.267,10,-10
4,1.284,12,-6
4,1.301,12,-4
4,1.317,15,0
4,1.334,18,4
4,1.351,20,8
4,1.367,22,10
4,1.384,26,15
4,1.401,30,18
4,1.417,33,22
4,1.434,34,23
4,1.451,38,27
4,1.467,42,31
4,1.484,46,35
4,1.501,50,40
4,1.517,52,42
4,1.534,56,46
4,1.551,60,51
4,1.567,64,55
4,1.584,66,57
4,1.601,71,61
4,1.617,76,67
4,1.634,78,69
4,1.650,84,74
4,1.667,88,79
4,1.684,94,85
4,1.700,99,91
4,1.717,102,94
4,1.734,108,101
4,1.751,116,110
4,1.767,124,119
4,1.784,128,125
4,1.800,138,136
4,1.817,147,147
4,1.834,155,157
4,1.850,159,163
4,1.867,166,174
4,1.884,174,186
4,1.900,182,199
4,1.917,185,207
4,1.934,191,220
4,1.951,196,233
4,1.982,203,253
4,2.001,206,267
4,2.017,210,279
4,2.034,214,290
5,0.000,-4,-281
5,0.086,-4,-277
5,0.103,-3,-272
5,0.120,-3,-265
5,0.152,-2,-255
5,0.170,-2,-249
5,0.199,-2,-239
5,0.217,-1,-233
5,0.235,0,-227
5,0.255,0,-223
5,0.266,0,-221
5,0.283,0,-215
5,0.300,2,-210
5,0.317,2,-207
5,0.334,3,-203
5,0.351,4,-197
5,0.367,5,-193
5,0.383,5,-191
5,0.400,6,-188
5,0.417,7,-185
5,0.434,8,-181
5,0.450,8,-177
5,0.467,8,-176
5,0.484,9,-172
5,0.500,10,-169
5,0.517,10,-165
5,0.534,10,-164
5,0.551,10,-161
5,0.567,10,-157
5,0.584,10,-154
5,0.600,10,-152
5,0.618,10,-149
5,0.634,10,-145
5,0.651,10,-142
5,0.667,10,-140
5,0.684,9,-136
5,0.700,9,-133
5,0.717,8,-129
5,0.734,8,-128
5,0.750,8,-125
5,0.767,8,-121
5,0.783,8,-117
5,0.800,8,-115
5,0.817,8,-112
5,0.834,7,-109
5,0.850,6,-105
5,0.867,6,-103
5,0.884,6,-99
5,0.900,5,-95
5,0.917,4,-92
5,0.933,4,-90
5,0.950,3,-85
5,0.967,2,-81
5,0.984,2,-77
5,1.000,2,-75
5,1.017,0,-71
5,1.034,0,-65
5,1.050,-1,-61
5,1.067,-2,-55
5,1.084,-2,-53
5,1.100,-3,-48
5,1.117,-4,-43
5,1.133,-4,-37
5,1.150,-4,-35
5,1.167,-5,-29
5,1.184,-6,-23
5,1.200,-7,-17
5,1.217,-8,-15
5,1.235,-8,-9
5,1.250,-8,-3
5,1.267,-9,3
5,1.283,-9,5
5,1.300,-9,11
5,1.317,-9,17
5,1.333,-9,21
5,1.350,-9,23
5,1.367,-9,27
5,1.383,-9,31
5,1.400,-10,35
5,1.417,-10,37
5,1.433,-10,41
5,1.450,-10,45
5,1.467,-11,50
5,1.483,-12,53
5,1.500,-12,58
5,1.518,-14,63
5,1.533,-14,70
5,1.550,-15,73
5,1.566,-16,79
5,1.583,-17,87
5,1.600,-17,94
5,1.617,-18,98
5,1.633,-18,105
5,1.650,-18,112
5,1.667,-19,119
5,1.683,-20,125
5,1.700,-20,128
5,1.717,-20,135
5,1.733,-20,141
5,1.750,-20,147
5,1.766,-20,150
5,1.784,-20,157
5,1.800,-20,165
5,1.817,-19,174
5,1.833,-18,178
5,1.850,-18,185
5,1.866,-17,193
5,1.883,-16,205
5,1.900,-14,211
5,1.916,-10,226
5,1.936,-8,239
5,1.950,-8,247
5,1.967,-8,250
6,0.001,-19,-278
6,0.018,-18,-277
6,0.035,-18,-275
6,0.053,-17,-274
6,0.070,-16,-271
6,0.087,-15,-267
6,0.118,-12,-253
6,0.136,-10,-243
6,0.151,-8,-233
6,0.168,-6,-225
6,0.184,-5,-221
6,0.202,-4,-213
6,0.218,-3,-206
6,0.235,-2,-199
6,0.260,0,-192
6,0.277,1,-187
6,0.299,2,-181
6,0.317,4,-175
6,0.335,5,-171
6,0.366,8,-161
6,0.385,8,-159
6,0.402,8,-154
6,0.418,9,-149
6,0.435,10,-145
6,0.451,10,-142
6,0.468,11,-138
6,0.484,11,-134
6,0.515,12,-127
6,0.534,12,-123
6,0.552,12,-119
6,0.569,12,-115
6,0.585,11,-110
6,0.601,11,-108
6,0.619,11,-104
6,0.634,11,-99
6,0.656,11,-95
6,0.667,11,-92
6,0.685,11,-87
6,0.701,11,-83
6,0.717,11,-79
6,0.734,11,-77
6,0.751,11,-73
6,0.767,11,-68
6,0.785,12,-63
6,0.801,12,-61
6,0.818,12,-58
6,0.838,12,-54
6,0.851,12,-50
6,0.868,12,-48
6,0.884,12,-43
6,0.901,12,-39
6,0.917,13,-34
6,0.935,13,-31
6,0.950,14,-27
6,0.968,14,-23
6,0.984,15,-18
6,1.001,16,-15
6,1.017,16,-11
6,1.034,17,-7
6,1.051,18,-2
6,1.067,20,3
6,1.084,21,5
6,1.101,23,9
6,1.117,26,13
6,1.134,28,17
6,1.151,29,19
6,1.168,31,23
6,1.184,34,27
6,1.201,36,31
6,1.223,38,35
6,1.243,41,39
6,1.266,45,45
6,1.284,46,47
6,1.300,49,51
6,1.318,52,55
6,1.334,54,59
6,1.350,55,61
6,1.367,57,65
6,1.384,59,68
6,1.400,62,72
6,1.417,63,74
6,1.434,65,78
6,1.450,67,82
6,1.467,69,87
6,1.484,70,89
6,1.500,71,93
6,1.517,72,97
6,1.534,73,101
6,1.550,74,103
6,1.567,75,108
6,1.584,76,114
6,1.600,79,121
6,1.617,81,125
6,1.634,84,131
6,1.651,86,139
6,1.668,89,145
6,1.684,91,150
6,1.701,92,153
6,1.717,93,159
6,1.734,95,165
6,1.750,97,172
6,1.768,98,176
6,1.784,100,183
6,1.800,102,193
6,1.817,104,202
6,1.834,105,207
6,1.851,107,219
6,1.868,108,231
6,1.896,109,251
6,1.917,109,265
6,1.934,110,280
6,1.950,111,293
6,1.967,112,300
7,0.000,-8,-277
7,0.036,-7,-275
7,0.054,-6,-273
7,0.070,-6,-270
7,0.087,-4,-264
7,0.118,-4,-245
7,0.140,-3,-236
7,0.158,-3,-227
7,0.169,-2,-223
7,0.199,-2,-210
7,0.218,-2,-201
7,0.234,-2,-191
7,0.251,-2,-183
7,0.267,-2,-179
7,0.284,-2,-172
7,0.301,-2,-166
7,0.317,-2,-159
7,0.334,-1,-157
7,0.357,-1,-148
7,0.374,-1,-143
7,0.383,-1,-140
7,0.400,-1,-137
7,0.416,-1,-132
7,0.433,-2,-127
7,0.450,-2,-121
7,0.467,-2,-117
7,0.484,-2,-115
7,0.501,-3,-110
7,0.518,-3,-105
7,0.534,-4,-100
7,0.551,-4,-97
7,0.568,-4,-92
7,0.584,-5,-87
7,0.601,-5,-83
7,0.618,-5,-80
7,0.634,-5,-75
7,0.651,-5,-69
7,0.667,-4,-63
7,0.684,-4,-60
7,0.701,-2,-55
7,0.718,-1,-49
7,0.734,1,-43
7,0.751,2,-41
7,0.768,6,-35
7,0.784,8,-30
7,0.801,11,-25
7,0.817,12,-23
7,0.834,15,-18
7,0.851,18,-14
7,0.867,20,-10
7,0.884,22,-7
7,0.901,26,-4
7,0.918,29,-1
7,0.934,32,3
7,0.951,34,6
7,0.969,36,7
7,0.985,40,11
7,1.001,44,15
7,1.017,49,18
7,1.034,51,20
7,1.051,56,23
7,1.067,60,27
7,1.086,66,30
7,1.101,68,32
7,1.117,73,36
7,1.134,80,40
7,1.151,86,44
7,1.167,90,47
7,1.184,98,51
7,1.201,105,57
7,1.219,114,63
7,1.249,126,71
7,1.268,136,78
7,1.284,145,85
7,1.301,150,88
7,1.317,159,95
7,1.334,168,101
7,1.350,176,107
7,1.367,180,111
7,1.384,187,117
7,1.401,195,123
7,1.417,202,129
7,1.434,208,136
7,1.450,212,139
7,1.467,218,147
7,1.484,224,155
7,1.501,231,165
7,1.517,234,169
7,1.534,240,180
7,1.550,246,191
7,1.567,252,202
7,1.584,256,207
7,1.600,260,218
7,1.617,264,229
7,1.649,268,245
7,1.667,271,255
7,1.684,273,266
7,1.700,274,277
7,1.717,274,282
7,1.734,274,291
7,1.750,274,298
8,0.000,-14,-273
8,0.017,-12,-271
8,0.035,-11,-271
8,0.053,-10,-269
8,0.088,-10,-263
8,0.116,-10,-251
8,0.135,-10,-241
8,0.151,-8,-233
8,0.168,-8,-229
8,0.185,-8,-222
8,0.201,-6,-215
8,0.218,-6,-207
8,0.235,-5,-203
8,0.252,-4,-197
8,0.268,-3,-190
8,0.285,-2,-183
8,0.301,-2,-181
8,0.318,-2,-175
8,0.337,0,-169
8,0.351,0,-165
8,0.368,1,-160
8,0.385,1,-157
8,0.402,2,-153
8,0.418,2,-148
8,0.435,4,-143
8,0.451,4,-141
8,0.468,5,-136
8,0.485,6,-131
8,0.501,7,-126
8,0.518,8,-123
8,0.535,9,-119
8,0.551,10,-113
8,0.568,11,-107
8,0.584,12,-105
8,0.601,13,-99
8,0.618,15,-94
8,0.635,17,-89
8,0.651,18,-86
8,0.668,22,-80
8,0.685,26,-75
8,0.701,30,-69
8,0.718,32,-67
8,0.735,36,-62
8,0.752,40,-57
8,0.768,45,-52
8,0.785,47,-50
8,0.801,51,-46
8,0.818,56,-41
8,0.835,61,-37
8,0.851,63,-35
8,0.870,68,-31
8,0.885,75,-25
8,0.903,83,-19
8,0.918,87,-16
8,0.935,95,-9
8,0.952,104,-2
8,0.968,114,5
8,0.984,124,13
8,1.001,129,17
8,1.018,139,24
8,1.034,148,31
8,1.051,159,39
8,1.071,168,46
8,1.094,178,53
8,1.114,188,61
8,1.133,196,68
8,1.150,206,75
8,1.167,215,83
8,1.184,224,90
8,1.200,228,93
8,1.217,238,101
8,1.234,247,109
8,1.251,257,117
8,1.267,262,121
8,1.284,272,130
8,1.301,281,138
8,1.318,289,146
8,1.334,293,150
8,1.351,300,159
8,1.368,308,167
8,1.385,315,176
8,1.401,321,185
8,1.418,324,189
8,1.434,328,199
8,1.451,333,208
8,1.468,336,217
8,1.484,338,222
8,1.504,340,232
8,1.532,342,251
8,1.552,343,271
8,1.568,343,277
8,1.585,344,289
8,1.601,345,300
8,1.618,347,300
9,0.001,-15,-289
9,0.038,-14,-287
9,0.070,-13,-285
9,0.087,-12,-282
9,0.104,-10,-277
9,0.120,-9,-271
9,0.137,-8,-268
9,0.168,-6,-257
9,0.185,-6,-254
9,0.201,-5,-247
9,0.218,-4,-238
9,0.234,-3,-229
