trial,time,x,y
3,0.001,-13,-270
3,0.019,-13,-268
3,0.052,-12,-262
3,0.072,-12,-260
3,0.091,-12,-257
3,0.103,-12,-256
3,0.119,-11,-254
3,0.135,-11,-252
3,0.169,-10,-250
3,0.185,-9,-249
3,0.202,-9,-248
3,0.218,-8,-247
3,0.235,-8,-246
3,0.253,-8,-245
3,0.269,-7,-244
3,0.335,-7,-243
3,0.373,-7,-242
3,0.385,-7,-241
3,0.401,-7,-240
3,0.417,-7,-239
3,0.434,-6,-237
3,0.451,-6,-236
3,0.467,-6,-234
3,0.484,-6,-232
3,0.501,-6,-228
3,0.518,-4,-223
3,0.534,-4,-216
3,0.551,-2,-208
3,0.567,-2,-202
3,0.584,0,-192
3,0.601,1,-180
3,0.618,2,-170
3,0.634,2,-164
3,0.651,3,-155
3,0.667,3,-146
3,0.684,3,-138
3,0.701,3,-135
3,0.718,3,-128
3,0.735,3,-123
3,0.751,3,-118
3,0.767,3,-116
3,0.785,3,-112
3,0.810,3,-106
3,0.829,3,-104
3,0.852,4,-101
3,0.871,4,-98
3,0.888,4,-96
3,0.905,4,-94
3,0.928,5,-92
3,0.951,5,-90
3,0.974,5,-87
3,1.000,6,-83
3,1.019,6,-80
3,1.036,6,-78
3,1.057,6,-76
3,1.079,7,-74
3,1.102,7,-70
3,1.119,8,-68
3,1.134,8,-66
3,1.151,8,-64
3,1.167,9,-62
3,1.184,9,-60
3,1.201,10,-59
3,1.218,10,-57
3,1.234,11,-55
3,1.251,11,-54
3,1.267,12,-52
3,1.284,12,-50
3,1.301,14,-47
3,1.317,14,-45
3,1.334,14,-44
3,1.351,15,-42
3,1.367,15,-40
3,1.384,16,-38
3,1.400,16,-37
3,1.417,16,-35
3,1.434,17,-33
3,1.450,18,-30
3,1.484,18,-28
3,1.500,19,-26
3,1.517,19,-24
3,1.534,19,-23
3,1.550,20,-21
3,1.567,20,-19
3,1.584,20,-18
3,1.600,20,-17
3,1.617,20,-15
3,1.634,20,-13
3,1.650,20,-11
3,1.667,20,-10
3,1.684,19,-8
3,1.701,18,-5
3,1.717,16,-3
3,1.733,16,-2
3,1.750,14,0
3,1.767,12,3
3,1.784,10,6
3,1.802,8,8
3,1.824,6,12
3,1.836,6,13
3,1.855,5,16
3,1.868,4,17
3,1.886,3,19
3,1.903,1,22
3,1.923,-1,26
3,1.942,-3,29
3,1.952,-4,31
3,1.968,-6,34
3,1.988,-8,37
3,2.000,-10,38
3,2.017,-11,41
3,2.034,-12,44
3,2.050,-14,48
3,2.066,-14,49
3,2.084,-15,52
3,2.101,-16,54
3,2.117,-16,56
3,2.133,-17,58
3,2.150,-18,59
3,2.167,-18,62
3,2.183,-20,64
3,2.200,-20,66
3,2.217,-21,68
3,2.234,-22,70
3,2.253,-23,72
3,2.268,-24,74
3,2.286,-25,75
3,2.301,-26,77
3,2.319,-27,80
3,2.335,-29,82
3,2.353,-30,85
3,2.368,-30,87
3,2.387,-32,90
3,2.404,-32,92
3,2.418,-33,94
3,2.447,-34,97
3,2.468,-35,102
3,2.483,-35,103
3,2.500,-36,105
3,2.517,-37,108
3,2.533,-38,110
3,2.550,-38,111
3,2.567,-39,113
3,2.583,-40,115
3,2.600,-41,117
3,2.617,-42,118
3,2.633,-43,120
3,2.650,-44,122
3,2.668,-45,124
3,2.683,-46,125
3,2.700,-46,127
3,2.717,-47,129
3,2.733,-48,130
3,2.751,-48,132
3,2.767,-49,133
3,2.783,-50,135
3,2.800,-51,137
3,2.818,-51,138
3,2.834,-52,140
3,2.853,-52,142
3,2.871,-53,144
3,2.902,-53,146
3,2.918,-54,148
3,2.937,-54,149
3,2.952,-54,152
3,2.983,-56,154
3,3.001,-56,156
3,3.017,-56,157
3,3.033,-57,160
3,3.050,-58,162
3,3.067,-58,164
3,3.083,-59,165
3,3.100,-60,168
