trial,time,x,y
1,0.000,0,-281
1,0.255,1,-282
1,0.321,1,-281
1,0.387,0,-279
1,0.404,0,-278
1,0.421,0,-275
1,0.437,0,-274
1,0.455,0,-271
1,0.471,-1,-267
1,0.501,-1,-261
1,0.526,-1,-257
1,0.546,-1,-255
1,0.567,-1,-253
1,0.584,-1,-252
1,0.600,-1,-251
1,0.617,-1,-249
1,0.650,0,-249
1,0.666,0,-248
1,0.733,0,-247
1,0.768,1,-247
1,0.835,1,-246
1,0.866,1,-245
1,0.885,1,-243
1,0.901,2,-241
1,0.923,2,-238
1,0.945,2,-236
1,0.966,3,-233
1,0.987,3,-231
1,1.006,3,-229
1,1.018,4,-227
1,1.037,4,-224
1,1.051,4,-223
1,1.072,4,-221
1,1.096,5,-217
1,1.119,6,-214
1,1.151,7,-210
1,1.172,8,-207
1,1.192,9,-204
1,1.200,10,-202
1,1.216,11,-198
1,1.232,12,-194
1,1.249,13,-191
1,1.266,14,-189
1,1.282,15,-185
1,1.299,16,-181
1,1.316,18,-177
1,1.333,18,-175
1,1.352,21,-169
1,1.376,23,-165
1,1.383,24,-163
1,1.400,27,-158
1,1.416,28,-156
1,1.433,30,-153
1,1.451,32,-149
1,1.470,34,-145
1,1.484,36,-143
1,1.502,38,-140
1,1.518,39,-138
1,1.537,40,-136
1,1.564,43,-133
1,1.584,44,-132
1,1.603,46,-131
1,1.620,47,-129
1,1.633,48,-128
1,1.650,48,-127
1,1.666,50,-126
1,1.683,50,-125
1,1.700,52,-123
1,1.717,52,-121
1,1.733,53,-121
1,1.752,54,-119
1,1.785,55,-117
1,1.804,56,-115
1,1.818,56,-114
1,1.840,59,-108
1,1.852,60,-105
1,1.874,64,-98
1,1.900,72,-84
1,1.920,78,-73
1,1.938,84,-60
1,1.958,92,-47
1,1.982,104,-25
1,2.004,113,-11
1,2.024,122,4
1,2.049,136,25
1,2.070,144,38
1,2.088,152,51
1,2.100,157,58
1,2.119,165,70
1,2.134,172,81
1,2.157,178,91
1,2.176,184,100
1,2.198,192,114
1,2.219,198,124
1,2.239,203,133
1,2.251,206,137
1,2.270,211,146
1,2.285,217,155
1,2.304,222,165
1,2.317,225,169
1,2.336,230,177
1,2.351,234,186
1,2.372,239,194
1,2.394,246,207
1,2.415,249,214
1,2.438,252,221
1,2.474,258,233
1,2.491,261,239
1,2.500,262,242
1,2.517,265,247
1,2.534,266,249
1,2.552,268,253
1,2.567,270,257
1,2.586,272,261
1,2.600,272,262
1,2.618,274,264
1,2.638,275,265
2,0.001,5,-281
2,0.268,4,-279
2,0.301,4,-278
2,0.337,4,-277
2,0.354,3,-277
2,0.371,3,-275
2,0.388,3,-274
2,0.405,3,-273
2,0.420,3,-272
2,0.437,3,-269
2,0.468,2,-264
2,0.489,2,-261
2,0.510,3,-257
2,0.533,3,-252
2,0.555,4,-249
2,0.575,4,-246
2,0.585,4,-245
2,0.607,4,-242
2,0.618,4,-239
2,0.638,4,-235
2,0.651,4,-234
2,0.671,5,-231
2,0.690,5,-229
2,0.702,5,-227
2,0.723,5,-226
2,0.735,5,-225
2,0.754,6,-224
2,0.768,6,-223
2,0.787,6,-222
2,0.801,6,-221
2,0.822,6,-219
2,0.835,6,-218
2,0.856,6,-217
2,0.876,6,-215
2,0.900,6,-213
2,0.942,7,-211
2,0.987,7,-210
2,1.008,7,-209
2,1.040,7,-208
2,1.071,7,-207
2,1.118,7,-206
2,1.146,7,-205
2,1.201,7,-204
2,1.221,7,-203
2,1.255,7,-202
2,1.295,7,-201
2,1.316,7,-200
2,1.333,7,-199
2,1.351,8,-198
2,1.381,8,-195
2,1.400,8,-192
2,1.418,7,-189
2,1.439,7,-184
2,1.453,8,-179
2,1.476,8,-173
2,1.495,8,-167
2,1.518,9,-159
2,1.537,9,-154
2,1.556,10,-148
2,1.567,10,-145
2,1.587,11,-139
2,1.602,12,-133
2,1.622,13,-125
2,1.634,14,-121
2,1.653,15,-113
2,1.667,16,-105
2,1.687,18,-96
2,1.701,18,-91
2,1.719,20,-81
2,1.734,22,-71
2,1.756,25,-59
2,1.775,28,-47
2,1.799,32,-26
2,1.819,36,-11
2,1.841,39,4
2,1.866,44,29
2,1.884,48,45
2,1.904,51,61
2,1.917,52,69
2,1.935,54,83
2,1.951,56,98
2,1.972,58,113
2,1.990,59,127
2,2.001,60,135
2,2.020,61,149
2,2.034,62,163
2,2.053,63,177
2,2.067,64,184
2,2.089,65,202
2,2.100,66,207
2,2.121,66,218
2,2.134,67,223
2,2.178,68,241
2,2.203,69,249
2,2.230,70,257
2,2.250,70,261
2,2.268,71,263
3,0.000,8,-283
3,0.184,8,-282
3,0.200,8,-281
3,0.217,8,-278
3,0.235,8,-275
3,0.254,8,-273
3,0.272,8,-270
3,0.287,8,-269
3,0.319,8,-263
3,0.341,8,-259
3,0.361,8,-256
3,0.383,8,-252
3,0.404,8,-250
3,0.431,8,-248
3,0.452,8,-247
3,0.468,8,-245
3,0.489,8,-244
3,0.502,8,-243
3,0.521,9,-241
3,0.540,9,-240
3,0.552,9,-239
3,0.574,9,-237
3,0.607,9,-235
3,0.618,10,-234
3,0.639,10,-233
3,0.652,10,-232
3,0.671,10,-231
3,0.685,10,-230
3,0.705,10,-229
3,0.737,10,-228
3,0.756,10,-227
3,0.788,10,-226
3,0.821,10,-225
3,0.854,10,-224
3,0.887,10,-223
3,0.901,11,-223
3,0.921,11,-222
3,0.936,11,-221
3,0.958,12,-220
3,0.978,12,-219
3,0.999,13,-216
3,1.019,14,-213
3,1.039,15,-208
3,1.051,16,-206
3,1.071,18,-201
3,1.085,20,-197
3,1.103,22,-190
3,1.118,26,-182
3,1.140,30,-173
3,1.170,40,-154
3,1.191,46,-144
3,1.216,54,-129
3,1.235,58,-123
3,1.252,64,-113
3,1.267,70,-103
3,1.287,76,-94
3,1.300,79,-89
3,1.319,85,-79
3,1.334,90,-71
3,1.353,95,-63
3,1.368,100,-55
3,1.392,104,-47
3,1.422,110,-37
3,1.444,114,-27
3,1.465,117,-21
3,1.485,120,-15
3,1.506,124,-7
3,1.517,125,-4
3,1.536,128,2
3,1.551,130,9
3,1.570,134,15
3,1.584,137,22
3,1.602,138,25
3,1.621,142,33
3,1.634,144,39
3,1.653,147,45
3,1.667,148,48
3,1.685,151,55
3,1.701,154,61
3,1.722,156,68
3,1.735,159,74
3,1.758,161,81
3,1.779,164,87
3,1.800,167,97
3,1.822,169,103
3,1.844,171,109
3,1.865,172,116
3,1.884,174,123
3,1.909,178,134
3,1.932,181,147
3,1.954,183,154
3,1.973,185,162
3,1.993,186,169
3,2.015,188,177
3,2.035,190,185
3,2.051,192,193
3,2.071,195,201
3,2.090,197,208
3,2.101,198,211
3,2.119,201,219
3,2.134,203,225
3,2.173,207,236
3,2.190,209,241
3,2.210,210,246
3,2.232,212,249
3,2.251,214,253
3,2.267,215,256
3,2.287,217,258
4,0.000,9,-282
4,0.086,10,-283
4,0.135,10,-282
4,0.151,11,-281
4,0.185,12,-280
4,0.201,12,-277
4,0.218,12,-275
4,0.234,12,-273
4,0.251,13,-270
4,0.268,12,-267
4,0.300,13,-263
4,0.317,13,-259
4,0.336,14,-255
4,0.353,14,-251
4,0.388,14,-247
4,0.404,14,-245
4,0.417,14,-243
4,0.433,14,-240
4,0.450,14,-238
4,0.466,15,-235
4,0.485,15,-233
4,0.505,15,-231
4,0.523,15,-229
4,0.536,15,-228
4,0.555,15,-225
4,0.567,15,-224
4,0.588,16,-222
4,0.616,16,-219
4,0.639,16,-215
4,0.661,16,-214
4,0.681,16,-213
4,0.700,16,-211
4,0.717,16,-210
4,0.735,16,-209
4,0.754,16,-208
4,0.779,16,-207
4,0.799,16,-206
4,0.817,17,-205
4,0.850,17,-203
4,0.885,18,-202
4,0.905,18,-201
4,0.924,18,-200
4,0.936,18,-199
4,0.955,18,-198
4,0.969,18,-197
4,0.995,18,-195
4,1.016,18,-193
4,1.034,17,-193
4,1.050,17,-192
4,1.067,17,-191
4,1.100,17,-189
4,1.133,17,-188
4,1.150,17,-187
4,1.183,17,-185
4,1.200,17,-183
4,1.233,17,-181
4,1.250,17,-178
4,1.267,17,-175
4,1.283,16,-174
4,1.300,16,-171
4,1.317,15,-169
4,1.333,15,-165
4,1.350,14,-160
4,1.367,14,-158
4,1.383,13,-153
4,1.400,12,-149
4,1.416,10,-143
4,1.433,10,-141
4,1.449,8,-135
4,1.466,6,-130
4,1.483,5,-124
4,1.500,4,-119
4,1.519,2,-113
4,1.534,1,-111
4,1.553,0,-105
4,1.573,-2,-99
4,1.585,-4,-93
4,1.606,-7,-87
4,1.618,-8,-83
4,1.637,-11,-76
4,1.651,-14,-69
4,1.671,-17,-61
4,1.684,-18,-57
4,1.710,-23,-44
4,1.729,-27,-35
4,1.751,-30,-27
4,1.775,-36,-13
4,1.799,-41,-1
4,1.817,-43,4
4,1.836,-46,13
4,1.856,-51,25
4,1.867,-52,29
4,1.887,-55,37
4,1.901,-56,41
4,1.920,-59,48
4,1.934,-61,55
4,1.953,-64,61
4,1.967,-66,68
4,1.991,-68,73
4,2.011,-70,79
4,2.031,-72,84
4,2.052,-73,89
4,2.072,-74,93
4,2.084,-76,98
4,2.104,-78,103
4,2.117,-78,107
4,2.135,-81,113
4,2.150,-84,119
4,2.169,-87,127
4,2.184,-89,131
4,2.205,-95,145
4,2.226,-100,154
4,2.249,-104,165
4,2.271,-110,181
4,2.297,-114,189
4,2.316,-118,198
4,2.332,-122,206
4,2.349,-125,213
4,2.366,-128,219
4,2.384,-130,225
4,2.412,-133,232
4,2.434,-135,237
4,2.451,-136,241
4,2.471,-138,245
4,2.483,-138,246
4,2.503,-139,248
4,2.517,-140,250
4,2.534,-141,251
4,2.550,-141,252
4,2.569,-142,253
4,2.611,-142,254
4,2.635,-143,255
4,2.653,-144,256
4,2.668,-144,257
4,2.686,-145,257
5,0.001,5,-285
5,0.188,6,-284
5,0.221,6,-283
5,0.288,6,-282
5,0.323,6,-281
5,0.339,6,-280
5,0.355,5,-279
5,0.373,5,-278
5,0.389,5,-277
5,0.405,5,-273
5,0.422,5,-270
5,0.438,5,-269
5,0.470,4,-261
5,0.489,4,-256
5,0.509,4,-252
5,0.520,4,-250
5,0.546,4,-244
5,0.577,4,-237
5,0.601,4,-231
5,0.622,4,-228
5,0.641,4,-225
5,0.661,4,-221
5,0.684,4,-217
5,0.702,4,-215
5,0.723,4,-213
5,0.735,4,-211
5,0.755,4,-210
5,0.768,4,-209
5,0.788,4,-207
5,0.820,4,-205
5,0.836,4,-204
5,0.856,4,-203
5,0.875,4,-202
5,0.900,4,-200
5,0.922,4,-199
5,0.943,4,-197
5,0.967,4,-195
5,1.012,4,-193
5,1.051,4,-192
5,1.069,4,-191
5,1.101,4,-190
5,1.118,4,-189
5,1.167,4,-188
5,1.184,4,-187
5,1.218,4,-186
5,1.235,4,-184
5,1.257,3,-183
5,1.269,3,-181
5,1.289,3,-179
5,1.309,3,-177
5,1.334,2,-172
5,1.354,1,-167
5,1.375,0,-162
5,1.399,-2,-151
5,1.419,-3,-143
5,1.440,-5,-135
5,1.451,-8,-125
5,1.475,-10,-115
5,1.494,-13,-105
5,1.516,-16,-89
5,1.536,-19,-79
5,1.555,-21,-67
5,1.568,-22,-61
5,1.588,-25,-49
5,1.601,-26,-43
5,1.619,-28,-31
5,1.635,-31,-18
5,1.654,-34,-6
5,1.669,-36,6
5,1.689,-37,18
5,1.702,-38,24
5,1.726,-40,41
5,1.746,-42,53
5,1.768,-42,64
5,1.787,-44,76
5,1.807,-46,87
5,1.818,-47,98
5,1.836,-47,103
5,1.851,-48,114
5,1.870,-49,124
5,1.885,-50,134
5,1.913,-52,149
5,1.937,-53,158
5,1.951,-54,167
5,1.967,-55,171
5,1.984,-56,179
5,2.000,-56,187
5,2.017,-57,195
5,2.033,-57,198
5,2.051,-58,205
5,2.068,-58,211
5,2.089,-59,216
5,2.101,-60,221
5,2.125,-60,227
5,2.148,-61,234
5,2.167,-61,238
5,2.183,-61,240
5,2.201,-61,243
5,2.221,-61,245
6,0.001,6,-280
6,0.118,7,-279
6,0.135,7,-278
6,0.152,8,-276
6,0.168,8,-275
6,0.185,8,-272
6,0.201,8,-269
6,0.233,8,-267
6,0.250,8,-265
6,0.267,8,-263
6,0.284,8,-262
6,0.300,8,-261
6,0.317,8,-258
6,0.336,8,-255
6,0.353,8,-253
6,0.376,7,-250
6,0.395,7,-248
6,0.417,7,-245
6,0.437,6,-243
6,0.456,6,-239
6,0.469,6,-238
6,0.490,7,-233
6,0.502,7,-232
6,0.522,7,-230
6,0.535,7,-229
6,0.555,7,-227
6,0.569,6,-225
6,0.588,6,-223
6,0.601,6,-221
6,0.621,7,-218
6,0.638,7,-215
6,0.652,7,-212
6,0.672,7,-210
6,0.684,7,-209
6,0.703,7,-207
6,0.719,7,-205
6,0.739,7,-203
6,0.752,7,-201
6,0.775,7,-197
6,0.793,8,-195
6,0.816,8,-192
6,0.837,8,-190
6,0.856,8,-188
6,0.868,8,-187
6,0.893,8,-184
6,0.917,8,-180
6,0.934,8,-176
6,0.950,8,-172
6,0.968,9,-167
6,0.992,10,-160
6,1.018,12,-149
6,1.035,14,-140
6,1.056,16,-130
6,1.076,18,-120
6,1.098,21,-111
6,1.116,23,-103
6,1.133,25,-95
6,1.150,28,-87
6,1.168,30,-79
6,1.184,32,-71
6,1.205,34,-63
6,1.218,35,-59
6,1.238,38,-50
6,1.251,40,-41
6,1.271,42,-33
6,1.289,44,-24
6,1.301,46,-19
6,1.321,49,-9
6,1.334,52,0
6,1.351,54,9
6,1.367,56,14
6,1.387,58,25
6,1.402,62,35
6,1.422,64,43
6,1.434,66,48
6,1.452,68,56
6,1.467,70,63
6,1.487,72,71
6,1.507,73,79
6,1.533,75,90
6,1.552,76,97
6,1.572,78,105
6,1.584,78,109
6,1.603,80,115
6,1.618,81,122
6,1.637,82,129
6,1.651,82,133
6,1.671,84,140
6,1.685,85,147
6,1.703,86,155
6,1.724,88,162
6,1.750,89,172
6,1.771,90,180
6,1.793,92,187
6,1.815,94,199
6,1.835,95,207
6,1.856,96,213
6,1.868,96,215
6,1.895,98,225
6,1.932,100,235
6,1.951,101,241
6,1.970,102,246
6,1.985,103,250
6,2.001,104,253
6,2.017,104,255
6,2.040,105,260
6,2.051,106,261
7,0.000,10,-280
7,0.121,10,-279
7,0.139,10,-277
7,0.154,10,-273
7,0.171,10,-270
7,0.187,10,-265
7,0.218,10,-256
7,0.238,10,-251
7,0.258,10,-247
7,0.269,10,-246
7,0.289,10,-243
7,0.301,10,-241
7,0.322,10,-239
7,0.334,10,-235
7,0.364,10,-231
7,0.385,10,-230
7,0.400,10,-229
7,0.417,10,-227
7,0.451,10,-225
7,0.484,10,-223
7,0.517,10,-221
7,0.534,10,-219
7,0.550,10,-217
7,0.568,10,-215
7,0.605,10,-213
7,0.623,10,-211
7,0.651,10,-209
7,0.696,10,-208
7,0.718,10,-207
7,0.738,10,-205
7,0.760,11,-204
7,0.780,11,-203
7,0.802,11,-199
7,0.823,11,-197
7,0.844,10,-193
7,0.866,10,-191
7,0.886,10,-187
7,0.907,10,-177
7,0.918,10,-175
7,0.939,9,-169
7,0.951,9,-166
7,0.970,10,-159
7,0.984,10,-153
7,1.003,10,-147
7,1.018,10,-139
7,1.040,11,-132
7,1.062,12,-123
7,1.082,14,-113
7,1.107,16,-99
7,1.136,19,-85
7,1.155,20,-75
7,1.167,21,-70
7,1.186,23,-59
7,1.201,24,-49
7,1.220,26,-39
7,1.234,28,-29
7,1.255,28,-19
7,1.277,30,-10
7,1.299,30,5
7,1.321,31,16
7,1.339,32,27
7,1.350,32,32
7,1.366,32,43
7,1.384,32,53
7,1.399,32,59
7,1.416,32,69
7,1.433,33,79
7,1.450,33,89
7,1.467,34,94
7,1.484,34,104
7,1.500,34,114
7,1.516,35,125
7,1.532,35,130
7,1.548,36,140
7,1.565,36,149
7,1.582,36,158
7,1.598,36,162
7,1.615,36,171
7,1.632,36,179
7,1.649,36,187
7,1.665,36,191
7,1.682,36,199
7,1.698,36,206
7,1.715,36,213
7,1.732,36,220
7,1.751,36,227
7,1.825,38,248
7,1.861,40,255
7,1.880,40,257
8,0.001,6,-277
8,0.104,8,-275
8,0.120,8,-273
8,0.137,8,-270
8,0.153,8,-266
8,0.185,9,-257
8,0.202,9,-251
8,0.219,9,-247
8,0.235,10,-243
8,0.252,10,-241
8,0.268,10,-237
8,0.285,10,-233
8,0.302,10,-230
8,0.323,11,-228
8,0.334,11,-227
8,0.351,11,-225
8,0.368,12,-222
8,0.384,12,-221
8,0.401,12,-219
8,0.418,12,-216
8,0.434,12,-214
8,0.451,12,-212
8,0.468,12,-211
8,0.485,12,-210
8,0.502,13,-208
8,0.518,13,-206
8,0.535,14,-203
8,0.551,14,-201
8,0.569,14,-198
8,0.585,14,-195
8,0.601,14,-192
8,0.618,14,-191
8,0.635,14,-189
8,0.652,14,-186
8,0.668,14,-183
8,0.685,14,-181
8,0.701,14,-177
8,0.718,13,-175
8,0.735,13,-171
8,0.752,13,-168
8,0.768,12,-166
8,0.784,12,-161
8,0.801,12,-155
8,0.818,11,-149
8,0.834,10,-142
8,0.851,10,-138
8,0.868,9,-130
8,0.884,9,-122
8,0.901,8,-115
8,0.918,7,-111
8,0.940,6,-99
8,0.951,5,-95
8,0.969,4,-87
8,0.984,4,-84
8,1.002,3,-77
8,1.018,2,-69
8,1.038,2,-62
8,1.058,1,-56
8,1.083,0,-46
8,1.101,0,-39
8,1.118,-2,-33
8,1.134,-2,-26
8,1.152,-2,-23
8,1.168,-3,-17
8,1.185,-4,-10
8,1.201,-4,-3
8,1.218,-5,0
8,1.234,-6,7
8,1.251,-6,14
8,1.268,-7,21
8,1.284,-7,25
8,1.303,-8,33
8,1.318,-8,41
8,1.335,-9,49
8,1.351,-10,57
8,1.369,-10,61
8,1.384,-10,69
8,1.402,-11,76
8,1.418,-12,84
8,1.434,-12,87
8,1.452,-12,95
8,1.470,-13,103
8,1.486,-14,110
8,1.501,-14,117
8,1.520,-14,120
8,1.535,-15,127
8,1.554,-15,134
8,1.568,-16,141
8,1.585,-16,144
8,1.601,-16,151
8,1.618,-16,157
8,1.634,-17,163
8,1.651,-17,167
8,1.668,-17,173
8,1.693,-18,181
8,1.711,-18,187
8,1.732,-18,192
8,1.751,-18,197
8,1.769,-18,202
8,1.785,-18,207
8,1.801,-18,209
8,1.818,-18,213
8,1.835,-18,217
8,1.851,-18,222
8,1.884,-18,228
8,1.904,-18,231
9,0.000,12,-281
9,0.051,13,-280
9,0.068,13,-279
9,0.085,13,-274
9,0.102,14,-266
9,0.136,15,-245
9,0.152,16,-240
9,0.169,17,-232
9,0.184,18,-226
9,0.201,19,-220
9,0.217,20,-217
9,0.236,20,-213
9,0.251,21,-211
9,0.273,21,-208
9,0.300,22,-203
9,0.319,22,-199
9,0.344,23,-193
9,0.360,23,-192
9,0.381,24,-189
9,0.399,24,-186
9,0.416,24,-185
9,0.433,24,-183
9,0.450,25,-180
9,0.466,25,-177
9,0.483,26,-176
9,0.500,26,-174
9,0.516,26,-172
9,0.533,26,-171
9,0.551,26,-170
9,0.569,26,-169
9,0.603,26,-167
9,0.619,27,-166
9,0.637,27,-165
9,0.651,27,-164
9,0.669,27,-163
9,0.686,28,-162
9,0.703,28,-161
9,0.719,28,-160
9,0.737,28,-159
9,0.756,28,-157
9,0.768,28,-156
9,0.789,28,-155
9,0.821,28,-153
9,0.855,28,-152
9,0.869,28,-151
9,0.904,28,-150
9,0.932,28,-149
9,0.969,29,-147
9,0.996,29,-146
9,1.014,29,-144
9,1.034,30,-142
9,1.050,30,-139
9,1.067,30,-137
9,1.084,30,-134
9,1.102,30,-129
9,1.118,31,-123
9,1.134,32,-119
9,1.151,32,-109
9,1.168,34,-97
9,1.184,36,-85
9,1.201,38,-73
9,1.220,42,-59
9,1.236,43,-53
9,1.256,46,-39
9,1.282,51,-17
9,1.301,54,-3
9,1.320,57,11
9,1.334,60,25
9,1.354,62,39
9,1.367,64,46
9,1.387,66,60
9,1.405,68,72
9,1.417,70,83
9,1.436,71,94
9,1.451,72,99
9,1.470,73,111
9,1.484,74,121
9,1.504,75,131
9,1.517,76,135
9,1.538,76,143
9,1.551,77,152
9,1.571,78,161
9,1.591,79,170
9,1.616,80,183
9,1.637,81,191
9,1.666,83,202
9,1.686,84,209
9,1.701,84,215
9,1.718,85,221
9,1.743,86,227
9,1.766,86,235
9,1.784,88,240
9,1.801,88,244
9,1.819,88,246
9,1.842,88,250
9,1.852,88,251
10,0.001,14,-283
10,0.101,14,-281
10,0.118,14,-280
10,0.136,14,-277
10,0.151,14,-275
10,0.171,15,-271
10,0.187,15,-268
10,0.218,16,-263
10,0.243,16,-259
10,0.264,17,-257
10,0.286,18,-255
10,0.318,18,-253
10,0.335,18,-251
10,0.366,18,-249
10,0.383,19,-248
10,0.400,19,-247
10,0.418,19,-246
10,0.435,20,-245
10,0.451,20,-244
10,0.469,20,-243
10,0.484,20,-241
10,0.502,20,-240
10,0.518,20,-238
10,0.535,20,-237
10,0.551,21,-235
10,0.568,21,-234
10,0.584,21,-232
10,0.601,21,-231
10,0.618,22,-229
10,0.635,22,-228
10,0.651,22,-227
10,0.670,22,-226
10,0.699,22,-225
10,0.718,22,-223
10,0.751,22,-221
10,0.768,22,-220
10,0.785,22,-219
10,0.801,22,-218
10,0.818,22,-215
10,0.834,21,-213
10,0.851,20,-209
10,0.867,19,-206
10,0.884,17,-200
10,0.901,14,-193
10,0.917,11,-183
10,0.937,7,-173
10,0.950,5,-167
10,0.968,1,-157
10,0.984,-3,-148
10,1.000,-4,-143
10,1.017,-8,-134
10,1.034,-12,-125
10,1.050,-14,-115
10,1.068,-18,-107
10,1.084,-19,-103
10,1.101,-22,-95
10,1.117,-24,-87
10,1.134,-27,-79
10,1.150,-29,-75
10,1.168,-32,-67
10,1.188,-35,-59
10,1.201,-39,-50
10,1.221,-42,-41
10,1.234,-44,-37
10,1.264,-50,-23
10,1.284,-57,-9
10,1.300,-60,-4
10,1.316,-64,6
10,1.333,-70,15
10,1.350,-75,25
10,1.367,-80,34
10,1.384,-83,39
10,1.403,-88,47
10,1.417,-93,56
10,1.438,-98,65
10,1.451,-100,69
10,1.470,-105,79
10,1.484,-110,89
10,1.504,-116,100
10,1.523,-121,111
10,1.534,-124,116
10,1.553,-129,125
10,1.567,-134,136
10,1.593,-140,147
10,1.617,-149,163
10,1.641,-155,173
10,1.668,-164,187
10,1.692,-172,200
10,1.714,-176,208
10,1.734,-180,215
10,1.751,-185,221
10,1.773,-192,231
10,1.783,-194,234
10,1.800,-198,241
10,1.816,-200,244
