trial,time,x,y
1,0.000,-6,-281
1,0.069,-4,-282
1,0.101,-4,-283
1,0.118,-3,-283
1,0.171,-2,-283
1,0.206,-2,-284
1,0.435,-3,-281
1,0.451,-3,-280
1,0.468,-4,-279
1,0.484,-4,-277
1,0.501,-4,-275
1,0.518,-5,-274
1,0.534,-5,-273
1,0.551,-6,-271
1,0.567,-6,-269
1,0.600,-8,-265
1,0.616,-8,-261
1,0.633,-9,-259
1,0.649,-9,-255
1,0.666,-10,-254
1,0.683,-10,-250
1,0.699,-10,-246
1,0.716,-10,-241
1,0.733,-10,-239
1,0.749,-10,-235
1,0.768,-10,-230
1,0.784,-10,-225
1,0.801,-10,-222
1,0.817,-9,-217
1,0.834,-9,-213
1,0.851,-8,-209
1,0.867,-8,-206
1,0.885,-8,-202
1,0.901,-8,-198
1,0.918,-7,-195
1,0.934,-7,-193
1,0.951,-6,-189
1,0.967,-6,-185
1,0.984,-6,-181
1,1.001,-6,-180
1,1.018,-5,-177
1,1.035,-4,-174
1,1.051,-4,-171
1,1.068,-4,-169
1,1.084,-4,-165
1,1.101,-4,-162
1,1.117,-4,-159
1,1.135,-4,-157
1,1.151,-3,-155
1,1.167,-3,-153
1,1.185,-2,-149
1,1.202,-2,-146
1,1.217,-2,-145
1,1.234,-1,-142
1,1.251,0,-139
1,1.267,0,-138
1,1.284,0,-135
1,1.301,1,-132
1,1.317,1,-128
1,1.334,1,-126
1,1.351,2,-121
1,1.367,2,-117
1,1.384,3,-112
1,1.400,3,-109
1,1.418,4,-103
1,1.434,5,-98
1,1.451,6,-92
1,1.467,7,-89
1,1.484,8,-84
1,1.501,10,-79
1,1.517,12,-73
1,1.534,14,-71
1,1.550,16,-65
1,1.568,18,-60
1,1.584,20,-55
1,1.601,21,-53
1,1.617,23,-48
1,1.634,24,-43
1,1.650,26,-39
1,1.667,26,-37
1,1.685,28,-32
1,1.700,30,-27
1,1.718,31,-23
1,1.734,32,-22
1,1.751,34,-17
1,1.767,35,-13
1,1.784,36,-9
1,1.800,38,-6
1,1.817,40,-2
1,1.834,42,3
1,1.851,44,9
1,1.867,45,11
1,1.884,48,18
1,1.901,52,25
1,1.917,55,33
1,1.935,58,40
1,1.950,60,43
1,1.967,62,50
1,1.984,64,56
1,2.001,65,59
1,2.017,66,66
1,2.034,68,71
1,2.051,69,78
1,2.067,70,81
1,2.084,70,89
1,2.101,70,97
1,2.118,71,106
1,2.134,70,111
1,2.151,70,122
1,2.167,70,133
1,2.184,70,145
1,2.200,70,151
1,2.217,72,164
1,2.234,76,178
1,2.251,78,191
1,2.267,80,197
1,2.284,84,209
1,2.300,89,220
1,2.317,92,229
1,2.344,96,237
1,2.365,100,247
1,2.384,101,251
1,2.400,102,253
1,2.417,103,257
1,2.434,104,258
1,2.451,104,259
1,2.468,106,260
2,0.001,3,-282
2,0.102,3,-283
2,0.203,4,-281
2,0.222,4,-278
2,0.235,4,-277
2,0.251,4,-273
2,0.268,4,-270
2,0.285,4,-268
2,0.317,4,-261
2,0.334,4,-258
2,0.351,4,-257
2,0.367,4,-253
2,0.384,4,-249
2,0.400,4,-246
2,0.417,4,-244
2,0.435,3,-240
2,0.452,3,-236
2,0.468,2,-232
2,0.487,2,-229
2,0.502,2,-227
2,0.518,2,-224
2,0.536,2,-220
2,0.551,2,-219
2,0.574,2,-213
2,0.585,2,-211
2,0.602,2,-207
2,0.618,2,-205
2,0.636,2,-200
2,0.651,2,-195
2,0.667,2,-191
2,0.684,2,-188
2,0.700,2,-182
2,0.717,1,-177
2,0.736,0,-170
2,0.766,-1,-160
2,0.785,-1,-153
2,0.801,-1,-145
2,0.818,0,-141
2,0.835,1,-132
2,0.853,4,-122
2,0.868,7,-113
2,0.885,12,-103
2,0.901,14,-99
2,0.920,18,-90
2,0.938,21,-81
2,0.951,23,-77
2,0.969,25,-69
2,0.985,26,-62
2,1.004,25,-56
2,1.018,24,-49
2,1.036,23,-45
2,1.051,20,-39
2,1.069,14,-32
2,1.085,9,-25
2,1.108,3,-17
2,1.133,-8,-5
2,1.151,-11,-2
2,1.168,-19,7
2,1.186,-27,17
2,1.201,-36,27
2,1.219,-45,38
2,1.234,-50,44
2,1.252,-60,57
2,1.269,-70,70
2,1.284,-75,77
2,1.300,-86,90
2,1.317,-97,103
2,1.333,-108,117
2,1.350,-113,123
2,1.366,-123,137
2,1.383,-133,151
2,1.400,-143,164
2,1.416,-148,171
2,1.433,-159,183
2,1.450,-171,195
2,1.467,-182,205
2,1.483,-189,210
2,1.500,-201,218
2,1.517,-213,224
2,1.534,-225,229
2,1.549,-231,232
2,1.566,-241,237
2,1.585,-250,241
2,1.615,-258,247
3,0.001,-13,-275
3,0.139,-12,-273
3,0.156,-12,-271
