trial,time,x,y
1,0.001,-2,-273
1,0.118,-2,-274
1,0.168,-2,-275
1,0.218,-2,-276
1,0.967,-2,-277
1,2.767,-3,-275
1,2.800,-3,-274
1,2.867,-3,-273
1,2.883,-4,-272
1,2.933,-4,-271
1,2.950,-4,-270
1,3.000,-4,-269
1,3.032,-5,-268
1,3.049,-5,-267
1,3.065,-5,-266
1,3.099,-6,-265
1,3.132,-6,-264
1,3.166,-6,-262
1,3.199,-6,-260
1,3.215,-6,-258
1,3.232,-6,-254
1,3.249,-6,-251
1,3.266,-6,-249
1,3.283,-7,-246
1,3.299,-7,-244
1,3.316,-7,-242
1,3.332,-7,-237
1,3.349,-7,-232
1,3.366,-7,-228
1,3.382,-7,-224
1,3.399,-7,-221
1,3.416,-7,-215
1,3.432,-7,-210
1,3.449,-6,-206
1,3.466,-6,-203
1,3.482,-6,-198
1,3.499,-6,-193
1,3.516,-6,-189
1,3.532,-6,-187
1,3.549,-6,-183
1,3.566,-6,-178
1,3.583,-7,-174
1,3.599,-7,-172
1,3.616,-8,-168
1,3.632,-8,-164
1,3.649,-8,-160
1,3.666,-8,-158
1,3.682,-9,-154
1,3.699,-8,-150
1,3.716,-8,-147
1,3.732,-8,-146
1,3.749,-8,-142
1,3.766,-8,-138
1,3.782,-8,-135
1,3.799,-8,-134
1,3.816,-7,-131
1,3.832,-7,-129
1,3.849,-7,-127
1,3.865,-6,-126
1,3.882,-6,-123
1,3.899,-6,-120
1,3.915,-6,-116
1,3.932,-6,-115
1,3.949,-6,-112
1,3.966,-6,-109
1,3.982,-6,-106
1,3.999,-6,-104
1,4.015,-6,-100
1,4.032,-7,-96
1,4.049,-7,-92
1,4.066,-7,-89
1,4.082,-8,-87
1,4.099,-8,-83
1,4.115,-8,-79
1,4.132,-8,-75
1,4.149,-8,-74
1,4.165,-9,-70
1,4.182,-9,-66
1,4.199,-9,-62
1,4.215,-9,-60
1,4.232,-8,-56
1,4.249,-8,-53
1,4.265,-8,-50
1,4.282,-8,-48
1,4.299,-8,-45
1,4.316,-7,-42
1,4.332,-7,-40
1,4.349,-7,-38
1,4.365,-6,-36
1,4.382,-6,-34
1,4.399,-6,-32
1,4.416,-5,-32
1,4.432,-5,-30
1,4.449,-4,-28
1,4.465,-4,-26
1,4.482,-4,-25
1,4.499,-3,-23
1,4.515,-3,-22
1,4.532,-2,-20
1,4.549,-2,-19
1,4.565,-2,-18
1,4.582,-2,-16
1,4.599,-1,-14
1,4.632,-1,-12
1,4.649,0,-11
1,4.665,0,-9
1,4.682,0,-8
1,4.699,0,-6
1,4.715,0,-4
1,4.732,1,-2
1,4.749,1,-1
1,4.765,2,0
1,4.782,2,2
1,4.799,2,3
1,4.815,2,4
1,4.832,2,5
1,4.848,2,6
1,4.865,2,8
1,4.898,2,9
1,4.916,2,10
1,4.998,2,15
1,5.042,2,16
1,5.063,2,18
1,5.115,2,19
1,5.132,2,20
1,5.198,2,21
1,5.231,2,22
1,5.281,2,23
1,5.315,2,24
1,5.348,2,25
1,5.365,2,26
1,5.398,2,28
1,5.432,2,30
1,5.465,1,31
1,5.481,1,32
1,5.498,1,33
1,5.515,1,34
1,5.548,1,36
1,5.582,1,37
1,5.598,2,38
1,5.631,2,40
1,5.665,2,41
1,5.681,2,42
1,5.698,2,44
1,5.715,3,44
1,5.731,3,46
1,5.748,3,47
1,5.765,4,48
1,5.781,4,49
1,5.798,4,51
1,5.815,4,53
1,5.832,4,55
1,5.848,4,56
1,5.865,5,58
1,5.881,6,61
1,5.898,6,65
1,5.915,7,67
1,5.931,8,73
1,5.948,10,80
1,5.965,12,86
1,5.981,12,88
1,5.998,13,92
1,6.015,14,95
1,6.031,14,98
1,6.048,15,98
1,6.064,16,101
1,6.081,16,104
1,6.098,16,106
1,6.115,16,107
1,6.131,17,110
1,6.148,17,112
1,6.164,17,114
1,6.181,18,114
1,6.198,18,116
1,6.215,18,118
1,6.232,19,120
1,6.248,19,121
1,6.265,20,123
1,6.281,20,125
1,6.298,20,128
1,6.315,20,129
1,6.331,21,131
1,6.348,22,133
1,6.365,22,136
1,6.382,23,138
1,6.398,24,139
1,6.414,24,141
1,6.431,24,144
1,6.448,25,146
1,6.464,26,148
1,6.481,26,151
1,6.498,27,154
1,6.514,29,158
1,6.531,30,159
1,6.548,31,162
1,6.564,32,166
1,6.581,33,168
1,6.598,33,170
1,6.614,34,172
1,6.632,35,176
