trial,time,x,y
1,0.001,5,-291
1,0.034,4,-291
1,0.051,4,-290
1,0.067,4,-289
1,0.134,4,-287
1,0.152,3,-285
1,0.167,3,-283
1,0.184,3,-280
1,0.200,3,-277
1,0.218,3,-274
1,0.234,3,-273
1,0.251,3,-269
1,0.283,5,-261
1,0.299,6,-258
1,0.316,8,-252
1,0.332,9,-246
1,0.349,11,-243
1,0.365,12,-237
1,0.382,13,-229
1,0.399,14,-222
1,0.415,15,-219
1,0.432,15,-212
1,0.449,15,-205
1,0.466,16,-199
1,0.482,17,-196
1,0.499,17,-190
1,0.516,18,-185
1,0.532,19,-181
1,0.549,19,-178
1,0.565,19,-174
1,0.582,19,-170
1,0.599,19,-166
1,0.615,19,-162
1,0.632,19,-160
1,0.649,19,-156
1,0.665,19,-151
1,0.682,19,-149
1,0.699,18,-145
1,0.715,18,-141
1,0.732,18,-137
1,0.749,17,-134
1,0.765,17,-129
1,0.782,17,-125
1,0.799,17,-121
1,0.815,17,-119
1,0.831,17,-115
1,0.848,17,-111
1,0.865,17,-107
1,0.881,17,-105
1,0.898,18,-103
1,0.915,18,-99
1,0.931,18,-96
1,0.948,19,-95
1,0.964,19,-91
1,0.981,19,-89
1,0.998,19,-87
1,1.015,19,-85
1,1.032,19,-83
1,1.048,19,-79
1,1.065,19,-77
1,1.081,19,-75
1,1.098,19,-72
1,1.115,19,-70
1,1.131,19,-67
1,1.148,20,-66
1,1.165,21,-62
1,1.181,23,-58
1,1.198,26,-53
1,1.214,28,-50
1,1.231,33,-43
1,1.248,39,-36
1,1.264,47,-29
1,1.281,51,-25
1,1.298,61,-17
1,1.315,70,-9
1,1.331,80,-2
1,1.348,85,1
1,1.364,95,8
1,1.381,105,14
1,1.398,114,20
1,1.414,119,23
1,1.431,127,29
1,1.448,135,34
1,1.464,143,39
1,1.481,146,42
1,1.498,153,47
1,1.514,160,53
1,1.531,167,58
1,1.547,170,61
1,1.564,177,67
1,1.582,183,73
1,1.598,189,79
1,1.614,191,81
1,1.632,197,87
1,1.648,203,92
1,1.664,207,97
1,1.681,210,99
1,1.698,215,103
1,1.715,219,107
1,1.732,223,111
1,1.747,225,113
1,1.765,229,117
1,1.782,232,119
1,1.797,236,122
1,1.815,238,123
1,1.831,241,126
1,1.847,244,129
1,1.864,247,131
1,1.881,248,133
1,1.898,251,135
1,1.914,253,137
1,1.931,256,141
1,1.948,258,142
1,1.965,261,145
1,1.982,263,149
1,1.999,265,153
1,2.015,267,155
1,2.032,269,159
1,2.049,272,162
1,2.065,275,166
1,2.082,276,168
1,2.099,278,171
1,2.116,279,175
1,2.132,281,178
1,2.149,282,181
1,2.165,282,183
1,2.181,283,187
1,2.198,283,191
1,2.214,283,193
1,2.231,283,197
1,2.248,283,201
1,2.264,283,206
1,2.281,283,209
1,2.298,283,215
1,2.314,283,221
1,2.331,283,227
1,2.349,283,232
1,2.366,283,234
1,2.382,284,237
1,2.399,284,240
1,2.415,284,242
1,2.433,284,243
1,2.449,284,245
1,2.466,284,246
1,2.483,284,247
1,2.515,284,249
2,0.000,-1,-285
2,0.034,-2,-283
2,0.051,-3,-281
2,0.068,-3,-279
2,0.084,-3,-278
2,0.101,-2,-275
2,0.117,-1,-270
2,0.134,-1,-264
2,0.167,0,-257
2,0.183,1,-253
2,0.200,2,-247
2,0.217,3,-244
2,0.233,3,-239
2,0.250,5,-235
2,0.266,6,-230
2,0.283,6,-227
2,0.300,7,-223
2,0.317,9,-218
2,0.333,9,-213
2,0.350,9,-211
2,0.367,10,-207
2,0.383,11,-203
2,0.400,11,-198
2,0.416,12,-196
2,0.433,13,-192
2,0.450,13,-187
2,0.466,14,-183
2,0.483,15,-181
2,0.500,15,-177
2,0.517,16,-173
2,0.533,17,-169
2,0.550,17,-167
2,0.566,17,-165
2,0.583,17,-163
2,0.600,18,-161
2,0.633,19,-159
2,0.650,19,-157
2,0.666,19,-155
2,0.683,20,-153
2,0.700,20,-151
2,0.716,20,-149
2,0.733,21,-147
2,0.751,21,-144
2,0.768,21,-143
2,0.785,21,-140
2,0.801,21,-138
2,0.818,21,-136
2,0.834,21,-135
2,0.851,21,-133
2,0.868,20,-129
2,0.885,19,-127
2,0.900,19,-125
2,0.918,18,-123
2,0.934,17,-120
2,0.951,17,-119
2,0.967,16,-115
2,0.984,15,-110
2,1.001,14,-106
2,1.018,13,-101
