trial,time,x,y
4,0.001,-3,-280
4,0.353,-2,-278
4,0.371,-1,-277
4,0.403,-1,-275
4,0.419,-1,-274
4,0.436,-1,-273
4,0.453,-1,-272
4,0.469,-1,-270
4,0.486,-1,-269
4,0.517,-1,-267
4,0.535,-1,-265
4,0.555,-1,-264
4,0.568,-1,-263
4,0.601,-1,-262
4,0.618,-1,-261
4,0.668,-1,-260
4,0.701,-1,-259
4,0.767,-1,-258
4,0.817,-1,-257
4,0.868,-1,-255
4,0.884,-1,-254
4,0.901,-1,-253
4,0.917,-1,-252
4,0.934,-1,-251
4,0.951,-1,-249
4,0.967,0,-249
4,0.984,0,-247
4,1.001,0,-245
4,1.017,0,-244
4,1.034,0,-243
4,1.051,0,-242
4,1.067,0,-241
4,1.084,0,-240
4,1.100,0,-239
4,1.153,0,-238
4,1.182,0,-237
4,1.217,0,-236
4,1.235,0,-235
4,1.268,0,-234
4,1.284,0,-233
4,1.334,0,-232
4,1.351,0,-231
4,1.417,0,-230
4,1.451,0,-229
4,1.484,0,-228
4,1.518,0,-227
4,1.551,0,-226
4,1.567,0,-225
4,1.601,0,-224
4,1.617,0,-223
4,1.668,0,-222
4,1.684,0,-221
4,1.717,0,-220
4,1.734,0,-219
4,1.784,0,-218
4,1.801,0,-217
4,1.867,0,-216
4,1.884,0,-215
4,1.918,0,-214
4,1.934,0,-213
4,1.989,0,-212
4,2.006,0,-211
4,2.049,0,-210
4,2.066,0,-209
4,2.099,0,-208
4,2.116,0,-207
4,2.149,0,-206
4,2.167,0,-205
4,2.202,0,-204
4,2.220,0,-203
4,2.267,0,-202
4,2.285,0,-201
4,2.351,0,-200
4,2.385,0,-199
4,2.451,0,-198
4,2.467,0,-197
4,2.517,0,-196
4,2.534,0,-195
4,2.567,0,-193
4,2.583,1,-192
4,2.600,1,-191
4,2.617,1,-189
4,2.650,1,-187
4,2.683,1,-185
4,2.718,1,-183
4,2.750,1,-182
4,2.767,1,-181
4,2.800,1,-180
4,2.817,1,-179
4,2.883,1,-178
4,2.917,1,-177
4,3.034,1,-176
4,3.084,1,-175
4,3.150,0,-174
4,3.183,0,-173
4,3.250,0,-172
4,3.266,0,-171
4,3.284,-1,-171
4,3.300,-1,-170
4,3.334,-1,-169
4,3.350,-1,-168
4,3.368,-1,-167
4,3.401,-1,-165
4,3.450,-1,-164
4,3.468,-1,-163
4,3.500,-1,-162
4,3.516,-1,-161
4,3.583,-1,-160
4,3.616,-1,-159
4,3.666,-1,-158
4,3.717,-1,-157
4,3.766,-1,-156
4,3.800,-1,-155
4,3.850,0,-154
4,3.867,0,-153
4,3.916,0,-151
4,3.950,0,-150
4,3.966,0,-149
4,4.000,0,-148
4,4.019,0,-147
4,4.034,0,-146
4,4.066,0,-145
4,4.100,0,-144
4,4.133,0,-143
4,4.183,0,-142
4,4.200,0,-141
4,4.249,0,-140
4,4.266,0,-139
4,4.299,0,-138
4,4.317,1,-137
4,4.334,1,-135
4,4.366,1,-133
4,4.384,1,-132
4,4.399,0,-131
4,4.419,0,-129
4,4.433,0,-128
4,4.449,0,-127
4,4.465,0,-126
4,4.483,0,-125
4,4.515,0,-123
4,4.549,0,-122
4,4.584,0,-121
4,4.633,0,-120
4,4.667,0,-119
4,4.716,0,-118
4,4.734,0,-117
4,4.783,0,-115
4,4.833,0,-114
4,4.851,0,-113
4,4.883,0,-112
4,4.899,0,-111
4,4.933,0,-109
4,4.966,0,-108
4,4.983,0,-107
4,5.016,0,-105
4,5.066,0,-103
4,5.116,0,-102
4,5.133,0,-101
4,5.150,-1,-100
4,5.182,-1,-99
4,5.216,-1,-98
4,5.233,-1,-97
4,5.283,-1,-96
4,5.316,-1,-95
4,5.349,-1,-94
4,5.383,-1,-93
4,5.416,-1,-92
4,5.451,-1,-91
4,5.483,-1,-90
4,5.514,-1,-89
4,5.581,-1,-88
4,5.599,-1,-87
4,5.633,-1,-86
4,5.667,-1,-85
4,5.732,-1,-84
4,5.749,-1,-83
4,5.818,-1,-82
4,5.847,-1,-81
4,5.883,-1,-79
4,5.899,-1,-78
4,5.916,-1,-77
4,5.933,-1,-76
4,5.949,-1,-74
4,5.966,-1,-72
4,5.983,-1,-71
4,5.999,-2,-69
4,6.016,-2,-67
4,6.033,-2,-65
4,6.051,-2,-64
4,6.072,-2,-61
4,6.097,-2,-59
4,6.116,-3,-57
4,6.133,-3,-54
4,6.149,-3,-52
4,6.166,-3,-50
4,6.182,-3,-49
4,6.199,-3,-47
4,6.216,-3,-46
4,6.233,-3,-44
4,6.250,-3,-43
4,6.268,-3,-42
4,6.298,-3,-39
4,6.316,-3,-37
4,6.332,-3,-36
4,6.349,-3,-34
4,6.366,-3,-32
4,6.383,-3,-31
4,6.399,-3,-30
4,6.416,-3,-28
4,6.432,-3,-27
4,6.449,-3,-25
4,6.466,-3,-24
4,6.482,-3,-23
4,6.499,-3,-21
4,6.516,-3,-20
4,6.533,-3,-18
4,6.550,-3,-17
4,6.570,-3,-15
4,6.590,-3,-13
4,6.608,-3,-12
4,6.626,-3,-11
4,6.647,-3,-9
4,6.666,-3,-8
4,6.682,-3,-7
4,6.699,-3,-6
4,6.716,-3,-5
4,6.749,-3,-3
4,6.766,-3,-2
4,6.799,-3,-1
4,6.816,-3,1
4,6.832,-3,2
4,6.849,-4,3
4,6.866,-4,4
4,6.883,-4,5
4,6.899,-5,7
4,6.916,-5,8
4,6.932,-5,9
4,6.949,-5,11
4,6.966,-5,13
4,6.982,-5,14
4,6.999,-5,16
4,7.016,-5,17
4,7.032,-6,19
4,7.049,-6,20
4,7.067,-6,22
4,7.082,-6,23
4,7.099,-6,25
4,7.116,-6,26
4,7.132,-7,27
4,7.149,-7,29
4,7.166,-7,31
4,7.199,-7,33
4,7.216,-7,34
4,7.233,-7,36
4,7.249,-7,37
4,7.266,-7,38
4,7.282,-7,39
4,7.299,-7,41
4,7.316,-7,43
4,7.333,-7,45
4,7.363,-8,47
4,7.382,-8,49
4,7.399,-8,51
4,7.416,-8,53
4,7.432,-8,54
4,7.449,-8,55
4,7.465,-8,56
4,7.482,-8,57
4,7.499,-8,58
4,7.515,-8,59
4,7.549,-8,61
4,7.582,-8,62
4,7.599,-9,63
4,7.616,-9,64
4,7.635,-9,65
4,7.665,-10,66
4,7.683,-10,67
4,7.703,-11,68
4,7.731,-12,69
4,7.748,-13,71
4,7.782,-14,72
4,7.799,-15,73
4,7.816,-16,73
4,7.832,-17,75
4,7.849,-18,75
4,7.866,-19,77
4,7.882,-20,78
4,7.899,-22,79
4,7.916,-23,81
4,7.932,-25,82
4,7.949,-26,83
4,7.966,-28,85
4,7.982,-29,85
4,7.998,-31,87
4,8.014,-33,88
4,8.031,-33,89
4,8.048,-35,90
4,8.064,-37,91
4,8.081,-38,93
4,8.098,-39,93
4,8.114,-41,95
4,8.131,-43,97
4,8.148,-46,99
4,8.165,-47,99
4,8.182,-49,101
4,8.199,-51,103
4,8.215,-53,105
4,8.232,-56,107
4,8.249,-57,109
4,8.265,-60,111
4,8.282,-63,112
4,8.298,-65,114
4,8.316,-66,115
4,8.332,-68,116
4,8.351,-69,117
4,8.363,-70,118
4,8.380,-71,119
4,8.397,-72,121
4,8.413,-73,122
4,8.430,-73,123
4,8.447,-75,123
4,8.463,-76,124
4,8.480,-77,125
4,8.496,-78,125
4,8.513,-79,127
4,8.530,-81,127
4,8.548,-82,128
4,8.566,-84,129
4,8.582,-85,130
4,8.599,-87,131
4,8.616,-88,133
4,8.632,-90,135
4,8.647,-91,135
4,8.663,-93,137
4,8.680,-94,139
4,8.697,-95,140
4,8.713,-97,141
4,8.730,-100,143
4,8.746,-102,144
4,8.763,-103,145
4,8.780,-105,146
4,8.797,-107,147
4,8.813,-109,148
4,8.830,-111,149
4,8.848,-113,151
4,8.865,-115,152
4,8.882,-118,154
4,8.898,-122,157
4,8.915,-124,157
4,8.932,-127,160
4,8.948,-131,163
4,8.965,-137,165
4,8.982,-140,166
4,8.998,-145,169
4,9.015,-151,172
4,9.032,-156,175
4,9.049,-159,177
4,9.065,-163,179
4,9.082,-168,182
4,9.098,-173,184
4,9.115,-175,185
4,9.132,-181,187
4,9.148,-185,190
4,9.165,-189,193
4,9.182,-192,194
4,9.198,-197,196
4,9.215,-201,198
4,9.232,-205,201
4,9.248,-207,201
4,9.265,-212,203
4,9.281,-217,205
4,9.298,-222,207
4,9.315,-225,208
4,9.332,-229,210
4,9.348,-234,212
4,9.365,-239,215
4,9.381,-241,216
4,9.398,-245,218
4,9.415,-250,220
4,9.431,-252,221
4,9.456,-257,222
4,9.479,-261,224
4,9.498,-263,225
4,9.515,-264,225
4,9.532,-265,226
4,9.548,-267,227
4,9.581,-269,228
4,9.598,-271,229
4,9.615,-273,230
4,9.631,-274,230
4,9.648,-274,231
4,9.665,-275,231
4,9.682,-276,231
4,9.715,-277,231
4,9.731,-277,232
5,0.002,-11,-272
5,0.118,-9,-273
5,0.184,-9,-274
5,0.235,-9,-275
5,0.354,-9,-276
5,0.404,-9,-277
5,0.538,-9,-275
5,0.554,-10,-275
5,0.586,-10,-273
5,0.602,-11,-273
5,0.618,-11,-272
5,0.633,-11,-271
5,0.650,-11,-269
5,0.682,-10,-267
5,0.699,-10,-265
5,0.716,-10,-263
5,0.733,-10,-261
5,0.750,-10,-260
5,0.766,-10,-258
5,0.783,-9,-256
5,0.800,-9,-255
5,0.817,-9,-253
5,0.833,-9,-251
5,0.850,-8,-250
5,0.867,-8,-248
5,0.883,-7,-247
5,0.901,-7,-246
5,0.918,-7,-245
5,0.935,-7,-244
5,0.951,-7,-243
5,0.985,-7,-242
5,1.008,-7,-241
5,1.033,-7,-240
5,1.074,-7,-239
5,1.117,-7,-238
5,1.141,-6,-237
5,1.186,-6,-236
5,1.201,-5,-235
5,1.254,-5,-233
5,1.316,-5,-232
5,1.334,-5,-231
5,1.351,-5,-230
5,1.384,-4,-229
5,1.401,-4,-228
5,1.417,-4,-226
5,1.434,-3,-225
5,1.451,-3,-223
5,1.468,-3,-222
5,1.484,-3,-221
5,1.501,-3,-220
5,1.518,-3,-219
5,1.535,-3,-217
5,1.565,-3,-216
5,1.584,-3,-215
5,1.601,-3,-214
5,1.619,-3,-213
5,1.682,-3,-212
5,1.702,-3,-211
5,1.817,-3,-210
5,1.868,-3,-209
5,1.984,-3,-208
5,2.001,-3,-207
5,2.034,-3,-206
5,2.051,-3,-204
5,2.067,-2,-202
5,2.084,-1,-199
5,2.100,-1,-197
5,2.117,-1,-195
5,2.134,0,-191
5,2.151,1,-188
5,2.168,1,-185
5,2.183,1,-184
5,2.201,1,-181
5,2.217,1,-179
5,2.234,2,-178
5,2.250,2,-177
5,2.267,2,-175
5,2.284,3,-175
5,2.300,3,-172
5,2.317,3,-171
5,2.334,3,-170
5,2.350,3,-168
5,2.367,3,-167
5,2.385,3,-166
5,2.400,3,-165
5,2.417,3,-164
5,2.434,3,-163
5,2.451,3,-162
5,2.467,3,-161
5,2.500,4,-159
5,2.534,5,-158
5,2.551,5,-157
5,2.567,5,-155
5,2.601,6,-153
5,2.617,6,-151
5,2.634,7,-150
5,2.650,7,-149
5,2.667,7,-147
5,2.683,8,-145
5,2.700,9,-142
5,2.717,9,-141
5,2.735,9,-139
5,2.750,10,-137
5,2.770,11,-134
5,2.789,11,-132
5,2.801,12,-131
5,2.818,12,-129
5,2.833,13,-128
5,2.850,13,-127
5,2.867,13,-126
5,2.884,13,-125
5,2.900,14,-124
5,2.917,14,-123
5,2.934,15,-122
5,2.950,15,-120
5,2.967,15,-118
5,2.984,16,-117
5,3.000,17,-115
5,3.017,17,-112
5,3.034,17,-109
5,3.050,17,-108
5,3.067,18,-105
5,3.083,19,-102
5,3.100,19,-99
5,3.117,20,-97
5,3.134,21,-93
5,3.150,22,-88
5,3.167,23,-84
5,3.184,23,-82
5,3.201,24,-78
5,3.217,25,-75
5,3.233,25,-71
5,3.250,25,-70
5,3.267,25,-67
5,3.284,25,-64
5,3.300,25,-61
5,3.317,25,-59
5,3.334,25,-57
5,3.350,25,-54
5,3.366,25,-52
5,3.383,25,-51
5,3.400,24,-49
5,3.417,24,-47
5,3.433,23,-45
5,3.450,23,-43
5,3.467,23,-41
5,3.483,23,-39
5,3.500,23,-37
5,3.516,23,-35
5,3.534,22,-33
5,3.550,21,-30
5,3.568,21,-27
5,3.583,21,-25
5,3.600,21,-21
5,3.617,21,-17
5,3.633,21,-13
5,3.650,20,-10
5,3.667,20,-5
5,3.684,20,-1
5,3.700,19,4
5,3.717,19,6
5,3.733,19,11
5,3.750,19,15
5,3.766,20,21
5,3.783,20,23
5,3.800,21,29
5,3.819,21,34
5,3.833,22,39
5,3.848,22,41
5,3.865,23,45
5,3.881,23,50
5,3.899,25,55
5,3.916,25,57
5,3.933,26,60
5,3.949,27,63
5,3.966,27,65
5,3.983,29,69
5,3.999,30,73
5,4.017,32,76
5,4.033,33,79
5,4.049,34,81
5,4.066,36,84
5,4.083,37,87
5,4.099,39,91
5,4.116,41,93
5,4.133,43,96
5,4.150,45,100
5,4.166,48,103
5,4.183,49,105
5,4.199,51,109
5,4.216,54,113
5,4.233,57,117
5,4.249,59,119
5,4.267,62,123
5,4.283,65,128
5,4.299,69,132
5,4.316,71,134
5,4.333,75,138
5,4.349,79,142
5,4.366,81,143
5,4.383,85,147
5,4.399,89,151
5,4.416,93,154
5,4.433,97,157
5,4.449,99,159
5,4.466,104,163
5,4.483,109,165
5,4.499,113,167
5,4.516,119,172
5,4.533,127,176
5,4.549,133,180
5,4.566,139,183
5,4.583,142,185
5,4.599,149,187
5,4.616,155,190
5,4.633,160,193
5,4.650,163,194
5,4.667,167,197
5,4.684,171,198
5,4.699,175,200
5,4.717,177,201
5,4.734,181,202
5,4.750,185,203
5,4.767,189,205
5,4.783,191,206
5,4.800,196,207
5,4.816,200,209
5,4.833,205,210
5,4.849,207,211
5,4.872,211,211
5,4.891,215,213
5,4.915,219,213
5,4.931,223,214
5,4.949,227,215
5,4.966,228,215
5,4.983,230,215
5,4.999,232,215
5,5.016,235,216
5,5.032,237,217
5,5.049,239,217
5,5.066,241,217
5,5.082,244,218
5,5.099,245,219
5,5.115,247,219
5,5.133,248,219
5,5.149,251,220
5,5.165,252,221
5,5.192,254,222
5,5.214,255,223
5,5.232,257,224
5,5.249,257,225
5,5.282,258,226
5,5.299,258,227
5,5.316,259,227
5,5.333,259,228
5,5.349,259,229
5,5.399,260,229
5,5.433,260,230
6,0.000,-4,-278
6,0.437,-3,-277
6,0.487,-3,-276
6,0.520,-3,-275
6,0.535,-3,-273
6,0.567,-3,-271
6,0.584,-3,-269
6,0.616,-3,-267
6,0.633,-3,-265
6,0.650,-2,-263
6,0.667,-2,-261
6,0.685,-2,-260
6,0.702,-2,-259
6,0.719,-1,-257
6,0.735,-1,-255
6,0.754,-1,-253
6,0.768,0,-251
6,0.786,1,-249
6,0.803,1,-247
6,0.819,1,-244
6,0.837,2,-241
6,0.852,2,-240
6,0.871,3,-237
6,0.885,3,-235
6,0.907,3,-232
6,0.918,3,-231
6,0.936,4,-227
6,0.951,4,-225
6,0.970,4,-222
6,0.984,4,-221
6,1.005,5,-219
6,1.025,5,-217
6,1.035,5,-215
6,1.052,5,-214
6,1.067,5,-213
6,1.085,5,-211
6,1.101,5,-210
6,1.120,5,-209
6,1.135,5,-207
6,1.167,5,-205
6,1.185,5,-204
6,1.201,6,-202
6,1.219,6,-200
6,1.239,7,-197
6,1.251,7,-196
6,1.268,7,-193
6,1.284,7,-190
6,1.305,7,-186
6,1.318,7,-184
6,1.335,7,-179
6,1.351,8,-177
6,1.368,9,-171
6,1.385,9,-164
6,1.403,11,-157
6,1.417,13,-149
6,1.435,15,-146
6,1.454,16,-139
6,1.468,17,-131
6,1.488,19,-125
6,1.501,19,-121
6,1.519,21,-114
6,1.534,23,-107
6,1.551,25,-99
6,1.567,27,-96
6,1.585,29,-89
6,1.601,31,-83
6,1.618,33,-77
6,1.634,34,-75
6,1.652,35,-70
6,1.668,36,-66
6,1.684,37,-62
6,1.701,37,-61
6,1.717,38,-57
6,1.734,38,-54
6,1.751,39,-51
6,1.769,39,-49
6,1.784,39,-47
6,1.801,40,-44
6,1.818,41,-41
6,1.834,41,-40
6,1.851,41,-37
6,1.868,41,-35
6,1.899,42,-31
6,1.918,43,-29
6,1.935,43,-25
6,1.951,43,-23
6,1.968,44,-21
6,1.985,45,-17
6,2.001,46,-15
6,2.020,47,-11
6,2.034,47,-10
6,2.052,49,-6
6,2.068,52,-3
6,2.087,55,1
6,2.115,59,7
6,2.134,61,10
6,2.151,64,13
6,2.168,66,15
6,2.184,69,19
6,2.201,73,22
6,2.217,76,25
6,2.234,78,27
6,2.251,81,30
6,2.268,85,34
6,2.284,91,38
6,2.302,93,40
6,2.319,99,45
6,2.334,104,49
6,2.351,109,53
6,2.368,112,56
6,2.385,117,61
6,2.401,123,64
6,2.418,129,68
6,2.434,131,70
6,2.451,137,74
6,2.467,142,79
6,2.484,148,83
6,2.500,151,85
6,2.518,156,88
6,2.534,163,92
6,2.551,170,97
6,2.568,174,100
6,2.584,182,105
6,2.600,189,109
6,2.617,198,115
6,2.634,202,118
6,2.651,210,123
6,2.669,217,127
6,2.684,225,131
6,2.702,227,134
6,2.717,233,138
6,2.734,239,141
6,2.751,245,145
6,2.767,247,146
6,2.784,252,150
6,2.801,257,153
6,2.817,262,157
6,2.834,264,159
6,2.851,268,161
6,2.867,273,164
6,2.884,277,167
6,2.900,281,168
6,2.917,286,171
6,2.933,291,175
6,2.952,297,179
6,2.968,299,180
6,2.984,304,183
6,3.000,309,187
6,3.017,316,191
6,3.034,319,193
6,3.050,324,197
6,3.067,329,201
6,3.084,333,203
6,3.102,336,205
6,3.118,341,208
6,3.136,344,211
6,3.148,346,212
6,3.165,349,215
6,3.182,353,217
6,3.200,355,219
6,3.217,358,221
6,3.238,361,223
6,3.265,364,226
6,3.283,365,227
6,3.300,367,229
6,3.317,369,232
6,3.334,371,234
6,3.351,373,237
6,3.366,375,237
6,3.385,376,239
6,3.400,377,240
6,3.417,378,241
6,3.433,378,242
6,3.450,379,243
6,3.483,379,245
6,3.518,379,246
7,0.000,-9,-281
7,0.420,-9,-279
7,0.472,-9,-278
7,0.504,-8,-277
7,0.534,-8,-276
7,0.550,-7,-274
7,0.567,-7,-270
7,0.583,-5,-262
7,0.616,-3,-248
7,0.633,-2,-241
7,0.650,-1,-235
7,0.666,-1,-233
7,0.683,0,-230
7,0.699,0,-229
7,0.717,1,-227
7,0.767,1,-226
7,0.784,1,-225
7,0.850,1,-224
7,0.883,1,-223
7,0.967,1,-222
7,1.018,1,-221
7,1.101,1,-220
7,1.119,1,-219
7,1.134,1,-217
7,1.155,1,-214
7,1.167,1,-213
7,1.188,1,-209
7,1.210,-1,-204
7,1.233,-3,-197
7,1.253,-4,-192
7,1.282,-7,-187
7,1.301,-7,-184
7,1.318,-9,-182
7,1.335,-9,-179
7,1.351,-10,-178
7,1.371,-11,-176
7,1.384,-11,-174
7,1.402,-11,-173
7,1.417,-11,-172
7,1.436,-12,-171
