trial,time,x,y
1,0.001,-6,-279
1,0.305,-5,-277
1,0.322,-4,-271
1,0.341,-3,-261
1,0.370,0,-242
1,0.388,3,-228
1,0.407,8,-215
1,0.420,10,-209
1,0.437,11,-193
1,0.452,12,-177
1,0.469,18,-161
1,0.485,19,-154
1,0.503,25,-143
1,0.519,28,-130
1,0.539,28,-114
1,0.557,30,-101
1,0.569,32,-95
1,0.585,34,-81
1,0.603,36,-67
1,0.633,40,-43
1,0.653,39,-21
1,0.669,36,1
1,0.687,35,15
1,0.702,35,22
1,0.720,36,35
1,0.736,38,47
1,0.754,45,60
1,0.768,48,67
1,0.787,54,81
1,0.804,56,95
1,0.819,60,110
1,0.836,61,117
1,0.852,67,128
1,0.869,71,140
1,0.886,72,157
1,0.903,72,164
1,0.919,74,177
1,0.938,77,190
1,0.952,79,201
1,0.969,80,207
1,0.986,79,222
1,1.017,83,234
1,1.035,88,239
1,1.057,88,257
1,1.069,88,262
1,1.085,89,270
1,1.102,92,278
1,1.119,94,282
1,1.136,99,291
1,1.153,107,300
1,1.169,119,300
1,1.186,124,300
5,0.000,-5,-287
5,0.254,-4,-285
5,0.271,-4,-283
5,0.287,-2,-277
5,0.304,0,-271
5,0.321,3,-259
5,0.352,6,-236
5,0.371,6,-232
5,0.388,6,-224
5,0.402,7,-217
5,0.419,7,-213
5,0.435,6,-201
5,0.453,8,-190
5,0.468,10,-177
5,0.485,11,-163
5,0.502,15,-159
5,0.519,23,-151
5,0.535,29,-145
5,0.552,30,-135
5,0.568,30,-131
5,0.585,32,-123
5,0.601,39,-116
5,0.618,43,-105
5,0.635,44,-99
5,0.651,52,-87
5,0.669,64,-74
5,0.684,69,-55
5,0.702,72,-47
5,0.718,84,-33
5,0.735,98,-23
5,0.752,110,-10
5,0.769,115,-4
5,0.785,126,9
5,0.802,139,21
5,0.819,152,33
5,0.835,160,40
5,0.852,175,55
5,0.868,190,69
5,0.885,206,84
5,0.901,216,91
5,0.920,235,108
5,0.935,256,126
5,0.966,284,149
5,0.985,302,164
5,1.002,320,179
5,1.032,348,200
5,1.051,363,211
5,1.068,375,221
5,1.093,391,235
5,1.115,399,246
5,1.133,399,257
5,1.151,399,267
5,1.169,399,276
5,1.185,399,279
5,1.202,399,285
5,1.223,399,288
5,1.234,399,290
7,0.003,-6,-281
7,0.020,-4,-278
7,0.037,-3,-275
7,0.053,-2,-271
7,0.071,2,-268
7,0.101,5,-262
7,0.118,6,-256
7,0.149,8,-249
7,0.168,5,-237
7,0.183,5,-229
7,0.204,9,-224
7,0.217,10,-221
7,0.234,13,-213
7,0.250,15,-205
7,0.267,16,-201
7,0.284,20,-193
7,0.302,24,-184
7,0.320,28,-173
7,0.334,30,-167
7,0.352,33,-158
7,0.367,33,-149
7,0.384,36,-141
7,0.400,38,-133
7,0.417,39,-130
7,0.434,41,-121
7,0.451,43,-114
7,0.466,44,-107
7,0.484,44,-102
7,0.500,46,-95
7,0.517,51,-89
7,0.533,52,-81
7,0.550,52,-77
7,0.567,53,-68
7,0.584,56,-61
7,0.606,60,-53
7,0.617,61,-47
7,0.634,65,-37
7,0.650,69,-27
7,0.672,70,-17
7,0.684,72,-11
7,0.701,74,1
7,0.716,76,14
7,0.733,80,27
7,0.750,82,35
7,0.781,88,65
7,0.800,92,80
7,0.817,94,88
7,0.833,98,108
7,0.851,104,130
7,0.866,109,152
7,0.884,114,172
7,0.900,117,181
7,0.918,121,201
7,0.934,125,219
7,0.955,128,237
7,0.983,133,256
7,0.999,136,266
7,1.016,138,270
7,1.032,140,278
7,1.050,142,285
7,1.067,144,289
7,1.083,144,290
7,1.101,144,293
7,1.117,145,294
7,1.133,145,295
7,1.150,144,296
8,0.001,-10,-281
8,0.087,-9,-279
8,0.104,-8,-278
8,0.121,-7,-275
8,0.136,-6,-272
8,0.153,-5,-268
8,0.186,-2,-260
8,0.204,0,-255
8,0.232,4,-247
8,0.252,9,-241
8,0.268,11,-239
8,0.286,12,-232
8,0.302,14,-227
8,0.319,15,-221
8,0.335,16,-219
8,0.352,18,-213
8,0.368,23,-210
8,0.385,26,-204
8,0.401,26,-201
8,0.419,28,-194
8,0.436,30,-188
8,0.535,37,-151
8,0.558,39,-143
8,0.576,42,-138
8,0.596,44,-133
8,0.618,44,-125
8,0.636,45,-119
8,0.652,44,-111
8,0.668,38,-97
8,0.685,36,-92
8,0.702,33,-83
8,0.720,32,-78
8,0.735,29,-70
8,0.752,27,-65
8,0.768,22,-57
8,0.785,20,-52
8,0.801,8,-39
8,0.818,2,-34
8,0.834,-5,-27
8,0.851,-14,-20
8,0.871,-24,-12
8,0.885,-29,-8
8,0.902,-42,3
8,0.917,-52,13
8,0.935,-63,24
8,0.951,-68,29
8,0.968,-79,41
8,0.984,-90,52
8,1.001,-102,63
8,1.018,-115,74
8,1.035,-121,79
8,1.051,-132,89
8,1.068,-144,99
8,1.085,-149,103
8,1.101,-164,116
8,1.120,-180,130
8,1.134,-194,140
8,1.152,-203,147
8,1.167,-208,151
8,1.185,-219,158
8,1.201,-230,165
8,1.218,-240,172
8,1.234,-245,175
8,1.252,-254,181
8,1.267,-262,186
8,1.284,-270,192
8,1.301,-274,194
8,1.318,-281,199
8,1.335,-288,205
8,1.351,-294,211
8,1.368,-296,213
8,1.384,-302,218
8,1.401,-307,223
8,1.423,-311,229
8,1.448,-316,236
8,1.468,-319,241
8,1.484,-322,247
8,1.501,-323,249
8,1.517,-326,253
8,1.534,-328,257
8,1.551,-330,261
8,1.567,-330,263
8,1.585,-332,267
8,1.601,-333,271
8,1.617,-334,273
9,0.000,4,-287
9,0.104,4,-285
9,0.137,4,-284
9,0.154,4,-283
9,0.203,4,-282
9,0.220,4,-281
