trial,time,x,y
1,0.001,-11,-285
1,0.073,-11,-283
1,0.156,-11,-282
1,0.205,-11,-281
1,0.258,-11,-279
1,0.272,-11,-277
1,0.289,-11,-273
1,0.306,-12,-269
1,0.338,-13,-259
1,0.359,-14,-253
1,0.379,-15,-248
1,0.401,-15,-243
1,0.420,-15,-239
1,0.437,-15,-235
1,0.453,-15,-231
1,0.474,-16,-227
1,0.486,-16,-224
1,0.503,-16,-219
1,0.519,-16,-216
1,0.536,-16,-214
1,0.553,-16,-210
1,0.570,-16,-206
1,0.588,-16,-202
1,0.602,-16,-200
1,0.620,-16,-197
1,0.636,-16,-195
1,0.667,-16,-193
1,0.686,-16,-191
1,0.703,-17,-189
1,0.720,-17,-186
1,0.736,-17,-185
1,0.754,-17,-182
1,0.770,-18,-179
1,0.788,-18,-177
1,0.819,-19,-174
1,0.838,-19,-172
1,0.853,-19,-170
1,0.870,-19,-168
1,0.886,-19,-167
1,0.903,-19,-164
1,0.919,-20,-161
1,0.937,-21,-159
1,0.953,-21,-158
1,0.970,-21,-155
1,0.986,-23,-151
1,1.003,-24,-146
1,1.020,-25,-144
1,1.036,-27,-138
1,1.054,-31,-130
1,1.069,-34,-123
1,1.086,-36,-119
1,1.102,-39,-113
1,1.120,-42,-107
1,1.136,-45,-99
1,1.154,-47,-95
1,1.169,-53,-85
1,1.186,-57,-75
1,1.202,-63,-64
1,1.219,-65,-59
1,1.236,-71,-47
1,1.252,-77,-35
1,1.270,-83,-23
1,1.285,-87,-17
1,1.303,-94,-5
1,1.320,-101,7
1,1.338,-109,19
1,1.352,-113,25
1,1.371,-121,36
1,1.385,-128,46
1,1.408,-137,55
1,1.426,-146,65
1,1.451,-160,83
1,1.471,-169,94
1,1.500,-183,109
1,1.519,-191,117
1,1.536,-195,121
1,1.553,-203,130
1,1.569,-209,139
1,1.587,-214,147
1,1.602,-218,153
1,1.620,-222,161
1,1.639,-223,165
1,1.652,-226,173
1,1.669,-227,182
1,1.685,-228,185
1,1.702,-229,192
1,1.720,-231,198
1,1.736,-232,203
1,1.752,-233,205
1,1.769,-233,211
1,1.785,-235,216
1,1.802,-235,221
1,1.822,-237,225
