trial,time,x,y
1,0.000,-7,-284
1,0.101,-6,-283
1,0.150,-6,-281
1,0.170,-6,-279
1,0.186,-6,-277
1,0.204,-6,-275
1,0.238,-6,-273
1,0.255,-5,-272
1,0.271,-5,-271
1,0.289,-5,-268
1,0.319,-5,-259
1,0.339,-5,-251
1,0.356,-5,-245
1,0.369,-4,-241
1,0.397,-4,-233
1,0.415,-4,-227
1,0.435,-5,-221
1,0.454,-5,-215
1,0.468,-5,-211
1,0.490,-5,-201
1,0.519,-4,-191
1,0.534,-3,-185
1,0.550,-3,-182
1,0.567,-2,-178
1,0.584,-2,-173
1,0.602,-2,-167
1,0.618,-2,-165
1,0.636,-2,-160
1,0.652,-2,-155
1,0.675,-2,-150
1,0.694,-1,-145
1,0.717,-1,-139
1,0.736,-1,-135
1,0.754,-1,-131
1,0.768,-1,-130
1,0.787,-1,-125
1,0.801,-2,-122
1,0.819,-2,-119
1,0.834,-2,-117
1,0.854,-2,-114
1,0.868,-3,-109
1,0.885,-3,-107
1,0.901,-4,-103
1,0.918,-5,-100
1,0.935,-6,-97
1,0.952,-6,-96
1,0.968,-8,-92
1,0.988,-10,-88
1,1.007,-12,-85
1,1.018,-13,-83
1,1.036,-14,-80
1,1.051,-16,-77
1,1.068,-17,-72
1,1.084,-18,-70
1,1.102,-19,-65
1,1.118,-20,-60
1,1.135,-20,-54
1,1.151,-20,-51
1,1.168,-22,-45
1,1.184,-22,-39
1,1.201,-24,-33
1,1.217,-24,-29
1,1.234,-26,-22
1,1.251,-28,-13
1,1.267,-30,-4
1,1.285,-30,1
1,1.301,-32,10
1,1.318,-33,19
1,1.334,-34,28
1,1.352,-34,33
1,1.367,-34,41
1,1.386,-34,49
1,1.417,-34,62
1,1.435,-34,71
1,1.451,-34,78
1,1.472,-33,86
1,1.484,-33,89
1,1.508,-32,101
1,1.532,-30,113
1,1.551,-30,116
1,1.567,-28,123
1,1.584,-28,129
1,1.601,-27,134
1,1.617,-27,137
1,1.634,-27,143
1,1.651,-27,148
1,1.667,-27,153
1,1.684,-26,156
1,1.701,-26,161
1,1.718,-26,166
1,1.734,-24,170
1,1.752,-24,172
1,1.767,-23,175
1,1.785,-22,180
1,1.801,-20,183
1,1.820,-19,187
1,1.850,-16,191
1,1.867,-14,193
1,1.884,-13,195
1,1.902,-11,197
1,1.917,-10,201
1,1.934,-8,205
1,1.951,-7,206
1,1.968,-6,210
1,1.984,-4,213
1,2.003,-2,217
1,2.017,-2,219
1,2.034,-1,223
1,2.055,1,228
1,2.082,4,235
1,2.101,5,239
1,2.117,6,242
1,2.134,6,245
1,2.151,7,247
1,2.167,8,251
1,2.184,10,254
1,2.200,10,259
1,2.217,10,261
1,2.234,11,264
1,2.253,12,267
1,2.268,13,270
1,2.284,13,271
1,2.301,14,273
1,2.317,14,275
2,0.002,-12,-274
2,0.019,-12,-272
2,0.036,-12,-271
2,0.053,-11,-269
2,0.084,-10,-262
2,0.102,-10,-256
2,0.118,-8,-251
2,0.133,-7,-244
2,0.150,-7,-241
2,0.167,-6,-235
2,0.186,-5,-228
2,0.200,-4,-221
2,0.217,-3,-217
2,0.233,-2,-210
2,0.251,-1,-202
2,0.266,0,-195
2,0.283,1,-191
2,0.299,2,-183
2,0.317,3,-176
2,0.334,4,-168
2,0.349,5,-165
2,0.369,6,-158
2,0.383,7,-152
2,0.400,8,-146
2,0.416,8,-143
2,0.433,9,-137
2,0.450,10,-133
2,0.467,10,-127
2,0.483,10,-125
2,0.501,10,-121
2,0.516,11,-117
2,0.534,12,-113
2,0.550,12,-110
2,0.565,12,-105
2,0.583,12,-102
2,0.600,12,-99
2,0.617,12,-98
2,0.633,12,-95
2,0.649,12,-91
2,0.666,11,-87
2,0.683,11,-85
2,0.700,10,-83
2,0.716,10,-79
2,0.733,10,-77
2,0.751,10,-75
2,0.766,9,-70
2,0.783,8,-66
2,0.801,8,-63
2,0.816,8,-61
2,0.833,8,-59
2,0.849,7,-55
2,0.866,6,-51
2,0.883,6,-49
2,0.899,5,-47
2,0.916,4,-44
2,0.933,2,-41
2,0.949,0,-40
2,0.966,-2,-37
2,0.983,-6,-32
2,0.999,-10,-27
2,1.016,-12,-25
2,1.033,-17,-22
2,1.049,-22,-19
2,1.066,-28,-15
2,1.083,-31,-13
2,1.100,-38,-7
2,1.116,-46,-2
2,1.132,-53,4
2,1.149,-57,7
2,1.166,-64,13
2,1.183,-72,17
2,1.199,-80,23
2,1.216,-84,27
2,1.234,-93,34
2,1.250,-102,41
2,1.266,-111,49
2,1.282,-116,52
2,1.299,-124,59
2,1.316,-132,67
2,1.333,-140,74
2,1.349,-144,78
2,1.366,-151,87
2,1.383,-158,95
2,1.399,-165,103
2,1.416,-168,107
2,1.432,-174,115
2,1.449,-179,123
2,1.466,-185,131
2,1.483,-188,134
2,1.499,-193,142
2,1.516,-198,149
2,1.533,-202,157
2,1.549,-205,160
2,1.566,-209,167
2,1.583,-212,173
2,1.601,-216,181
2,1.616,-218,187
2,1.634,-220,190
2,1.649,-222,197
2,1.666,-224,203
2,1.683,-225,207
2,1.699,-228,214
2,1.716,-230,223
2,1.742,-232,235
2,1.763,-233,244
2,1.783,-234,253
2,1.799,-234,263
2,1.816,-234,271
2,1.833,-234,274
2,1.850,-234,280
2,1.866,-234,285
2,1.882,-234,288
2,1.899,-232,293
2,1.916,-231,298
2,1.934,-228,300
3,0.000,-10,-285
3,0.018,-10,-283
3,0.051,-9,-281
3,0.067,-8,-281
3,0.084,-8,-280
3,0.135,-8,-279
3,0.184,-8,-278
3,0.202,-7,-277
3,0.221,-7,-275
3,0.238,-7,-273
3,0.272,-7,-271
3,0.288,-7,-267
3,0.317,-7,-257
3,0.334,-7,-251
3,0.351,-7,-243
3,0.368,-7,-236
3,0.384,-6,-233
3,0.401,-6,-225
3,0.418,-6,-217
3,0.434,-6,-210
3,0.451,-6,-207
3,0.467,-6,-199
3,0.484,-6,-191
3,0.501,-6,-182
3,0.518,-6,-178
3,0.534,-6,-170
3,0.551,-6,-162
3,0.567,-6,-155
3,0.584,-6,-152
3,0.601,-6,-145
3,0.617,-6,-139
3,0.634,-7,-135
3,0.651,-7,-133
3,0.667,-7,-127
3,0.684,-8,-123
3,0.701,-8,-119
3,0.717,-8,-117
3,0.734,-8,-115
3,0.751,-8,-113
3,0.768,-8,-109
3,0.784,-8,-106
3,0.801,-8,-104
3,0.818,-8,-101
3,0.834,-8,-99
3,0.851,-8,-97
3,0.885,-8,-94
3,0.901,-9,-91
3,0.918,-10,-89
3,0.934,-10,-86
3,0.950,-12,-83
3,0.967,-12,-81
3,0.984,-14,-78
3,1.001,-15,-77
3,1.017,-18,-73
3,1.034,-20,-68
3,1.051,-22,-63
3,1.067,-24,-62
3,1.084,-27,-59
3,1.101,-32,-57
3,1.117,-36,-53
3,1.134,-39,-51
3,1.151,-45,-47
3,1.167,-51,-43
3,1.184,-57,-39
3,1.200,-62,-34
3,1.217,-66,-31
3,1.234,-72,-26
3,1.251,-77,-21
3,1.267,-82,-16
3,1.284,-84,-13
3,1.302,-90,-8
3,1.321,-94,-4
3,1.334,-98,-1
3,1.352,-102,3
3,1.367,-105,5
3,1.387,-111,9
3,1.415,-118,14
3,1.434,-124,17
3,1.451,-130,20
3,1.467,-136,24
3,1.484,-141,28
3,1.501,-144,30
3,1.517,-149,33
3,1.534,-154,36
3,1.550,-160,39
3,1.567,-162,40
3,1.584,-168,44
3,1.601,-172,48
3,1.618,-177,51
3,1.634,-180,52
3,1.650,-184,55
3,1.667,-190,57
3,1.684,-194,60
3,1.700,-197,62
3,1.717,-202,66
3,1.734,-207,69
3,1.750,-211,72
3,1.767,-213,73
3,1.784,-218,75
3,1.800,-222,78
3,1.818,-226,81
3,1.845,-230,84
3,1.864,-237,89
3,1.882,-239,89
3,1.899,-243,91
3,1.917,-247,93
3,1.934,-251,96
3,1.950,-255,99
3,1.967,-257,101
3,1.984,-261,105
3,2.001,-265,108
3,2.017,-269,111
3,2.034,-271,113
3,2.050,-275,117
3,2.067,-280,123
3,2.084,-284,127
3,2.101,-286,130
3,2.117,-290,135
3,2.134,-293,141
3,2.150,-296,148
3,2.167,-298,151
3,2.184,-302,158
3,2.200,-305,165
3,2.217,-308,172
3,2.233,-309,176
3,2.250,-312,185
3,2.267,-314,194
3,2.283,-316,203
3,2.300,-317,207
3,2.317,-318,215
3,2.333,-319,225
3,2.353,-320,233
3,2.381,-320,245
3,2.400,-320,251
3,2.417,-320,256
3,2.433,-320,258
3,2.450,-320,262
3,2.468,-320,266
3,2.483,-320,270
3,2.500,-320,272
3,2.517,-320,276
3,2.534,-320,279
3,2.550,-318,282
3,2.567,-316,284
4,0.001,-2,-281
4,0.088,-1,-281
4,0.121,0,-280
4,0.138,0,-279
4,0.156,1,-276
4,0.172,1,-274
4,0.188,1,-273
4,0.204,1,-269
4,0.235,1,-259
4,0.252,2,-253
4,0.270,2,-247
4,0.285,2,-244
4,0.302,2,-237
4,0.318,2,-229
4,0.335,2,-219
4,0.351,2,-215
4,0.368,2,-206
4,0.385,3,-197
4,0.401,4,-190
4,0.417,4,-187
4,0.435,4,-179
4,0.451,5,-173
4,0.468,5,-167
4,0.485,5,-164
4,0.501,5,-159
4,0.518,6,-153
4,0.534,6,-147
4,0.551,6,-144
4,0.568,6,-138
4,0.585,7,-133
4,0.601,7,-126
4,0.618,7,-123
4,0.634,8,-118
4,0.652,8,-112
4,0.682,8,-104
4,0.701,8,-100
4,0.717,8,-97
4,0.736,7,-93
4,0.750,7,-90
4,0.768,6,-85
4,0.784,6,-81
4,0.807,6,-78
4,0.826,6,-73
4,0.850,6,-64
4,0.867,7,-57
4,0.884,8,-53
4,0.905,9,-41
4,0.932,10,-33
4,0.950,11,-24
4,0.968,13,-16
4,0.984,14,-9
4,1.000,16,-2
4,1.017,16,1
4,1.033,18,9
4,1.051,20,17
4,1.067,22,23
4,1.085,24,29
4,1.102,25,33
4,1.117,29,39
4,1.134,34,44
4,1.150,36,47
4,1.168,40,53
4,1.184,46,58
4,1.201,52,63
4,1.217,55,66
4,1.238,64,76
4,1.251,66,79
4,1.270,72,88
4,1.284,76,92
4,1.300,82,101
4,1.317,88,111
4,1.334,94,122
4,1.350,97,127
4,1.367,102,137
4,1.384,107,147
4,1.400,110,155
4,1.417,111,160
4,1.434,114,169
4,1.450,116,178
4,1.467,118,186
4,1.484,119,190
4,1.500,120,198
4,1.517,122,207
4,1.533,123,215
4,1.550,124,219
4,1.567,124,227
4,1.588,126,236
4,1.614,126,246
4,1.633,127,252
4,1.651,128,257
4,1.667,128,263
4,1.683,128,265
4,1.700,129,268
4,1.717,128,272
4,1.735,128,275
4,1.752,127,279
4,1.767,126,280
4,1.784,126,283
4,1.801,125,285
4,1.817,124,287
4,1.853,125,287
5,0.001,-7,-281
5,0.104,-6,-279
5,0.122,-6,-277
5,0.137,-6,-276
5,0.154,-6,-274
5,0.170,-6,-272
5,0.189,-6,-270
5,0.204,-6,-267
5,0.235,-6,-258
5,0.252,-7,-252
5,0.269,-7,-249
5,0.285,-8,-243
5,0.308,-8,-234
5,0.317,-8,-229
5,0.335,-9,-220
5,0.351,-10,-210
5,0.368,-9,-200
5,0.384,-9,-195
5,0.403,-8,-186
5,0.418,-7,-178
5,0.435,-6,-170
5,0.451,-6,-162
5,0.468,-5,-158
5,0.489,-4,-150
5,0.501,-3,-142
5,0.519,-2,-135
5,0.534,-2,-133
5,0.551,-1,-126
5,0.568,-1,-120
5,0.586,0,-115
5,0.600,0,-111
5,0.621,0,-105
5,0.648,1,-97
5,0.667,1,-92
5,0.685,1,-87
5,0.701,1,-82
5,0.717,1,-77
5,0.734,1,-74
5,0.751,2,-69
5,0.768,2,-63
5,0.784,2,-59
5,0.801,2,-57
5,0.817,2,-53
5,0.834,2,-48
5,0.850,2,-43
5,0.867,2,-40
5,0.884,2,-34
5,0.902,2,-27
5,0.918,4,-22
5,0.933,4,-19
5,0.950,4,-13
5,0.967,6,-7
5,0.984,6,-4
5,1.000,8,2
5,1.019,9,8
5,1.034,10,13
5,1.051,12,17
5,1.067,12,19
5,1.084,13,23
5,1.101,14,25
5,1.118,14,28
5,1.137,14,30
5,1.150,14,31
5,1.168,13,33
5,1.184,12,35
5,1.217,11,37
5,1.234,10,40
5,1.251,7,43
5,1.268,6,44
5,1.284,4,47
5,1.302,2,51
5,1.318,0,53
5,1.334,0,55
5,1.351,-2,58
5,1.367,-4,62
5,1.385,-6,66
5,1.400,-8,68
5,1.417,-10,73
5,1.434,-12,77
5,1.450,-16,83
5,1.467,-17,86
5,1.483,-19,91
5,1.500,-21,97
5,1.517,-24,104
5,1.533,-24,107
5,1.551,-28,114
5,1.570,-30,123
5,1.583,-32,127
5,1.600,-34,134
5,1.617,-36,141
5,1.640,-38,147
5,1.650,-39,153
5,1.666,-39,157
5,1.683,-40,164
5,1.700,-40,171
5,1.716,-41,177
5,1.733,-42,180
5,1.750,-42,185
5,1.768,-42,191
5,1.784,-43,198
5,1.800,-44,201
5,1.817,-44,207
5,1.833,-45,213
5,1.850,-45,217
5,1.866,-45,223
5,1.895,-44,233
5,1.916,-44,241
5,1.933,-44,243
5,1.950,-44,248
5,1.966,-43,253
5,1.983,-43,255
5,2.000,-42,260
5,2.017,-42,264
5,2.033,-42,268
5,2.050,-42,272
5,2.067,-42,274
5,2.084,-42,278
5,2.100,-41,283
5,2.116,-41,286
5,2.133,-40,287
5,2.150,-40,291
5,2.167,-38,293
6,0.000,-2,-289
6,0.071,-2,-288
6,0.088,-2,-287
6,0.104,-2,-286
6,0.120,-2,-285
6,0.137,-3,-285
6,0.170,-3,-284
6,0.188,-3,-283
6,0.221,-3,-281
6,0.237,-3,-278
6,0.254,-3,-276
6,0.271,-3,-274
6,0.288,-3,-273
6,0.305,-2,-273
6,0.322,-2,-272
6,0.340,-2,-271
6,0.370,-2,-270
6,0.389,-2,-268
6,0.418,-2,-262
6,0.435,-1,-258
6,0.452,-1,-253
6,0.468,-1,-250
6,0.486,0,-245
6,0.501,0,-238
6,0.519,1,-233
6,0.534,1,-231
6,0.552,1,-227
6,0.567,1,-221
6,0.585,2,-215
6,0.601,2,-213
6,0.619,2,-207
6,0.635,3,-200
6,0.652,4,-194
6,0.674,4,-188
6,0.699,5,-178
6,0.717,6,-172
6,0.735,6,-169
6,0.750,7,-161
6,0.768,8,-155
6,0.784,8,-149
6,0.803,9,-143
6,0.817,9,-141
6,0.835,10,-135
6,0.855,11,-129
6,0.867,11,-126
6,0.885,12,-120
6,0.901,12,-115
6,0.918,13,-109
6,0.934,14,-103
6,0.951,14,-101
6,0.968,14,-96
6,0.984,15,-91
6,1.001,16,-86
