trial,time,x,y
1,0.003,-7,-275
1,0.022,-7,-271
1,0.037,-6,-269
1,0.067,-5,-264
1,0.094,-4,-259
1,0.110,-3,-255
1,0.132,-2,-249
1,0.153,-1,-243
1,0.174,0,-238
1,0.198,2,-230
1,0.216,3,-223
1,0.234,3,-221
1,0.250,4,-215
1,0.267,4,-209
1,0.283,5,-203
1,0.300,5,-201
1,0.331,5,-192
1,0.349,6,-187
1,0.366,6,-183
1,0.388,5,-178
1,0.399,5,-176
1,0.420,5,-173
1,0.432,5,-171
1,0.450,5,-167
1,0.467,4,-163
1,0.484,3,-159
1,0.504,2,-157
1,0.517,1,-155
1,0.533,1,-151
1,0.549,-1,-147
1,0.566,-2,-141
1,0.583,-3,-136
1,0.602,-3,-130
1,0.616,-3,-127
1,0.633,-3,-121
1,0.649,-3,-115
1,0.666,-3,-111
1,0.682,-1,-103
1,0.699,1,-95
1,0.716,3,-86
1,0.733,4,-82
1,0.765,7,-66
1,0.783,9,-59
1,0.799,10,-55
1,0.816,12,-47
1,0.833,15,-39
1,0.849,17,-31
1,0.866,19,-23
1,0.883,20,-19
1,0.900,22,-12
1,0.923,23,-2
1,0.947,23,5
1,0.966,24,12
1,0.984,24,18
1,1.000,23,25
1,1.016,23,27
1,1.035,21,34
1,1.049,19,40
1,1.068,16,46
1,1.083,13,51
1,1.104,11,55
1,1.131,7,60
1,1.150,5,65
1,1.168,3,67
1,1.185,1,71
1,1.199,-1,75
1,1.217,-3,79
1,1.232,-4,81
1,1.250,-5,85
1,1.266,-5,89
1,1.284,-5,92
1,1.299,-5,93
1,1.316,-5,97
1,1.332,-3,103
1,1.349,-1,107
1,1.365,-1,110
1,1.383,2,115
1,1.400,4,122
1,1.416,6,128
1,1.434,7,134
1,1.449,8,137
1,1.466,9,144
1,1.482,11,150
1,1.499,11,154
1,1.516,13,161
1,1.535,16,169
1,1.549,17,173
1,1.567,21,183
1,1.583,21,187
1,1.599,23,195
1,1.616,25,203
1,1.632,26,207
1,1.649,27,215
1,1.666,28,221
1,1.694,29,231
1,1.716,31,238
1,1.732,32,243
1,1.749,33,248
1,1.766,33,251
1,1.785,33,253
1,1.813,33,255
2,0.002,-11,-275
2,0.019,-13,-272
2,0.035,-15,-269
2,0.067,-19,-265
2,0.083,-21,-261
2,0.099,-23,-257
2,0.117,-24,-253
2,0.134,-26,-250
2,0.150,-27,-249
2,0.167,-28,-245
2,0.183,-28,-242
2,0.199,-29,-238
2,0.216,-29,-236
2,0.232,-30,-233
2,0.249,-31,-231
2,0.266,-31,-229
2,0.283,-31,-227
