trial,time,x,y
4,0.000,-5,-284
4,0.387,-5,-283
4,0.420,-5,-282
4,0.436,-5,-281
4,0.453,-6,-280
4,0.470,-6,-279
4,0.489,-6,-277
4,0.520,-7,-276
4,0.539,-7,-274
4,0.554,-7,-273
4,0.570,-7,-272
4,0.587,-6,-269
4,0.619,-5,-265
4,0.637,-5,-262
4,0.654,-5,-260
4,0.668,-4,-258
4,0.686,-4,-257
4,0.702,-3,-255
4,0.719,-3,-254
4,0.735,-3,-253
4,0.752,-3,-252
4,0.768,-3,-251
4,0.784,-2,-250
4,0.801,-2,-249
4,0.820,-2,-247
4,0.835,-2,-246
4,0.852,-2,-244
4,0.868,-2,-243
4,0.885,-2,-242
4,0.902,-1,-241
4,0.918,-1,-239
4,0.935,-1,-237
4,0.968,-2,-235
4,0.985,-2,-234
4,1.003,-2,-232
4,1.018,-3,-231
4,1.035,-3,-229
4,1.051,-3,-227
4,1.068,-3,-226
4,1.084,-4,-224
4,1.101,-4,-222
4,1.118,-5,-221
4,1.134,-5,-220
4,1.151,-5,-218
4,1.168,-5,-217
4,1.190,-5,-215
4,1.202,-5,-214
4,1.219,-6,-213
4,1.235,-6,-211
4,1.251,-6,-209
4,1.268,-6,-207
4,1.285,-6,-206
4,1.306,-6,-205
4,1.317,-6,-203
4,1.334,-6,-202
4,1.351,-6,-201
4,1.368,-6,-199
4,1.402,-6,-198
4,1.418,-7,-197
4,1.452,-7,-195
4,1.484,-7,-194
4,1.502,-7,-193
4,1.518,-7,-192
4,1.534,-7,-191
4,1.568,-7,-189
4,1.584,-7,-188
4,1.601,-7,-187
4,1.618,-7,-186
4,1.634,-7,-185
4,1.651,-7,-184
4,1.668,-7,-183
4,1.684,-7,-182
4,1.701,-7,-181
4,1.718,-7,-179
4,1.735,-6,-178
4,1.751,-6,-177
4,1.768,-6,-176
4,1.785,-6,-175
4,1.801,-5,-173
4,1.818,-5,-172
4,1.836,-5,-171
4,1.851,-5,-170
4,1.868,-5,-169
4,1.885,-5,-167
4,1.902,-4,-167
4,1.918,-4,-165
4,1.934,-3,-163
4,1.967,-3,-161
4,2.001,-3,-159
4,2.019,-2,-158
4,2.034,-2,-157
4,2.054,-2,-156
