trial,time,x,y
3,0.000,-2,-277
3,0.034,-1,-278
3,0.051,0,-278
3,0.068,0,-279
3,0.151,1,-279
3,0.295,1,-277
3,0.314,0,-276
3,0.342,0,-275
3,0.354,0,-273
3,0.368,-1,-273
3,0.384,-1,-271
3,0.401,-2,-269
3,0.433,-2,-265
3,0.450,-3,-263
3,0.467,-4,-261
3,0.483,-4,-260
3,0.500,-5,-258
3,0.517,-6,-256
3,0.534,-6,-254
3,0.550,-7,-253
3,0.566,-7,-250
3,0.583,-8,-248
3,0.600,-8,-247
3,0.617,-8,-245
3,0.633,-8,-244
3,0.650,-8,-243
3,0.666,-9,-241
3,0.700,-9,-240
3,0.717,-10,-239
3,0.733,-10,-238
3,0.750,-10,-237
3,0.783,-10,-236
3,0.800,-10,-235
3,0.833,-10,-234
3,0.850,-11,-233
3,0.883,-11,-232
3,0.917,-12,-231
3,0.950,-12,-230
3,0.967,-12,-229
3,1.000,-12,-228
3,1.017,-12,-227
3,1.034,-13,-226
3,1.051,-13,-225
3,1.084,-13,-223
3,1.100,-14,-222
3,1.117,-14,-221
3,1.134,-14,-219
3,1.151,-14,-217
3,1.168,-14,-215
3,1.185,-15,-213
3,1.201,-15,-211
3,1.218,-16,-209
3,1.235,-16,-208
3,1.251,-17,-207
3,1.268,-18,-205
3,1.284,-18,-203
3,1.301,-19,-199
3,1.318,-20,-197
3,1.335,-21,-195
3,1.351,-22,-192
3,1.368,-22,-189
3,1.385,-24,-187
3,1.401,-24,-185
3,1.418,-25,-183
3,1.434,-26,-179
3,1.451,-28,-176
3,1.468,-28,-174
3,1.485,-29,-171
3,1.501,-30,-168
3,1.517,-30,-165
3,1.534,-31,-163
3,1.551,-32,-159
3,1.567,-32,-155
3,1.584,-34,-152
3,1.601,-34,-150
3,1.618,-35,-147
3,1.634,-36,-142
3,1.651,-37,-138
3,1.667,-38,-134
3,1.684,-39,-133
3,1.701,-40,-129
3,1.717,-42,-125
3,1.734,-44,-121
3,1.751,-44,-119
3,1.767,-46,-115
3,1.784,-46,-111
3,1.801,-48,-107
3,1.817,-48,-105
3,1.834,-49,-100
3,1.851,-50,-96
3,1.868,-51,-92
3,1.884,-52,-89
3,1.902,-53,-85
3,1.919,-54,-80
3,1.933,-55,-75
3,1.950,-56,-73
3,1.968,-57,-69
3,1.984,-59,-64
3,2.001,-60,-59
3,2.018,-61,-57
3,2.034,-62,-53
3,2.051,-64,-49
3,2.068,-66,-44
3,2.084,-66,-42
3,2.101,-67,-38
3,2.118,-68,-33
3,2.134,-70,-28
3,2.150,-70,-23
3,2.167,-71,-21
3,2.184,-72,-16
3,2.201,-74,-11
3,2.218,-75,-5
3,2.234,-76,-3
3,2.251,-76,2
3,2.268,-78,7
3,2.284,-80,13
3,2.302,-80,15
3,2.317,-81,20
3,2.334,-82,25
3,2.350,-83,31
3,2.367,-84,33
3,2.384,-84,37
3,2.401,-85,43
3,2.418,-86,47
3,2.434,-86,52
3,2.450,-86,54
3,2.467,-87,58
3,2.484,-88,63
3,2.501,-88,66
3,2.518,-88,71
3,2.534,-88,75
3,2.550,-88,79
3,2.567,-88,84
3,2.584,-88,87
3,2.600,-88,91
3,2.617,-89,95
3,2.634,-89,97
3,2.650,-89,101
3,2.667,-89,106
3,2.684,-89,109
3,2.700,-89,113
3,2.717,-89,115
3,2.734,-89,119
3,2.751,-89,123
3,2.767,-89,127
3,2.784,-89,128
3,2.800,-89,132
3,2.817,-89,137
3,2.834,-89,141
3,2.850,-89,143
3,2.867,-90,148
3,2.884,-90,153
3,2.900,-90,158
3,2.917,-90,161
3,2.933,-90,165
3,2.951,-90,170
3,2.967,-91,175
3,2.984,-91,177
3,3.001,-92,183
3,3.017,-92,187
3,3.034,-92,190
3,3.050,-93,195
3,3.067,-94,201
3,3.084,-94,207
3,3.100,-95,212
3,3.117,-95,215
3,3.134,-96,220
3,3.150,-96,225
3,3.177,-97,232
3,3.198,-98,237
3,3.217,-98,242
3,3.234,-99,247
3,3.250,-100,249
3,3.267,-100,253
3,3.284,-102,257
3,3.300,-102,261
3,3.317,-103,263
3,3.334,-103,267
3,3.351,-104,270
3,3.367,-104,273
3,3.384,-105,275
3,3.400,-106,279
3,3.417,-106,281
3,3.433,-107,284
3,3.450,-108,285
3,3.466,-108,287
4,0.001,4,-278
4,0.018,4,-279
4,0.034,5,-280
4,0.051,5,-281
4,0.069,6,-281
4,0.168,6,-282
4,0.201,6,-283
4,0.284,5,-283
4,0.317,5,-284
4,0.417,5,-281
4,0.434,5,-280
4,0.451,5,-279
4,0.467,5,-277
4,0.484,5,-275
4,0.501,5,-273
4,0.535,5,-271
4,0.552,5,-269
4,0.584,5,-267
4,0.600,5,-265
4,0.617,5,-263
4,0.634,5,-261
4,0.651,5,-259
4,0.667,5,-257
4,0.685,5,-255
4,0.702,5,-252
4,0.719,4,-249
4,0.735,4,-248
4,0.752,4,-246
4,0.769,4,-243
4,0.785,4,-241
4,0.801,4,-239
4,0.818,4,-236
4,0.836,4,-233
4,0.852,3,-231
4,0.868,3,-229
4,0.885,3,-227
4,0.902,3,-225
4,0.918,2,-222
4,0.935,2,-221
4,0.951,2,-218
4,0.969,2,-215
4,0.984,1,-213
4,1.017,1,-211
4,1.034,1,-209
4,1.050,1,-208
4,1.067,1,-207
4,1.084,1,-205
4,1.101,1,-203
4,1.118,1,-201
4,1.135,0,-199
4,1.168,0,-197
4,1.185,0,-195
4,1.204,0,-193
4,1.220,0,-192
4,1.249,0,-191
4,1.268,0,-189
4,1.285,0,-188
4,1.302,0,-187
4,1.318,0,-185
4,1.335,0,-183
4,1.351,0,-182
4,1.369,-1,-180
4,1.385,-1,-178
4,1.406,-1,-176
4,1.422,-1,-174
4,1.435,-1,-173
4,1.452,-1,-172
4,1.468,-1,-170
4,1.485,-1,-167
4,1.501,-1,-166
4,1.518,-1,-163
4,1.535,-2,-160
4,1.551,-2,-158
4,1.568,-2,-157
4,1.585,-2,-154
4,1.601,-2,-152
4,1.618,-1,-149
4,1.634,-1,-148
4,1.651,-1,-145
4,1.668,-1,-142
4,1.685,-1,-139
4,1.701,-1,-137
4,1.717,0,-135
4,1.734,0,-132
4,1.751,0,-129
4,1.768,0,-128
4,1.785,1,-125
4,1.801,1,-121
4,1.817,1,-119
4,1.834,2,-117
4,1.851,2,-115
4,1.868,2,-113
4,1.884,3,-110
4,1.901,3,-107
4,1.917,4,-106
4,1.935,4,-103
4,1.952,4,-100
4,1.968,4,-98
4,1.984,6,-97
4,2.002,8,-97
4,2.018,8,-94
4,2.035,8,-90
4,2.054,8,-86
4,2.074,8,-83
4,2.085,8,-82
4,2.105,9,-79
4,2.118,9,-78
4,2.134,10,-75
4,2.151,11,-71
4,2.168,12,-69
4,2.184,13,-65
4,2.201,14,-64
4,2.217,16,-61
4,2.234,17,-58
4,2.251,18,-55
4,2.267,19,-54
4,2.284,21,-51
4,2.301,22,-47
4,2.317,23,-43
4,2.334,24,-42
4,2.351,25,-39
4,2.367,27,-36
4,2.384,28,-33
4,2.400,29,-31
