trial,time,x,y
1,0.000,-6,-283
1,0.101,-5,-285
1,0.136,-4,-285
1,0.186,-4,-286
1,0.251,-4,-281
1,0.269,-3,-272
1,0.287,-2,-259
1,0.318,-3,-237
1,0.338,-3,-221
1,0.357,-3,-205
1,0.368,-3,-199
1,0.386,-4,-188
1,0.402,-3,-179
1,0.418,-3,-175
1,0.434,-2,-169
1,0.452,-2,-163
1,0.468,-2,-158
1,0.485,-2,-155
1,0.501,-3,-151
1,0.518,-4,-149
1,0.535,-4,-147
1,0.551,-5,-145
1,0.573,-5,-143
1,0.584,-6,-143
1,0.601,-6,-141
1,0.618,-7,-137
1,0.635,-7,-135
1,0.651,-8,-132
1,0.668,-8,-127
1,0.685,-8,-125
1,0.702,-9,-119
1,0.718,-9,-113
1,0.735,-9,-107
1,0.752,-9,-100
1,0.768,-9,-96
1,0.790,-9,-83
1,0.802,-8,-78
1,0.821,-8,-69
1,0.834,-7,-63
1,0.852,-4,-53
1,0.868,0,-43
1,0.885,6,-33
1,0.902,12,-23
1,0.918,16,-18
1,0.934,24,-7
1,0.951,32,2
1,0.969,40,11
1,0.985,44,17
1,1.002,53,26
1,1.018,62,35
1,1.035,69,45
1,1.051,73,49
1,1.069,81,59
1,1.084,88,67
1,1.102,95,77
1,1.118,98,82
1,1.136,102,91
1,1.151,106,101
1,1.173,111,109
1,1.192,116,119
1,1.216,122,133
1,1.240,125,141
1,1.266,129,153
1,1.285,132,161
1,1.302,136,169
1,1.320,138,175
1,1.335,138,177
1,1.352,138,182
1,1.368,138,188
1,1.385,137,191
1,1.402,134,197
1,1.418,132,202
1,1.435,130,207
1,1.451,129,212
1,1.475,128,215
1,1.485,127,217
1,1.501,127,222
1,1.523,126,227
1,1.548,126,235
1,1.566,127,241
1,1.583,127,247
1,1.600,126,249
1,1.616,126,253
1,1.633,126,258
1,1.650,126,262
1,1.666,126,264
1,1.683,126,268
1,1.701,126,271
1,1.718,125,273
1,1.734,125,275
1,1.751,125,277
1,1.768,124,278
1,1.785,124,279
2,0.001,-6,-285
2,0.034,-6,-283
2,0.084,-5,-283
2,0.155,-5,-282
2,0.171,-6,-281
2,0.189,-6,-279
2,0.204,-7,-275
2,0.221,-8,-272
2,0.238,-8,-265
2,0.270,-8,-247
2,0.291,-8,-236
2,0.307,-7,-231
2,0.319,-6,-223
2,0.335,-6,-219
2,0.351,-6,-213
2,0.369,-6,-209
2,0.386,-7,-206
2,0.408,-7,-204
2,0.427,-7,-203
2,0.450,-6,-199
2,0.469,-6,-196
2,0.486,-5,-195
2,0.501,-5,-193
2,0.520,-4,-192
2,0.535,-4,-191
2,0.557,-2,-189
2,0.568,-2,-188
2,0.585,-1,-187
2,0.617,0,-185
2,0.634,0,-184
2,0.650,0,-183
2,0.683,0,-181
2,0.700,-2,-177
2,0.717,-5,-169
2,0.733,-8,-165
2,0.750,-14,-153
2,0.767,-23,-140
2,0.783,-35,-126
2,0.800,-42,-118
2,0.817,-60,-102
2,0.833,-78,-85
2,0.850,-94,-67
2,0.869,-109,-47
2,0.884,-116,-37
2,0.902,-131,-19
2,0.921,-146,-1
2,0.935,-164,16
2,0.952,-174,24
2,0.968,-192,39
2,0.987,-208,54
2,1.002,-222,69
2,1.018,-229,75
2,1.035,-242,89
2,1.052,-254,101
2,1.068,-264,113
2,1.088,-274,125
2,1.107,-283,135
2,1.118,-287,140
2,1.134,-295,149
2,1.152,-299,153
2,1.169,-306,161
2,1.185,-310,167
2,1.203,-314,174
2,1.218,-316,177
2,1.236,-318,183
2,1.251,-319,190
2,1.269,-319,197
2,1.284,-319,201
2,1.303,-318,207
2,1.318,-318,213
2,1.335,-318,219
2,1.352,-318,225
2,1.374,-318,229
2,1.400,-317,236
2,1.418,-316,240
2,1.434,-316,242
2,1.451,-316,245
2,1.468,-316,249
2,1.485,-316,254
2,1.501,-316,257
2,1.519,-316,261
2,1.534,-316,265
3,0.001,-8,-282
3,0.085,-7,-281
3,0.101,-6,-281
3,0.118,-6,-279
3,0.134,-5,-277
3,0.151,-5,-273
3,0.168,-4,-271
3,0.185,-4,-267
3,0.217,-4,-259
3,0.234,-4,-257
3,0.250,-4,-253
3,0.267,-4,-249
3,0.284,-4,-247
3,0.301,-4,-245
3,0.316,-4,-243
3,0.333,-4,-239
3,0.350,-4,-236
3,0.366,-4,-234
3,0.383,-4,-231
3,0.400,-4,-229
3,0.416,-4,-227
3,0.450,-5,-226
3,0.467,-5,-225
3,0.484,-5,-224
3,0.502,-5,-223
3,0.517,-5,-222
3,0.534,-5,-219
3,0.551,-5,-214
3,0.567,-6,-211
3,0.583,-6,-205
3,0.600,-6,-199
3,0.617,-6,-193
3,0.634,-6,-191
3,0.651,-6,-185
3,0.668,-6,-180
3,0.685,-6,-175
3,0.700,-6,-171
3,0.717,-8,-165
3,0.734,-11,-158
3,0.752,-17,-149
3,0.767,-22,-144
3,0.783,-32,-133
3,0.800,-43,-121
3,0.817,-54,-108
3,0.833,-60,-101
3,0.850,-71,-87
3,0.866,-80,-72
3,0.883,-86,-58
3,0.900,-90,-51
3,0.916,-96,-35
3,0.934,-100,-21
3,0.951,-105,-9
3,0.972,-111,5
3,0.984,-114,11
3,1.002,-121,23
3,1.017,-128,35
3,1.035,-135,47
3,1.051,-138,53
3,1.069,-141,64
3,1.089,-144,74
3,1.101,-147,85
3,1.118,-148,89
3,1.134,-153,98
3,1.152,-156,107
3,1.167,-160,115
3,1.185,-162,119
3,1.201,-165,127
3,1.218,-169,134
3,1.234,-174,141
3,1.256,-178,148
3,1.274,-183,155
3,1.284,-186,159
3,1.301,-190,167
3,1.318,-195,174
3,1.334,-197,177
3,1.351,-200,185
3,1.367,-204,194
3,1.384,-205,199
3,1.401,-208,209
3,1.417,-209,221
3,1.447,-213,238
3,1.467,-215,249
3,1.484,-218,261
3,1.501,-219,273
3,1.517,-219,278
4,0.001,-2,-275
4,0.103,-3,-274
4,0.136,-4,-274
4,0.254,-5,-272
4,0.270,-5,-270
4,0.287,-6,-264
4,0.317,-7,-253
4,0.340,-8,-240
4,0.356,-8,-232
4,0.368,-8,-229
4,0.385,-9,-224
4,0.401,-10,-221
4,0.419,-10,-217
4,0.435,-10,-213
4,0.456,-12,-209
4,0.468,-12,-207
4,0.486,-14,-203
4,0.501,-16,-200
4,0.519,-17,-197
4,0.535,-18,-195
4,0.552,-21,-192
4,0.574,-23,-189
4,0.585,-25,-186
4,0.602,-26,-185
4,0.618,-28,-183
4,0.637,-32,-179
4,0.651,-35,-176
4,0.669,-37,-174
4,0.686,-40,-171
4,0.703,-43,-167
4,0.718,-45,-164
4,0.737,-47,-161
4,0.755,-48,-159
4,0.768,-50,-155
4,0.786,-51,-150
4,0.801,-52,-147
4,0.819,-53,-143
4,0.835,-54,-137
4,0.853,-54,-132
4,0.868,-54,-129
4,0.886,-52,-121
4,0.901,-50,-114
4,0.919,-48,-105
4,0.935,-44,-97
4,0.956,-38,-87
4,0.973,-31,-79
4,0.984,-28,-75
4,1.006,-20,-66
4,1.019,-16,-62
4,1.039,-8,-53
4,1.051,0,-43
4,1.069,6,-34
4,1.085,10,-29
4,1.102,16,-19
4,1.118,22,-9
4,1.135,26,0
4,1.151,28,5
4,1.170,32,14
4,1.187,34,24
4,1.202,36,33
4,1.219,37,39
4,1.235,39,49
4,1.266,42,65
4,1.285,44,75
4,1.301,46,87
4,1.319,48,97
4,1.335,50,107
4,1.353,51,118
4,1.371,52,123
4,1.384,55,134
4,1.403,57,144
4,1.418,58,149
4,1.437,60,159
4,1.452,61,169
4,1.469,62,179
4,1.484,62,183
4,1.502,62,193
4,1.518,62,203
4,1.537,61,213
4,1.551,60,218
4,1.569,59,227
4,1.594,56,243
4,1.615,56,254
4,1.634,56,268
4,1.651,58,283
5,0.000,-8,-277
5,0.088,-8,-275
5,0.170,-8,-274
5,0.203,-8,-273
5,0.236,-8,-272
5,0.254,-8,-271
5,0.272,-8,-267
5,0.302,-6,-260
5,0.321,-5,-253
5,0.341,-4,-244
5,0.354,-3,-242
5,0.378,-3,-238
5,0.401,-3,-233
5,0.434,-3,-228
5,0.452,-3,-225
5,0.468,-3,-224
5,0.484,-3,-222
5,0.501,-2,-221
5,0.518,-2,-219
5,0.535,-2,-217
5,0.551,-1,-212
5,0.568,0,-210
5,0.584,2,-205
5,0.603,4,-199
5,0.629,8,-187
5,0.646,10,-177
5,0.670,14,-166
5,0.690,20,-153
5,0.715,34,-133
5,0.734,50,-117
5,0.751,68,-101
5,0.767,79,-92
5,0.784,100,-74
5,0.801,122,-55
5,0.817,144,-35
5,0.834,166,-16
5,0.851,176,-6
5,0.868,197,12
5,0.884,216,29
5,0.906,232,43
5,0.930,246,57
5,0.952,265,79
5,0.971,278,94
5,0.991,290,111
5,1.002,296,119
5,1.021,310,137
5,1.035,322,155
5,1.053,328,164
5,1.069,339,181
5,1.089,348,199
5,1.102,356,217
5,1.120,364,235
5,1.152,376,261
5,1.169,382,277
5,1.186,389,291
5,1.203,391,296
