trial,time,x,y
1,0.005,-9,-275
1,0.186,-9,-273
1,0.220,-9,-271
1,0.236,-9,-270
1,0.253,-8,-268
1,0.286,-8,-264
1,0.302,-8,-263
1,0.318,-8,-259
1,0.335,-8,-255
1,0.352,-7,-251
1,0.368,-7,-250
1,0.385,-7,-247
1,0.402,-7,-245
1,0.419,-8,-244
1,0.436,-8,-243
1,0.452,-8,-242
1,0.469,-8,-241
1,0.485,-8,-239
1,0.519,-8,-236
1,0.535,-7,-233
1,0.552,-7,-231
1,0.569,-7,-230
1,0.586,-7,-228
1,0.602,-8,-227
1,0.619,-8,-225
1,0.635,-8,-224
1,0.653,-8,-222
1,0.669,-8,-220
1,0.686,-8,-218
1,0.702,-8,-217
1,0.719,-8,-214
1,0.735,-8,-211
1,0.752,-8,-209
1,0.769,-8,-208
1,0.785,-9,-206
1,0.802,-9,-204
1,0.819,-9,-201
1,0.835,-9,-200
1,0.852,-9,-197
1,0.869,-10,-193
1,0.885,-11,-189
1,0.902,-12,-187
1,0.919,-13,-185
1,0.935,-14,-180
1,0.952,-17,-175
1,0.969,-18,-173
1,0.985,-20,-168
1,1.005,-23,-163
1,1.019,-25,-157
1,1.035,-26,-151
1,1.052,-27,-148
1,1.068,-29,-141
1,1.085,-31,-135
1,1.102,-33,-128
1,1.120,-35,-125
1,1.142,-39,-116
1,1.183,-43,-106
1,1.230,-49,-93
1,1.250,-52,-87
1,1.269,-55,-81
1,1.285,-58,-77
1,1.302,-61,-73
1,1.318,-62,-71
1,1.335,-64,-65
1,1.351,-66,-60
1,1.368,-68,-54
1,1.385,-69,-52
1,1.401,-72,-46
1,1.418,-75,-41
1,1.435,-78,-36
1,1.452,-79,-34
1,1.468,-81,-29
1,1.485,-83,-23
1,1.501,-84,-19
1,1.518,-85,-17
1,1.535,-87,-13
1,1.552,-89,-8
1,1.568,-91,-3
1,1.585,-92,-1
1,1.602,-94,4
1,1.618,-97,9
1,1.635,-99,15
1,1.654,-101,21
1,1.676,-103,26
1,1.727,-109,44
1,1.750,-114,57
1,1.768,-117,67
1,1.784,-119,71
1,1.801,-121,81
1,1.818,-123,91
1,1.835,-124,102
1,1.852,-125,107
1,1.869,-127,117
1,1.885,-129,127
1,1.901,-131,136
1,1.918,-131,140
1,1.935,-133,149
1,1.952,-135,157
1,1.968,-137,164
1,1.985,-137,168
1,2.001,-139,175
1,2.018,-140,183
1,2.035,-141,189
1,2.051,-141,193
1,2.068,-143,199
1,2.085,-144,207
1,2.102,-145,214
1,2.118,-145,217
1,2.135,-147,224
1,2.151,-147,230
1,2.168,-149,235
1,2.185,-149,239
1,2.202,-151,251
1,2.218,-151,266
1,2.235,-149,278
1,2.252,-148,283
2,0.001,-11,-278
2,0.167,-10,-277
2,0.183,-9,-275
2,0.200,-9,-271
2,0.218,-9,-266
2,0.249,-9,-261
2,0.266,-8,-257
2,0.283,-8,-255
2,0.299,-7,-251
2,0.316,-7,-249
2,0.333,-7,-246
2,0.350,-7,-245
2,0.365,-8,-243
2,0.382,-8,-241
2,0.400,-8,-239
2,0.416,-8,-237
2,0.433,-8,-234
2,0.449,-8,-231
2,0.466,-8,-228
2,0.482,-9,-227
2,0.499,-9,-225
2,0.516,-9,-223
2,0.532,-9,-221
2,0.549,-10,-219
2,0.566,-10,-217
2,0.582,-11,-213
2,0.599,-11,-209
2,0.616,-12,-207
2,0.632,-13,-205
2,0.649,-13,-201
2,0.666,-15,-197
2,0.683,-16,-192
2,0.699,-17,-189
2,0.747,-19,-175
2,0.814,-18,-146
2,0.834,-17,-141
2,0.849,-15,-132
2,0.866,-12,-123
2,0.882,-9,-112
2,0.899,-7,-107
2,0.915,-3,-95
2,0.932,3,-83
2,0.950,10,-71
2,1.000,29,-42
2,1.025,39,-24
2,1.048,46,-13
2,1.066,53,-1
2,1.090,61,11
2,1.148,83,43
2,1.193,100,67
2,1.214,107,77
2,1.232,114,85
2,1.249,121,95
2,1.266,127,103
2,1.282,132,113
2,1.299,135,117
2,1.315,140,127
2,1.332,145,136
2,1.348,149,145
2,1.365,152,150
2,1.382,157,159
2,1.399,161,167
2,1.416,165,176
2,1.432,167,180
2,1.449,171,187
2,1.465,175,195
2,1.482,179,202
2,1.498,181,206
2,1.515,185,213
2,1.532,189,221
2,1.548,193,229
2,1.566,195,233
2,1.582,199,241
2,1.599,204,251
2,1.615,213,266
2,1.632,218,274
3,0.000,-6,-283
3,0.101,-6,-281
3,0.134,-5,-281
3,0.185,-5,-279
3,0.202,-5,-278
3,0.219,-5,-275
3,0.235,-5,-274
3,0.253,-5,-270
3,0.269,-4,-267
3,0.301,-3,-262
3,0.318,-3,-258
3,0.337,-3,-253
3,0.351,-2,-248
3,0.367,-1,-246
3,0.384,-1,-243
3,0.401,0,-239
3,0.417,1,-236
3,0.434,1,-234
3,0.451,1,-231
3,0.468,2,-227
3,0.484,3,-225
3,0.501,3,-223
3,0.517,4,-221
3,0.534,5,-219
3,0.551,6,-216
3,0.568,6,-213
3,0.585,7,-213
3,0.601,7,-210
3,0.618,7,-208
3,0.635,8,-205
3,0.652,8,-204
3,0.668,9,-202
3,0.685,9,-199
3,0.701,10,-196
3,0.720,10,-195
3,0.738,10,-191
3,0.751,11,-187
3,0.769,11,-183
3,0.785,11,-179
3,0.804,11,-173
3,0.818,11,-165
3,0.835,10,-157
3,0.851,9,-151
3,0.868,9,-141
3,0.885,7,-129
3,0.902,6,-116
3,0.918,5,-109
3,0.934,4,-97
3,0.951,3,-84
3,0.968,1,-72
3,0.986,0,-61
3,1.002,-1,-56
3,1.018,-1,-46
3,1.035,-2,-36
3,1.052,-2,-31
3,1.068,-3,-22
3,1.085,-3,-12
3,1.102,-3,-2
3,1.118,-3,3
3,1.134,-3,15
3,1.152,-3,28
3,1.168,-3,41
3,1.185,-3,53
3,1.202,-2,59
3,1.218,-1,73
3,1.235,0,85
3,1.251,2,99
3,1.270,3,105
3,1.285,4,118
3,1.302,5,131
3,1.318,7,143
3,1.335,7,149
3,1.352,8,161
3,1.368,9,173
3,1.384,9,179
3,1.401,10,192
3,1.418,10,204
3,1.434,11,217
3,1.451,11,228
3,1.469,11,233
3,1.485,11,244
3,1.501,11,255
3,1.518,11,262
3,1.535,9,277
3,1.552,7,300
3,1.568,3,300
4,0.001,-13,-273
4,0.085,-13,-272
4,0.136,-13,-271
4,0.186,-13,-270
4,0.203,-13,-269
4,0.234,-13,-266
4,0.252,-13,-264
4,0.271,-13,-260
4,0.283,-13,-257
4,0.299,-13,-252
4,0.316,-13,-246
4,0.333,-13,-240
4,0.349,-13,-237
4,0.368,-14,-231
4,0.385,-14,-227
4,0.404,-14,-225
4,0.418,-14,-221
4,0.434,-14,-220
4,0.452,-14,-217
4,0.470,-14,-215
4,0.488,-14,-212
4,0.500,-14,-211
4,0.517,-14,-209
4,0.533,-14,-207
4,0.550,-14,-205
4,0.566,-14,-204
4,0.583,-14,-202
4,0.600,-15,-199
4,0.618,-15,-196
4,0.634,-15,-194
4,0.652,-15,-191
4,0.668,-16,-189
4,0.685,-16,-186
4,0.701,-17,-185
4,0.717,-17,-181
4,0.734,-19,-177
4,0.751,-20,-173
4,0.767,-21,-171
4,0.784,-23,-167
4,0.804,-25,-161
4,0.817,-27,-154
4,0.834,-29,-151
4,0.851,-34,-145
4,0.868,-39,-137
4,0.884,-45,-130
4,0.901,-48,-125
4,0.918,-55,-117
4,0.934,-63,-108
4,0.951,-71,-99
4,0.967,-79,-91
4,0.985,-83,-86
4,1.001,-91,-77
