trial,time,x,y
1,0.000,-9,-287
1,0.101,-9,-286
1,0.118,-9,-285
1,0.168,-10,-283
1,0.184,-10,-280
1,0.201,-11,-275
1,0.218,-11,-273
1,0.234,-13,-267
1,0.267,-15,-254
1,0.284,-15,-249
1,0.300,-16,-245
1,0.317,-18,-239
1,0.334,-19,-233
1,0.350,-21,-227
1,0.367,-21,-224
1,0.383,-23,-218
1,0.400,-24,-213
1,0.417,-25,-207
1,0.433,-26,-203
1,0.450,-27,-198
1,0.466,-28,-193
1,0.483,-29,-187
1,0.500,-29,-185
1,0.517,-29,-181
1,0.534,-29,-177
1,0.553,-30,-174
1,0.567,-30,-171
1,0.583,-30,-169
1,0.599,-31,-165
1,0.616,-31,-161
1,0.635,-31,-159
1,0.650,-31,-157
1,0.668,-31,-155
1,0.688,-32,-151
1,0.719,-34,-143
1,0.740,-35,-140
1,0.751,-36,-139
1,0.769,-37,-136
1,0.784,-39,-133
1,0.800,-40,-131
1,0.817,-42,-128
1,0.834,-43,-125
1,0.851,-45,-122
1,0.868,-45,-119
1,0.884,-46,-118
1,0.900,-47,-115
1,0.917,-49,-111
1,0.935,-51,-107
1,0.951,-53,-103
1,0.967,-55,-101
1,0.986,-57,-98
1,1.001,-60,-94
1,1.017,-63,-89
1,1.034,-64,-87
1,1.051,-66,-83
1,1.068,-67,-79
1,1.085,-69,-75
1,1.101,-72,-71
1,1.118,-73,-69
1,1.135,-76,-65
1,1.151,-79,-61
1,1.168,-81,-57
1,1.184,-82,-55
1,1.200,-84,-51
1,1.218,-85,-47
1,1.234,-87,-44
1,1.251,-88,-41
1,1.268,-89,-39
1,1.284,-90,-36
1,1.301,-92,-32
1,1.318,-95,-29
1,1.334,-96,-27
1,1.350,-97,-23
1,1.367,-99,-20
1,1.384,-101,-16
1,1.400,-103,-12
1,1.418,-103,-11
1,1.434,-105,-7
1,1.452,-105,-5
1,1.469,-107,-1
1,1.485,-107,1
1,1.501,-108,4
1,1.518,-109,7
1,1.535,-111,10
1,1.552,-111,13
1,1.568,-112,13
1,1.583,-113,15
1,1.602,-113,17
1,1.619,-113,19
1,1.649,-114,21
1,1.666,-115,23
1,1.682,-116,25
1,1.698,-116,27
1,1.716,-117,31
1,1.732,-117,36
1,1.750,-118,42
1,1.766,-118,45
1,1.782,-119,51
1,1.799,-119,56
1,1.815,-119,61
1,1.832,-119,62
1,1.848,-119,65
1,1.866,-119,69
1,1.882,-119,72
1,1.898,-119,76
1,1.915,-120,77
1,1.932,-121,81
1,1.949,-122,85
1,1.965,-123,89
1,1.982,-123,90
1,1.999,-124,94
1,2.016,-125,98
1,2.033,-127,101
1,2.049,-128,105
1,2.066,-129,106
1,2.084,-129,109
1,2.101,-130,113
1,2.118,-130,114
1,2.133,-130,117
1,2.149,-130,120
1,2.166,-130,123
1,2.183,-129,127
1,2.199,-128,131
1,2.216,-127,133
1,2.233,-126,137
1,2.251,-125,141
1,2.267,-123,145
1,2.286,-123,147
1,2.301,-121,149
1,2.318,-121,151
1,2.334,-119,153
1,2.352,-117,155
1,2.367,-117,156
1,2.384,-115,157
1,2.400,-113,159
1,2.418,-111,160
1,2.434,-110,161
1,2.450,-109,161
1,2.468,-107,163
1,2.484,-106,163
1,2.501,-105,165
1,2.535,-103,167
1,2.551,-103,168
1,2.578,-103,173
1,2.597,-103,179
1,2.618,-104,187
1,2.635,-105,193
1,2.654,-105,199
1,2.667,-106,201
1,2.686,-107,207
1,2.701,-109,213
1,2.721,-111,220
1,2.734,-112,223
1,2.774,-118,237
1,2.793,-119,241
1,2.810,-119,243
2,0.001,-4,-277
2,0.087,-5,-274
2,0.104,-5,-273
2,0.120,-5,-270
2,0.136,-6,-263
2,0.168,-7,-249
2,0.186,-7,-240
2,0.202,-7,-231
2,0.218,-7,-227
2,0.235,-7,-219
2,0.252,-7,-212
2,0.268,-8,-205
2,0.285,-9,-199
2,0.301,-9,-196
2,0.318,-10,-190
2,0.335,-11,-185
2,0.352,-13,-179
2,0.368,-15,-177
2,0.386,-17,-174
2,0.403,-19,-170
2,0.420,-21,-165
2,0.438,-23,-161
2,0.454,-23,-160
2,0.469,-25,-157
2,0.487,-25,-155
2,0.503,-26,-154
2,0.518,-27,-152
2,0.534,-27,-149
2,0.551,-29,-146
2,0.568,-29,-143
2,0.584,-29,-142
2,0.601,-31,-139
2,0.618,-32,-136
2,0.635,-33,-133
2,0.651,-34,-132
2,0.668,-36,-129
2,0.684,-38,-126
2,0.701,-39,-123
2,0.720,-41,-121
2,0.738,-41,-119
2,0.752,-42,-119
2,0.770,-43,-117
2,0.787,-43,-116
2,0.807,-45,-115
2,0.817,-45,-113
2,0.834,-45,-112
2,0.851,-46,-110
2,0.868,-47,-107
2,0.884,-47,-106
2,0.901,-47,-103
2,0.918,-47,-100
2,0.934,-47,-96
2,0.951,-47,-93
2,0.967,-47,-87
2,0.984,-45,-81
2,1.001,-43,-75
2,1.017,-42,-72
2,1.034,-39,-65
2,1.050,-35,-58
2,1.067,-33,-52
2,1.083,-32,-49
2,1.100,-30,-44
2,1.118,-28,-40
2,1.134,-26,-35
2,1.151,-24,-31
2,1.167,-23,-29
2,1.184,-22,-25
2,1.201,-20,-21
2,1.218,-19,-16
2,1.236,-18,-11
2,1.253,-18,-9
2,1.269,-17,-4
2,1.288,-17,1
2,1.304,-16,5
2,1.323,-16,11
2,1.336,-15,15
2,1.350,-15,21
2,1.367,-15,28
2,1.383,-14,31
2,1.400,-15,36
2,1.418,-15,41
2,1.435,-16,45
2,1.452,-17,48
2,1.468,-19,52
2,1.485,-21,57
2,1.501,-23,63
2,1.519,-25,69
2,1.535,-26,73
2,1.551,-28,79
2,1.568,-29,84
2,1.585,-30,89
2,1.601,-31,91
2,1.618,-32,97
2,1.635,-33,103
2,1.652,-35,109
2,1.668,-35,111
2,1.686,-37,115
2,1.701,-39,120
2,1.718,-41,125
2,1.735,-43,129
2,1.751,-43,132
2,1.768,-45,137
2,1.785,-46,143
2,1.802,-47,149
2,1.818,-47,153
2,1.835,-47,162
2,1.851,-47,173
2,1.868,-45,185
2,1.885,-43,191
2,1.901,-41,203
2,1.918,-38,213
2,1.935,-35,225
2,1.957,-31,237
2,1.985,-17,265
3,0.001,-2,-277
3,0.118,-3,-276
3,0.134,-4,-275
3,0.151,-5,-273
3,0.166,-5,-271
3,0.182,-6,-265
3,0.219,-8,-251
3,0.232,-9,-243
3,0.249,-9,-239
3,0.268,-10,-233
3,0.288,-11,-226
3,0.301,-11,-220
3,0.321,-13,-215
3,0.334,-13,-212
3,0.355,-14,-207
3,0.375,-16,-201
3,0.386,-17,-199
3,0.406,-19,-195
3,0.418,-19,-194
3,0.437,-20,-191
3,0.451,-22,-188
3,0.481,-24,-184
3,0.500,-25,-181
3,0.516,-26,-179
3,0.549,-27,-176
3,0.566,-28,-174
3,0.583,-29,-171
3,0.599,-30,-169
3,0.618,-33,-164
3,0.638,-36,-159
3,0.656,-39,-155
3,0.668,-42,-150
3,0.689,-45,-144
3,0.700,-46,-141
3,0.718,-49,-135
3,0.735,-53,-129
3,0.755,-57,-123
3,0.767,-59,-120
3,0.784,-62,-116
3,0.801,-64,-111
3,0.817,-66,-108
3,0.834,-67,-107
3,0.850,-69,-104
3,0.867,-70,-101
3,0.885,-71,-99
3,0.903,-73,-98
3,0.918,-73,-97
3,0.935,-75,-96
3,0.951,-76,-95
3,0.982,-79,-91
3,1.000,-81,-88
3,1.017,-83,-82
3,1.034,-85,-74
3,1.051,-85,-70
3,1.067,-87,-64
3,1.086,-87,-59
3,1.100,-87,-55
3,1.121,-87,-51
3,1.134,-87,-49
3,1.150,-87,-46
3,1.167,-87,-43
3,1.187,-87,-40
3,1.200,-86,-39
3,1.221,-86,-37
3,1.241,-86,-35
3,1.248,-86,-34
3,1.265,-85,-31
3,1.282,-85,-28
3,1.299,-84,-24
3,1.315,-83,-22
3,1.332,-82,-17
3,1.349,-81,-11
3,1.365,-79,-4
3,1.382,-77,4
3,1.399,-77,7
3,1.415,-76,13
3,1.432,-76,19
3,1.449,-76,26
3,1.465,-77,30
3,1.482,-78,38
3,1.499,-79,47
3,1.516,-81,56
3,1.532,-82,60
3,1.549,-83,67
3,1.565,-83,75
3,1.582,-83,83
3,1.599,-82,93
3,1.615,-81,98
3,1.632,-79,109
3,1.649,-77,117
3,1.668,-75,125
3,1.683,-73,129
3,1.700,-72,135
3,1.717,-70,143
3,1.734,-69,152
3,1.750,-67,162
3,1.768,-67,167
3,1.785,-67,176
3,1.802,-65,185
3,1.817,-63,194
