trial,time,x,y
1,0.001,3,-284
1,0.070,3,-285
1,0.087,3,-286
1,0.105,3,-288
1,0.135,3,-289
1,0.168,3,-290
1,0.270,3,-291
1,1.500,2,-289
1,1.669,2,-288
1,2.750,2,-287
1,2.803,2,-286
1,2.871,2,-285
1,2.887,2,-284
1,2.953,2,-283
1,3.004,2,-282
1,3.120,1,-282
1,3.520,0,-282
1,3.850,0,-281
1,3.866,-1,-281
1,3.916,-2,-280
1,3.967,-4,-278
1,3.983,-5,-275
1,4.003,-7,-271
1,4.033,-9,-266
1,4.067,-11,-260
1,4.088,-12,-255
1,4.114,-13,-248
1,4.133,-14,-242
1,4.149,-14,-240
1,4.166,-14,-234
1,4.183,-14,-229
1,4.199,-14,-225
1,4.218,-14,-220
1,4.239,-14,-214
1,4.257,-13,-208
1,4.267,-13,-205
1,4.284,-13,-199
1,4.317,-13,-191
1,4.333,-13,-188
1,4.350,-13,-184
1,4.366,-13,-182
1,4.383,-13,-178
1,4.400,-14,-174
1,4.419,-14,-172
1,4.433,-14,-170
1,4.450,-14,-168
1,4.466,-14,-165
1,4.483,-14,-164
1,4.500,-14,-161
1,4.517,-14,-158
1,4.533,-14,-156
1,4.549,-14,-154
1,4.566,-14,-152
1,4.583,-14,-151
1,4.600,-14,-149
1,4.616,-14,-148
1,4.632,-14,-147
1,4.648,-14,-146
1,4.664,-14,-144
1,4.698,-14,-142
1,4.715,-14,-141
1,4.731,-14,-140
1,4.748,-14,-139
1,4.764,-14,-138
1,4.781,-13,-136
1,4.798,-13,-135
1,4.815,-13,-134
1,4.831,-13,-133
1,4.848,-13,-132
1,4.864,-13,-130
1,4.881,-14,-130
1,4.898,-14,-128
1,4.914,-14,-125
1,4.931,-16,-122
1,4.948,-16,-120
1,4.964,-16,-118
1,4.981,-18,-114
1,4.998,-19,-111
1,5.015,-20,-110
1,5.030,-22,-106
1,5.050,-24,-103
1,5.068,-27,-100
1,5.083,-29,-96
1,5.101,-30,-95
1,5.117,-32,-93
1,5.134,-34,-90
1,5.150,-36,-88
1,5.169,-37,-86
1,5.186,-38,-84
1,5.200,-40,-81
1,5.217,-42,-78
1,5.234,-44,-76
1,5.254,-46,-74
1,5.266,-47,-73
1,5.284,-49,-71
1,5.300,-50,-70
1,5.317,-52,-68
1,5.333,-54,-66
1,5.352,-55,-64
1,5.369,-57,-61
1,5.383,-58,-59
1,5.401,-60,-56
1,5.416,-64,-54
1,5.437,-67,-51
1,5.450,-68,-49
1,5.469,-72,-45
1,5.483,-75,-40
1,5.501,-77,-38
1,5.516,-84,-30
1,5.533,-89,-24
1,5.550,-92,-18
1,5.567,-94,-16
1,5.583,-98,-13
1,5.602,-102,-9
1,5.618,-106,-5
1,5.633,-107,-3
1,5.651,-110,1
1,5.665,-113,5
1,5.682,-114,6
1,5.699,-118,10
1,5.715,-122,14
1,5.732,-126,18
1,5.753,-128,21
1,5.766,-130,23
1,5.785,-132,26
1,5.803,-135,30
1,5.816,-138,34
1,5.833,-140,36
1,5.850,-143,39
1,5.868,-146,42
1,5.883,-148,45
1,5.900,-148,47
1,5.916,-150,50
1,5.935,-152,54
1,5.950,-153,58
1,5.966,-154,60
1,5.983,-155,63
1,6.001,-157,66
1,6.018,-159,70
1,6.033,-160,72
1,6.052,-162,76
1,6.066,-164,79
1,6.083,-166,82
1,6.100,-168,84
1,6.120,-170,90
1,6.133,-172,92
1,6.149,-174,96
1,6.166,-174,98
1,6.185,-176,102
1,6.199,-179,106
1,6.217,-181,111
