trial,time,x,y
1,0.000,-5,-283
1,0.203,-4,-281
1,0.236,-4,-276
1,0.250,-3,-269
1,0.282,0,-259
1,0.299,2,-251
1,0.315,4,-245
1,0.332,6,-241
1,0.349,7,-235
1,0.368,8,-230
1,0.387,8,-225
1,0.400,9,-219
1,0.419,9,-213
1,0.433,9,-211
1,0.450,9,-205
1,0.466,9,-200
1,0.483,9,-197
1,0.501,9,-192
1,0.516,8,-187
1,0.533,8,-183
1,0.549,8,-180
1,0.576,6,-173
1,0.598,5,-170
1,0.617,4,-167
1,0.640,3,-162
1,0.658,2,-157
1,0.680,1,-153
1,0.700,1,-151
1,0.716,1,-147
1,0.734,0,-143
1,0.758,0,-138
1,0.781,0,-132
1,0.800,0,-128
1,0.821,0,-124
1,0.832,0,-122
1,0.849,0,-118
1,0.865,0,-117
1,0.882,0,-113
1,0.899,0,-111
1,0.915,0,-108
1,0.932,0,-106
1,0.948,0,-102
1,0.964,0,-99
1,0.981,0,-96
1,0.997,0,-94
1,1.014,0,-91
1,1.031,0,-89
1,1.048,0,-85
1,1.064,0,-83
1,1.081,0,-79
1,1.097,0,-77
1,1.114,1,-74
1,1.131,1,-73
1,1.147,1,-69
1,1.164,1,-66
1,1.181,1,-63
1,1.197,2,-61
1,1.214,2,-58
1,1.231,2,-55
1,1.247,2,-52
1,1.264,2,-51
1,1.280,2,-47
1,1.299,2,-43
1,1.314,2,-40
1,1.330,2,-38
1,1.347,2,-35
1,1.364,2,-32
1,1.381,2,-29
1,1.398,2,-26
1,1.414,1,-23
1,1.432,1,-19
1,1.449,0,-17
1,1.466,0,-13
1,1.482,0,-11
1,1.505,-1,-5
1,1.524,-1,-1
1,1.546,-1,3
1,1.564,-1,7
1,1.581,0,12
1,1.598,0,15
1,1.614,1,19
1,1.631,2,24
1,1.649,4,29
1,1.665,5,35
1,1.682,6,39
1,1.699,8,45
1,1.715,9,51
1,1.732,11,57
1,1.750,12,59
1,1.766,14,65
1,1.782,16,71
1,1.801,18,77
1,1.815,20,79
1,1.836,24,87
1,1.849,26,90
1,1.867,27,95
1,1.882,28,97
1,1.899,30,102
1,1.915,32,108
1,1.932,35,113
1,1.949,36,116
1,1.966,40,122
1,1.982,44,128
1,1.999,48,135
1,2.017,50,139
1,2.032,56,148
1,2.049,63,158
1,2.065,70,168
1,2.082,74,173
1,2.099,81,183
1,2.115,87,194
1,2.132,92,205
1,2.149,95,209
1,2.165,100,220
1,2.182,104,229
1,2.201,106,237
1,2.215,106,240
1,2.232,107,246
1,2.249,108,250
1,2.265,109,253
2,0.000,-6,-283
2,0.068,-6,-282
2,0.118,-6,-281
2,0.136,-6,-279
2,0.154,-7,-273
2,0.170,-8,-266
2,0.187,-8,-262
2,0.218,-10,-246
2,0.235,-10,-242
2,0.252,-12,-234
2,0.267,-12,-227
2,0.285,-12,-220
2,0.301,-13,-217
2,0.320,-13,-209
2,0.334,-13,-202
2,0.355,-13,-195
2,0.367,-13,-191
2,0.387,-13,-185
2,0.400,-13,-177
2,0.416,-13,-174
2,0.432,-13,-168
2,0.449,-13,-161
2,0.467,-13,-155
2,0.483,-14,-150
2,0.500,-14,-147
2,0.517,-14,-142
2,0.534,-14,-137
2,0.550,-15,-133
2,0.567,-16,-131
2,0.583,-16,-128
2,0.600,-17,-124
2,0.616,-18,-121
2,0.634,-19,-117
2,0.650,-19,-114
2,0.667,-20,-112
