trial,time,x,y
1,0.001,0,-290
1,0.102,2,-289
1,0.187,2,-287
1,0.222,4,-284
1,0.238,5,-279
1,0.254,6,-275
1,0.271,8,-272
1,0.288,10,-268
1,0.318,12,-262
1,0.336,14,-257
1,0.353,15,-253
1,0.368,16,-250
1,0.385,16,-249
1,0.401,16,-247
1,0.418,16,-245
1,0.434,16,-243
1,0.452,16,-242
1,0.467,16,-240
1,0.485,16,-238
1,0.500,16,-236
1,0.519,16,-234
1,0.550,17,-232
1,0.568,17,-231
1,0.583,17,-230
1,0.600,18,-229
1,0.617,18,-227
1,0.634,18,-226
1,0.650,18,-225
1,0.666,18,-224
1,0.684,18,-222
1,0.702,18,-220
1,0.718,18,-218
1,0.735,18,-217
1,0.751,18,-216
1,0.768,18,-215
1,0.785,18,-213
1,0.817,18,-211
1,0.834,18,-210
1,0.850,18,-209
1,0.866,17,-207
1,0.883,17,-206
1,0.900,17,-204
1,0.916,16,-202
1,0.933,16,-201
1,0.950,16,-199
1,0.967,16,-198
1,0.985,16,-196
1,1.001,16,-195
1,1.017,16,-193
1,1.035,16,-191
1,1.051,16,-189
1,1.070,16,-187
1,1.084,16,-186
1,1.102,16,-183
1,1.118,17,-180
1,1.138,17,-177
1,1.156,18,-174
1,1.168,18,-173
1,1.184,18,-170
1,1.201,18,-167
1,1.218,18,-166
1,1.234,19,-163
1,1.253,19,-159
1,1.267,20,-156
1,1.285,20,-153
1,1.300,20,-151
1,1.318,20,-147
1,1.334,20,-143
1,1.351,20,-139
1,1.367,21,-137
1,1.384,21,-133
1,1.400,21,-129
1,1.422,22,-125
1,1.448,22,-119
1,1.467,22,-116
1,1.484,22,-113
1,1.501,22,-111
1,1.518,22,-108
1,1.534,22,-105
1,1.550,22,-103
1,1.567,22,-99
1,1.584,22,-96
1,1.604,21,-93
1,1.621,20,-89
1,1.634,20,-87
1,1.650,20,-83
1,1.667,19,-79
1,1.684,18,-76
1,1.700,18,-73
1,1.717,18,-71
1,1.734,17,-67
1,1.751,16,-64
1,1.767,16,-61
1,1.784,16,-59
1,1.800,16,-57
1,1.817,16,-53
1,1.834,15,-50
1,1.850,15,-49
1,1.868,15,-45
1,1.884,15,-42
1,1.900,15,-39
1,1.917,15,-37
1,1.936,15,-35
1,1.950,15,-32
1,1.967,15,-29
1,1.983,15,-25
1,2.001,15,-24
1,2.017,15,-21
1,2.034,16,-18
1,2.054,16,-15
1,2.067,15,-12
1,2.093,15,-9
1,2.115,14,-4
1,2.141,14,-1
1,2.159,14,1
1,2.181,14,5
1,2.200,13,9
1,2.217,12,13
1,2.233,11,16
1,2.250,11,19
1,2.266,10,23
1,2.289,10,27
1,2.308,9,31
1,2.331,8,35
1,2.350,8,38
1,2.367,8,42
1,2.383,7,47
1,2.400,6,51
1,2.416,6,53
1,2.435,6,57
1,2.450,6,62
1,2.466,6,67
1,2.483,6,69
1,2.500,7,75
1,2.517,8,79
1,2.533,8,85
1,2.549,8,87
1,2.566,9,92
1,2.583,10,97
1,2.599,10,102
1,2.616,10,105
1,2.633,11,110
1,2.650,12,115
1,2.666,13,121
1,2.683,13,127
1,2.699,14,129
1,2.717,14,135
1,2.733,15,141
1,2.750,16,147
1,2.767,16,151
1,2.783,17,156
1,2.800,18,163
1,2.816,19,169
1,2.833,19,172
1,2.850,20,178
1,2.866,21,184
1,2.883,22,190
1,2.900,23,193
1,2.916,24,199
1,2.933,26,205
1,2.950,26,208
1,2.967,28,217
1,2.984,29,219
1,3.000,30,225
1,3.028,32,233
1,3.048,33,237
1,3.065,34,242
1,3.082,35,246
1,3.099,36,248
1,3.116,36,251
1,3.133,36,253
1,3.150,36,255
1,3.166,36,257
1,3.183,36,258
1,3.202,36,259
1,3.216,36,260
1,3.250,36,261
2,0.001,0,-285
2,0.200,0,-283
2,0.217,0,-282
2,0.236,0,-280
2,0.253,0,-277
2,0.269,-1,-273
2,0.287,-2,-271
2,0.303,-2,-269
2,0.335,-3,-262
2,0.354,-4,-259
2,0.371,-4,-257
2,0.385,-5,-253
2,0.415,-6,-249
2,0.434,-6,-245
2,0.450,-6,-241
2,0.471,-7,-237
2,0.485,-7,-235
2,0.506,-8,-229
2,0.527,-8,-225
2,0.547,-9,-220
2,0.565,-9,-215
2,0.582,-10,-211
2,0.599,-10,-207
2,0.615,-10,-205
2,0.633,-11,-200
2,0.649,-11,-195
2,0.666,-12,-191
2,0.683,-12,-189
2,0.701,-12,-185
2,0.717,-12,-180
2,0.734,-12,-176
2,0.750,-12,-174
2,0.767,-12,-171
2,0.784,-12,-167
2,0.801,-12,-163
2,0.817,-12,-161
2,0.833,-12,-158
