trial,time,x,y
1,0.001,2,-271
1,0.019,2,-263
1,0.052,0,-249
1,0.072,-2,-243
1,0.090,-3,-237
1,0.102,-3,-233
1,0.121,-4,-226
1,0.135,-4,-219
1,0.158,-5,-213
1,0.184,-6,-204
1,0.202,-6,-199
1,0.223,-6,-193
1,0.246,-6,-187
1,0.269,-6,-180
1,0.295,-6,-175
1,0.313,-6,-169
1,0.335,-6,-162
1,0.351,-6,-160
1,0.370,-6,-155
1,0.385,-6,-149
1,0.403,-6,-145
1,0.418,-5,-142
1,0.436,-4,-137
1,0.466,-3,-129
1,0.485,-2,-123
1,0.504,-2,-117
1,0.534,-1,-106
1,0.550,-1,-103
1,0.567,0,-97
1,0.583,0,-91
1,0.600,0,-85
1,0.618,1,-78
1,0.635,2,-75
1,0.654,2,-69
1,0.671,4,-62
1,0.685,4,-59
1,0.703,5,-53
1,0.718,6,-47
1,0.736,6,-41
1,0.751,7,-35
1,0.771,8,-33
1,0.785,8,-27
1,0.803,9,-21
1,0.818,10,-16
1,0.835,10,-13
1,0.851,10,-7
1,0.870,10,0
1,0.899,13,13
1,0.918,15,23
1,0.935,18,33
1,0.953,22,44
1,0.968,24,50
1,0.985,28,62
1,1.001,31,75
1,1.018,35,87
1,1.034,37,93
1,1.052,41,105
1,1.068,45,116
1,1.085,48,127
1,1.101,50,133
1,1.120,53,145
1,1.149,60,163
1,1.168,64,175
1,1.185,67,187
1,1.202,69,199
1,1.218,73,212
1,1.235,75,219
1,1.252,79,231
1,1.281,84,245
1,1.301,87,251
2,0.002,-2,-283
2,0.018,-1,-281
2,0.034,0,-277
2,0.052,1,-275
2,0.068,1,-269
2,0.100,0,-256
2,0.117,0,-252
2,0.134,-2,-243
2,0.150,-2,-235
2,0.167,-2,-227
2,0.183,-2,-223
2,0.200,-2,-216
2,0.217,-3,-209
2,0.234,-3,-203
2,0.251,-3,-201
2,0.269,-3,-196
2,0.284,-3,-191
2,0.302,-4,-187
2,0.332,-4,-181
2,0.351,-4,-178
2,0.368,-5,-174
2,0.390,-5,-171
2,0.402,-6,-169
2,0.423,-6,-165
2,0.449,-6,-158
2,0.470,-6,-153
2,0.489,-6,-148
2,0.508,-7,-143
2,0.518,-7,-139
2,0.535,-6,-133
2,0.551,-6,-125
2,0.569,-6,-117
2,0.584,-6,-114
2,0.603,-6,-107
2,0.618,-6,-100
2,0.635,-6,-92
2,0.651,-6,-88
2,0.681,-8,-75
2,0.701,-10,-63
2,0.718,-11,-59
2,0.735,-14,-51
2,0.752,-18,-42
2,0.767,-22,-35
2,0.785,-24,-31
2,0.801,-27,-23
2,0.818,-32,-15
2,0.834,-37,-8
2,0.852,-40,-5
2,0.868,-45,3
2,0.888,-51,9
2,0.904,-58,16
2,0.918,-62,20
2,0.934,-71,28
2,0.951,-80,35
2,0.968,-89,44
2,0.984,-94,48
2,1.002,-102,56
2,1.018,-111,64
2,1.049,-124,77
2,1.068,-134,86
2,1.084,-144,95
2,1.101,-154,105
2,1.117,-159,111
2,1.135,-168,121
2,1.166,-184,135
2,1.184,-194,145
2,1.202,-204,155
2,1.220,-213,165
2,1.233,-217,170
2,1.250,-226,179
2,1.266,-236,189
2,1.283,-246,198
2,1.302,-255,207
2,1.318,-260,211
2,1.334,-269,219
2,1.351,-276,227
2,1.372,-283,236
2,1.399,-291,248
2,1.417,-294,254
2,1.434,-295,257
3,0.000,-1,-279
3,0.034,-1,-277
3,0.050,0,-275
3,0.067,0,-270
3,0.084,-1,-263
3,0.118,-2,-251
3,0.135,-4,-243
3,0.151,-4,-235
3,0.168,-6,-227
3,0.184,-6,-225
3,0.201,-6,-218
3,0.218,-8,-211
3,0.234,-8,-205
3,0.251,-10,-202
3,0.268,-10,-196
3,0.284,-12,-191
3,0.301,-13,-185
3,0.317,-14,-183
3,0.334,-15,-178
3,0.353,-16,-173
3,0.372,-18,-169
3,0.385,-18,-166
3,0.403,-20,-161
3,0.419,-21,-157
3,0.437,-22,-152
3,0.452,-22,-150
3,0.472,-24,-143
3,0.485,-24,-141
3,0.502,-25,-135
3,0.519,-26,-133
3,0.536,-26,-127
3,0.556,-27,-122
3,0.568,-28,-116
3,0.586,-28,-113
3,0.602,-28,-108
3,0.620,-28,-102
3,0.635,-27,-95
3,0.652,-27,-92
3,0.669,-26,-85
3,0.686,-25,-78
3,0.702,-24,-75
3,0.720,-22,-67
3,0.735,-18,-59
3,0.752,-14,-51
3,0.769,-10,-41
3,0.785,-8,-37
3,0.803,-2,-27
3,0.818,6,-17
3,0.837,14,-7
3,0.852,18,-3
3,0.870,27,7
3,0.885,37,17
3,0.907,48,27
3,0.928,59,39
3,0.949,76,55
3,0.967,86,64
3,0.984,92,69
3,1.001,102,78
3,1.017,110,87
3,1.034,119,96
3,1.050,123,101
3,1.068,130,109
3,1.084,137,117
3,1.102,143,125
3,1.119,146,129
3,1.136,151,137
3,1.153,156,144
3,1.172,160,151
3,1.185,162,155
3,1.204,165,163
3,1.217,168,171
3,1.234,171,181
3,1.250,173,186
3,1.268,178,198
3,1.284,183,211
3,1.300,186,219
3,1.317,191,231
3,1.336,195,243
3,1.350,198,253
4,0.000,-6,-276
4,0.019,-4,-271
4,0.035,-2,-266
4,0.067,2,-245
4,0.084,3,-234
4,0.102,3,-229
4,0.116,4,-218
4,0.133,5,-207
4,0.150,5,-203
4,0.166,6,-193
4,0.183,6,-185
4,0.199,6,-178
4,0.216,6,-175
4,0.233,6,-168
4,0.249,6,-163
4,0.266,6,-157
4,0.282,6,-154
4,0.299,5,-149
4,0.316,5,-145
4,0.332,4,-140
4,0.349,4,-138
4,0.367,4,-133
4,0.387,4,-129
4,0.401,4,-125
4,0.418,4,-120
4,0.434,4,-117
4,0.451,3,-113
4,0.467,3,-109
4,0.485,2,-105
4,0.501,2,-103
4,0.517,1,-97
4,0.535,1,-93
4,0.551,1,-88
4,0.568,2,-85
4,0.584,4,-79
4,0.601,6,-72
4,0.617,10,-64
4,0.635,14,-55
4,0.652,18,-50
4,0.672,26,-39
4,0.697,40,-23
4,0.716,50,-13
4,0.733,63,-2
4,0.751,76,8
4,0.767,82,13
4,0.785,96,23
4,0.801,110,32
4,0.818,126,42
4,0.834,134,47
4,0.852,149,57
4,0.867,164,68
4,0.885,178,78
4,0.901,192,89
4,0.920,205,99
4,0.938,211,105
4,0.951,223,116
4,0.969,228,121
4,0.984,238,133
4,1.002,247,143
4,1.017,254,153
4,1.034,257,158
4,1.050,263,168
4,1.068,268,178
4,1.084,274,189
4,1.102,279,201
4,1.118,282,208
4,1.135,291,223
4,1.174,307,252
4,1.199,314,267
5,0.001,-2,-285
5,0.018,-1,-283
5,0.035,0,-282
5,0.051,1,-277
5,0.068,3,-272
5,0.085,4,-265
5,0.117,6,-255
5,0.134,8,-246
5,0.152,10,-239
5,0.168,11,-231
5,0.187,12,-227
5,0.202,14,-218
5,0.219,17,-209
5,0.235,20,-202
5,0.253,21,-199
5,0.268,23,-192
5,0.288,24,-187
5,0.306,26,-183
5,0.318,26,-181
5,0.338,26,-175
5,0.351,27,-171
5,0.375,28,-165
5,0.384,29,-162
5,0.400,30,-156
5,0.417,30,-150
5,0.433,31,-147
5,0.450,32,-140
5,0.467,34,-133
5,0.483,37,-125
5,0.500,38,-121
5,0.517,41,-114
5,0.533,44,-107
5,0.550,46,-101
5,0.567,46,-97
5,0.583,47,-92
5,0.602,47,-86
5,0.620,46,-79
5,0.634,42,-71
5,0.657,38,-65
5,0.669,34,-61
5,0.688,28,-53
5,0.706,19,-45
5,0.718,14,-41
5,0.735,2,-32
5,0.752,-9,-23
5,0.769,-20,-13
5,0.784,-26,-8
5,0.802,-38,3
5,0.819,-50,13
5,0.835,-57,19
5,0.851,-69,30
5,0.869,-81,41
5,0.887,-92,53
5,0.900,-98,59
5,0.917,-108,73
5,0.934,-117,86
5,0.967,-130,107
5,0.983,-138,120
5,1.000,-145,133
5,1.017,-153,146
5,1.033,-157,152
5,1.050,-164,166
5,1.067,-171,181
5,1.085,-177,197
5,1.101,-182,213
5,1.119,-185,221
5,1.140,-190,249
5,1.166,-189,266
5,1.184,-186,282
6,0.001,2,-282
6,0.018,4,-279
6,0.034,4,-277
6,0.051,6,-268
6,0.083,8,-249
6,0.100,8,-244
6,0.117,8,-233
6,0.133,9,-221
6,0.150,10,-209
6,0.167,12,-204
6,0.183,13,-195
6,0.201,14,-186
6,0.219,16,-179
6,0.234,17,-173
6,0.252,18,-169
6,0.269,18,-164
6,0.284,19,-159
6,0.301,19,-156
6,0.317,20,-151
6,0.334,20,-146
6,0.351,20,-141
6,0.373,19,-136
6,0.385,19,-133
6,0.408,17,-127
6,0.433,16,-121
6,0.452,14,-116
6,0.468,13,-111
6,0.485,10,-106
6,0.505,8,-101
6,0.532,5,-92
6,0.551,2,-87
6,0.568,0,-81
6,0.584,-2,-77
6,0.601,-5,-71
6,0.618,-8,-66
6,0.634,-10,-63
6,0.653,-14,-56
6,0.667,-20,-49
6,0.684,-26,-42
6,0.702,-33,-34
6,0.723,-42,-27
6,0.748,-52,-18
6,0.765,-63,-9
6,0.782,-76,0
6,0.799,-89,11
6,0.816,-104,22
6,0.832,-110,28
6,0.849,-125,40
6,0.867,-140,53
6,0.884,-152,67
6,0.901,-159,74
6,0.917,-171,89
6,0.935,-183,105
6,0.951,-194,119
6,0.968,-206,134
6,0.987,-211,141
6,1.001,-221,157
6,1.018,-226,164
6,1.034,-236,178
6,1.051,-245,191
6,1.067,-254,203
6,1.086,-262,216
6,1.101,-269,229
6,1.130,-273,243
7,0.000,4,-276
7,0.035,5,-273
7,0.051,5,-271
7,0.069,4,-267
7,0.100,2,-256
7,0.118,2,-253
7,0.134,1,-246
7,0.151,1,-239
7,0.168,0,-231
7,0.184,0,-228
7,0.200,-1,-221
7,0.218,-1,-215
7,0.234,-2,-209
7,0.251,-3,-206
7,0.267,-4,-199
