trial,time,x,y
2,0.001,0,-285
2,0.134,0,-284
2,0.167,0,-283
2,0.217,0,-282
2,0.267,0,-281
2,0.284,0,-280
2,0.301,0,-278
2,0.317,-1,-273
2,0.334,-1,-266
2,0.367,-2,-254
2,0.383,-3,-247
2,0.400,-3,-242
2,0.417,-3,-239
2,0.433,-3,-233
2,0.450,-3,-228
2,0.466,-3,-223
2,0.483,-4,-220
2,0.500,-4,-215
2,0.516,-4,-210
2,0.533,-4,-206
2,0.549,-4,-204
2,0.566,-3,-199
2,0.583,-3,-194
2,0.600,-3,-190
2,0.616,-3,-188
2,0.633,-1,-184
2,0.649,-1,-180
2,0.666,1,-174
2,0.683,1,-172
2,0.699,2,-168
2,0.716,3,-166
2,0.733,5,-162
2,0.749,5,-160
2,0.766,6,-156
2,0.783,7,-152
2,0.800,7,-149
2,0.816,7,-147
2,0.833,8,-143
2,0.849,9,-138
2,0.866,9,-134
2,0.883,9,-132
2,0.900,9,-127
2,0.916,10,-122
2,0.933,11,-116
2,0.949,11,-114
2,0.966,11,-109
2,0.983,11,-104
2,1.000,12,-98
2,1.016,12,-95
2,1.033,12,-90
2,1.049,13,-83
2,1.066,13,-77
2,1.083,14,-74
2,1.100,15,-68
2,1.116,16,-62
2,1.133,17,-55
2,1.149,18,-52
2,1.166,20,-45
2,1.183,21,-40
2,1.199,23,-35
2,1.216,23,-33
2,1.233,25,-29
2,1.249,25,-26
2,1.266,26,-23
2,1.283,27,-22
2,1.299,27,-20
2,1.316,27,-18
2,1.333,27,-16
2,1.366,27,-15
2,1.382,27,-14
2,1.399,27,-13
2,1.433,27,-12
2,1.449,28,-11
2,1.466,28,-10
2,1.496,29,-9
2,1.517,29,-8
2,1.533,29,-7
2,1.550,29,-6
2,1.566,29,-5
2,1.583,29,-4
2,1.599,29,-3
2,1.616,29,-2
2,1.633,29,-1
2,1.650,29,0
2,1.666,29,1
2,1.683,29,2
2,1.700,29,3
2,1.716,29,4
2,1.733,29,5
2,1.749,29,6
2,1.766,29,7
2,1.783,29,9
2,1.799,30,12
2,1.816,30,14
2,1.833,30,18
2,1.849,31,20
2,1.866,31,23
2,1.882,31,24
2,1.899,31,25
2,1.916,31,27
2,1.933,31,29
2,1.949,31,30
2,1.966,31,32
2,1.983,31,34
2,1.999,31,36
2,2.033,31,38
2,2.049,31,40
2,2.066,31,42
2,2.099,31,44
2,2.116,31,46
2,2.133,31,47
2,2.149,31,48
2,2.166,32,50
2,2.183,32,51
2,2.199,32,52
2,2.216,32,53
2,2.233,32,55
2,2.249,33,56
2,2.266,33,58
2,2.283,33,59
2,2.299,33,60
2,2.316,33,62
2,2.332,33,64
2,2.349,33,65
2,2.366,34,66
2,2.382,34,68
2,2.399,34,70
2,2.416,35,71
2,2.433,35,73
2,2.449,35,75
2,2.466,36,77
2,2.482,37,78
2,2.499,37,80
2,2.516,38,81
2,2.533,39,83
2,2.549,39,84
2,2.566,40,85
2,2.583,40,87
2,2.599,41,88
2,2.632,41,90
2,2.649,41,91
2,2.666,42,92
2,2.682,42,94
2,2.699,42,95
2,2.716,43,97
2,2.732,43,100
2,2.749,43,101
2,2.766,43,104
2,2.782,44,107
2,2.799,44,110
2,2.816,44,112
2,2.833,44,115
2,2.849,45,118
2,2.866,45,123
2,2.882,45,125
2,2.899,47,130
2,2.916,47,134
2,2.932,48,139
2,2.949,49,141
2,2.965,49,145
2,2.982,49,148
2,2.999,50,152
2,3.015,50,153
2,3.032,51,155
2,3.049,51,157
2,3.065,51,159
2,3.082,51,160
2,3.099,51,162
2,3.115,51,164
2,3.132,51,166
2,3.165,51,168
2,3.182,51,170
2,3.199,51,172
2,3.215,51,173
2,3.232,52,175
2,3.249,53,178
2,3.266,53,180
2,3.282,53,181
2,3.299,53,183
2,3.318,53,186
2,3.332,53,188
2,3.349,53,189
2,3.366,54,192
2,3.382,55,195
2,3.399,56,198
2,3.415,56,200
2,3.432,57,206
2,3.449,59,214
2,3.465,61,222
2,3.482,61,226
2,3.498,63,233
2,3.515,65,242
2,3.532,67,252
2,3.548,69,257
2,3.565,71,266
2,3.582,74,272
