trial,time,x,y
1,0.001,0,-276
1,0.268,0,-274
1,0.284,0,-271
1,0.302,1,-266
1,0.333,1,-257
1,0.351,2,-251
1,0.369,2,-241
1,0.385,3,-229
1,0.399,3,-223
1,0.416,3,-212
1,0.433,3,-203
1,0.449,3,-195
1,0.466,3,-188
1,0.483,3,-184
1,0.499,3,-176
1,0.516,1,-169
1,0.533,-1,-163
1,0.553,-3,-157
1,0.568,-4,-155
1,0.585,-6,-150
1,0.602,-9,-145
1,0.619,-11,-141
1,0.635,-13,-138
1,0.651,-13,-137
1,0.668,-15,-133
1,0.686,-17,-131
1,0.702,-19,-128
1,0.719,-22,-125
1,0.735,-23,-123
1,0.751,-27,-119
1,0.769,-30,-115
1,0.785,-31,-113
1,0.801,-33,-109
1,0.818,-34,-107
1,0.835,-35,-104
1,0.852,-36,-101
1,0.871,-37,-99
1,0.885,-37,-98
1,0.904,-39,-95
1,0.918,-39,-91
1,0.939,-41,-88
1,0.967,-41,-84
1,0.985,-41,-81
1,1.001,-42,-78
1,1.019,-41,-75
1,1.035,-41,-71
1,1.050,-41,-68
1,1.066,-40,-63
1,1.083,-40,-59
1,1.100,-39,-55
1,1.116,-39,-53
1,1.133,-39,-49
1,1.150,-39,-45
1,1.167,-38,-41
1,1.183,-38,-37
1,1.200,-38,-34
1,1.216,-37,-30
1,1.235,-37,-25
1,1.252,-38,-21
1,1.269,-38,-15
1,1.285,-38,-12
1,1.302,-38,-6
1,1.318,-38,1
1,1.336,-38,7
1,1.352,-38,15
1,1.368,-39,19
1,1.385,-39,30
1,1.404,-38,44
1,1.421,-37,59
1,1.435,-35,73
1,1.452,-35,81
1,1.469,-34,97
1,1.487,-34,113
1,1.502,-34,130
1,1.520,-34,139
1,1.535,-35,157
1,1.552,-35,177
1,1.569,-35,199
1,1.601,-31,235
2,0.002,-1,-295
2,0.101,-1,-293
2,0.121,0,-293
2,0.136,0,-292
2,0.153,0,-291
2,0.167,0,-289
2,0.184,-1,-287
2,0.200,-1,-283
2,0.218,-2,-279
2,0.234,-3,-275
2,0.250,-5,-267
2,0.283,-8,-252
2,0.300,-9,-246
2,0.317,-9,-243
2,0.333,-10,-237
2,0.350,-11,-231
2,0.366,-12,-223
2,0.385,-13,-220
2,0.401,-14,-213
2,0.417,-15,-205
2,0.433,-16,-198
2,0.450,-17,-191
2,0.466,-17,-188
2,0.483,-18,-182
2,0.501,-19,-176
2,0.518,-21,-171
2,0.535,-23,-166
2,0.551,-24,-161
2,0.568,-25,-159
2,0.585,-27,-155
2,0.601,-29,-151
2,0.620,-30,-146
2,0.639,-32,-141
2,0.668,-35,-131
2,0.685,-36,-125
2,0.701,-37,-120
2,0.718,-39,-117
2,0.735,-41,-112
2,0.756,-43,-106
2,0.768,-47,-101
2,0.784,-48,-98
2,0.801,-51,-93
2,0.818,-53,-89
2,0.834,-55,-85
2,0.852,-56,-81
2,0.868,-59,-77
2,0.885,-59,-76
2,0.901,-62,-72
2,0.918,-63,-69
2,0.935,-65,-66
2,0.951,-65,-65
2,0.968,-67,-62
2,0.985,-68,-59
2,1.001,-69,-57
2,1.018,-70,-55
2,1.035,-70,-54
2,1.051,-71,-52
2,1.068,-71,-50
2,1.085,-71,-48
2,1.101,-71,-46
2,1.118,-72,-45
2,1.134,-72,-43
2,1.151,-73,-41
2,1.168,-73,-40
2,1.184,-73,-39
2,1.201,-73,-38
2,1.220,-73,-37
2,1.235,-73,-35
2,1.251,-73,-33
2,1.268,-73,-30
2,1.285,-73,-28
2,1.302,-73,-23
2,1.328,-73,-15
2,1.345,-74,-10
2,1.367,-75,-6
2,1.385,-77,-1
2,1.402,-81,6
2,1.419,-87,13
2,1.437,-93,20
2,1.451,-96,23
2,1.469,-103,31
2,1.484,-111,39
2,1.501,-119,48
2,1.519,-128,59
2,1.536,-133,65
2,1.551,-141,79
2,1.568,-149,93
2,1.584,-153,101
2,1.601,-161,115
2,1.618,-169,129
2,1.635,-178,143
2,1.651,-187,157
2,1.668,-190,164
2,1.684,-197,181
2,1.701,-201,201
2,1.718,-203,225
2,1.738,-204,247
2,1.767,-204,273
3,0.001,2,-276
3,0.202,1,-271
3,0.218,-1,-268
3,0.251,-6,-255
3,0.271,-9,-249
3,0.291,-11,-242
3,0.316,-15,-230
3,0.335,-17,-221
3,0.354,-18,-215
3,0.366,-19,-211
3,0.385,-21,-205
3,0.400,-23,-200
3,0.418,-25,-195
3,0.433,-27,-191
3,0.450,-30,-187
3,0.464,-32,-182
3,0.481,-33,-180
3,0.497,-34,-177
3,0.514,-35,-173
3,0.531,-37,-169
3,0.549,-39,-166
3,0.564,-39,-165
3,0.581,-41,-162
3,0.597,-43,-159
3,0.614,-45,-155
3,0.630,-48,-152
3,0.647,-49,-150
3,0.664,-51,-147
3,0.681,-52,-144
3,0.698,-53,-141
3,0.714,-53,-140
3,0.730,-55,-136
3,0.747,-56,-132
3,0.764,-57,-128
3,0.783,-58,-125
3,0.800,-59,-123
3,0.817,-60,-120
3,0.833,-61,-116
3,0.853,-63,-112
3,0.873,-65,-108
3,0.899,-68,-102
3,0.921,-73,-95
3,0.947,-76,-89
3,0.963,-81,-85
3,0.980,-87,-79
3,0.997,-95,-74
3,1.013,-99,-71
3,1.030,-109,-64
