trial,time,x,y
2,0.000,1,-278
2,0.304,2,-278
2,0.322,2,-277
2,0.338,2,-276
2,0.354,3,-276
2,0.371,3,-274
2,0.387,4,-272
2,0.403,6,-268
2,0.435,11,-258
2,0.453,17,-249
2,0.483,27,-232
2,0.502,34,-219
2,0.519,42,-205
2,0.537,51,-190
2,0.551,55,-182
2,0.568,63,-167
2,0.585,71,-153
2,0.602,77,-141
2,0.618,80,-136
2,0.636,85,-126
2,0.654,91,-116
2,0.668,96,-108
2,0.686,100,-101
2,0.702,103,-97
2,0.719,109,-90
2,0.735,114,-82
2,0.752,117,-78
2,0.768,123,-69
2,0.786,131,-60
2,0.801,138,-50
2,0.818,141,-45
2,0.835,151,-34
2,0.852,160,-22
2,0.868,169,-10
2,0.885,179,2
2,0.904,184,9
2,0.918,193,21
2,0.935,203,33
2,0.952,207,39
2,0.969,216,50
2,0.985,225,61
2,1.002,233,71
2,1.018,237,76
2,1.036,244,85
2,1.052,250,93
2,1.070,256,100
2,1.086,261,107
2,1.101,264,110
2,1.118,269,116
2,1.135,275,124
2,1.152,278,127
2,1.168,283,134
2,1.186,289,140
2,1.202,294,146
2,1.218,297,150
2,1.235,302,155
2,1.252,306,160
2,1.268,310,166
2,1.286,312,168
2,1.303,316,172
2,1.318,319,176
2,1.335,323,180
2,1.351,324,182
2,1.368,327,184
2,1.385,329,187
2,1.402,331,189
2,1.418,331,190
2,1.436,333,192
2,1.451,335,194
2,1.468,337,196
2,1.485,339,198
2,1.502,341,201
2,1.518,343,203
2,1.535,345,205
2,1.553,347,207
2,1.568,347,208
2,1.586,349,210
2,1.601,350,211
2,1.618,351,212
2,1.635,352,213
2,1.652,353,214
2,1.668,355,215
2,1.686,356,216
2,1.718,357,217
2,1.751,358,218
2,1.768,359,218
2,1.801,360,219
2,1.835,361,219
2,1.851,361,220
2,1.870,363,220
2,1.886,363,221
2,1.908,365,222
2,1.950,366,223
2,1.966,367,223
2,1.983,367,224
3,0.001,-7,-281
3,0.270,-6,-280
3,0.286,-5,-279
3,0.304,-4,-276
3,0.319,-3,-274
3,0.336,-1,-271
3,0.354,0,-268
3,0.384,2,-262
3,0.401,4,-258
3,0.419,5,-252
3,0.435,8,-246
3,0.451,9,-243
3,0.468,12,-238
3,0.486,15,-232
3,0.501,19,-226
3,0.519,20,-222
3,0.535,24,-213
3,0.551,29,-203
3,0.568,34,-192
3,0.585,37,-187
3,0.601,42,-176
3,0.619,47,-166
3,0.634,52,-156
3,0.651,55,-152
3,0.669,59,-142
3,0.685,63,-134
3,0.702,69,-124
3,0.718,71,-120
3,0.737,77,-111
3,0.750,81,-103
3,0.767,83,-100
3,0.783,87,-92
3,0.800,91,-86
3,0.817,95,-78
3,0.834,99,-71
3,0.852,100,-66
3,0.868,104,-57
3,0.885,109,-46
3,0.901,113,-35
3,0.919,115,-28
3,0.934,120,-16
3,0.952,127,-4
3,0.968,133,10
3,0.984,135,16
3,1.001,141,28
3,1.018,147,40
3,1.035,153,51
3,1.051,155,56
3,1.069,159,66
3,1.084,161,75
3,1.101,164,84
3,1.118,165,88
3,1.135,167,96
3,1.151,169,104
3,1.168,170,111
3,1.184,171,114
3,1.201,172,120
3,1.218,173,127
3,1.234,173,134
3,1.251,174,137
3,1.268,175,143
3,1.298,175,150
3,1.318,175,156
3,1.334,174,160
3,1.351,173,166
3,1.368,173,171
3,1.385,173,174
3,1.401,173,179
3,1.419,173,184
3,1.434,173,190
3,1.451,173,192
3,1.468,173,198
3,1.484,173,202
3,1.501,173,206
3,1.518,173,208
3,1.536,173,211
3,1.551,172,214
3,1.572,171,217
3,1.584,171,219
3,1.601,170,222
3,1.627,170,226
3,1.648,170,227
4,0.001,3,-287
4,0.202,3,-286
4,0.219,3,-284
4,0.234,3,-283
4,0.252,3,-278
4,0.268,5,-269
4,0.300,7,-251
4,0.317,9,-240
4,0.333,12,-229
4,0.351,15,-218
4,0.368,16,-213
4,0.384,19,-202
4,0.403,21,-191
4,0.418,23,-181
4,0.434,24,-176
4,0.451,25,-168
4,0.471,27,-160
4,0.499,29,-149
4,0.518,30,-142
4,0.535,31,-134
4,0.552,33,-126
4,0.568,33,-122
4,0.585,34,-114
4,0.601,35,-105
4,0.618,35,-96
4,0.634,36,-91
4,0.652,36,-81
4,0.668,36,-69
4,0.684,35,-57
4,0.702,32,-46
4,0.718,31,-40
4,0.735,28,-29
4,0.751,24,-18
4,0.768,19,-8
4,0.784,16,-2
4,0.802,9,8
4,0.818,1,19
4,0.834,-7,30
4,0.851,-11,36
4,0.868,-20,47
4,0.884,-29,58
4,0.901,-39,70
4,0.917,-43,76
4,0.934,-53,88
4,0.951,-62,98
4,0.968,-71,108
4,0.986,-75,113
4,1.002,-83,122
4,1.032,-96,135
4,1.051,-104,144
4,1.068,-111,152
4,1.084,-117,160
4,1.101,-123,168
4,1.118,-125,172
4,1.134,-130,180
4,1.152,-135,188
4,1.168,-138,195
4,1.184,-140,199
4,1.202,-143,206
4,1.218,-145,212
4,1.235,-149,217
4,1.251,-150,219
4,1.268,-154,224
4,1.290,-159,228
4,1.316,-165,231
4,1.334,-169,234
4,1.351,-173,236
4,1.367,-176,238
5,0.001,-1,-265
5,0.033,-3,-247
5,0.050,-4,-242
5,0.067,-5,-234
5,0.083,-6,-226
5,0.099,-7,-218
5,0.116,-7,-214
5,0.133,-7,-208
5,0.150,-7,-204
5,0.168,-8,-200
5,0.184,-8,-199
5,0.201,-8,-198
5,0.217,-8,-196
5,0.252,-8,-195
5,0.267,-8,-194
5,0.302,-8,-193
5,0.323,-8,-192
5,0.353,-9,-191
5,0.368,-9,-189
5,0.384,-9,-188
5,0.401,-9,-184
5,0.422,-9,-180
5,0.448,-9,-171
5,0.466,-9,-164
5,0.482,-8,-158
5,0.499,-7,-150
5,0.516,-7,-146
5,0.532,-5,-136
5,0.549,-1,-123
5,0.566,4,-107
5,0.584,11,-90
5,0.603,15,-80
5,0.617,25,-60
5,0.634,35,-41
5,0.650,46,-22
5,0.668,51,-14
5,0.685,64,5
5,0.701,77,22
5,0.718,90,38
5,0.735,97,45
5,0.753,109,58
5,0.767,120,70
5,0.784,125,75
5,0.800,135,85
5,0.817,144,94
5,0.834,153,102
5,0.851,157,106
5,0.867,165,114
5,0.885,172,122
5,0.902,179,129
5,0.917,183,132
5,0.934,189,140
5,0.950,195,147
5,0.968,201,154
5,0.984,207,160
5,1.002,210,163
5,1.017,216,168
5,1.035,221,174
5,1.050,225,177
5,1.068,229,182
5,1.084,233,186
5,1.100,238,190
5,1.117,240,192
5,1.134,245,196
5,1.151,249,200
5,1.167,253,204
5,1.184,255,207
5,1.200,259,211
5,1.217,263,216
5,1.233,266,220
5,1.250,267,222
5,1.272,271,226
