trial,time,x,y
1,0.000,-6,-279
1,0.122,-5,-277
1,0.138,-5,-275
1,0.155,-4,-271
1,0.170,-4,-268
1,0.202,-3,-256
1,0.220,-3,-249
1,0.235,-2,-247
1,0.251,-2,-241
1,0.268,-2,-235
1,0.285,-2,-229
1,0.301,-2,-227
1,0.318,-2,-223
1,0.334,-2,-219
1,0.351,-2,-215
1,0.372,-3,-210
1,0.395,-4,-207
1,0.416,-4,-204
1,0.433,-4,-203
1,0.451,-4,-200
1,0.468,-5,-197
1,0.485,-6,-195
1,0.502,-6,-193
1,0.518,-6,-192
1,0.534,-6,-190
1,0.551,-7,-188
1,0.568,-7,-186
1,0.584,-8,-183
1,0.601,-8,-182
1,0.618,-10,-179
1,0.634,-10,-176
1,0.653,-11,-173
1,0.668,-11,-172
1,0.684,-12,-169
1,0.701,-12,-167
1,0.718,-12,-165
1,0.735,-13,-164
1,0.751,-13,-161
1,0.768,-14,-159
1,0.784,-14,-155
1,0.801,-14,-153
1,0.818,-15,-150
1,0.834,-15,-149
1,0.852,-15,-145
1,0.871,-16,-141
1,0.901,-16,-135
1,0.918,-16,-132
1,0.935,-16,-127
1,0.952,-15,-121
1,0.968,-15,-118
1,0.984,-14,-111
1,1.001,-14,-105
1,1.018,-13,-97
1,1.034,-11,-89
1,1.051,-10,-84
1,1.068,-7,-77
1,1.084,-5,-72
1,1.101,-3,-66
1,1.118,-2,-63
1,1.136,0,-57
1,1.151,0,-53
1,1.170,1,-49
1,1.185,2,-45
1,1.202,2,-42
1,1.218,2,-33
1,1.236,2,-23
1,1.251,2,-15
1,1.268,2,-11
1,1.285,3,-3
1,1.301,4,5
1,1.320,4,12
1,1.335,4,15
1,1.351,5,21
1,1.368,6,27
1,1.401,6,38
1,1.426,6,42
1,1.450,7,49
1,1.468,7,54
1,1.488,8,61
1,1.508,9,68
1,1.519,10,71
1,1.535,11,78
1,1.551,14,84
1,1.567,15,87
1,1.584,17,91
1,1.601,20,97
1,1.617,22,102
1,1.634,23,105
1,1.651,26,112
1,1.667,28,117
1,1.685,30,121
1,1.701,31,123
1,1.717,33,126
1,1.734,34,129
1,1.752,35,131
1,1.768,35,133
1,1.784,36,135
1,1.801,36,136
1,1.819,36,137
1,1.835,36,139
1,1.852,37,141
1,1.868,37,142
1,1.886,38,144
1,1.904,38,145
1,1.918,39,147
1,1.951,40,149
1,1.968,41,151
1,1.984,42,152
1,2.001,42,153
1,2.017,43,155
1,2.035,44,157
1,2.051,46,161
1,2.068,48,167
1,2.084,49,170
1,2.103,52,177
1,2.118,55,187
1,2.134,58,196
1,2.151,59,200
1,2.168,61,207
1,2.187,62,215
1,2.201,65,224
1,2.234,69,239
1,2.251,72,249
