trial,time,x,y
3,0.001,-11,-295
3,0.135,-10,-294
3,0.169,-10,-293
3,0.202,-10,-290
3,0.219,-9,-285
3,0.236,-9,-281
3,0.254,-9,-275
3,0.269,-8,-272
3,0.287,-8,-266
3,0.318,-8,-255
3,0.335,-8,-252
3,0.351,-7,-247
3,0.368,-7,-241
3,0.384,-6,-235
3,0.401,-5,-232
3,0.418,-4,-227
3,0.434,-3,-223
3,0.451,-3,-220
3,0.467,-3,-219
3,0.484,-3,-215
3,0.501,-3,-211
3,0.518,-3,-209
3,0.534,-3,-208
3,0.552,-3,-206
3,0.568,-3,-204
3,0.584,-3,-203
3,0.601,-3,-201
3,0.618,-2,-199
3,0.634,-2,-196
3,0.651,-1,-193
3,0.668,-1,-192
3,0.684,-1,-189
3,0.702,-1,-187
3,0.718,-1,-186
3,0.734,-1,-185
3,0.751,0,-184
3,0.768,0,-181
3,0.784,1,-180
3,0.801,1,-175
3,0.818,2,-170
3,0.834,3,-165
3,0.851,3,-160
3,0.867,4,-157
3,0.884,5,-151
3,0.901,6,-145
3,0.918,7,-138
3,0.934,7,-135
3,0.951,8,-131
3,0.968,9,-127
3,0.984,9,-123
3,1.001,9,-121
3,1.018,10,-117
3,1.034,11,-113
3,1.051,11,-111
3,1.068,11,-109
3,1.084,13,-107
3,1.101,14,-103
3,1.117,17,-97
3,1.134,18,-94
3,1.151,21,-88
3,1.168,23,-82
3,1.184,25,-76
3,1.201,27,-73
3,1.218,30,-67
3,1.234,33,-62
3,1.251,37,-56
3,1.267,38,-53
3,1.284,41,-48
3,1.301,43,-42
3,1.318,47,-36
3,1.334,49,-33
3,1.351,52,-29
3,1.367,55,-23
3,1.384,57,-21
3,1.401,61,-15
3,1.417,64,-11
3,1.434,69,-5
3,1.451,73,1
3,1.467,76,4
3,1.484,81,11
3,1.501,87,19
3,1.517,93,27
3,1.534,96,31
3,1.551,103,41
3,1.568,111,51
3,1.584,119,62
3,1.601,124,69
3,1.617,135,82
3,1.634,147,95
3,1.652,157,108
3,1.668,163,113
3,1.685,173,122
3,1.701,181,128
3,1.718,188,134
3,1.734,191,137
3,1.752,197,140
3,1.768,202,142
3,1.785,207,144
3,1.801,209,145
3,1.818,211,146
3,1.837,213,147
3,1.851,216,149
3,1.868,217,151
3,1.884,221,155
3,1.902,225,158
3,1.918,228,161
3,1.936,229,162
3,1.951,231,165
3,1.968,233,169
3,1.984,234,173
3,2.002,235,174
3,2.019,235,177
3,2.037,235,179
3,2.065,235,182
3,2.085,235,185
3,2.101,235,189
3,2.121,235,193
3,2.135,235,196
3,2.155,235,201
3,2.168,235,207
3,2.185,236,213
3,2.202,236,215
3,2.222,238,221
3,2.257,241,232
3,2.282,244,236
3,2.301,245,238
3,2.318,245,239
3,2.334,246,239
3,2.351,246,240
3,2.368,247,240
3,2.384,247,241
3,2.451,248,241
3,2.468,248,240
3,2.484,248,239
3,2.501,249,234
3,2.518,250,229
3,2.534,250,226
4,0.001,-10,-290
4,0.051,-10,-289
4,0.072,-8,-285
4,0.088,-6,-282
4,0.106,-5,-281
4,0.122,-5,-279
4,0.155,-5,-278
4,0.173,-5,-275
4,0.190,-5,-269
4,0.206,-5,-267
4,0.236,-5,-252
4,0.257,-5,-241
4,0.275,-4,-231
4,0.286,-3,-225
4,0.306,-2,-215
4,0.319,-1,-211
4,0.337,1,-201
4,0.352,2,-191
4,0.371,5,-179
4,0.386,6,-173
4,0.405,10,-160
4,0.418,15,-149
4,0.441,19,-138
4,0.458,23,-127
4,0.469,25,-121
4,0.487,30,-111
4,0.501,35,-101
4,0.524,38,-93
4,0.536,39,-90
4,0.556,41,-83
4,0.569,41,-81
4,0.593,43,-73
4,0.617,44,-67
4,0.636,45,-63
4,0.659,47,-58
4,0.677,49,-54
4,0.700,50,-51
4,0.719,52,-47
4,0.736,54,-43
4,0.752,56,-39
4,0.774,57,-36
4,0.787,58,-35
4,0.805,59,-33
4,0.818,59,-30
4,0.837,61,-28
4,0.851,61,-26
4,0.873,62,-23
4,0.892,65,-17
4,0.919,67,-13
4,0.935,69,-9
4,0.956,72,-4
4,0.968,74,-1
4,0.994,77,6
4,1.016,80,13
4,1.036,83,19
4,1.057,85,23
4,1.077,89,28
4,1.100,93,33
4,1.121,95,37
4,1.142,99,43
4,1.152,100,44
4,1.171,103,47
4,1.185,104,49
4,1.205,107,52
4,1.218,110,55
4,1.236,113,59
4,1.251,113,60
4,1.269,115,63
4,1.285,117,65
4,1.305,119,67
4,1.324,122,71
4,1.335,124,73
4,1.355,127,77
4,1.368,129,79
4,1.386,132,82
4,1.401,135,85
4,1.421,137,89
4,1.435,141,94
4,1.456,145,99
4,1.468,147,101
4,1.487,151,104
4,1.502,154,109
4,1.523,157,113
4,1.541,161,117
4,1.551,163,119
4,1.568,167,121
4,1.585,168,122
4,1.605,171,124
4,1.618,173,126
4,1.640,176,128
4,1.651,177,129
4,1.671,180,130
4,1.685,183,131
4,1.704,185,132
4,1.717,187,133
4,1.736,189,133
4,1.754,191,133
4,1.767,191,134
4,1.792,194,135
4,1.814,197,136
4,1.833,200,138
4,1.850,203,139
4,1.866,205,141
4,1.884,207,143
4,1.900,209,144
4,1.917,211,147
4,1.934,212,151
4,1.950,213,155
4,1.966,214,157
4,1.984,215,159
4,2.007,216,165
4,2.018,217,167
4,2.036,217,172
4,2.051,217,173
4,2.069,218,177
4,2.085,219,180
4,2.104,219,184
4,2.117,219,187
4,2.136,219,191
4,2.152,220,195
4,2.168,220,197
4,2.185,220,201
4,2.204,220,206
4,2.232,220,213
4,2.252,220,215
4,2.268,220,218
4,2.286,220,220
4,2.301,220,221
4,2.334,220,226
4,2.351,220,227
4,2.386,221,228
8,0.002,-2,-273
8,0.069,-2,-271
