trial,time,x,y
2,0.000,-7,-284
2,0.187,-7,-283
2,0.203,-6,-283
2,0.237,-6,-282
2,0.270,-5,-280
2,0.286,-4,-278
2,0.319,-2,-275
2,0.336,0,-272
2,0.353,2,-270
2,0.372,5,-266
2,0.401,10,-260
2,0.418,12,-257
2,0.435,13,-255
2,0.451,16,-250
2,0.468,21,-243
2,0.485,26,-235
2,0.501,29,-230
2,0.519,35,-221
2,0.544,46,-206
2,0.564,52,-196
2,0.583,60,-186
2,0.600,68,-173
2,0.618,76,-160
2,0.634,81,-153
2,0.651,90,-139
2,0.668,99,-125
2,0.685,108,-112
2,0.701,112,-105
2,0.718,120,-92
2,0.735,127,-80
2,0.751,134,-68
2,0.768,138,-61
2,0.784,145,-49
2,0.801,152,-36
2,0.818,159,-24
2,0.834,162,-18
2,0.851,168,-5
2,0.873,175,6
2,0.884,180,17
2,0.901,182,22
2,0.918,186,32
2,0.935,190,42
2,0.951,194,51
2,0.968,196,55
2,0.984,199,64
2,1.001,202,71
2,1.018,204,79
2,1.035,206,83
2,1.051,208,91
2,1.068,210,99
2,1.084,213,107
2,1.101,215,111
2,1.118,218,119
2,1.136,220,126
2,1.152,222,132
2,1.168,223,138
2,1.196,224,144
2,1.218,226,152
2,1.234,226,154
2,1.251,226,159
2,1.268,226,162
2,1.285,226,166
2,1.301,226,168
2,1.318,226,172
2,1.334,225,176
2,1.351,224,180
2,1.368,224,182
2,1.384,224,185
2,1.402,223,188
2,1.418,222,193
2,1.435,222,195
2,1.451,221,198
2,1.468,220,202
2,1.484,219,205
2,1.501,218,208
2,1.518,218,210
2,1.534,218,213
2,1.551,218,216
2,1.567,217,218
2,1.587,217,219
2,1.601,217,221
2,1.629,216,224
2,1.651,216,226
2,1.668,216,228
2,1.684,216,230
2,1.701,216,232
2,1.734,216,234
2,1.751,216,235
2,1.767,216,236
2,1.784,215,236
2,1.801,215,237
2,1.817,215,238
2,1.851,214,238
3,0.001,-3,-276
3,0.337,-3,-275
3,0.355,-3,-274
3,0.421,-3,-273
3,0.454,-3,-272
3,0.521,-3,-271
3,0.537,-2,-270
3,0.555,-2,-266
3,0.584,-2,-258
3,0.602,-1,-253
3,0.618,-1,-249
3,0.635,-1,-246
3,0.653,-1,-242
3,0.668,-1,-238
3,0.685,-1,-234
3,0.701,-1,-232
3,0.719,-1,-229
3,0.735,-1,-225
3,0.752,-1,-222
3,0.768,-1,-220
3,0.785,-1,-217
3,0.801,-1,-214
3,0.818,0,-210
3,0.835,-1,-209
3,0.851,-1,-205
3,0.868,-2,-201
3,0.885,-2,-198
3,0.902,-2,-196
3,0.918,-2,-192
3,0.935,-2,-186
3,0.951,-2,-182
3,0.968,-3,-179
3,0.985,-3,-174
3,1.002,-3,-168
