trial,time,x,y
1,0.000,-10,-299
1,0.037,-10,-297
1,0.053,-10,-293
1,0.070,-9,-289
1,0.087,-8,-284
1,0.104,-8,-281
1,0.121,-8,-277
1,0.137,-8,-271
1,0.154,-8,-265
1,0.185,-7,-255
1,0.203,-6,-248
1,0.220,-6,-241
1,0.234,-5,-239
1,0.254,-5,-233
1,0.267,-4,-229
1,0.291,-4,-227
1,0.301,-4,-225
1,0.319,-4,-221
1,0.334,-5,-216
1,0.359,-6,-211
1,0.378,-6,-207
1,0.401,-8,-201
1,0.417,-10,-197
1,0.434,-10,-195
1,0.451,-10,-191
1,0.468,-11,-187
1,0.484,-12,-183
1,0.501,-12,-181
1,0.518,-13,-177
1,0.535,-13,-173
1,0.551,-14,-168
1,0.567,-14,-166
1,0.584,-14,-161
1,0.601,-15,-157
1,0.617,-15,-152
1,0.635,-15,-148
1,0.650,-16,-146
1,0.667,-16,-142
1,0.685,-16,-139
1,0.700,-16,-136
1,0.717,-16,-135
1,0.734,-16,-132
1,0.751,-16,-130
1,0.767,-16,-128
1,0.784,-16,-127
1,0.801,-16,-125
1,0.818,-16,-123
1,0.834,-16,-121
1,0.851,-17,-121
1,0.867,-17,-119
1,0.884,-17,-118
1,0.900,-18,-117
1,0.934,-18,-116
1,0.950,-18,-115
1,1.000,-18,-114
1,1.017,-18,-113
1,1.034,-18,-112
1,1.050,-17,-109
1,1.067,-17,-107
1,1.084,-16,-103
1,1.100,-16,-100
1,1.117,-16,-97
1,1.133,-16,-95
1,1.151,-16,-91
1,1.167,-15,-87
1,1.184,-15,-85
1,1.200,-15,-83
1,1.220,-14,-81
1,1.236,-14,-77
1,1.249,-14,-74
1,1.266,-14,-73
1,1.283,-14,-69
1,1.300,-14,-67
1,1.317,-13,-64
1,1.334,-13,-63
1,1.350,-12,-61
1,1.368,-12,-59
1,1.384,-12,-57
1,1.401,-12,-56
1,1.417,-12,-54
1,1.435,-12,-51
1,1.450,-11,-49
1,1.483,-11,-47
1,1.500,-10,-45
1,1.517,-10,-43
1,1.533,-10,-42
1,1.550,-9,-40
1,1.567,-8,-38
1,1.589,-8,-36
1,1.600,-7,-34
1,1.617,-7,-33
1,1.634,-6,-31
1,1.664,-4,-29
1,1.683,-3,-28
1,1.700,-2,-28
1,1.717,-1,-28
1,1.733,0,-27
1,1.783,0,-26
1,1.800,-1,-25
1,1.816,-2,-24
1,1.834,-3,-23
1,1.850,-4,-22
1,1.867,-4,-21
1,1.900,-4,-20
1,1.916,-4,-19
1,1.933,-3,-17
1,1.950,-2,-15
1,1.967,0,-12
1,1.983,2,-7
1,2.000,3,-4
1,2.017,3,-3
1,2.034,4,1
1,2.052,6,4
1,2.066,7,7
1,2.083,8,9
1,2.100,9,11
1,2.117,10,14
1,2.135,12,17
1,2.150,13,19
1,2.167,16,23
1,2.184,18,27
1,2.200,20,30
1,2.216,22,32
1,2.233,23,36
1,2.250,25,39
1,2.266,27,44
1,2.284,30,49
1,2.304,34,55
1,2.331,39,65
1,2.350,42,72
1,2.366,44,77
1,2.384,49,90
1,2.400,55,107
1,2.416,58,115
1,2.433,62,129
1,2.450,67,141
1,2.466,71,152
1,2.483,73,157
1,2.499,76,165
1,2.517,77,172
