trial,time,x,y
2,0.000,-2,-285
2,0.236,-2,-284
2,0.253,-2,-283
2,0.470,-2,-282
2,0.536,-2,-281
2,0.569,-1,-281
2,0.586,-1,-280
2,0.603,0,-279
2,0.669,0,-278
2,0.703,0,-277
2,0.719,1,-276
2,0.736,2,-275
2,0.753,2,-273
2,0.786,3,-271
2,0.803,4,-269
2,0.835,5,-267
2,0.852,6,-266
2,0.869,6,-265
2,0.884,6,-264
2,0.901,7,-263
2,0.918,7,-262
2,0.934,8,-261
2,0.951,9,-261
2,0.968,10,-259
2,0.985,11,-259
2,1.002,12,-257
2,1.019,13,-257
2,1.035,13,-256
2,1.052,14,-255
2,1.072,15,-254
2,1.091,16,-253
2,1.118,16,-252
2,1.136,17,-251
2,1.166,18,-249
2,1.185,19,-248
2,1.201,20,-247
2,1.218,20,-246
2,1.234,20,-245
2,1.251,21,-245
2,1.268,22,-244
2,1.284,22,-243
2,1.318,23,-243
2,1.334,24,-242
2,1.351,24,-241
2,1.368,25,-241
2,1.385,26,-240
2,1.401,27,-239
2,1.417,28,-239
2,1.434,29,-238
2,1.451,30,-237
2,1.468,31,-237
2,1.484,32,-235
2,1.501,33,-235
2,1.518,34,-235
2,1.534,35,-233
2,1.552,36,-233
2,1.567,36,-232
2,1.584,37,-231
2,1.601,38,-231
2,1.618,39,-229
2,1.634,40,-229
2,1.651,40,-228
2,1.667,40,-227
2,1.684,41,-227
2,1.701,42,-227
2,1.717,42,-226
2,1.734,43,-225
2,1.751,44,-225
2,1.784,46,-224
2,1.801,47,-223
2,1.817,48,-223
2,1.835,49,-222
2,1.851,50,-221
2,1.867,52,-221
2,1.884,53,-220
2,1.901,54,-219
2,1.917,55,-219
2,1.934,56,-218
2,1.951,58,-217
2,1.984,58,-216
2,2.001,60,-215
2,2.018,60,-214
2,2.034,61,-213
2,2.050,62,-213
2,2.067,63,-212
2,2.084,64,-211
2,2.101,65,-211
2,2.118,66,-210
2,2.134,67,-209
2,2.155,68,-209
2,2.173,69,-208
2,2.184,70,-207
2,2.217,72,-207
2,2.234,72,-206
2,2.250,73,-205
2,2.267,74,-205
2,2.301,75,-204
2,2.317,76,-203
2,2.350,77,-203
2,2.367,78,-202
2,2.401,79,-201
2,2.417,80,-201
2,2.434,81,-200
2,2.468,82,-199
2,2.484,84,-199
2,2.500,84,-197
2,2.517,85,-197
2,2.534,86,-196
2,2.551,88,-195
2,2.567,89,-195
2,2.584,90,-194
2,2.602,90,-193
2,2.617,92,-193
2,2.634,92,-191
2,2.650,93,-191
2,2.667,94,-190
2,2.684,94,-189
2,2.701,95,-189
2,2.717,96,-188
2,2.734,96,-187
2,2.750,97,-187
2,2.783,98,-186
2,2.801,99,-185
2,2.818,100,-184
2,2.834,102,-183
2,2.867,104,-182
2,2.884,105,-181
2,2.900,106,-180
2,2.917,107,-179
2,2.934,108,-179
2,2.951,110,-178
2,2.967,111,-177
2,3.000,112,-176
2,3.018,113,-175
2,3.034,114,-174
2,3.067,115,-173
2,3.083,116,-173
2,3.101,116,-172
2,3.117,116,-171
2,3.134,117,-171
2,3.150,118,-171
2,3.167,118,-170
2,3.200,119,-169
2,3.217,120,-169
2,3.235,120,-168
2,3.255,122,-167
2,3.284,123,-166
2,3.315,124,-165
2,3.348,125,-165
2,3.366,126,-164
2,3.382,126,-163
2,3.398,127,-163
2,3.415,128,-162
2,3.448,129,-161
2,3.465,130,-161
2,3.481,130,-160
2,3.498,131,-159
2,3.515,132,-159
2,3.549,133,-158
2,3.565,133,-157
2,3.582,134,-157
2,3.615,134,-156
2,3.632,135,-155
2,3.665,136,-154
2,3.698,136,-153
2,3.715,137,-153
2,3.748,138,-152
2,3.767,138,-151
2,3.800,139,-151
2,3.817,140,-150
2,3.833,140,-149
2,3.866,142,-149
2,3.883,143,-147
2,3.901,144,-147
2,3.916,145,-145
2,3.934,146,-145
2,3.951,146,-144
2,3.971,148,-143
2,3.984,149,-141
2,4.010,150,-141
2,4.030,151,-139
2,4.049,152,-138
2,4.066,153,-138
2,4.082,154,-137
2,4.099,154,-136
2,4.115,155,-135
2,4.132,156,-134
2,4.148,156,-133
2,4.165,157,-133
2,4.182,158,-132
2,4.198,159,-131
2,4.215,160,-130
2,4.232,161,-129
2,4.248,162,-129
2,4.265,163,-127
2,4.282,164,-126
2,4.298,165,-125
2,4.315,166,-124
2,4.331,167,-123
2,4.348,168,-121
2,4.365,170,-121
2,4.381,170,-120
2,4.398,171,-119
2,4.415,172,-117
2,4.433,173,-117
2,4.449,174,-115
2,4.483,176,-113
2,4.500,177,-112
2,4.516,178,-110
2,4.533,179,-109
2,4.550,180,-108
2,4.566,182,-106
2,4.583,184,-104
2,4.599,184,-103
2,4.616,186,-101
2,4.633,188,-100
2,4.651,188,-99
2,4.666,189,-98
2,4.683,190,-97
2,4.700,191,-95
2,4.716,192,-95
2,4.733,192,-94
2,4.750,193,-93
2,4.767,194,-92
2,4.783,194,-91
2,4.799,195,-91
2,4.816,196,-90
2,4.833,196,-89
2,4.849,198,-87
2,4.883,199,-86
2,4.900,200,-85
2,4.916,201,-83
2,4.933,202,-83
2,4.950,203,-81
2,4.966,204,-81
2,4.983,204,-79
2,4.999,205,-79
2,5.016,206,-78
2,5.033,206,-77
2,5.050,208,-76
2,5.083,208,-75
2,5.100,209,-74
2,5.116,210,-73
2,5.149,210,-71
2,5.166,211,-70
2,5.183,211,-69
2,5.199,212,-68
2,5.216,212,-67
2,5.233,213,-65
2,5.249,214,-64
2,5.266,214,-63
2,5.283,214,-62
2,5.300,215,-61
2,5.316,216,-60
2,5.333,216,-59
2,5.349,218,-58
2,5.366,218,-57
2,5.384,219,-56
2,5.400,220,-55
2,5.433,222,-53
2,5.450,222,-52
2,5.466,222,-51
2,5.483,224,-49
2,5.500,224,-48
2,5.516,226,-46
2,5.533,227,-45
2,5.550,227,-44
2,5.566,228,-43
2,5.583,229,-41
2,5.599,230,-39
2,5.633,231,-37
2,5.650,232,-35
2,5.666,234,-32
2,5.683,234,-31
2,5.700,237,-27
2,5.716,240,-23
2,5.733,242,-21
2,5.749,243,-19
2,5.767,245,-17
2,5.783,246,-15
2,5.799,247,-13
2,5.816,248,-11
2,5.833,249,-10
2,5.849,250,-8
2,5.868,251,-6
2,5.883,252,-5
2,5.900,252,-4
2,5.916,253,-3
2,5.933,254,-1
2,5.966,256,1
2,5.983,256,3
2,5.999,258,4
2,6.016,258,5
2,6.033,259,7
2,6.049,260,9
2,6.066,262,11
2,6.083,262,13
2,6.099,264,15
2,6.116,265,16
2,6.133,266,18
2,6.149,266,19
2,6.166,267,21
2,6.183,268,23
2,6.199,268,25
2,6.216,269,25
2,6.234,270,28
2,6.256,272,31
2,6.273,272,33
2,6.297,275,36
2,6.316,276,38
2,6.333,277,39
2,6.349,278,41
2,6.366,278,42
2,6.386,280,43
2,6.414,281,46
2,6.433,282,47
2,6.448,283,49
2,6.464,284,50
2,6.481,284,51
2,6.499,286,53
2,6.516,286,54
2,6.533,287,55
2,6.549,288,56
2,6.566,288,57
2,6.583,289,58
2,6.599,290,59
2,6.616,290,60
2,6.633,290,62
2,6.649,291,63
2,6.666,292,65
2,6.682,292,66
2,6.699,294,68
2,6.716,295,69
2,6.733,296,71
2,6.749,296,72
2,6.766,298,73
2,6.782,299,75
2,6.799,300,75
2,6.816,300,76
2,6.834,301,77
2,6.850,302,78
2,6.866,302,79
2,6.882,303,79
2,6.899,304,81
2,6.916,304,82
2,6.933,304,83
2,6.949,305,84
2,6.966,305,85
2,6.982,306,87
2,6.999,307,89
2,7.033,308,91
2,7.049,308,93
2,7.066,309,94
2,7.082,310,95
2,7.099,310,96
2,7.116,311,97
2,7.132,312,99
2,7.149,312,100
2,7.166,312,101
2,7.182,314,103
2,7.199,314,105
2,7.232,316,107
2,7.249,316,108
2,7.266,317,109
2,7.282,318,110
2,7.299,318,111
2,7.316,319,112
2,7.332,320,113
2,7.365,320,114
2,7.382,321,115
2,7.415,322,116
2,7.434,322,117
2,7.473,323,119
2,7.495,323,120
2,7.514,323,121
2,7.530,324,121
2,7.549,324,122
2,7.566,324,123
2,7.583,324,124
2,7.599,325,125
2,7.616,325,126
2,7.632,326,127
2,7.649,326,128
2,7.666,326,129
2,7.682,327,129
2,7.699,327,130
2,7.716,327,131
2,7.732,328,132
2,7.749,328,133
2,7.782,328,134
2,7.799,328,135
2,7.849,329,136
2,7.865,329,137
2,7.899,330,138
2,7.915,330,139
2,7.949,330,140
2,7.965,330,141
2,7.983,330,142
2,7.999,331,143
2,8.032,331,144
2,8.049,332,145
2,8.082,332,146
2,8.099,333,147
2,8.116,334,147
2,8.132,334,148
2,8.149,334,149
2,8.182,335,150
2,8.199,335,151
2,8.216,336,151
2,8.248,336,152
2,8.282,337,153
2,8.315,337,154
2,8.332,337,155
2,8.349,338,155
2,8.365,338,156
2,8.399,338,157
2,8.432,338,158
2,8.465,339,159
2,8.499,339,160
2,8.520,340,161
2,8.547,340,162
2,8.569,340,163
2,8.586,341,163
2,8.613,342,164
2,8.632,342,165
2,8.665,343,166
2,8.682,343,167
2,8.699,344,167
2,8.716,344,168
2,8.732,344,169
2,8.765,345,170
2,8.782,345,171
2,8.799,346,172
2,8.832,346,173
2,8.848,346,174
2,8.865,346,175
2,8.898,347,176
2,8.915,347,177
2,8.932,347,179
2,8.948,348,179
2,8.965,348,181
2,8.982,349,183
2,8.998,349,185
2,9.015,350,187
2,9.032,350,189
2,9.049,351,190
2,9.065,352,192
2,9.082,352,193
2,9.098,353,195
2,9.115,354,198
2,9.132,354,201
2,9.148,355,202
2,9.165,356,205
2,9.182,357,207
2,9.198,358,209
2,9.232,359,211
2,9.249,359,213
2,9.265,360,214
2,9.282,360,215
2,9.298,360,217
2,9.315,360,219
2,9.332,361,220
2,9.348,361,221
2,9.375,362,223
2,9.396,362,225
2,9.415,363,227
2,9.431,363,228
2,9.449,363,229
2,9.465,364,230
2,9.482,364,231
2,9.498,364,232
2,9.515,364,233
2,9.533,364,234
2,9.548,364,235
2,9.565,364,236
2,9.582,364,238
2,9.600,364,239
2,9.620,364,241
2,9.663,364,243
3,0.001,-5,-279
3,0.238,-6,-279
3,0.270,-6,-278
3,0.305,-7,-278
3,0.320,-7,-277
3,0.437,-7,-276
3,0.470,-7,-275
3,0.504,-8,-273
3,0.537,-8,-271
3,0.557,-8,-268
3,0.585,-8,-264
3,0.604,-8,-261
3,0.622,-8,-258
3,0.635,-9,-254
3,0.655,-9,-249
3,0.669,-8,-247
3,0.688,-8,-243
3,0.701,-8,-241
3,0.720,-7,-233
3,0.735,-6,-230
3,0.754,-5,-224
3,0.768,-4,-218
3,0.789,-3,-211
3,0.807,-2,-206
3,0.818,-2,-203
3,0.837,0,-197
3,0.851,0,-195
3,0.868,0,-190
3,0.885,1,-186
3,0.903,2,-183
3,0.917,2,-181
3,0.935,2,-177
3,0.951,3,-174
3,0.972,3,-171
3,0.998,4,-168
3,1.017,4,-166
3,1.035,4,-165
3,1.054,4,-163
3,1.068,4,-161
3,1.085,5,-159
3,1.101,6,-157
3,1.118,6,-155
3,1.134,6,-153
3,1.151,7,-150
3,1.167,8,-147
3,1.190,10,-144
3,1.207,12,-141
3,1.217,14,-139
