trial,time,x,y
3,0.001,-7,-273
3,0.086,-6,-275
3,0.103,-5,-276
3,0.120,-5,-277
3,0.153,-5,-278
3,0.170,-5,-279
3,0.236,-6,-276
3,0.253,-7,-267
3,0.285,-11,-245
3,0.301,-13,-227
3,0.318,-15,-209
3,0.335,-15,-201
3,0.351,-17,-187
3,0.368,-18,-178
3,0.384,-19,-170
3,0.401,-19,-167
3,0.418,-19,-159
3,0.435,-20,-152
3,0.451,-20,-145
3,0.468,-20,-141
3,0.485,-19,-132
3,0.501,-19,-124
3,0.518,-18,-116
3,0.534,-18,-113
3,0.551,-17,-107
3,0.568,-17,-102
3,0.584,-16,-97
3,0.601,-15,-95
3,0.618,-15,-90
3,0.635,-14,-85
3,0.651,-14,-80
3,0.668,-13,-78
3,0.684,-13,-73
3,0.701,-12,-67
3,0.718,-12,-62
3,0.734,-12,-60
3,0.751,-11,-56
3,0.768,-11,-53
3,0.784,-11,-49
3,0.801,-11,-47
3,0.818,-11,-46
3,0.834,-11,-41
3,0.851,-10,-39
3,0.867,-10,-37
3,0.884,-9,-34
3,0.901,-9,-31
3,0.918,-9,-27
3,0.934,-9,-25
3,0.951,-9,-23
3,0.968,-9,-19
3,0.984,-9,-15
3,1.001,-9,-13
3,1.018,-10,-7
3,1.034,-11,-1
3,1.051,-11,7
3,1.069,-11,15
3,1.084,-11,20
3,1.101,-10,28
3,1.118,-10,35
3,1.134,-10,38
3,1.151,-9,45
3,1.168,-9,50
3,1.184,-9,54
3,1.201,-9,56
3,1.218,-9,61
3,1.234,-9,65
3,1.252,-9,68
3,1.267,-9,69
3,1.285,-9,71
3,1.301,-9,73
3,1.318,-9,76
3,1.334,-8,77
3,1.351,-7,79
3,1.367,-7,81
3,1.384,-7,83
3,1.401,-7,84
3,1.418,-7,85
3,1.434,-7,87
3,1.451,-7,88
3,1.467,-7,89
3,1.484,-7,90
3,1.501,-7,91
3,1.518,-7,93
3,1.534,-7,94
3,1.551,-7,97
3,1.568,-8,100
3,1.585,-9,104
3,1.601,-9,105
3,1.617,-9,107
3,1.634,-9,109
3,1.651,-9,111
3,1.667,-10,112
3,1.684,-10,114
3,1.701,-10,115
3,1.717,-10,117
3,1.751,-10,119
3,1.767,-10,121
3,1.784,-9,122
3,1.801,-9,123
3,1.818,-9,125
3,1.834,-9,127
3,1.851,-8,128
3,1.867,-8,129
3,1.884,-7,130
3,1.901,-7,132
3,1.917,-6,133
3,1.935,-6,135
3,1.951,-5,137
3,1.967,-5,139
3,1.984,-5,142
3,2.001,-5,143
3,2.017,-4,146
3,2.034,-3,149
3,2.051,-3,150
3,2.067,-3,151
3,2.084,-3,153
3,2.101,-2,155
3,2.117,-1,157
3,2.150,-1,160
3,2.167,0,162
3,2.184,1,164
3,2.200,1,165
3,2.217,1,167
3,2.234,1,168
3,2.251,1,170
3,2.267,1,171
3,2.284,1,173
3,2.301,1,175
3,2.317,2,177
3,2.334,2,179
3,2.351,3,181
3,2.368,3,184
3,2.384,3,186
3,2.400,3,187
3,2.417,3,191
3,2.434,3,194
3,2.450,3,198
3,2.467,3,199
3,2.484,3,203
3,2.501,3,206
3,2.517,3,209
3,2.534,2,210
3,2.550,3,213
3,2.567,2,215
3,2.584,3,218
3,2.600,3,219
3,2.617,3,222
3,2.638,3,223
3,2.665,3,225
3,2.684,3,226
3,2.701,3,227
3,2.717,3,228
3,2.751,3,229
3,2.767,3,230
3,2.784,3,231
3,2.834,3,232
3,2.850,4,233
3,2.917,5,233
4,0.001,-1,-277
4,0.186,-2,-262
4,0.202,-4,-245
4,0.234,-9,-169
4,0.251,-9,-148
4,0.268,-9,-104
4,0.284,-9,-65
4,0.301,-8,-35
4,0.318,-8,-21
4,0.335,-8,0
4,0.351,-7,17
4,0.369,-7,33
4,0.385,-6,49
4,0.402,-6,58
4,0.418,-8,75
4,0.435,-10,89
4,0.453,-11,99
4,0.469,-11,105
4,0.485,-10,115
4,0.500,-9,125
4,0.517,-8,129
4,0.534,-8,139
4,0.551,-8,151
4,0.567,-8,164
4,0.584,-8,171
4,0.601,-7,183
4,0.617,-7,194
4,0.633,-8,201
4,0.650,-8,203
4,0.667,-9,207
4,0.683,-9,210
4,0.701,-8,213
4,0.718,-7,215
4,0.735,-7,217
4,0.752,-7,219
4,0.782,-6,222
4,0.812,-5,225
4,0.832,-4,227
4,0.851,-3,228
4,0.867,-3,229
4,0.884,-2,231
4,0.901,-1,232
4,0.917,-1,233
4,0.934,-1,234
4,0.951,0,235
4,0.968,0,237
4,1.001,1,239
4,1.018,1,240
4,1.034,1,241
4,1.051,1,242
4,1.068,1,243
6,0.001,-7,-279
6,0.134,-7,-276
6,0.151,-9,-263
6,0.183,-10,-233
6,0.200,-11,-213
6,0.217,-10,-193
6,0.233,-9,-171
6,0.250,-8,-149
6,0.267,-7,-139
6,0.283,-7,-120
6,0.301,-7,-104
6,0.317,-6,-90
6,0.334,-6,-83
6,0.351,-5,-71
6,0.367,-4,-58
6,0.384,-3,-48
6,0.401,-3,-44
6,0.418,-3,-38
6,0.434,-2,-35
6,0.451,-1,-32
6,0.469,-1,-31
6,0.485,-1,-29
6,0.517,0,-27
6,0.551,1,-26
6,0.568,1,-25
6,0.601,1,-24
6,0.617,1,-23
6,0.634,2,-23
6,0.685,2,-22
6,0.700,3,-21
6,0.751,3,-20
6,0.784,3,-19
6,0.850,3,-18
6,0.901,3,-17
6,0.950,4,-17
6,0.984,4,-16
6,1.034,4,-15
6,1.051,5,-15
6,1.134,5,-14
6,1.184,5,-13
6,1.284,5,-12
6,1.315,6,-11
6,1.367,6,-10
6,1.400,6,-9
6,1.434,6,-8
6,1.450,6,-7
6,1.500,6,-5
6,1.534,6,-4
6,1.550,6,-3
6,1.567,6,-2
6,1.584,6,-1
6,1.617,6,0
6,1.634,6,1
6,1.650,7,3
6,1.667,7,4
6,1.685,7,5
6,1.717,7,7
6,1.735,7,8
6,1.751,7,9
6,1.784,8,10
6,1.801,8,11
6,1.833,8,13
6,1.867,8,14
6,1.884,8,15
6,1.917,8,17
6,1.950,8,18
6,1.967,8,19
6,1.983,9,19
6,2.000,9,20
6,2.017,9,21
6,2.034,9,22
6,2.050,9,23
6,2.084,9,25
6,2.100,10,25
6,2.117,10,27
6,2.150,10,28
6,2.167,10,29
6,2.183,10,31
6,2.217,10,32
6,2.234,10,33
6,2.250,10,35
6,2.267,9,35
6,2.283,9,37
6,2.300,9,38
6,2.317,9,39
6,2.333,9,40
6,2.350,9,42
6,2.367,9,45
6,2.383,9,47
6,2.400,9,49
6,2.417,8,51
6,2.433,8,54
6,2.450,7,55
6,2.467,7,57
6,2.483,7,59
6,2.500,7,60
6,2.517,7,62
6,2.533,7,63
6,2.550,7,65
6,2.567,6,67
6,2.583,6,69
6,2.617,6,71
6,2.647,5,74
6,2.666,5,75
6,2.683,5,77
6,2.700,5,79
6,2.717,5,81
6,2.750,5,83
6,2.767,5,85
6,2.783,5,87
6,2.800,5,89
6,2.834,5,91
6,2.853,4,92
6,2.867,4,93
6,2.886,4,95
6,2.917,4,97
6,2.933,4,98
6,2.950,4,99
6,2.983,4,101
6,3.016,4,103
6,3.035,4,105
6,3.050,4,106
6,3.067,4,108
6,3.083,4,109
6,3.100,4,110
6,3.117,4,111
6,3.133,3,112
6,3.150,3,113
6,3.183,3,115
6,3.200,3,116
6,3.217,3,117
6,3.250,3,118
6,3.267,3,119
6,3.283,3,120
6,3.300,3,121
6,3.316,3,122
6,3.333,3,123
6,3.367,3,124
6,3.383,3,125
6,3.400,3,127
6,3.433,3,128
6,3.450,3,129
6,3.502,3,130
6,3.517,3,131
6,3.550,3,132
6,3.569,3,133
6,3.600,3,134
6,3.634,3,135
6,3.666,4,137
6,3.716,4,139
6,3.750,4,140
6,3.767,4,141
6,3.784,4,142
6,3.799,4,143
6,3.834,4,144
6,3.849,4,145
6,3.868,4,146
6,3.883,4,147
6,3.915,4,148
6,3.948,4,149
6,3.981,4,150
6,4.014,4,151
6,4.064,4,152
6,4.081,4,153
6,4.114,4,154
6,4.148,4,155
6,4.181,4,156
6,4.214,4,157
6,4.248,4,158
6,4.264,4,159
6,4.314,4,160
6,4.331,4,161
6,4.364,4,162
6,4.381,4,163
6,4.414,4,164
6,4.431,4,165
6,4.448,4,166
6,4.481,4,167
6,4.498,3,168
6,4.514,3,169
6,4.547,3,170
6,4.564,3,171
6,4.614,3,173
6,4.647,3,174
6,4.664,3,175
6,4.698,3,176
6,4.714,3,177
6,4.747,3,178
6,4.764,3,179
6,4.781,3,180
6,4.814,3,181
6,4.847,3,183
6,4.898,3,184
6,4.914,3,185
6,4.947,3,186
6,4.964,3,187
6,5.031,3,188
6,5.049,3,189
6,5.116,3,190
6,5.133,3,191
6,5.166,3,192
6,5.183,3,193
6,5.233,3,195
6,5.265,3,196
6,5.282,3,197
6,5.317,3,199
6,5.349,3,200
6,5.366,3,201
6,5.399,3,203
6,5.447,3,204
6,5.466,3,205
6,5.504,3,206
6,5.540,3,207
6,5.579,2,208
6,5.597,2,209
