trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,7,6,OK,2.71,317,0.936,3.73,0.952,0:258,0,6,6,6.29
2,3,2,OK,2.1,326,0.37,2.55,0.385,0:258,0,2,2,0.986
3,11,10,OK,1.48,330,0.286,1.82,0.302,0:258,0,10,10,9.9
4,8,7,ERR_FingerLifted,0,335,0.553,3.29,0.568,0:258,0,7,7,N/A
5,8,7,OK,1.03,345,0.252,1.43,0.269,0:258,0,7,7,7.4
6,6,5,OK,1.65,352,0.484,2.27,0.5,0:258,0,5,5,5.04
7,5,4,OK,1.43,357,0.868,2.38,0.885,0:258,0,4,4,3.75
8,4,3,OK,1.23,361,0.238,1.55,0.252,0:258,0,3,3,2.79
9,2,1,OK,1.42,366,0.0168,1.52,0.0336,0:258,0,1,1,0.889
10,10,9,OK,1.25,369,0.202,1.54,0.218,0:258,0,9,9,8.81
11,9,8,OK,1.17,373,0.268,1.55,0.285,0:258,0,8,8,7.89
