trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,1.85,11.8,0.403,2.48,0.418,0:258,0,65321,65321,7.19e+04
2,3,11730,ERR_FingerLifted,0,15.2,0.385,1.43,0.402,0:258,0,11730,11730,N/A
3,4,73954,ERR_TooSlowInstantaneous,0,19,0.405,1.75,0.418,0:258,0,73954,73954,N/A
4,5,92855,OK,2.5,25,0.836,3.48,0.851,0:258,0,92855,92855,9.07e+04
5,6,25731,OK,2.01,29.9,0.319,2.64,0.336,0:258,0,25731,25731,2.6e+04
6,7,16542,OK,2.27,33.6,0.235,2.73,0.251,0:258,0,16542,16542,1.31e+04
7,8,37828,OK,1.85,37.2,0.283,2.33,0.299,0:258,0,37828,37828,3.11e+04
8,9,59374,OK,1.7,40.5,0.201,2.18,0.217,0:258,0,59374,59374,6.22e+04
9,10,49743,OK,1.57,43.4,0.134,1.82,0.149,0:258,0,49743,49743,4.82e+04
10,11,5882,OK,1.73,47.7,0.302,2.18,0.318,0:258,0,5882,5882,5.71e+04
11,12,47765,OK,1.5,50.7,0.134,1.73,0.151,0:258,0,47765,47765,3.9e+04
12,13,11328,OK,1.67,55,0.368,2.18,0.386,0:258,0,11328,11328,1.88e+04
13,14,83425,OK,1.73,58.2,0.0169,1.92,0.0333,0:258,0,83425,83425,8.93e+04
14,15,32319,OK,1.6,60.8,0.183,1.92,0.2,0:258,0,32319,32319,1.68e+04
15,16,76921,OK,1.85,63.4,0.151,2.25,0.168,0:258,0,76921,76921,8.6e+04
16,17,25731,OK,1.4,66.4,0.152,1.7,0.169,0:258,0,25731,25731,2.51e+04
17,18,65321,OK,1.6,69,0.536,2.3,0.551,0:258,0,65321,65321,6.85e+04
18,19,16542,OK,1.28,72,0.134,1.57,0.15,0:258,0,16542,16542,2.1e+04
19,20,92855,OK,1.57,74.4,0.15,1.87,0.167,0:258,0,92855,92855,9.33e+04
20,21,32319,OK,1.3,76.9,0.118,1.67,0.134,0:258,0,32319,32319,1.75e+04
21,22,49743,OK,1.32,80.4,0.151,1.68,0.168,0:258,0,49743,49743,4.49e+04
22,23,47765,OK,1.42,82.8,0.168,1.72,0.184,0:258,0,47765,47765,3.43e+04
23,24,11328,OK,1.11,85.2,0.134,1.42,0.151,0:258,0,11328,11328,9.72e+03
24,25,59374,OK,1.48,87.8,0.117,1.8,0.141,0:258,0,59374,59374,5.74e+04
25,26,11730,OK,1.18,90.3,0.018,1.35,0.0348,0:258,0,11730,11730,1.79e+04
26,27,5882,OK,1.58,94.1,0.301,1.95,0.317,0:258,0,5882,5882,5.67e+04
27,29,83425,OK,1.53,98.9,0.0189,1.77,0.0337,0:258,0,83425,83425,8.49e+04
28,30,73954,OK,1.18,103,0.237,1.63,0.252,0:258,0,73954,73954,6.21e+04
29,31,37828,OK,0.983,106,0.3,1.48,0.316,0:258,0,37828,37828,2.69e+04
30,32,49743,OK,1,108,0.266,1.45,0.283,0:258,0,49743,49743,4.5e+04
31,33,16542,OK,1.1,110,0.233,1.62,0.251,0:258,0,16542,16542,1.85e+04
32,34,32319,OK,1.28,113,0.0172,1.45,0.0336,0:258,0,32319,32319,2.29e+04
33,35,37828,OK,1.03,115,0.319,1.57,0.336,0:258,0,37828,37828,3.26e+04
34,36,25731,OK,1.07,117,0.135,1.4,0.152,0:258,0,25731,25731,2.07e+04
35,37,47765,OK,1.43,120,0.133,1.72,0.15,0:258,0,47765,47765,4.01e+04
36,38,92855,OK,1.32,122,0.0999,1.73,0.116,0:258,0,92855,92855,8.49e+04
37,39,11730,OK,1.13,124,0.118,1.47,0.134,0:258,0,11730,11730,1.62e+04
38,40,11328,OK,1.15,127,0.152,1.52,0.168,0:258,0,11328,11328,1.35e+04
39,41,65321,OK,1.53,134,0.27,2.11,0.286,0:258,0,65321,65321,6.29e+04
40,42,76921,OK,1.45,137,0.187,1.94,0.202,0:258,0,76921,76921,7.71e+04
41,43,5882,OK,1.4,140,0.15,1.85,0.168,0:258,0,5882,5882,9.86e+03
42,45,83425,OK,1.75,144,0.285,2.35,0.301,0:258,0,83425,83425,8.6e+04
43,46,73954,OK,1.35,147,0.221,1.83,0.233,0:258,0,73954,73954,7.19e+04
44,3,11730,OK,1.18,151,0.352,1.73,0.368,0:258,0,11730,11730,9.86e+03
45,4,73954,OK,1.38,153,0.284,1.99,0.3,0:258,0,73954,73954,7.9e+04
46,44,59374,OK,1.35,159,0.318,1.9,0.333,0:258,0,59374,59374,6.07e+04
47,28,76921,OK,1.1,162,0.269,1.58,0.286,0:258,0,76921,76921,7.35e+04
