trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,3,120_553,OK,2.23,10.5,0.0531,2.58,0.0684,0,120_553,,0.217,0.121
2,4,28_109,ERR_TooSlowInstantaneous,0,13.8,0.35,1.95,0.367,0,28_109,,0.256880734,N/A
3,5,4_5,OK,1.75,17.2,0.233,2.25,0.25,0,4_5,,0.8,0.382
4,6,11_12,OK,1.4,20.3,0.151,1.77,0.168,0,11_12,,0.916666667,0.615
5,7,11_35,OK,0.88,22.8,0.186,1.27,0.201,0,11_35,,0.314285714,0.528
6,8,3_8,OK,1.33,24.8,0.235,1.7,0.251,0,3_8,,0.375,0.742
7,9,7_15,OK,1.7,27.3,0.2,2.13,0.217,0,7_15,,0.466666667,0.912
8,10,1_9,OK,1.71,30.1,0.121,1.95,0.135,0,1_9,,0.111111111,0.422
9,11,10_19,OK,1.78,32.9,0.117,2.1,0.135,0,10_19,,0.526315789,0.169
10,12,703_891,OK,1.42,35.7,0.0169,1.6,0.0334,0,703_891,,0.789,0.0861
11,13,1_17,OK,1.51,38.3,0.0337,1.72,0.05,0,1_17,,0.058823529,0.151
12,14,291_491,OK,1.05,40.8,0.117,1.38,0.133,0,291_491,,0.592668024,0.682
13,15,10_13,ERR_TooSlowInstantaneous,0,42.9,0.185,1.5,0.201,0,10_13,,0.769230769,N/A
14,16,1_6,OK,1.63,45.8,0.15,1.97,0.167,0,1_6,,0.166666667,0.201
15,17,1_9,OK,1.15,48.6,0.149,1.52,0.166,0,1_9,,0.111111111,0.393
16,18,10_19,OK,1.28,50.9,0.117,1.62,0.133,0,10_19,,0.526315789,0.76
17,19,10_13,OK,0.934,53.2,0.0835,1.27,0.1,0,10_13,,0.769230769,0.478
18,20,28_109,OK,0.984,55.2,0.1,1.32,0.117,0,28_109,,0.256880734,0.272
19,21,16_25,OK,1.12,57.3,0.0838,1.42,0.1,0,16_25,,0.64,0.75
20,22,7_15,OK,1.58,59.5,0.12,2,0.135,0,7_15,,0.466666667,0.178
21,23,11_12,OK,1.08,62.3,0.118,1.46,0.134,0,11_12,,0.916666667,0.589
22,24,1_17,OK,1.43,64.6,0.1,1.84,0.117,0,1_17,,0.058823529,0.336
23,25,120_553,OK,1.75,67.3,0.117,2.15,0.134,0,120_553,,0.217,0.185
24,26,11_35,OK,1.38,70.3,0.15,1.78,0.166,0,11_35,,0.314285714,0.55
25,27,1_6,OK,1.41,74.1,0.0364,1.65,0.051,0,1_6,,0.166666667,0.208
26,28,4_5,OK,1.55,76.5,0.352,2.07,0.368,0,4_5,,0.8,0.361
27,29,3_8,OK,1.05,79.3,0.168,1.42,0.186,0,3_8,,0.375,0.439
28,30,291_491,ERR_TooSlowGlobal,0,81.6,0.235,0.954,0.251,0,291_491,,0.592668024,N/A
29,31,703_891,OK,1.45,83.7,0.486,2.18,0.501,0,703_891,,0.789,0.232
30,32,1_17,OK,1.12,86.6,0.152,1.45,0.168,0,1_17,,0.058823529,0.343
31,33,120_553,OK,1.55,89,0.286,2.14,0.301,0,120_553,,0.217,0.0861
32,34,7_15,OK,0.949,91.9,0.118,1.3,0.134,0,7_15,,0.466666667,0.378
33,35,16_25,OK,1.06,93.9,0.152,1.53,0.167,0,16_25,,0.64,0.517
34,36,11_12,OK,1.03,96.1,0.0342,1.3,0.0504,0,11_12,,0.916666667,0.332
35,37,11_35,OK,1.1,98.1,0.136,1.45,0.152,0,11_35,,0.314285714,0.275
36,38,703_891,ERR_TooSlowInstantaneous,0,102,0.234,1.5,0.251,0,703_891,,0.789,N/A
37,39,3_8,OK,1.58,105,0.386,2.18,0.402,0,3_8,,0.375,0.336
38,40,4_5,OK,1.12,108,0.202,1.64,0.219,0,4_5,,0.8,0.463
39,41,10_13,OK,1.43,117,0.335,1.98,0.351,0,10_13,,0.769230769,0.506
40,42,1_6,OK,1.22,119,0.151,1.58,0.167,0,1_6,,0.166666667,0.253
41,43,10_19,OK,1.48,122,0.25,1.93,0.266,0,10_19,,0.526315789,0.39
42,44,1_9,OK,0.882,124,0.135,1.27,0.152,0,1_9,,0.111111111,0.483
43,45,28_109,OK,0.784,126,0.0171,1.02,0.0341,0,28_109,,0.256880734,0.61
44,46,291_491,OK,1.46,128,0.168,1.88,0.184,0,291_491,,0.592668024,0.0667
45,2,16_25,OK,0.967,131,0.284,1.47,0.3,0,16_25,,0.64,0.268
46,4,28_109,OK,0.782,134,0.101,1.1,0.118,0,28_109,,0.256880734,0.457
47,15,10_13,OK,0.863,135,0.136,1.18,0.151,0,10_13,,0.769230769,0.588
48,30,291_491,OK,1.13,137,0.151,1.47,0.167,0,291_491,,0.592668024,0.178
49,38,703_891,OK,1.11,139,0.135,1.42,0.151,0,703_891,,0.789,0.108
