trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",OK,1.08,15.5,0.737,2.02,0.75,0:258,0,"9,158",9158,8.46e+03
2,3,"4,782",OK,0.95,18.2,0.219,1.32,0.235,0:258,0,"4,782",4782,3.68e+03
3,4,"9,845",OK,0.967,20.2,0.15,1.27,0.167,0:258,0,"9,845",9845,8.92e+03
4,5,"1,751",OK,0.966,22.2,0.168,1.3,0.185,0:258,0,"1,751",1751,486
5,6,"5,312",OK,0.817,24.3,0.15,1.15,0.167,0:258,0,"5,312",5312,5.01e+03
6,7,"8,074",OK,0.85,26.1,0.168,1.13,0.185,0:258,0,"8,074",8074,7.64e+03
7,8,"7,729",OK,0.834,28,0.134,1.1,0.151,0:258,0,"7,729",7729,6.56e+03
8,9,"5,886",OK,0.867,29.7,0.151,1.12,0.168,0:258,0,"5,886",5886,5.43e+03
9,10,"6,401",OK,0.865,31.5,0.135,1.13,0.152,0:258,0,"6,401",6401,5.67e+03
10,11,992,ERR_InvalidAngle,0,33.3,0.168,0.858,0.184,0:258,0,992,992,N/A
11,13,"6,698",OK,1.05,35.9,0.0524,1.37,0.0667,0:258,0,"6,698",6698,5.07e+03
12,14,"4,115",OK,0.867,37.9,0.134,1.08,0.151,0:258,0,"4,115",4115,3.58e+03
13,15,"3,903",OK,0.916,39.8,0.152,1.15,0.168,0:258,0,"3,903",3903,2.67e+03
14,16,"3,274",OK,0.982,41.7,0.219,1.3,0.235,0:258,0,"3,274",3274,2.93e+03
15,17,"2,894",OK,0.9,43.7,0.167,1.15,0.184,0:258,0,"2,894",2894,2.38e+03
16,18,374,ERR_InvalidAngle,0,45.7,0.184,1.91,0.2,0:258,0,374,374,N/A
17,19,"1,023",OK,0.883,48.8,0.235,1.2,0.251,0:258,0,"1,023",1023,736
18,20,"7,264",OK,0.965,50.8,0.203,1.32,0.218,0:258,0,"7,264",7264,7.9e+03
19,21,"2,148",OK,0.899,52.9,0.202,1.2,0.218,0:258,0,"2,148",2148,1.49e+03
20,22,"3,274",OK,0.882,54.9,0.202,1.17,0.218,0:258,0,"3,274",3274,2.44e+03
21,23,"9,845",OK,0.951,56.8,0.15,1.23,0.167,0:258,0,"9,845",9845,8.82e+03
22,24,"2,148",OK,0.964,58.8,0.17,1.22,0.185,0:258,0,"2,148",2148,1.17e+03
23,25,"1,751",OK,0.899,60.7,0.152,1.2,0.168,0:258,0,"1,751",1751,1.4e+03
