trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,ERR_TooSlowGlobal,0,189,2.68,3,2.7,0:258,0,8,8,N/A
2,2,1,OK,0.549,198,0.433,1.29,0.451,0:258,0,1,1,5.88
3,8,7,OK,1.77,216,0.716,2.8,0.733,0:258,0,7,7,6.76
4,11,10,ERR_TooSlowGlobal,0,230,0.0171,0.336,0.0339,0:258,0,10,10,N/A
5,7,6,OK,1.95,232,0.584,2.83,0.6,0:258,0,6,6,6.33
6,5,4,OK,1.97,238,0.55,2.75,0.566,0:258,0,4,4,3.36
7,10,9,OK,1.52,243,0.517,2.32,0.533,0:258,0,9,9,8.71
8,6,5,OK,1.72,249,0.4,2.33,0.417,0:258,0,5,5,5.01
9,3,2,OK,1.45,253,0.417,2.13,0.433,0:258,0,2,2,2.15
10,11,10,OK,1.28,257,0.433,2,0.45,0:258,0,10,10,9.71
11,9,8,OK,1.73,261,0.384,2.42,0.4,0:258,0,8,8,7.71
12,4,3,OK,1.73,265,0.217,2.25,0.233,0:258,0,3,3,3.01
