trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,1.63,55.8,0.432,2.37,0.449,0:258,0,65321,65321,6.4e+04
2,3,11730,OK,2.36,58.9,0.285,2.78,0.301,0:258,0,11730,11730,7.01e+04
3,4,73954,OK,1.38,63.7,0.27,1.96,0.286,0:258,0,73954,73954,7.15e+04
4,5,92855,OK,1.02,66.3,0.148,1.45,0.167,0:258,0,92855,92855,7.86e+04
5,6,25731,OK,1.17,68.5,0.181,1.65,0.2,0:258,0,25731,25731,2.87e+04
6,7,16542,OK,1.32,70.9,0.38,1.93,0.4,0:258,0,16542,16542,2.71e+04
7,8,37828,OK,1.27,73.5,0.0807,1.6,0.0999,0:258,0,37828,37828,2.13e+04
8,9,59374,OK,1.37,75.9,0.0145,1.7,0.0337,0:258,0,59374,59374,4.83e+04
9,10,49743,OK,1.15,78.3,0.0474,1.38,0.0672,0:258,0,49743,49743,4.04e+04
10,11,5882,OK,0.934,81.4,0.281,1.45,0.3,0:258,0,5882,5882,4.97e+04
11,12,47765,OK,0.966,83.5,0.232,1.43,0.25,0:258,0,47765,47765,4.18e+04
12,13,11328,OK,1.75,85.7,0.118,2.19,0.136,0:258,0,11328,11328,8.11e+04
13,14,83425,OK,1.1,88.4,0.0466,1.47,0.0664,0:258,0,83425,83425,6.25e+04
14,15,32319,OK,1.02,91.4,0.281,1.61,0.3,0:258,0,32319,32319,2.82e+04
15,17,25731,OK,0.951,95.1,0.281,1.46,0.3,0:258,0,25731,25731,2.46e+04
16,18,65321,OK,0.999,97.2,0.0148,1.2,0.0333,0:258,0,65321,65321,5.39e+04
17,19,16542,OK,0.837,99.1,0.234,1.39,0.247,0:258,0,16542,16542,5.38e+04
18,20,92855,OK,0.916,101,0.3,1.47,0.319,0:258,0,92855,92855,7.65e+04
19,21,32319,ERR_TooSlowGlobal,0,103,0.131,0.452,0.15,0:258,0,32319,32319,N/A
20,22,49743,OK,0.933,106,0.114,1.26,0.133,0:258,0,49743,49743,2.71e+04
21,23,47765,OK,0.882,108,0.215,1.3,0.233,0:258,0,47765,47765,3.54e+04
22,24,11328,OK,0.865,110,0.133,1.28,0.15,0:258,0,11328,11328,5.21e+04
23,25,59374,OK,0.982,113,0.232,1.41,0.25,0:258,0,59374,59374,7.88e+04
24,26,11730,OK,0.999,115,0.0478,1.3,0.0668,0:258,0,11730,11730,8.33e+04
25,27,5882,OK,0.95,117,0.0809,1.27,0.1,0:258,0,5882,5882,5.35e+04
26,28,76921,OK,0.832,119,0.233,1.28,0.251,0:258,0,76921,76921,7.1e+04
27,29,83425,OK,0.914,121,0.0668,1.18,0.0833,0:258,0,83425,83425,8.01e+04
28,30,73954,OK,0.85,123,0.164,1.25,0.183,0:258,0,73954,73954,7.99e+04
29,31,37828,OK,0.883,125,0.098,1.21,0.117,0:258,0,37828,37828,7.97e+04
30,32,49743,OK,0.833,127,0.198,1.21,0.217,0:258,0,49743,49743,8.14e+04
31,33,16542,ERR_TooSlowInstantaneous,0,128,0.0645,1.29,0.0833,0:258,0,16542,16542,N/A
32,34,32319,OK,1.18,131,0.0142,1.45,0.0333,0:258,0,32319,32319,4.62e+04
33,35,37828,OK,1.47,134,0.0999,1.75,0.12,0:258,0,37828,37828,3.68e+04
34,36,25731,OK,1.28,136,0.0505,1.52,0.0693,0:258,0,25731,25731,2.82e+04
35,37,47765,OK,1.22,138,0.0668,1.46,0.0851,0:258,0,47765,47765,4.43e+04
36,38,92855,OK,1.73,141,0.098,2.03,0.117,0:258,0,92855,92855,7.6e+04
37,39,11730,OK,1.33,143,0.014,1.53,0.0336,0:258,0,11730,11730,3.97e+04
38,40,11328,OK,1.07,147,0.264,1.53,0.283,0:258,0,11328,11328,5.62e+04
39,41,65321,OK,1.65,149,0.0973,1.95,0.117,0:258,0,65321,65321,7.12e+04
40,42,76921,OK,2.06,151,0.115,2.3,0.134,0:258,0,76921,76921,3.43e+04
41,43,5882,ERR_TooSlowInstantaneous,0,155,0.0476,0.42,0.0667,0:258,0,5882,5882,N/A
42,44,59374,OK,1.13,156,0.1,1.42,0.119,0:258,0,59374,59374,2.85e+04
43,45,83425,OK,1.41,158,0.0199,1.63,0.036,0:258,0,83425,83425,4.71e+04
44,46,73954,OK,1.85,161,0.181,2.26,0.2,0:258,0,73954,73954,3.83e+04
45,16,76921,OK,0.953,164,0.231,1.41,0.25,0:258,0,76921,76921,3.39e+04
46,21,32319,OK,1.08,166,0.0651,1.3,0.0838,0:258,0,32319,32319,2.24e+04
47,33,16542,OK,1.43,168,0.0142,1.72,0.0335,0:258,0,16542,16542,2.21e+04
48,43,5882,OK,1.18,176,0.448,1.81,0.467,0:258,0,5882,5882,3.26e+04
