trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,4,3,OK,4.05,5.07e+03,3.9,8.25,3.92,0:258,0,3,3,2.11
2,10,9,ERR_TooSlowGlobal,0,5.09e+03,0.954,1.31,0.967,0:258,0,9,9,N/A
3,7,6,OK,1.85,5.09e+03,0.368,2.44,0.384,0:258,0,6,6,8.69
4,6,5,ERR_TooSlowInstantaneous,0,5.1e+03,1.95,2.19,1.97,0:258,0,5,5,N/A
5,9,8,ERR_TooSlowGlobal,0,5.1e+03,3.7,4.01,3.72,0:258,0,8,8,N/A
6,2,1,OK,1.67,5.11e+03,0.55,2.37,0.566,0:258,0,1,1,0.597
7,3,2,OK,1.5,5.11e+03,1.25,2.83,1.27,0:258,0,2,2,1.75
8,6,5,OK,1.53,5.12e+03,0.951,2.78,0.968,0:258,0,5,5,4.08
9,10,9,ERR_TooSlowInstantaneous,0,5.12e+03,0.701,2.12,0.718,0:258,0,9,9,N/A
10,8,7,ERR_FingerLifted,0,5.13e+03,0.385,2.9,0.401,0:258,0,7,7,N/A
11,8,7,OK,1.11,5.13e+03,0.568,1.99,0.584,0:258,0,7,7,6.78
12,5,4,OK,1.26,5.13e+03,0.47,1.97,0.485,0:258,0,4,4,3.28
13,10,9,OK,1.03,5.14e+03,0.601,1.82,0.617,0:258,0,9,9,8.85
14,9,8,OK,0.998,5.14e+03,0.235,1.38,0.252,0:258,0,8,8,7.83
15,11,10,OK,0.881,5.14e+03,0.635,1.72,0.652,0:258,0,10,10,10.1
