trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowGlobal,0,9.65,0.468,1.59,0.484,0,16_25,,0.64,N/A
2,3,120_553,OK,1.65,21.9,0.402,2.2,0.417,0,120_553,,0.217,0.318
3,4,28_109,OK,2.23,25.1,0.435,2.87,0.451,0,28_109,,0.256880734,0.0542
4,5,4_5,OK,2.27,28.9,0.335,2.83,0.351,0,4_5,,0.8,0.818
5,6,11_12,OK,1.9,32.8,0.317,2.35,0.333,0,11_12,,0.916666667,0.485
6,7,11_35,OK,1.75,36.1,0.235,2.1,0.25,0,11_35,,0.314285714,0.282
7,8,3_8,OK,1.68,39.1,0.419,2.27,0.434,0,3_8,,0.375,0.36
8,9,7_15,OK,1.18,43.5,0.319,1.63,0.335,0,7_15,,0.466666667,0.792
9,10,1_9,OK,1.43,45.9,0.35,1.95,0.366,0,1_9,,0.111111111,0.132
10,11,10_19,OK,1.95,48.6,0.316,2.52,0.333,0,10_19,,0.526315789,0.215
11,12,703_891,OK,1.56,51.8,0.319,2.05,0.336,0,703_891,,0.789,0.235
12,13,1_17,OK,1.7,54.7,0.135,1.97,0.152,0,1_17,,0.058823529,0.0958
13,14,291_491,OK,1.42,57.5,0.284,2,0.302,0,291_491,,0.592668024,0.446
14,15,10_13,OK,0.964,60.4,0.486,1.58,0.501,0,10_13,,0.769230769,0.351
15,16,1_6,OK,1.16,64.3,0.302,1.51,0.318,0,1_6,,0.166666667,0.321
16,17,1_9,OK,1.21,66.8,0.485,1.85,0.501,0,1_9,,0.111111111,0.21
17,18,10_19,ERR_TooSlowInstantaneous,0,69.5,0.383,0.724,0.4,0,10_19,,0.526315789,N/A
18,20,28_109,OK,1.21,72.9,0.419,1.75,0.436,0,28_109,,0.256880734,0.368
19,21,16_25,OK,1.8,75.5,0.366,2.35,0.383,0,16_25,,0.64,0.356
20,22,7_15,OK,2.25,78.7,0.466,2.88,0.484,0,7_15,,0.466666667,0.601
21,23,11_12,OK,1.55,82.5,0.384,2.13,0.4,0,11_12,,0.916666667,0.711
22,24,1_17,OK,1.15,85.4,0.718,2,0.735,0,1_17,,0.058823529,0.122
23,25,120_553,OK,1.31,88.3,0.502,1.97,0.517,0,120_553,,0.217,0.229
24,26,11_35,OK,1.28,91.1,0.369,1.8,0.384,0,11_35,,0.314285714,0.357
25,27,1_6,OK,1.2,94,0.0188,1.35,0.036,0,1_6,,0.166666667,0.237
26,28,4_5,OK,1.32,96.1,0.366,1.99,0.383,0,4_5,,0.8,0.364
27,29,3_8,OK,1.49,98.9,0.301,1.95,0.317,0,3_8,,0.375,0.483
28,30,291_491,OK,1.77,102,0.334,2.32,0.352,0,291_491,,0.592668024,0.426
29,31,703_891,OK,1.33,105,0.367,1.85,0.383,0,703_891,,0.789,0.614
30,32,1_17,OK,1.73,107,0.369,2.23,0.385,0,1_17,,0.058823529,0.196
31,33,120_553,OK,1.58,110,0.366,2.07,0.383,0,120_553,,0.217,0.268
32,34,7_15,OK,1.75,114,0.434,2.33,0.45,0,7_15,,0.466666667,0.512
33,35,16_25,OK,2.62,117,0.167,3.08,0.183,0,16_25,,0.64,0.586
34,36,11_12,OK,1.53,121,0.285,1.97,0.301,0,11_12,,0.916666667,0.756
35,37,11_35,OK,1.38,124,0.316,1.82,0.333,0,11_35,,0.314285714,0.453
36,38,703_891,OK,1.13,127,0.383,1.67,0.401,0,703_891,,0.789,0.793
37,39,3_8,ERR_TooSlowInstantaneous,0,129,0.366,1.94,0.383,0,3_8,,0.375,N/A
38,40,4_5,OK,1.62,132,0.385,2.15,0.401,0,4_5,,0.8,0.781
39,41,10_13,OK,1.12,135,0.034,1.27,0.0498,0,10_13,,0.769230769,0.711
40,42,1_6,OK,1.25,137,0.452,1.82,0.468,0,1_6,,0.166666667,0.154
41,43,10_19,ERR_TooSlowInstantaneous,0,140,0.467,0.874,0.485,0,10_19,,0.526315789,N/A
42,44,1_9,ERR_TooSlowInstantaneous,0,143,0.436,1.56,0.452,0,1_9,,0.111111111,N/A
43,45,28_109,ERR_InvalidAngle,0,146,0.318,1.03,0.335,0,28_109,,0.256880734,N/A
44,46,291_491,OK,0.781,149,0.451,1.35,0.469,0,291_491,,0.592668024,0.374
45,2,16_25,OK,1.42,151,0.302,1.8,0.317,0,16_25,,0.64,0.511
46,18,10_19,ERR_TooSlowInstantaneous,0,153,0.269,2.08,0.284,0,10_19,,0.526315789,N/A
47,19,10_13,OK,1.83,157,0.817,2.77,0.833,0,10_13,,0.769230769,0.683
48,39,3_8,OK,1.38,160,0.399,1.83,0.416,0,3_8,,0.375,0.347
49,43,10_19,OK,1.41,163,0.502,1.97,0.517,0,10_19,,0.526315789,0.399
50,44,1_9,OK,1.16,167,0.302,1.58,0.317,0,1_9,,0.111111111,0.124
51,45,28_109,OK,1.58,169,0.118,1.88,0.135,0,28_109,,0.256880734,0.326
52,18,10_19,OK,1.06,173,0.335,1.52,0.35,0,10_19,,0.526315789,0.696
