trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,1,ERR_TooSlowInstantaneous,0,17.8,0.801,3.12,0.817,0:258,0,1,1,N/A
2,5,4,OK,1.48,25.5,0.466,2.27,0.483,0:258,0,4,4,5.71
3,11,10,OK,1.67,32.1,0.517,2.3,0.533,0:258,0,10,10,9.88
4,2,1,OK,1.37,36.3,1.58,3.13,1.6,0:258,0,1,1,0.542
5,9,8,OK,2.08,42.7,1.27,3.55,1.28,0:258,0,8,8,8.38
6,4,3,OK,1.53,48.9,0.85,2.53,0.866,0:258,0,3,3,2.44
7,10,9,OK,1.58,54.3,0.417,2.15,0.433,0:258,0,9,9,8.9
8,7,6,ERR_FingerLifted,0,58.7,0.366,3.38,0.383,0:258,0,6,6,N/A
9,3,2,OK,1.77,70.4,0.417,2.27,0.433,0:258,0,2,2,1.62
10,8,7,OK,1.55,74.5,0.1,1.88,0.117,0:258,0,7,7,7.43
11,7,6,OK,1.43,77.4,0.151,1.83,0.166,0:258,0,6,6,6.33
12,6,5,OK,1.32,80.2,0.216,1.6,0.233,0:258,0,5,5,5.17
