trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,3.88,13.5,0.77,4.7,0.784,0,16_25,,0.64,0.253
2,3,120_553,OK,2.18,19,0.167,2.4,0.183,0,120_553,,0.217,0.183
3,4,28_109,OK,2.03,22.2,0.117,2.28,0.135,0,28_109,,0.256880734,0.143
4,5,4_5,OK,3.25,25.4,0.202,3.5,0.217,0,4_5,,0.8,0.778
5,6,11_12,ERR_FingerLifted,0,29.8,0.101,2.85,0.118,0,11_12,,0.916666667,N/A
6,7,11_35,ERR_TooSlowInstantaneous,0,33.5,0.118,2.03,0.135,0,11_35,,0.314285714,N/A
7,8,3_8,OK,2.42,37.3,0.0685,2.55,0.0857,0,3_8,,0.375,0.311
8,9,7_15,OK,2.73,40.6,0.134,2.95,0.15,0,7_15,,0.466666667,0.457
9,10,1_9,OK,1.6,44.4,0.135,1.85,0.151,0,1_9,,0.111111111,0.14
10,11,10_19,OK,2.37,47.2,0.0838,2.53,0.0999,0,10_19,,0.526315789,0.631
11,12,703_891,OK,2.75,50.5,0.0844,2.9,0.101,0,703_891,,0.789,0.814
12,13,1_17,OK,1.47,54.1,0.085,1.65,0.102,0,1_17,,0.058823529,0.0778
13,14,291_491,OK,2.28,56.5,0.134,2.5,0.15,0,291_491,,0.592668024,0.297
14,15,10_13,ERR_StartedSideways,0,59.8,-1,0.134,-1,0,10_13,,0.769230769,N/A
15,16,1_6,OK,1.28,61.2,0.167,1.57,0.183,0,1_6,,0.166666667,0.0972
16,17,1_9,OK,1.31,63.7,0.135,1.55,0.151,0,1_9,,0.111111111,0.106
17,18,10_19,OK,1.27,66,0.134,1.48,0.151,0,10_19,,0.526315789,0.319
18,19,10_13,OK,1.5,68.3,0.117,1.67,0.133,0,10_13,,0.769230769,0.364
19,20,28_109,OK,2.3,70.8,0.0841,2.48,0.1,0,28_109,,0.256880734,0.185
20,21,16_25,OK,1.93,74.1,0.151,2.18,0.167,0,16_25,,0.64,0.342
21,22,7_15,OK,1.52,77.2,0.0688,1.64,0.0845,0,7_15,,0.466666667,0.26
22,23,11_12,OK,1.58,79.8,0.135,1.82,0.152,0,11_12,,0.916666667,0.769
23,24,1_17,OK,1.22,82.4,0.1,1.4,0.116,0,1_17,,0.058823529,0.106
24,25,120_553,OK,1.42,84.6,0.1,1.62,0.117,0,120_553,,0.217,0.146
25,26,11_35,OK,1.27,87,0.119,1.48,0.136,0,11_35,,0.314285714,0.207
26,27,1_6,OK,1.14,89.2,0.186,1.42,0.202,0,1_6,,0.166666667,0.0917
27,28,4_5,OK,1.37,92.5,0.152,1.58,0.168,0,4_5,,0.8,0.826
28,29,3_8,OK,1.1,94.9,0.166,1.35,0.183,0,3_8,,0.375,0.317
29,30,291_491,ERR_FingerLifted,0,97.1,0.119,2.57,0.136,0,291_491,,0.592668024,N/A
30,31,703_891,OK,1.13,100,0.117,1.33,0.135,0,703_891,,0.789,0.75
31,32,1_17,OK,1.08,102,0.168,1.35,0.186,0,1_17,,0.058823529,0.15
32,33,120_553,OK,1.28,105,0.117,1.48,0.134,0,120_553,,0.217,0.276
33,34,7_15,OK,1.32,107,0.0837,1.45,0.1,0,7_15,,0.466666667,0.458
34,35,16_25,OK,1.93,109,0.0504,2.05,0.0666,0,16_25,,0.64,0.572
35,36,11_12,OK,1.28,112,0.0843,1.48,0.0996,0,11_12,,0.916666667,0.586
36,37,11_35,OK,1.2,114,0.0843,1.37,0.1,0,11_35,,0.314285714,0.636
37,38,703_891,OK,1.08,118,0.152,1.32,0.169,0,703_891,,0.789,0.731
38,39,3_8,OK,1.3,120,0.217,1.58,0.234,0,3_8,,0.375,0.281
39,40,4_5,OK,1.34,123,0.116,1.53,0.132,0,4_5,,0.8,0.819
40,41,10_13,OK,1.32,125,0.116,1.55,0.132,0,10_13,,0.769230769,0.696
41,42,1_6,OK,1.11,127,0.169,1.38,0.184,0,1_6,,0.166666667,0.139
42,43,10_19,OK,1.15,130,0.217,1.45,0.232,0,10_19,,0.526315789,0.629
43,44,1_9,OK,0.951,132,0.184,1.25,0.201,0,1_9,,0.111111111,0.158
44,45,28_109,OK,1.2,134,0.134,1.43,0.15,0,28_109,,0.256880734,0.289
45,46,291_491,OK,1.17,136,0.0692,1.3,0.0849,0,291_491,,0.592668024,0.228
46,6,11_12,OK,1.15,138,0.0851,1.33,0.102,0,11_12,,0.916666667,0.864
47,7,11_35,OK,1.1,140,0.118,1.32,0.134,0,11_35,,0.314285714,0.281
48,15,10_13,OK,1.22,143,0.0506,1.34,0.0681,0,10_13,,0.769230769,0.392
49,30,291_491,OK,1.21,145,0.149,1.42,0.166,0,291_491,,0.592668024,0.261
