trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,11,10,ERR_TooSlowInstantaneous,0,1.45e+03,2.43,3.53,2.45,0:258,0,10,10,N/A
2,9,8,OK,2.86,1.46e+03,1.1,4.29,1.12,0:258,0,8,8,7.43
3,10,9,OK,1.75,1.47e+03,0.252,2.27,0.268,0:258,0,9,9,8.65
4,6,5,OK,1.36,1.48e+03,0.319,1.9,0.335,0:258,0,5,5,5.12
5,4,3,OK,1.4,1.49e+03,0.202,1.82,0.218,0:258,0,3,3,2.46
6,2,1,OK,1.38,1.49e+03,0.251,1.83,0.268,0:258,0,1,1,0.694
7,8,7,OK,1.45,1.49e+03,0.183,1.8,0.2,0:258,0,7,7,7.28
8,11,10,OK,1.3,1.5e+03,0.285,1.72,0.301,0:258,0,10,10,10
9,3,2,OK,1.33,1.5e+03,0.285,1.8,0.301,0:258,0,2,2,1.43
10,7,6,OK,1.65,1.5e+03,0.202,1.92,0.217,0:258,0,6,6,6.01
11,5,4,ERR_TooSlowGlobal,0,1.51e+03,0.0168,0.844,0.0332,0:258,0,4,4,N/A
12,5,4,OK,1.73,1.51e+03,0.354,2.37,0.369,0:258,0,4,4,3.93
