trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,ERR_TooSlowInstantaneous,0,169,2.53,6.93,2.55,0:258,0,8,8,N/A
2,11,10,OK,1.68,184,0.749,2.74,0.766,0:258,0,10,10,9.94
3,2,1,OK,1.42,191,0.816,2.54,0.833,0:258,0,1,1,0.375
4,3,2,OK,1.68,195,0.383,2.32,0.4,0:258,0,2,2,1.32
5,6,5,OK,1.63,200,0.433,2.17,0.449,0:258,0,5,5,5.08
6,9,8,ERR_TooSlowInstantaneous,0,205,0.234,2.35,0.25,0:258,0,8,8,N/A
7,5,4,OK,1.98,210,0.216,2.52,0.233,0:258,0,4,4,3.29
8,9,8,OK,1.68,214,0.0172,2,0.0335,0:258,0,8,8,8.68
9,8,7,OK,1.45,217,0.283,2.05,0.3,0:258,0,7,7,7.79
10,10,9,OK,1.57,220,0.283,2.15,0.3,0:258,0,9,9,9.1
11,4,3,OK,1.6,223,0.4,2.25,0.417,0:258,0,3,3,2.82
12,7,6,OK,1.5,226,0.283,2.05,0.3,0:258,0,6,6,6.19
