trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,3,120_553,OK,2.3,12.4,0.402,2.98,0.418,0,120_553,,0.217,0.274
2,5,4_5,OK,2.3,17.8,0.136,2.73,0.153,0,4_5,,0.8,0.832
3,6,11_12,OK,1.73,21.3,0.3,2.28,0.316,0,11_12,,0.916666667,0.887
4,7,11_35,OK,1.78,24.3,0.203,2.12,0.218,0,11_35,,0.314285714,0.604
5,8,3_8,OK,1.98,27.1,0.152,2.28,0.168,0,3_8,,0.375,0.418
6,9,7_15,OK,2.28,30,0.203,2.77,0.218,0,7_15,,0.466666667,0.56
7,10,1_9,OK,2.3,33.5,0.167,2.63,0.184,0,1_9,,0.111111111,0.135
8,11,10_19,ERR_TooSlowInstantaneous,0,36.8,0.136,2.04,0.152,0,10_19,,0.526315789,N/A
9,12,703_891,ERR_TooSlowInstantaneous,0,39.9,0.203,2.11,0.219,0,703_891,,0.789,N/A
10,13,1_17,OK,1.32,43,0.102,1.62,0.118,0,1_17,,0.058823529,0.193
11,14,291_491,ERR_TooSlowInstantaneous,0,45.3,0.0833,1.36,0.102,0,291_491,,0.592668024,N/A
12,15,10_13,ERR_TooSlowInstantaneous,0,47.7,0.0171,1.12,0.0335,0,10_13,,0.769230769,N/A
13,16,1_6,OK,2.08,49.8,0.151,2.42,0.167,0,1_6,,0.166666667,0.14
14,17,1_9,OK,1.52,54.2,0.0831,1.77,0.0997,0,1_9,,0.111111111,0.132
15,18,10_19,OK,2.18,56.7,0.0844,2.43,0.101,0,10_19,,0.526315789,0.371
16,19,10_13,OK,1.68,59.8,0.017,1.92,0.0335,0,10_13,,0.769230769,0.74
17,20,28_109,OK,1.83,62.3,0.135,2.18,0.151,0,28_109,,0.256880734,0.169
18,21,16_25,OK,1.53,66,0.117,1.77,0.133,0,16_25,,0.64,0.496
19,22,7_15,OK,1.76,68.5,0.103,2.03,0.118,0,7_15,,0.466666667,0.539
20,23,11_12,OK,1.8,71.2,0.101,2.2,0.118,0,11_12,,0.916666667,0.893
21,24,1_17,OK,1.52,74,0.1,1.77,0.117,0,1_17,,0.058823529,0.112
22,25,120_553,OK,1.75,76.5,0.0171,1.92,0.0334,0,120_553,,0.217,0.1
23,26,11_35,OK,1.73,79.8,0.183,2.02,0.2,0,11_35,,0.314285714,0.343
24,27,1_6,OK,1.3,82.6,0.0168,1.5,0.0331,0,1_6,,0.166666667,0.126
25,28,4_5,OK,1.38,84.7,0.0169,1.64,0.0333,0,4_5,,0.8,0.907
26,29,3_8,OK,1.68,87,0.0166,1.82,0.0333,0,3_8,,0.375,0.326
27,30,291_491,OK,1.47,89.4,0.15,1.75,0.168,0,291_491,,0.592668024,0.188
28,31,703_891,OK,1.72,92.6,0.118,2.1,0.135,0,703_891,,0.789,0.796
29,32,1_17,OK,1.21,95.5,0.57,1.94,0.585,0,1_17,,0.058823529,0.0986
30,33,120_553,OK,1.7,98.2,0.3,2.17,0.316,0,120_553,,0.217,0.149
31,34,7_15,OK,1.46,101,0.269,1.88,0.284,0,7_15,,0.466666667,0.512
32,35,16_25,OK,1.53,104,0.184,1.92,0.2,0,16_25,,0.64,0.571
33,36,11_12,OK,1.35,106,0.134,1.75,0.15,0,11_12,,0.916666667,0.907
34,37,11_35,OK,1.37,108,0.2,1.82,0.217,0,11_35,,0.314285714,0.642
35,38,703_891,ERR_TooSlowInstantaneous,0,111,0.134,1.67,0.152,0,703_891,,0.789,N/A
36,40,4_5,OK,1.18,115,0.217,1.58,0.233,0,4_5,,0.8,0.912
37,41,10_13,OK,1.43,117,0.153,1.72,0.169,0,10_13,,0.769230769,0.671
38,42,1_6,OK,1.17,120,0.186,1.5,0.201,0,1_6,,0.166666667,0.0806
39,43,10_19,OK,1.48,122,0.0168,1.63,0.0333,0,10_19,,0.526315789,0.592
40,44,1_9,OK,1.44,124,0.0831,1.65,0.0998,0,1_9,,0.111111111,0.0708
41,45,28_109,OK,1.47,126,0.153,1.73,0.169,0,28_109,,0.256880734,0.396
42,46,291_491,OK,1.18,129,0.149,1.48,0.166,0,291_491,,0.592668024,0.51
43,2,16_25,OK,1.53,131,0.169,1.8,0.185,0,16_25,,0.64,0.575
44,4,28_109,OK,1.3,133,0.135,1.6,0.152,0,28_109,,0.256880734,0.188
45,11,10_19,OK,1.22,137,0.152,1.48,0.169,0,10_19,,0.526315789,0.362
46,12,703_891,OK,1.53,139,0.186,1.95,0.2,0,703_891,,0.789,0.821
47,14,291_491,OK,1.43,141,0.135,1.68,0.152,0,291_491,,0.592668024,0.512
48,15,10_13,ERR_TooSlowInstantaneous,0,144,0.167,1.8,0.183,0,10_13,,0.769230769,N/A
49,38,703_891,OK,0.965,147,0.168,1.32,0.185,0,703_891,,0.789,0.767
50,39,3_8,OK,1.18,149,0.218,1.55,0.235,0,3_8,,0.375,0.207
51,15,10_13,OK,1.15,151,0.15,1.43,0.167,0,10_13,,0.769230769,0.585
