trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,ERR_TooSlowInstantaneous,0,8.8,0.136,0.812,0.152,0:258,0,65321,65321,N/A
2,3,11730,ERR_FingerLifted,0,10.9,0.167,2.59,0.183,0:258,0,11730,11730,N/A
3,4,73954,ERR_FingerLifted,0,15,0.153,1.37,0.17,0:258,0,73954,73954,N/A
4,6,25731,ERR_TooSlowGlobal,0,20,0.252,3.12,0.268,0:258,0,25731,25731,N/A
5,8,37828,ERR_FingerLifted,0,28.9,0.0168,1.17,0.0333,0:258,0,37828,37828,N/A
6,9,59374,ERR_FingerLifted,0,34.3,0.352,1.76,0.368,0:258,0,59374,59374,N/A
7,10,49743,ERR_FingerLifted,0,37.5,0.285,2.32,0.301,0:258,0,49743,49743,N/A
8,11,5882,OK,1.37,41.3,0.401,2.08,0.417,0:258,0,5882,5882,4.81e+04
9,12,47765,OK,1.4,45.9,0.267,1.99,0.283,0:258,0,47765,47765,3.33e+04
10,13,11328,OK,1.45,49.4,0.336,2.03,0.352,0:258,0,11328,11328,7.78e+03
11,14,83425,OK,1.7,53.6,0.416,2.42,0.433,0:258,0,83425,83425,7.94e+04
12,15,32319,OK,1.5,57.1,0.181,1.99,0.197,0:258,0,32319,32319,2.42e+04
13,16,76921,OK,1.78,63.4,0.169,2.27,0.184,0:258,0,76921,76921,7e+04
14,17,25731,OK,1.75,67,0.0177,2.08,0.0338,0:258,0,25731,25731,1.42e+04
15,18,65321,OK,2.43,70.3,0.201,2.94,0.217,0:258,0,65321,65321,5.44e+04
16,19,16542,OK,2.35,74.3,0.434,3.07,0.453,0:258,0,16542,16542,9.31e+03
17,20,92855,OK,1.98,78.8,0.267,2.55,0.283,0:258,0,92855,92855,9.47e+04
18,21,32319,OK,2.1,82.4,0.0323,2.46,0.048,0:258,0,32319,32319,2.69e+04
19,22,49743,OK,1.98,85.9,0.25,2.53,0.266,0:258,0,49743,49743,3.72e+04
20,23,47765,OK,1.88,89.6,0.152,2.32,0.168,0:258,0,47765,47765,3.32e+04
21,24,11328,OK,1.61,92.9,0.202,2.13,0.218,0:258,0,11328,11328,4.44e+03
22,25,59374,OK,1.93,96,0.184,2.42,0.2,0:258,0,59374,59374,3.64e+04
23,26,11730,OK,1.77,99.3,0.167,2.15,0.184,0:258,0,11730,11730,6.11e+03
24,27,5882,OK,3.02,102,0.167,3.42,0.184,0:258,0,5882,5882,4.19e+04
25,28,76921,OK,2.03,107,0.0334,2.32,0.0498,0:258,0,76921,76921,7.43e+04
26,29,83425,OK,2.25,110,0.117,2.6,0.133,0:258,0,83425,83425,8.4e+04
27,30,73954,OK,1.75,114,0.0173,2.02,0.0339,0:258,0,73954,73954,7.88e+04
28,31,37828,OK,1.56,118,0.135,1.82,0.153,0:258,0,37828,37828,2.29e+04
29,32,49743,OK,1.43,121,0.134,1.7,0.151,0:258,0,49743,49743,2.97e+04
30,33,16542,OK,1.18,123,0.119,1.42,0.137,0:258,0,16542,16542,6.11e+03
31,34,32319,OK,1.27,126,0.0997,1.43,0.116,0:258,0,32319,32319,2.38e+04
32,36,25731,OK,1.5,129,0.102,1.82,0.118,0:258,0,25731,25731,1.19e+04
33,37,47765,OK,1.88,133,0.117,2.1,0.133,0:258,0,47765,47765,2.83e+04
34,38,92855,OK,2.37,136,0.152,2.78,0.169,0:258,0,92855,92855,9.28e+04
35,39,11730,OK,1.67,140,0.235,2.12,0.251,0:258,0,11730,11730,7.5e+03
36,40,11328,OK,2.23,143,0.117,2.52,0.133,0:258,0,11328,11328,9.72e+03
37,41,65321,ERR_StartedSideways,0,147,-1,0.0185,-1,0:258,0,65321,65321,N/A
38,42,76921,OK,1.58,161,0.153,2.02,0.169,0:258,0,76921,76921,7.1e+04
39,43,5882,OK,2.13,164,0.117,2.38,0.133,0:258,0,5882,5882,3.64e+04
40,44,59374,OK,1.87,167,0.0304,2.08,0.0471,0:258,0,59374,59374,3.6e+04
41,45,83425,OK,2.18,170,0.0525,2.32,0.0683,0:258,0,83425,83425,7.85e+04
42,46,73954,OK,1.91,173,0.0683,2.11,0.0842,0:258,0,73954,73954,6.9e+04
43,2,65321,ERR_InvalidAngle,0,176,0.135,1.96,0.151,0:258,0,65321,65321,N/A
44,3,11730,ERR_InvalidAngle,0,183,0.201,0.859,0.218,0:258,0,11730,11730,N/A
45,5,92855,ERR_InvalidAngle,0,185,0.0328,1.04,0.0491,0:258,0,92855,92855,N/A
46,6,25731,ERR_TooSlowGlobal,0,187,0.651,0.957,0.667,0:258,0,25731,25731,N/A
47,7,16542,OK,1.17,190,0.119,1.4,0.136,0:258,0,16542,16542,5.28e+03
48,8,37828,OK,1.43,192,0.118,1.65,0.134,0:258,0,37828,37828,1.69e+04
49,9,59374,OK,1.72,195,0.202,2.03,0.217,0:258,0,59374,59374,4.14e+04
50,10,49743,OK,2.23,198,0.116,2.43,0.132,0:258,0,49743,49743,3.39e+04
51,35,37828,OK,1.85,202,0.101,2.12,0.118,0:258,0,37828,37828,1.33e+04
52,41,65321,OK,1.75,206,0.135,2.03,0.151,0:258,0,65321,65321,5.67e+04
53,2,65321,OK,1.55,209,0.0357,1.67,0.0516,0:258,0,65321,65321,5.76e+04
