trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,11.6,0.0936,3.63,0.108,0,16_25,,0.64,N/A
2,3,120_553,OK,1.78,16.7,0.119,1.95,0.136,0,120_553,,0.217,0.717
3,4,28_109,OK,2,19.7,0.153,2.2,0.169,0,28_109,,0.256880734,0.389
4,5,4_5,ERR_TooSlowInstantaneous,0,27.8,0.0337,2.53,0.0501,0,4_5,,0.8,N/A
5,6,11_12,OK,2.13,31.7,0.136,2.32,0.153,0,11_12,,0.916666667,0.581
6,7,11_35,OK,2.07,35.5,0.219,2.33,0.235,0,11_35,,0.314285714,0.485
7,8,3_8,OK,2.76,39,0.253,3.05,0.268,0,3_8,,0.375,0.738
8,9,7_15,OK,2.38,43.6,0.284,2.72,0.3,0,7_15,,0.466666667,0.46
9,10,1_9,OK,1.78,47.1,0.0672,1.92,0.0834,0,1_9,,0.111111111,0.114
10,11,10_19,OK,3.12,49.9,0.101,3.28,0.117,0,10_19,,0.526315789,0.301
11,12,703_891,OK,3.23,54.4,0.0674,3.37,0.0855,0,703_891,,0.789,0.617
12,13,1_17,OK,1.8,58.8,0.137,2,0.154,0,1_17,,0.058823529,0.00972
13,14,291_491,OK,1.92,61.9,0.118,2.15,0.135,0,291_491,,0.592668024,0.165
14,15,10_13,OK,1.32,74,0.202,1.58,0.218,0,10_13,,0.769230769,0.271
15,16,1_6,OK,1.51,76.6,0.181,1.77,0.198,0,1_6,,0.166666667,0.175
16,17,1_9,OK,1.48,79.3,0.167,1.68,0.183,0,1_9,,0.111111111,0.0792
17,18,10_19,OK,1.7,81.8,0.117,1.87,0.133,0,10_19,,0.526315789,0.651
18,19,10_13,OK,2.26,84.7,0.186,2.55,0.201,0,10_13,,0.769230769,0.664
19,20,28_109,OK,2.05,88.2,0.0854,2.25,0.102,0,28_109,,0.256880734,0.3
20,21,16_25,OK,1.97,91.5,0.0836,2.1,0.101,0,16_25,,0.64,0.258
21,22,7_15,OK,1.92,94.5,0.1,2.06,0.118,0,7_15,,0.466666667,0.59
22,23,11_12,OK,3.1,99.3,0.136,3.28,0.152,0,11_12,,0.916666667,0.365
23,24,1_17,OK,1.95,105,0.118,2.15,0.134,0,1_17,,0.058823529,0.0556
24,25,120_553,OK,2.06,109,0.103,2.2,0.119,0,120_553,,0.217,0.0431
25,26,11_35,OK,1.87,114,0.1,2.02,0.117,0,11_35,,0.314285714,0.193
26,27,1_6,OK,1.82,117,0.25,2.15,0.266,0,1_6,,0.166666667,0.0597
27,28,4_5,OK,2.07,121,0.0834,2.23,0.0998,0,4_5,,0.8,0.36
28,29,3_8,OK,2.65,124,0.116,2.83,0.132,0,3_8,,0.375,0.443
29,30,291_491,OK,1.68,128,0.085,1.83,0.101,0,291_491,,0.592668024,0.0167
30,31,703_891,ERR_TooSlowInstantaneous,0,131,0.117,3.72,0.134,0,703_891,,0.789,N/A
31,32,1_17,OK,2.62,135,0.119,2.85,0.135,0,1_17,,0.058823529,0.214
32,33,120_553,OK,2.93,141,0.12,3.12,0.136,0,120_553,,0.217,0.151
33,34,7_15,ERR_TooSlowInstantaneous,0,147,0.116,1.51,0.137,0,7_15,,0.466666667,N/A
34,35,16_25,OK,1.57,150,0.0691,1.72,0.0842,0,16_25,,0.64,0.312
35,36,11_12,OK,1.47,153,0.0838,1.55,0.0999,0,11_12,,0.916666667,0.613
36,37,11_35,ERR_TooSlowInstantaneous,0,155,0.134,2.18,0.151,0,11_35,,0.314285714,N/A
37,38,703_891,OK,1.63,159,0.118,1.8,0.135,0,703_891,,0.789,0.582
38,39,3_8,OK,1.83,161,0.0669,1.95,0.0846,0,3_8,,0.375,0.139
39,40,4_5,OK,2.8,164,0.119,3,0.135,0,4_5,,0.8,0.646
40,41,10_13,OK,3.1,171,0.0515,3.22,0.0677,0,10_13,,0.769230769,0.688
41,42,1_6,OK,1.98,177,0.017,2.07,0.0333,0,1_6,,0.166666667,0.219
42,43,10_19,OK,2.65,180,0.0509,2.75,0.0665,0,10_19,,0.526315789,0.31
43,44,1_9,OK,1.83,184,0.118,2.05,0.134,0,1_9,,0.111111111,0.136
44,45,28_109,OK,1.77,192,0.167,1.97,0.184,0,28_109,,0.256880734,0.118
45,46,291_491,OK,2.06,195,0.203,2.32,0.218,0,291_491,,0.592668024,0.182
46,2,16_25,OK,2,198,0.171,2.21,0.185,0,16_25,,0.64,0.162
47,31,703_891,OK,2.52,203,0.119,2.63,0.135,0,703_891,,0.789,0.579
48,34,7_15,ERR_FingerLifted,0,207,0.15,2.85,0.168,0,7_15,,0.466666667,N/A
49,37,11_35,OK,1.43,211,0.169,1.65,0.184,0,11_35,,0.314285714,0.207
50,5,4_5,OK,1.85,215,0.118,2.03,0.134,0,4_5,,0.8,0.349
51,34,7_15,ERR_FingerLifted,0,218,0.119,2.81,0.135,0,7_15,,0.466666667,N/A
52,34,7_15,ERR_TooSlowGlobal,0,221,0.185,0.638,0.201,0,7_15,,0.466666667,N/A
53,34,7_15,ERR_FingerLifted,0,223,0.119,2.27,0.134,0,7_15,,0.466666667,N/A
54,34,7_15,ERR_FingerLifted,0,227,0.252,1.76,0.268,0,7_15,,0.466666667,N/A
55,34,7_15,OK,1.61,231,0.17,2.11,0.187,0,7_15,,0.466666667,0.279
