trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,1.13,9.72,0.203,1.49,0.218,0:258,0,0.52,0.52,0.221
2,3,0.11,OK,1.23,12.1,0.418,1.73,0.435,0:258,0,0.11,0.11,0.229
3,4,0.08,OK,1.22,14.6,0.017,1.4,0.0335,0:258,0,0.08,0.08,0.119
4,5,0.68,OK,1.33,16.7,0.0672,1.52,0.0836,0:258,0,0.68,0.68,0.153
5,6,0.47,OK,1.18,19.1,0.0171,1.32,0.0338,0:258,0,0.47,0.47,0.411
6,7,0.61,OK,1.23,22,0.303,1.73,0.318,0:258,0,0.61,0.61,0.674
7,8,0.89,OK,1.19,24.3,0.103,1.47,0.119,0:258,0,0.89,0.89,0.861
8,9,0.98,OK,1.06,26.4,0.103,1.32,0.118,0:258,0,0.98,0.98,0.926
9,10,0.17,OK,1.12,28.4,0.0994,1.35,0.116,0:258,0,0.17,0.17,0.0583
10,11,0.43,OK,1.08,30.3,0.134,1.32,0.15,0:258,0,0.43,0.43,0.211
11,12,0.92,OK,1.06,32.3,0.134,1.29,0.15,0:258,0,0.92,0.92,0.9
12,13,0.03,OK,1.12,34.2,0.0836,1.3,0.0997,0:258,0,0.03,0.03,0.0375
13,14,0.32,OK,1.08,36,0.134,1.32,0.151,0:258,0,0.32,0.32,0.0917
14,15,0.24,OK,1.03,38,0.219,1.37,0.236,0:258,0,0.24,0.24,0.075
15,17,0.85,OK,1.05,40.9,0.119,1.25,0.135,0:258,0,0.85,0.85,0.911
16,19,0.73,OK,1.08,43.5,0.169,1.38,0.185,0:258,0,0.73,0.73,0.812
17,20,0.35,OK,1.14,45.4,0.0996,1.32,0.116,0:258,0,0.35,0.35,0.193
18,21,0.26,OK,1.15,47.4,0.0171,1.29,0.0336,0:258,0,0.26,0.26,0.0875
19,22,0.98,OK,1.05,49.2,0.119,1.3,0.136,0:258,0,0.98,0.98,0.897
20,23,0.17,OK,1.06,51.1,0.0868,1.27,0.102,0:258,0,0.17,0.17,0.0806
21,24,0.26,OK,0.892,53.8,0.203,1.2,0.219,0:258,0,0.26,0.26,0.1
22,25,0.73,OK,0.981,55.6,0.119,1.23,0.135,0:258,0,0.73,0.73,0.878
23,26,0.08,OK,0.986,57.4,0.152,1.27,0.168,0:258,0,0.08,0.08,0.0542
24,27,0.03,OK,0.968,59.3,0.103,1.19,0.119,0:258,0,0.03,0.03,0.0125
25,28,0.35,OK,0.917,61.1,0.102,1.13,0.118,0:258,0,0.35,0.35,0.0833
26,29,0.68,OK,1.11,62.9,0.0864,1.33,0.101,0:258,0,0.68,0.68,0.865
27,30,0.47,OK,1.02,64.8,0.1,1.2,0.117,0:258,0,0.47,0.47,0.471
28,31,0.32,OK,0.899,67.4,0.169,1.2,0.185,0:258,0,0.32,0.32,0.253
29,32,0.85,OK,1.1,69.3,0.101,1.35,0.118,0:258,0,0.85,0.85,0.708
30,33,0.92,OK,0.992,71.2,0.0677,1.14,0.084,0:258,0,0.92,0.92,0.914
31,34,0.56,OK,0.985,73.7,0.102,1.2,0.117,0:258,0,0.56,0.56,0.497
32,35,0.24,OK,0.985,75.5,0.153,1.24,0.169,0:258,0,0.24,0.24,0.0917
33,36,0.52,OK,0.902,77.4,0.119,1.13,0.135,0:258,0,0.52,0.52,0.49
34,37,0.43,OK,0.932,79.2,0.102,1.15,0.118,0:258,0,0.43,0.43,0.403
35,38,0.77,OK,0.948,81.7,0.319,1.47,0.335,0:258,0,0.77,0.77,0.85
36,39,0.61,OK,0.891,83.9,0.219,1.28,0.235,0:258,0,0.61,0.61,0.568
37,40,0.89,OK,1.45,85.8,0.153,1.73,0.168,0:258,0,0.89,0.89,0.844
38,41,0.11,OK,1.21,88.2,0.169,1.55,0.185,0:258,0,0.11,0.11,0.0778
39,42,0.35,OK,1.06,90.5,0.101,1.28,0.116,0:258,0,0.35,0.35,0.164
40,43,0.77,OK,1.1,92.4,0.151,1.38,0.167,0:258,0,0.77,0.77,0.828
41,44,0.52,OK,0.92,94.4,0.103,1.13,0.12,0:258,0,0.52,0.52,0.483
42,45,0.85,OK,1.11,96.9,0.203,1.44,0.218,0:258,0,0.85,0.85,0.833
43,46,0.73,OK,1.12,99,0.117,1.33,0.133,0:258,0,0.73,0.73,0.782
44,47,0.08,OK,1.15,101,0.1,1.38,0.117,0:258,0,0.08,0.08,0.05
45,48,0.61,OK,1.05,103,0.169,1.34,0.185,0:258,0,0.61,0.61,0.542
46,49,0.17,OK,1.08,105,0.118,1.32,0.134,0:258,0,0.17,0.17,0.0375
47,50,0.03,OK,1.05,107,0.117,1.3,0.134,0:258,0,0.03,0.03,0.0167
48,51,0.47,OK,1.17,109,0.118,1.4,0.135,0:258,0,0.47,0.47,0.428
49,52,0.32,OK,1.21,111,0.104,1.47,0.118,0:258,0,0.32,0.32,0.289
50,53,0.26,OK,1.22,113,0.0846,1.48,0.1,0:258,0,0.26,0.26,0.133
51,54,0.43,OK,1.07,116,0.184,1.38,0.201,0:258,0,0.43,0.43,0.369
52,55,0.68,OK,1.15,119,0.103,1.38,0.118,0:258,0,0.68,0.68,0.574
53,56,0.56,OK,1.01,121,0.1,1.23,0.117,0:258,0,0.56,0.56,0.474
54,57,0.11,OK,1.07,123,0.0837,1.27,0.1,0:258,0,0.11,0.11,0.0153
55,58,0.92,OK,0.988,125,0.119,1.25,0.136,0:258,0,0.92,0.92,0.915
56,59,0.98,OK,0.866,127,0.221,1.22,0.235,0:258,0,0.98,0.98,0.94
57,60,0.24,OK,1.1,129,0.117,1.33,0.133,0:258,0,0.24,0.24,0.0417
58,61,0.89,OK,1.03,131,0.167,1.31,0.183,0:258,0,0.89,0.89,0.922
59,16,0.56,OK,1.08,133,0.017,1.22,0.0333,0:258,0,0.56,0.56,0.546
60,18,0.77,OK,1.37,135,0.0837,1.55,0.0999,0:258,0,0.77,0.77,0.769
