trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,1,OK,3.68,91.6,0.567,4.57,0.583,0:258,0,1,1,6.47
2,10,9,ERR_TooSlowInstantaneous,0,106,0.587,2.65,0.602,0:258,0,9,9,N/A
3,4,3,ERR_TooSlowInstantaneous,0,114,0.785,6.3,0.801,0:258,0,3,3,N/A
4,5,4,OK,3.2,124,0.102,3.62,0.118,0:258,0,4,4,3.56
5,10,9,OK,4.5,142,0.985,5.8,1,0:258,0,9,9,8.6
6,7,6,OK,4,150,0.719,5.04,0.734,0:258,0,6,6,6.12
7,11,10,OK,1.8,157,0.418,2.54,0.435,0:258,0,10,10,9.89
8,8,7,OK,3.95,160,0.469,4.74,0.486,0:258,0,7,7,7.47
9,6,5,OK,2.1,166,0.385,2.77,0.401,0:258,0,5,5,5.21
10,3,2,OK,2.65,170,0.351,3.22,0.367,0:258,0,2,2,1.99
11,4,3,OK,3.3,174,0.483,4.08,0.499,0:258,0,3,3,2.85
12,9,8,OK,1.85,180,0.419,2.47,0.435,0:258,0,8,8,7.78
