trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,3,120_553,OK,5.53,11.4,0.42,6.05,0.435,0,120_553,,0.217,0.369
2,4,28_109,OK,4.13,18.8,0.217,4.43,0.234,0,28_109,,0.256880734,0.192
3,5,4_5,OK,2.8,24.5,0.151,3.02,0.167,0,4_5,,0.8,0.839
4,6,11_12,OK,2.07,28.6,0.168,2.43,0.186,0,11_12,,0.916666667,0.988
5,7,11_35,OK,3.75,32.1,0.2,4.07,0.216,0,11_35,,0.314285714,0.297
6,8,3_8,OK,3.95,37.1,0.22,4.23,0.235,0,3_8,,0.375,0.343
7,9,7_15,OK,4.53,42.3,0.251,4.85,0.267,0,7_15,,0.466666667,0.449
8,10,1_9,OK,2.96,48.3,0.202,3.23,0.218,0,1_9,,0.111111111,0.0556
9,11,10_19,OK,4.2,52.5,0.252,4.53,0.268,0,10_19,,0.526315789,0.464
10,12,703_891,OK,3.03,58,0.183,3.33,0.2,0,703_891,,0.789,0.919
11,13,1_17,ERR_TooSlowInstantaneous,0,62.1,0.251,1.95,0.267,0,1_17,,0.058823529,N/A
12,14,291_491,OK,3.05,65.9,0.234,3.33,0.251,0,291_491,,0.592668024,0.717
13,15,10_13,OK,2.81,70.2,0.219,3.13,0.235,0,10_13,,0.769230769,0.917
14,16,1_6,OK,5.25,74.2,0.233,5.61,0.249,0,1_6,,0.166666667,0.14
15,17,1_9,OK,1.82,80.7,0.216,2.12,0.233,0,1_9,,0.111111111,0.0583
16,18,10_19,OK,2.87,83.7,0.199,3.15,0.216,0,10_19,,0.526315789,0.55
17,19,10_13,OK,3.5,87.8,0.352,4.08,0.369,0,10_13,,0.769230769,0.919
18,20,28_109,ERR_TooSlowInstantaneous,0,92.6,0.25,4.45,0.266,0,28_109,,0.256880734,N/A
19,21,16_25,OK,4.46,98.7,0.201,4.78,0.217,0,16_25,,0.64,0.656
20,22,7_15,OK,2.87,104,0.183,3.17,0.2,0,7_15,,0.466666667,0.517
21,23,11_12,OK,2.37,108,0.25,2.7,0.266,0,11_12,,0.916666667,0.985
22,24,1_17,OK,1.55,112,0.216,1.85,0.233,0,1_17,,0.058823529,0
23,25,120_553,OK,2.33,115,0.219,2.62,0.235,0,120_553,,0.217,0.147
24,26,11_35,OK,6.1,118,0.285,6.5,0.301,0,11_35,,0.314285714,0.317
25,27,1_6,OK,2.77,126,0.217,3.1,0.234,0,1_6,,0.166666667,0.128
26,28,4_5,OK,3.32,130,0.2,3.67,0.216,0,4_5,,0.8,0.79
27,29,3_8,OK,2.3,134,0.201,2.58,0.217,0,3_8,,0.375,0.221
28,30,291_491,ERR_TooSlowInstantaneous,0,138,0.168,4.19,0.186,0,291_491,,0.592668024,N/A
29,31,703_891,OK,2.73,143,0.235,3.07,0.251,0,703_891,,0.789,0.79
30,32,1_17,OK,2.38,147,0.234,2.7,0.25,0,1_17,,0.058823529,0.00556
31,33,120_553,OK,2.73,151,0.166,3,0.185,0,120_553,,0.217,0.208
32,34,7_15,OK,1.58,155,0.199,1.87,0.216,0,7_15,,0.466666667,0.492
33,35,16_25,OK,2.02,158,0.184,2.27,0.2,0,16_25,,0.64,0.5
34,36,11_12,OK,1.97,161,0.218,2.27,0.234,0,11_12,,0.916666667,0.992
35,37,11_35,OK,2.6,164,0.151,2.82,0.168,0,11_35,,0.314285714,0.286
36,38,703_891,OK,1.72,168,0.183,1.97,0.199,0,703_891,,0.789,0.925
37,39,3_8,OK,2.3,171,0.218,2.6,0.234,0,3_8,,0.375,0.172
38,40,4_5,OK,1.68,175,0.202,1.93,0.218,0,4_5,,0.8,0.778
39,41,10_13,OK,1.95,178,0.233,2.25,0.249,0,10_13,,0.769230769,0.944
40,42,1_6,OK,2.42,181,0.201,2.72,0.217,0,1_6,,0.166666667,0.108
41,44,1_9,OK,1.98,186,0.268,2.4,0.285,0,1_9,,0.111111111,0.025
42,45,28_109,OK,3.38,189,0.317,3.88,0.334,0,28_109,,0.256880734,0.0306
43,46,291_491,OK,3.63,194,0.302,3.96,0.318,0,291_491,,0.592668024,0.721
44,2,16_25,ERR_TooSlowInstantaneous,0,199,0.283,4.1,0.3,0,16_25,,0.64,N/A
45,13,1_17,OK,1.68,205,0.185,1.98,0.201,0,1_17,,0.058823529,0.0139
46,20,28_109,OK,1.73,208,0.3,2.15,0.316,0,28_109,,0.256880734,0.0694
47,30,291_491,OK,3.38,211,0.284,3.77,0.3,0,291_491,,0.592668024,0.646
48,43,10_19,OK,3.28,215,0.2,3.57,0.217,0,10_19,,0.526315789,0.558
49,2,16_25,OK,2.35,220,0.183,2.62,0.2,0,16_25,,0.64,0.479
