trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",OK,1.75,17.4,0.302,2.2,0.319,0:258,0,"9,158",9158,8.86e+03
2,3,"4,782",OK,1.68,20.4,0.135,1.88,0.152,0:258,0,"4,782",4782,4.92e+03
3,4,"9,845",OK,1.53,23,0.118,1.8,0.134,0:258,0,"9,845",9845,9.75e+03
4,5,"1,751",OK,1.57,25.6,0.151,1.87,0.167,0:258,0,"1,751",1751,847
5,6,"5,312",OK,1.57,28.4,0.152,1.83,0.168,0:258,0,"5,312",5312,5.08e+03
6,7,"8,074",OK,1.8,31,0.0849,2.02,0.101,0:258,0,"8,074",8074,8.68e+03
7,8,"7,729",OK,1.8,33.9,0.153,2.07,0.168,0:258,0,"7,729",7729,8.42e+03
8,9,"5,886",OK,1.52,36.7,0.118,1.73,0.135,0:258,0,"5,886",5886,5.94e+03
9,10,"6,401",OK,1.35,39.2,0.0684,1.53,0.0842,0:258,0,"6,401",6401,6.38e+03
10,11,992,ERR_StartedSideways,0,41.5,-1,0.021,-1,0:258,0,992,992,N/A
11,12,"8,906",OK,1.92,42.8,0.118,2.2,0.134,0:258,0,"8,906",8906,8.82e+03
12,13,"6,698",OK,2.23,45.7,0.0846,2.45,0.101,0:258,0,"6,698",6698,6.35e+03
13,14,"4,115",OK,1.65,48.9,0.0874,1.85,0.102,0:258,0,"4,115",4115,3.93e+03
14,15,"3,903",OK,1.78,51.5,0.0852,1.95,0.101,0:258,0,"3,903",3903,3.51e+03
15,16,"3,274",OK,1.86,54.3,0.0681,2.05,0.0845,0:258,0,"3,274",3274,2.65e+03
16,17,"2,894",OK,1.57,58.2,0.118,1.85,0.135,0:258,0,"2,894",2894,2.15e+03
17,18,374,OK,1.98,60.9,0.135,2.28,0.152,0:258,0,374,374,347
18,19,"1,023",OK,1.98,64.1,0.135,2.43,0.153,0:258,0,"1,023",1023,514
19,20,"7,264",OK,1.82,67.4,0.135,2.07,0.152,0:258,0,"7,264",7264,8.39e+03
20,21,"2,148",OK,1.55,70.2,0.1,1.87,0.117,0:258,0,"2,148",2148,653
21,22,"3,274",OK,1.53,73.1,0.117,1.92,0.134,0:258,0,"3,274",3274,736
22,23,"9,845",OK,2.23,76.9,0.12,2.48,0.135,0:258,0,"9,845",9845,8.81e+03
23,24,"2,148",OK,2.1,80.4,0.0847,2.42,0.102,0:258,0,"2,148",2148,778
24,25,"1,751",OK,1.33,83.6,0.034,1.47,0.0511,0:258,0,"1,751",1751,333
25,26,"5,886",OK,1.67,85.8,0.0517,1.85,0.0677,0:258,0,"5,886",5886,5.85e+03
26,27,"8,074",OK,1.33,88.5,0.136,1.6,0.152,0:258,0,"8,074",8074,8.57e+03
27,28,"1,023",OK,1.33,90.8,0.118,1.55,0.135,0:258,0,"1,023",1023,653
28,29,"4,782",OK,2.3,93.2,0.0513,2.42,0.068,0:258,0,"4,782",4782,5.1e+03
29,30,"7,729",OK,2.23,97,0.117,2.45,0.134,0:258,0,"7,729",7729,7.51e+03
30,31,"6,698",ERR_StartedSideways,0,100,-1,0.0193,-1,0:258,0,"6,698",6698,N/A
31,32,"4,115",OK,1.87,101,0.017,1.97,0.034,0:258,0,"4,115",4115,4.15e+03
32,33,"9,158",ERR_TooSlowInstantaneous,0,104,0.101,2.85,0.122,0:258,0,"9,158",9158,N/A
33,35,"5,312",OK,1.73,110,0.135,1.92,0.151,0:258,0,"5,312",5312,5.15e+03
