trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,4.51,10.8,0.203,5.04,0.219,0,16_25,,0.64,0.653
2,3,120_553,OK,4.67,17.8,0.1,5.07,0.117,0,120_553,,0.217,0.332
3,4,28_109,OK,6.18,25.3,0.153,6.63,0.168,0,28_109,,0.256880734,0.176
4,5,4_5,OK,4.08,32.8,0.185,4.57,0.201,0,4_5,,0.8,0.806
5,6,11_12,OK,2.78,38.3,0.103,3.19,0.12,0,11_12,,0.916666667,0.946
6,7,11_35,OK,4.93,42.5,0.0993,5.34,0.117,0,11_35,,0.314285714,0.414
7,8,3_8,OK,4.22,48.8,0.0164,4.55,0.033,0,3_8,,0.375,0.504
8,9,7_15,OK,3.36,54.6,0.118,3.79,0.135,0,7_15,,0.466666667,0.546
9,10,1_9,OK,3.03,59.4,0.2,3.54,0.216,0,1_9,,0.111111111,0.0972
10,11,10_19,OK,3.47,63.9,0.217,4.01,0.234,0,10_19,,0.526315789,0.553
11,12,703_891,OK,3.85,68.8,0.283,4.44,0.301,0,703_891,,0.789,0.871
12,13,1_17,OK,3.68,74.4,0.169,4.18,0.185,0,1_17,,0.058823529,0.0181
13,14,291_491,OK,5.38,79.7,0.152,5.86,0.168,0,291_491,,0.592668024,0.508
14,15,10_13,OK,2.75,86.5,0.216,3.29,0.233,0,10_13,,0.769230769,0.893
15,16,1_6,OK,3.15,95.8,0.283,3.75,0.301,0,1_6,,0.166666667,0.222
16,17,1_9,OK,2.22,101,0.167,2.58,0.186,0,1_9,,0.111111111,0.0611
17,18,10_19,OK,2.73,104,0.201,3.22,0.217,0,10_19,,0.526315789,0.561
18,19,10_13,OK,2.76,109,0.185,3.27,0.202,0,10_13,,0.769230769,0.89
19,20,28_109,OK,3.95,113,0.201,4.43,0.217,0,28_109,,0.256880734,0.219
20,21,16_25,OK,5.75,119,0.169,6.22,0.185,0,16_25,,0.64,0.64
21,22,7_15,OK,3.23,128,0.201,3.58,0.217,0,7_15,,0.466666667,0.588
22,23,11_12,OK,1.97,132,0.2,2.4,0.217,0,11_12,,0.916666667,0.943
23,24,1_17,OK,2.18,136,0.0836,2.5,0.0996,0,1_17,,0.058823529,0.0208
24,25,120_553,OK,3.58,139,0.217,4.03,0.233,0,120_553,,0.217,0.189
25,26,11_35,OK,3.32,144,0.0836,3.73,0.101,0,11_35,,0.314285714,0.385
26,27,1_6,OK,2.47,149,0.185,2.95,0.202,0,1_6,,0.166666667,0.172
27,28,4_5,OK,2.45,153,0.0997,2.8,0.118,0,4_5,,0.8,0.86
28,29,3_8,OK,3.28,157,0.0988,3.63,0.116,0,3_8,,0.375,0.457
29,30,291_491,OK,4.06,162,0.169,4.53,0.185,0,291_491,,0.592668024,0.567
30,31,703_891,OK,3.03,169,0.299,3.58,0.316,0,703_891,,0.789,0.883
31,32,1_17,OK,2.2,173,0.217,2.63,0.234,0,1_17,,0.058823529,0.0194
32,33,120_553,OK,3.38,177,0.335,3.98,0.351,0,120_553,,0.217,0.176
33,34,7_15,OK,2.52,183,0.251,3.07,0.268,0,7_15,,0.466666667,0.543
34,35,16_25,OK,3.28,187,0.251,3.8,0.269,0,16_25,,0.64,0.657
35,36,11_12,OK,3.21,192,0.318,3.84,0.334,0,11_12,,0.916666667,0.928
36,37,11_35,OK,4.51,197,0.235,5.08,0.251,0,11_35,,0.314285714,0.4
37,38,703_891,OK,2,203,0.252,2.55,0.269,0,703_891,,0.789,0.863
38,39,3_8,OK,1.95,206,0.302,2.5,0.318,0,3_8,,0.375,0.443
39,40,4_5,OK,2.5,210,0.215,2.98,0.232,0,4_5,,0.8,0.887
40,41,10_13,OK,2.78,214,0.183,3.23,0.199,0,10_13,,0.769230769,0.865
41,42,1_6,OK,1.97,218,0.1,2.3,0.117,0,1_6,,0.166666667,0.149
42,43,10_19,OK,4.47,221,0.199,4.97,0.216,0,10_19,,0.526315789,0.546
43,44,1_9,OK,2.31,227,0.25,2.85,0.268,0,1_9,,0.111111111,0.0681
44,45,28_109,OK,3.28,231,0.167,3.75,0.183,0,28_109,,0.256880734,0.167
45,46,291_491,OK,3.35,236,0.286,3.94,0.302,0,291_491,,0.592668024,0.565
