trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",ERR_StartedSideways,0,11,-1,0.0183,-1,0:258,0,"9,158",9158,N/A
2,3,"4,782",OK,1.42,12.7,0.186,1.83,0.202,0:258,0,"4,782",4782,4.18e+03
3,5,"1,751",OK,1.3,16.8,0.169,1.67,0.186,0:258,0,"1,751",1751,1.67e+03
4,6,"5,312",OK,1.18,19.3,0.15,1.57,0.167,0:258,0,"5,312",5312,5.18e+03
5,7,"8,074",OK,1.36,21.7,0.152,1.7,0.169,0:258,0,"8,074",8074,7.5e+03
6,8,"7,729",OK,1.56,24.2,0.153,1.95,0.168,0:258,0,"7,729",7729,7.1e+03
7,10,"6,401",OK,1.38,28.3,0.136,1.78,0.152,0:258,0,"6,401",6401,6.65e+03
8,11,992,OK,1.43,30.8,0.135,1.75,0.15,0:258,0,992,992,1.26e+03
9,12,"8,906",OK,1.41,33.5,0.118,1.78,0.134,0:258,0,"8,906",8906,7.35e+03
10,13,"6,698",ERR_TooSlowInstantaneous,0,36.1,0.167,1.62,0.183,0:258,0,"6,698",6698,N/A
11,15,"3,903",OK,1.28,40.5,0.219,1.68,0.235,0:258,0,"3,903",3903,2.1e+03
12,16,"3,274",OK,1.15,43.2,0.201,1.51,0.217,0:258,0,"3,274",3274,1.92e+03
13,17,"2,894",OK,1.07,45.5,0.204,1.48,0.219,0:258,0,"2,894",2894,1.14e+03
14,18,374,OK,1.33,47.9,0.15,1.64,0.167,0:258,0,374,374,236
15,20,"7,264",OK,1.15,51.6,0.168,1.52,0.184,0:258,0,"7,264",7264,8.01e+03
16,21,"2,148",OK,1.06,54,0.17,1.38,0.186,0:258,0,"2,148",2148,1.64e+03
17,22,"3,274",OK,1.08,56.3,0.136,1.37,0.153,0:258,0,"3,274",3274,1.78e+03
18,23,"9,845",OK,1.13,58.6,0.155,1.52,0.168,0:258,0,"9,845",9845,8.57e+03
19,24,"2,148",OK,0.946,61,0.153,1.27,0.17,0:258,0,"2,148",2148,1.26e+03
20,25,"1,751",OK,1.12,63.1,0.234,1.53,0.25,0:258,0,"1,751",1751,819
21,26,"5,886",OK,0.998,65.5,0.202,1.37,0.218,0:258,0,"5,886",5886,5.46e+03
22,27,"8,074",OK,1.2,67.7,0.117,1.5,0.133,0:258,0,"8,074",8074,7.79e+03
23,28,"1,023",OK,1.18,69.9,0.134,1.47,0.149,0:258,0,"1,023",1023,1.51e+03
24,29,"4,782",OK,1.3,72.2,0.136,1.6,0.152,0:258,0,"4,782",4782,3.62e+03
25,30,"7,729",OK,1.08,74.7,0.134,1.38,0.152,0:258,0,"7,729",7729,7.82e+03
26,31,"6,698",OK,1.12,76.9,0.151,1.47,0.168,0:258,0,"6,698",6698,6.49e+03
27,32,"4,115",OK,1.07,79.1,0.154,1.37,0.169,0:258,0,"4,115",4115,3.54e+03
28,33,"9,158",OK,1.1,81.4,0.167,1.42,0.183,0:258,0,"9,158",9158,9.07e+03
29,34,992,OK,1.18,83.6,0.217,1.52,0.233,0:258,0,992,992,944
30,35,"5,312",OK,1.17,86.1,0.183,1.52,0.199,0:258,0,"5,312",5312,5.12e+03
31,36,"7,264",OK,1.09,88.4,0.122,1.4,0.138,0:258,0,"7,264",7264,7.49e+03
32,37,"8,906",OK,0.95,90.6,0.22,1.4,0.237,0:258,0,"8,906",8906,8.11e+03
33,38,"3,903",ERR_StartedSideways,0,92.8,-1,0.0185,-1,0:258,0,"3,903",3903,N/A
34,39,"6,401",OK,1.44,95.3,0.102,1.68,0.118,0:258,0,"6,401",6401,6.62e+03
