trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,7,6,ERR_TooSlowInstantaneous,0,729,0.401,3.88,0.417,0:258,0,6,6,N/A
2,6,5,ERR_TooSlowInstantaneous,0,740,0.533,1.91,0.55,0:258,0,5,5,N/A
3,11,10,OK,1.43,746,0.65,2.18,0.667,0:258,0,10,10,9.88
4,5,4,OK,1.63,755,0.6,2.33,0.616,0:258,0,4,4,3.22
5,9,8,OK,1.2,758,0.45,1.77,0.466,0:258,0,8,8,8
6,6,5,OK,0.949,761,0.4,1.58,0.416,0:258,0,5,5,4.93
7,4,3,OK,1.2,763,0.55,2.05,0.567,0:258,0,3,3,2.44
8,2,1,ERR_TooSlowGlobal,0,767,0.0169,0.319,0.0332,0:258,0,1,1,N/A
9,2,1,OK,0.8,770,0.316,1.44,0.333,0:258,0,1,1,0.111
10,8,7,OK,1.15,772,0.496,1.79,0.512,0:258,0,7,7,6.78
11,3,2,ERR_TooSlowGlobal,0,775,0.0133,0.332,0.0306,0:258,0,2,2,N/A
12,3,2,OK,1.15,782,0.367,1.7,0.383,0:258,0,2,2,1.61
13,7,6,ERR_TooSlowInstantaneous,0,785,0.2,1.27,0.217,0:258,0,6,6,N/A
14,7,6,OK,0.916,788,0.283,1.51,0.3,0:258,0,6,6,6.75
15,10,9,OK,0.999,790,0.193,1.49,0.209,0:258,0,9,9,8.67
