trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,18.8,0.383,3.27,0.4,0,16_25,,0.64,N/A
2,3,120_553,ERR_TooSlowGlobal,0,23.5,0.017,0.335,0.0335,0,120_553,,0.217,N/A
3,4,28_109,OK,2.07,25.3,0.333,2.52,0.35,0,28_109,,0.256880734,0.0153
4,5,4_5,OK,2.12,28.8,0.283,2.6,0.299,0,4_5,,0.8,0.364
5,6,11_12,ERR_TooSlowInstantaneous,0,32.1,0.267,1.43,0.284,0,11_12,,0.916666667,N/A
6,8,3_8,OK,1.53,37.4,0.3,2.15,0.317,0,3_8,,0.375,0.331
7,9,7_15,OK,1.33,40.2,0.367,1.98,0.383,0,7_15,,0.466666667,0.6
8,10,1_9,OK,1.48,43.1,0.334,2.1,0.351,0,1_9,,0.111111111,0.258
9,11,10_19,OK,1.72,45.9,0.283,2.3,0.3,0,10_19,,0.526315789,0.315
10,12,703_891,ERR_TooSlowGlobal,0,48.9,0.0173,0.346,0.0335,0,703_891,,0.789,N/A
11,13,1_17,OK,1.5,50.2,0.267,2.08,0.288,0,1_17,,0.058823529,0.206
12,14,291_491,OK,1.63,53.1,0.184,2.08,0.2,0,291_491,,0.592668024,0.497
13,15,10_13,OK,1.58,55.8,0.2,1.98,0.216,0,10_13,,0.769230769,0.278
14,16,1_6,ERR_TooSlowGlobal,0,58.5,0.2,0.518,0.217,0,1_6,,0.166666667,N/A
15,17,1_9,OK,0.849,60,0.333,1.45,0.349,0,1_9,,0.111111111,0.174
16,18,10_19,OK,1.73,62.2,0.15,2.13,0.166,0,10_19,,0.526315789,0.253
17,19,10_13,ERR_TooSlowInstantaneous,0,65.1,0.2,1.98,0.217,0,10_13,,0.769230769,N/A
18,20,28_109,OK,1.28,69.7,0.302,1.73,0.318,0,28_109,,0.256880734,0.369
19,21,16_25,OK,1.45,73.3,0.551,2.28,0.567,0,16_25,,0.64,0.338
20,23,11_12,OK,1.68,78.3,0.0175,2,0.0334,0,11_12,,0.916666667,0.772
21,26,11_35,ERR_TooSlowInstantaneous,0,84.3,0.0205,2.1,0.0567,0,11_35,,0.314285714,N/A
22,27,1_6,OK,1.35,87.4,0.317,1.9,0.333,0,1_6,,0.166666667,0.311
23,28,4_5,OK,1.08,90,0.0167,1.38,0.0334,0,4_5,,0.8,0.758
24,29,3_8,OK,1.28,93.1,0.333,1.88,0.353,0,3_8,,0.375,0.59
25,30,291_491,ERR_TooSlowInstantaneous,0,95.7,0.217,2.57,0.234,0,291_491,,0.592668024,N/A
26,32,1_17,OK,1.1,102,0.25,1.5,0.267,0,1_17,,0.058823529,0.292
27,34,7_15,OK,1.53,105,0.15,1.95,0.167,0,7_15,,0.466666667,0.581
28,35,16_25,OK,1.63,108,0.234,2.1,0.251,0,16_25,,0.64,0.493
29,36,11_12,OK,1.42,111,0.184,1.87,0.2,0,11_12,,0.916666667,0.836
30,37,11_35,OK,1.68,113,0.217,2.02,0.233,0,11_35,,0.314285714,0.383
31,38,703_891,OK,2.68,116,0.184,3.13,0.2,0,703_891,,0.789,0.793
32,39,3_8,OK,1.82,119,0.266,2.38,0.282,0,3_8,,0.375,0.358
33,40,4_5,OK,1.65,122,0.234,2.13,0.25,0,4_5,,0.8,0.756
34,41,10_13,OK,1.88,125,0.2,2.35,0.217,0,10_13,,0.769230769,0.7
35,42,1_6,OK,2.08,128,0.184,2.52,0.2,0,1_6,,0.166666667,0.272
36,43,10_19,OK,1.58,131,0.217,2.12,0.233,0,10_19,,0.526315789,0.746
37,44,1_9,OK,2.58,134,0.233,3,0.25,0,1_9,,0.111111111,0.244
38,45,28_109,OK,2.08,138,0.217,2.55,0.234,0,28_109,,0.256880734,0.331
39,46,291_491,OK,1.77,141,0.184,2.2,0.2,0,291_491,,0.592668024,0.611
40,2,16_25,ERR_TooSlowInstantaneous,0,144,0.2,2.64,0.217,0,16_25,,0.64,N/A
41,3,120_553,OK,2.95,148,0.284,3.38,0.3,0,120_553,,0.217,0.194
42,6,11_12,OK,1.85,152,0.3,2.4,0.317,0,11_12,,0.916666667,0.842
43,7,11_35,OK,2.62,155,0.184,3.05,0.201,0,11_35,,0.314285714,0.689
44,12,703_891,OK,2.13,158,0.233,2.65,0.25,0,703_891,,0.789,0.707
45,16,1_6,OK,1.37,162,0.2,1.73,0.217,0,1_6,,0.166666667,0.224
46,19,10_13,OK,2.26,164,0.184,2.57,0.2,0,10_13,,0.769230769,0.622
47,22,7_15,ERR_TooSlowInstantaneous,0,167,0.167,3.04,0.183,0,7_15,,0.466666667,N/A
48,25,120_553,OK,1.76,172,0.31,2.23,0.326,0,120_553,,0.217,0.275
49,26,11_35,OK,1.44,175,0.292,1.93,0.329,0,11_35,,0.314285714,0.331
50,30,291_491,OK,2.73,177,0.234,3.27,0.25,0,291_491,,0.592668024,0.418
51,31,703_891,OK,1.67,181,0.184,2.08,0.2,0,703_891,,0.789,0.794
52,33,120_553,OK,1.73,184,0.234,2.22,0.25,0,120_553,,0.217,0.297
53,2,16_25,OK,1.48,187,0.167,1.88,0.184,0,16_25,,0.64,0.55
54,22,7_15,OK,2.62,189,0.25,3.05,0.267,0,7_15,,0.466666667,0.375
55,24,1_17,OK,1.43,193,0.25,1.83,0.267,0,1_17,,0.058823529,0.156
