trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,2.7,9.88,0.55,3.58,0.567,0:258,0,0.323,0.323,0.256
2,3,0.739,OK,2.58,14.8,0.567,3.47,0.583,0:258,0,0.739,0.739,0.739
3,4,0.506,ERR_TooSlowGlobal,0,19.7,0.0171,0.334,0.0336,0:258,0,0.506,0.506,N/A
4,5,0.167,OK,2.07,21.6,0.383,2.78,0.399,0:258,0,0.167,0.167,0.075
5,6,0.111,OK,1.95,25.7,0.401,2.67,0.418,0:258,0,0.111,0.111,0.0903
6,7,0.059,OK,2.1,29.6,0.434,2.87,0.45,0:258,0,0.059,0.059,-0.00278
7,8,0.834,OK,2.88,33.9,0.386,3.57,0.402,0:258,0,0.834,0.834,0.857
8,9,0.769,OK,2.5,40.4,0.4,3.21,0.416,0:258,0,0.769,0.769,0.758
9,10,0.378,OK,2.5,44.9,0.45,3.27,0.467,0:258,0,0.378,0.378,0.169
10,11,0.257,OK,2.25,49.3,0.519,3.11,0.535,0:258,0,0.257,0.257,0.0722
11,12,0.117,OK,2.51,53.6,0.485,3.31,0.502,0:258,0,0.117,0.117,0.0111
12,13,0.593,OK,2.36,58.2,0.369,3.06,0.385,0:258,0,0.593,0.593,0.521
13,14,0.475,OK,2.67,62.5,0.433,3.42,0.45,0:258,0,0.475,0.475,0.389
14,15,0.653,OK,1.95,67.1,0.467,2.74,0.483,0:258,0,0.653,0.653,0.608
15,16,0.928,OK,3,71,0.534,3.87,0.55,0:258,0,0.928,0.928,0.972
16,17,0.257,OK,2.76,76,0.502,3.59,0.518,0:258,0,0.257,0.257,0.0639
17,18,0.475,OK,2.4,82.3,0.469,3.19,0.485,0:258,0,0.475,0.475,0.268
18,19,0.506,OK,2.13,86.8,0.386,2.83,0.401,0:258,0,0.506,0.506,0.503
19,20,0.653,ERR_TooSlowGlobal,0,91.1,0.619,0.941,0.634,0:258,0,0.653,0.653,N/A
20,21,0.593,OK,2.97,93.5,0.353,3.62,0.369,0:258,0,0.593,0.593,0.533
21,23,0.111,OK,2.22,99.8,0.369,2.9,0.385,0:258,0,0.111,0.111,0.00972
22,24,0.834,ERR_TooSlowInstantaneous,0,104,0.435,3.31,0.451,0:258,0,0.834,0.834,N/A
23,25,0.739,OK,2.7,109,0.667,3.68,0.683,0:258,0,0.739,0.739,0.819
24,26,0.059,OK,2.65,116,0.602,3.57,0.62,0:258,0,0.059,0.059,-0.00556
25,27,0.378,OK,2.75,121,0.535,3.35,0.551,0:258,0,0.378,0.378,0.0708
26,28,0.117,OK,2.03,126,0.435,2.77,0.45,0:258,0,0.117,0.117,0.0139
27,29,0.769,OK,2.58,130,0.418,3.32,0.435,0:258,0,0.769,0.769,0.842
28,30,0.928,OK,2.2,135,0.502,3.02,0.517,0:258,0,0.928,0.928,0.975
29,32,0.167,OK,2.56,140,0.502,3.37,0.519,0:258,0,0.167,0.167,0.0264
30,33,0.111,OK,2.1,145,0.552,2.97,0.568,0:258,0,0.111,0.111,0.00556
31,34,0.323,OK,2.88,149,0.6,3.79,0.616,0:258,0,0.323,0.323,0.122
32,35,0.653,OK,2.5,156,0.533,3.34,0.549,0:258,0,0.653,0.653,0.608
33,36,0.769,OK,2.57,161,0.618,3.51,0.634,0:258,0,0.769,0.769,0.728
34,37,0.257,OK,2.55,167,0.569,3.43,0.584,0:258,0,0.257,0.257,0.0944
35,39,0.593,OK,2.39,173,0.602,3.31,0.618,0:258,0,0.593,0.593,0.535
36,40,0.059,OK,2.28,177,0.717,3.32,0.734,0:258,0,0.059,0.059,-0.00833
37,41,0.475,OK,2.9,183,0.468,3.69,0.485,0:258,0,0.475,0.475,0.432
38,42,0.739,OK,3.11,188,0.568,4,0.584,0:258,0,0.739,0.739,0.75
39,43,0.928,OK,2.37,194,0.5,3.19,0.518,0:258,0,0.928,0.928,0.944
40,44,0.506,OK,2.22,198,0.467,2.99,0.483,0:258,0,0.506,0.506,0.5
41,45,0.834,OK,2.44,203,0.551,3.3,0.566,0:258,0,0.834,0.834,0.821
42,46,0.117,OK,2.5,207,0.4,3.17,0.416,0:258,0,0.117,0.117,0.025
43,4,0.506,OK,1.83,212,0.318,2.47,0.343,0:258,0,0.506,0.506,0.497
44,20,0.653,OK,2.08,215,0.3,2.68,0.316,0:258,0,0.653,0.653,0.64
45,22,0.167,OK,2.16,221,0.533,3,0.552,0:258,0,0.167,0.167,0.0472
46,24,0.834,OK,2.22,225,0.4,2.92,0.416,0:258,0,0.834,0.834,0.832
47,31,0.323,OK,2.35,229,0.524,3.19,0.541,0:258,0,0.323,0.323,0.162
48,38,0.378,OK,1.98,233,0.383,2.63,0.4,0:258,0,0.378,0.378,0.183
