trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,10,0.484,4.79,0.501,0,16_25,,0.64,N/A
2,3,120_553,OK,5.94,17,0.503,6.76,0.518,0,120_553,,0.217,0.369
3,4,28_109,OK,3.47,25.3,0.417,4.19,0.433,0,28_109,,0.256880734,0.208
4,5,4_5,OK,3.95,30.9,0.367,4.63,0.383,0,4_5,,0.8,0.781
5,6,11_12,OK,2.52,36.6,0.235,3.07,0.251,0,11_12,,0.916666667,0.906
6,7,11_35,OK,2.9,42.3,0.485,3.7,0.501,0,11_35,,0.314285714,0.435
7,8,3_8,OK,2.34,47,0.318,2.98,0.335,0,3_8,,0.375,0.279
8,9,7_15,OK,2.27,51.2,0.285,2.87,0.3,0,7_15,,0.466666667,0.571
9,10,1_9,OK,2.45,55,0.317,3.07,0.334,0,1_9,,0.111111111,0.0625
10,11,10_19,OK,2.56,59.4,0.286,3.17,0.301,0,10_19,,0.526315789,0.446
11,12,703_891,OK,2.52,63.6,0.301,3.13,0.318,0,703_891,,0.789,0.792
12,13,1_17,OK,3.29,67.9,0.366,3.97,0.383,0,1_17,,0.058823529,0.0903
13,14,291_491,OK,1.93,74.4,0.65,2.85,0.666,0,291_491,,0.592668024,0.353
14,15,10_13,OK,2.81,78.5,0.451,3.57,0.467,0,10_13,,0.769230769,0.826
15,16,1_6,OK,2.2,83.4,0.35,2.86,0.369,0,1_6,,0.166666667,0.246
16,17,1_9,ERR_TooSlowInstantaneous,0,87.6,0.417,4,0.434,0,1_9,,0.111111111,N/A
17,18,10_19,OK,2.75,95.2,0.685,3.74,0.702,0,10_19,,0.526315789,0.787
18,19,10_13,OK,1.83,100,0.319,2.43,0.335,0,10_13,,0.769230769,0.726
19,20,28_109,OK,2.85,104,0.417,3.55,0.433,0,28_109,,0.256880734,0.025
20,21,16_25,OK,2.43,109,0.333,3,0.354,0,16_25,,0.64,0.243
21,22,7_15,OK,2.93,113,0.369,3.53,0.384,0,7_15,,0.466666667,0.557
22,23,11_12,OK,1.8,118,0.185,2.28,0.201,0,11_12,,0.916666667,0.915
23,24,1_17,OK,2.68,121,0.266,3.27,0.283,0,1_17,,0.058823529,0.0111
24,25,120_553,OK,2.17,126,0.332,2.75,0.35,0,120_553,,0.217,0.225
25,26,11_35,OK,2.88,130,0.4,3.52,0.416,0,11_35,,0.314285714,0.733
26,27,1_6,OK,2.68,135,0.383,3.37,0.401,0,1_6,,0.166666667,0.0889
27,28,4_5,OK,2.25,140,0.301,2.85,0.317,0,4_5,,0.8,0.835
28,29,3_8,OK,3.13,143,0.252,3.63,0.268,0,3_8,,0.375,0.35
29,30,291_491,OK,2.63,148,0.268,3.1,0.284,0,291_491,,0.592668024,0.312
30,31,703_891,OK,1.87,153,0.213,2.33,0.229,0,703_891,,0.789,0.887
31,32,1_17,OK,2.63,156,0.235,3.13,0.251,0,1_17,,0.058823529,0
32,33,120_553,OK,4.21,160,0.352,4.9,0.367,0,120_553,,0.217,0.244
33,34,7_15,OK,1.93,167,0.466,2.71,0.483,0,7_15,,0.466666667,0.446
34,35,16_25,OK,3.17,171,0.401,3.82,0.417,0,16_25,,0.64,0.211
35,36,11_12,OK,2.02,176,0.369,2.68,0.385,0,11_12,,0.916666667,0.885
36,37,11_35,OK,2.53,179,0.267,3.11,0.283,0,11_35,,0.314285714,0.285
37,38,703_891,OK,1.82,183,0.233,2.28,0.25,0,703_891,,0.789,0.935
38,39,3_8,ERR_StartedSideways,0,187,-1,0.301,-1,0,3_8,,0.375,N/A
39,40,4_5,OK,2.27,191,0.58,3.17,0.597,0,4_5,,0.8,0.893
40,41,10_13,OK,1.7,196,0.4,2.35,0.416,0,10_13,,0.769230769,0.757
41,42,1_6,OK,1.86,199,0.335,2.45,0.351,0,1_6,,0.166666667,0.176
42,43,10_19,OK,2.5,203,0.134,2.87,0.15,0,10_19,,0.526315789,0.379
43,44,1_9,OK,2.47,207,0.401,3.13,0.417,0,1_9,,0.111111111,0.203
44,45,28_109,OK,2.85,211,0.319,3.43,0.336,0,28_109,,0.256880734,0.0306
45,46,291_491,OK,1.72,215,0.251,2.23,0.269,0,291_491,,0.592668024,0.422
46,2,16_25,OK,2.66,219,0.385,3.25,0.401,0,16_25,,0.64,0.543
47,17,1_9,OK,2,223,0.268,2.52,0.285,0,1_9,,0.111111111,0.131
48,39,3_8,OK,2.2,227,0.366,2.8,0.383,0,3_8,,0.375,0.296
